        Frequency / GHz                run 66/real
----------------------------------------------------------------------
                    0.69                      0.86652668
                    0.78                      0.86157414
                    0.87                      0.47929329
                    0.96                     0.070120678
                     1.7                  8.2842362e-005
                     1.8                   0.00032384177
                     1.9                     0.024394526
                       2                     0.003153621
                     2.1                     0.040942928
                     2.2                    0.0015718081
                     2.3                     0.017254614
                     2.4                     0.014391783
                     2.5                    0.0023234645
                     2.6                    0.0016066531
                     2.7                   0.00045361633

        Frequency / GHz                run 67/real
----------------------------------------------------------------------
                    0.69                       0.8667919
                    0.78                      0.86113574
                    0.87                       0.4663529
                    0.96                     0.021533782
                     1.7                   0.00017681989
                     1.8                   0.00062259503
                     1.9                     0.024222961
                       2                    0.0042027871
                     2.1                      0.03217856
                     2.2                    0.0043155503
                     2.3                     0.023910344
                     2.4                     0.017279271
                     2.5                    0.0019522586
                     2.6                    0.0021575071
                     2.7                    0.0016966357

        Frequency / GHz                run 68/real
----------------------------------------------------------------------
                    0.69                       0.8670732
                    0.78                      0.86061099
                    0.87                      0.44979276
                    0.96                     0.011471434
                     1.7                   0.00043460544
                     1.8                    0.0010187924
                     1.9                     0.024053922
                       2                    0.0056986529
                     2.1                     0.023626997
                     2.2                    0.0094069715
                     2.3                     0.031110227
                     2.4                     0.019581067
                     2.5                    0.0015153345
                     2.6                    0.0034413788
                     2.7                    0.0037137135

        Frequency / GHz                run 69/real
----------------------------------------------------------------------
                    0.69                      0.86737206
                    0.78                      0.85997689
                    0.87                       0.4281544
                    0.96                     0.040298967
                     1.7                   0.00086889667
                     1.8                    0.0014972583
                     1.9                     0.023887596
                       2                     0.007699247
                     2.1                     0.015929938
                     2.2                     0.016846292
                     2.3                     0.037988636
                     2.4                     0.021089308
                     2.5                    0.0010365274
                     2.6                    0.0048943416
                     2.7                    0.0056684601

        Frequency / GHz                run 70/real
----------------------------------------------------------------------
                    0.69                      0.86769004
                    0.78                      0.85920231
                    0.87                      0.39934253
                    0.96                     0.084824548
                     1.7                    0.0014858791
                     1.8                    0.0020369263
                     1.9                     0.023724121
                       2                     0.010240832
                     2.1                    0.0098356364
                     2.2                     0.026181677
                     2.3                     0.043735266
                     2.4                      0.02180474
                     2.5                   0.00058753361
                     2.6                     0.006107359
                     2.7                    0.0072605562

        Frequency / GHz                run 71/real
----------------------------------------------------------------------
                    0.69                      0.86802906
                    0.78                      0.85824467
                    0.87                       0.3606467
                    0.96                      0.12693152
                     1.7                    0.0022837207
                     1.8                    0.0026137496
                     1.9                     0.023563593
                       2                     0.013323706
                     2.1                    0.0060574823
                     2.2                     0.036567817
                     2.3                     0.047887435
                     2.4                     0.021874933
                     2.5                     0.000301708
                     2.6                    0.0069852636
                     2.7                    0.0084808065

        Frequency / GHz                run 72/real
----------------------------------------------------------------------
                    0.69                      0.86839117
                    0.78                      0.85704425
                    0.87                      0.30997253
                    0.96                      0.16071818
                     1.7                    0.0032517666
                     1.8                     0.003203819
                     1.9                     0.023406098
                       2                     0.016899433
                     2.1                    0.0050881146
                     2.2                     0.047006001
                     2.3                     0.050404609
                     2.4                     0.021497344
                     2.5                   0.00032889264
                     2.6                    0.0075847306
                     2.7                    0.0094031009

        Frequency / GHz                run 73/real
----------------------------------------------------------------------
                    0.69                      0.86877879
                    0.78                      0.85551568
                    0.87                      0.25186467
                    0.96                      0.18637844
                     1.7                    0.0043707023
                     1.8                    0.0037859752
                     1.9                     0.023251682
                       2                     0.020864353
                     2.1                    0.0070468172
                     2.2                     0.056634022
                     2.3                     0.051538984
                     2.4                     0.020850993
                     2.5                   0.00071755041
                     2.6                    0.0079874714
                     2.7                     0.010104197

        Frequency / GHz                run 74/real
----------------------------------------------------------------------
                    0.69                      0.86919452
                    0.78                      0.85353379
                    0.87                      0.21403892
                    0.96                      0.20566634
                     1.7                    0.0056137522
                     1.8                    0.0043434246
                     1.9                     0.023100375
                       2                     0.025064061
                     2.1                     0.011641434
                     2.2                     0.064908278
                     2.3                     0.051652037
                     2.4                     0.020069739
                     2.5                    0.0013501518
                     2.6                    0.0082587254
                     2.7                     0.010644401

        Frequency / GHz                run 75/real
----------------------------------------------------------------------
                    0.69                      0.86964145
                    0.78                      0.85090959
                    0.87                      0.25067632
                    0.96                      0.22028013
                     1.7                    0.0069487909
                     1.8                    0.0048643177
                     1.9                     0.022952186
                       2                     0.029310679
                     2.1                     0.018266409
                     2.2                     0.071624265
                     2.3                     0.051086522
                     2.4                      0.01924222
                     2.5                    0.0020380321
                     2.6                    0.0084432111
                     2.7                     0.011067369

        Frequency / GHz                run 76/real
----------------------------------------------------------------------
                    0.69                        0.870123
                    0.78                      0.84734872
                    0.87                      0.36217928
                    0.96                      0.23151869
                     1.7                     0.008341004
                     1.8                    0.0053415023
                     1.9                     0.022807128
                       2                      0.03340962
                     2.1                     0.026180796
                     2.2                     0.076829543
                     2.3                     0.050112414
                     2.4                     0.018421964
                     2.5                     0.002648787
                     2.6                    0.0085701024
                     2.7                     0.011403948

        Frequency / GHz                run 77/real
----------------------------------------------------------------------
                    0.69                      0.87064311
                    0.78                       0.8423754
                    0.87                      0.47122353
                    0.96                      0.24030893
                     1.7                    0.0097556436
                     1.8                    0.0057717503
                     1.9                     0.022665172
                       2                     0.037188381
                     2.1                     0.034679208
                     2.2                     0.080710535
                     2.3                     0.048920629
                     2.4                     0.017638473
                     2.5                    0.0031357389
                     2.6                    0.0086582506
                     2.7                     0.011675943

        Frequency / GHz                run 78/real
----------------------------------------------------------------------
                    0.69                      0.87120626
                    0.78                       0.8351887
                    0.87                      0.53963425
                    0.96                      0.24730044
                     1.7                     0.011160537
                     1.8                    0.0061548225
                     1.9                     0.022526309
                       2                     0.040518723
                     2.1                     0.043198106
                     2.2                     0.083502705
                     2.3                      0.04763681
                     2.4                     0.016906089
                     2.5                    0.0035039642
                     2.6                    0.0087199274
                     2.7                     0.011898887

        Frequency / GHz                run 79/real
----------------------------------------------------------------------
                    0.69                      0.87181755
                    0.78                      0.82438021
                    0.87                      0.57586267
                    0.96                      0.25294956
                     1.7                      0.01252788
                     1.8                    0.0064925471
                     1.9                     0.022390485
                       2                     0.043326962
                     2.1                     0.051349659
                     2.2                     0.085436524
                     2.3                     0.046339264
                     2.4                     0.016230071
                     2.5                    0.0037763824
                     2.6                    0.0087632263
                     2.7                      0.01208401

        Frequency / GHz                run 80/real
----------------------------------------------------------------------
                    0.69                      0.87248278
                    0.78                      0.80736686
                    0.87                      0.59399079
                    0.96                      0.25758046
                     1.7                     0.013835378
                     1.8                    0.0067880166
                     1.9                     0.022257667
                       2                     0.045591997
                     2.1                      0.05890585
                     2.2                      0.08671253
                     2.3                     0.045074175
                     2.4                     0.015610552
                     2.5                    0.0039769093
                     2.6                    0.0087935775
                     2.7                      0.01223953

        Frequency / GHz                run 81/real
----------------------------------------------------------------------
                    0.69                      0.87320843
                    0.78                      0.77930456
                    0.87                      0.60274142
                    0.96                      0.26142669
                     1.7                     0.015066571
                     1.8                    0.0070450031
                     1.9                     0.022127822
                       2                     0.047334746
                     2.1                     0.065760994
                     2.2                     0.087494115
                     2.3                     0.043866971
                     2.4                     0.015044915
                     2.5                    0.0041250475
                     2.6                    0.0088146789
                     2.7                     0.012371584

        Frequency / GHz                run 82/real
----------------------------------------------------------------------
                    0.69                       0.8740018
                    0.78                      0.73164662
                    0.87                      0.60665775
                    0.96                      0.26465921
                     1.7                     0.016210589
                     1.8                    0.0072675124
                     1.9                     0.022000886
                       2                     0.048604233
                     2.1                     0.071892118
                     2.2                     0.087909361
                     2.3                     0.042730041
                     2.4                     0.014529271
                     2.5                     0.004235324
                     2.6                    0.0088290958
                     2.7                      0.01248478

        Frequency / GHz                run 83/real
----------------------------------------------------------------------
                    0.69                      0.87487069
                    0.78                      0.65515868
                    0.87                      0.60804615
                    0.96                        0.267405
                     1.7                     0.017261532
                     1.8                    0.0074595037
                     1.9                     0.021876809
                       2                     0.049464114
                     2.1                     0.077326258
                     2.2                     0.088056273
                     2.3                     0.041667874
                     2.4                     0.014059228
                     2.5                     0.004318175
                     2.6                    0.0088386355
                     2.7                     0.012582659

        Frequency / GHz                run 84/real
----------------------------------------------------------------------
                    0.69                      0.87582328
                    0.78                      0.57041185
                    0.87                      0.60809717
                    0.96                      0.26975986
                     1.7                     0.018217571
                     1.8                    0.0076247314
                     1.9                     0.021755528
                       2                     0.049982312
                     2.1                     0.082117033
                     2.2                     0.088008754
                     2.3                     0.040680259
                     2.4                     0.013630389
                     2.5                    0.0043810077
                     2.6                    0.0088445844
                     2.7                     0.012667956

        Frequency / GHz                run 85/real
----------------------------------------------------------------------
                    0.69                      0.87686714
                    0.78                      0.56306201
                    0.87                      0.60744197
                    0.96                      0.27179704
                     1.7                     0.019080073
                     1.8                    0.0077666244
                     1.9                     0.021636993
                       2                     0.050223986
                     2.1                     0.086329336
                     2.2                     0.087822042
                     2.3                      0.03976436
                     2.4                     0.013238571
                     2.5                    0.0044290857
                     2.6                    0.0088478756
                     2.7                     0.012742825

        Frequency / GHz                run 86/real
----------------------------------------------------------------------
                    0.69                      0.87800759
                    0.78                      0.63999431
                    0.87                      0.60642429
                    0.96                      0.27357332
                     1.7                     0.019852693
                     1.8                    0.0078882747
                     1.9                     0.021521137
                       2                     0.050247598
                     2.1                     0.090030032
                     2.2                     0.087537216
                     2.3                      0.03891597
                     2.4                     0.012879918
                     2.5                    0.0044661693
                     2.6                    0.0088491892
                     2.7                     0.012808968

        Frequency / GHz                run 87/real
----------------------------------------------------------------------
                    0.69                      0.87924402
                    0.78                      0.71618329
                    0.87                      0.60523514
                    0.96                      0.27513321
                     1.7                     0.020540623
                     1.8                    0.0079924127
                     1.9                     0.021407902
                       2                     0.050103306
                     2.1                     0.093283008
                     2.2                     0.087184684
                     2.3                     0.038130261
                     2.4                     0.012550938
                     2.5                     0.004494968
                     2.6                     0.008849032
                     2.7                      0.01286775

        Frequency / GHz                run 88/real
----------------------------------------------------------------------
                    0.69                      0.88056202
                    0.78                      0.76566955
                    0.87                      0.60398191
                    0.96                      0.27651193
                     1.7                     0.021149989
                     1.8                    0.0080814276
                     1.9                      0.02129723
                       2                     0.049832724
                     2.1                     0.096146563
                     2.2                     0.086786931
                     2.3                     0.037402287
                     2.4                     0.012248515
                     2.5                      0.00451746
                     2.6                    0.0088477765
                     2.7                     0.012920273

        Frequency / GHz                run 89/real
----------------------------------------------------------------------
                    0.69                      0.88191673
                    0.78                      0.79564573
                    0.87                      0.60272512
                    0.96                      0.27773791
                     1.7                     0.021687355
                     1.8                    0.0081574107
                     1.9                     0.021189043
                       2                     0.049469555
                     2.1                     0.098672557
                     2.2                     0.086360532
                     2.3                     0.036727196
                     2.4                     0.011969878
                     2.5                    0.0045351009
                     2.6                    0.0088456999
                     2.7                     0.012967445

        Frequency / GHz                run 90/real
----------------------------------------------------------------------
                    0.69                      0.88319587
                    0.78                      0.81425617
                    0.87                      0.60149846
                    0.96                      0.27883394
                     1.7                     0.022159364
                     1.8                    0.0082221578
                     1.9                     0.021083298
                       2                     0.049040608
                     2.1                      0.10090633
                     2.2                      0.08591767
                     2.3                     0.036100399
                     2.4                     0.011712578
                     2.5                    0.0045489773
                     2.6                    0.0088430246
                     2.7                     0.013010003

        Frequency / GHz                run 91/real
----------------------------------------------------------------------
                    0.69                      0.88413318
                    0.78                      0.82634085
                    0.87                      0.60031992
                    0.96                      0.27981874
                     1.7                     0.022572505
                     1.8                    0.0082772277
                     1.9                     0.020979925
                       2                     0.048566864
                     2.1                      0.10288716
                     2.2                     0.085467259
                     2.3                     0.035517623
                     2.4                     0.011474439
                     2.5                    0.0045599066
                     2.6                    0.0088399088
                     2.7                     0.013048565

        Frequency / GHz                run 92/real
----------------------------------------------------------------------
                    0.69                      0.88409569
                    0.78                       0.8345467
                    0.87                      0.59919823
                    0.96                      0.28070766
                     1.7                     0.022932934
                     1.8                    0.0083239469
                     1.9                      0.02087886
                       2                     0.048064575
                     2.1                      0.10464878
                     2.2                      0.08501583
                     2.3                     0.034974975
                     2.4                     0.011253558
                     2.5                    0.0045685149
                     2.6                    0.0088364731
                     2.7                     0.013083642

        Frequency / GHz                run 93/real
----------------------------------------------------------------------
                    0.69                      0.88152381
                    0.78                       0.8403434
                    0.87                      0.59813671
                    0.96                      0.28151347
                     1.7                     0.023246407
                     1.8                    0.0083634742
                     1.9                     0.020780048
                       2                     0.047546158
                     2.1                      0.10622013
                     2.2                     0.084568043
                     2.3                     0.034468887
                     2.4                     0.011048238
                     2.5                    0.0045752753
                     2.6                    0.0088328205
                     2.7                     0.013115668

        Frequency / GHz                run 94/real
----------------------------------------------------------------------
                    0.69                      0.87237373
                    0.78                      0.84457908
                    0.87                      0.59713553
                    0.96                      0.28224682
                     1.7                     0.023518196
                     1.8                     0.008396788
                     1.9                     0.020683419
                       2                     0.047021002
                     2.1                      0.10762599
                     2.2                     0.084127255
                     2.3                     0.033996129
                     2.4                        0.010857
                     2.5                    0.0045805554
                     2.6                    0.0088290168
                     2.7                      0.01314501

        Frequency / GHz                run 95/real
----------------------------------------------------------------------
                    0.69                      0.84590378
                    0.78                      0.84776428
                    0.87                      0.59619298
                    0.96                      0.28291671
                     1.7                     0.023753096
                     1.8                    0.0084247428
                     1.9                     0.020588929
                       2                     0.046496107
                     2.1                      0.10888752
                     2.2                     0.083695788
                     2.3                       0.0335538
                     2.4                     0.010678516
                     2.5                    0.0045846492
                     2.6                    0.0088251283
                     2.7                     0.013171977

        Frequency / GHz                run 96/real
----------------------------------------------------------------------
                    0.69                      0.77833772
                    0.78                      0.85021886
                    0.87                      0.59530638
                    0.96                      0.28353064
                     1.7                     0.023955414
                     1.8                    0.0084480585
                     1.9                     0.020496504
                       2                     0.045976669
                     2.1                      0.11002286
                     2.2                     0.083275247
                     2.3                     0.033139279
                     2.4                      0.01051162
                     2.5                    0.0045877848
                     2.6                    0.0088211938
                     2.7                     0.013196833

        Frequency / GHz                run 97/real
----------------------------------------------------------------------
                    0.69                      0.66685315
                    0.78                      0.85215042
                    0.87                      0.59447252
                    0.96                      0.28409516
                     1.7                     0.024129016
                     1.8                    0.0084673646
                     1.9                     0.020406116
                       2                     0.045466399
                     2.1                      0.11104756
                     2.2                     0.082866648
                     2.3                     0.032750198
                     2.4                     0.010355266
                     2.5                    0.0045901415
                     2.6                    0.0088172439
                     2.7                     0.013219814

        Frequency / GHz                run 98/real
----------------------------------------------------------------------
                    0.69                      0.62452758
                    0.78                      0.85369818
                    0.87                      0.59368812
                    0.96                      0.28461572
                     1.7                     0.024277328
                     1.8                    0.0084831955
                     1.9                     0.020317679
                       2                     0.044967961
                     2.1                      0.11197497
                     2.2                     0.082470607
                     2.3                     0.032384433
                     2.4                     0.010208535
                     2.5                    0.0045918652
                     2.6                    0.0088133064
                     2.7                     0.013241104

        Frequency / GHz                run 99/real
----------------------------------------------------------------------
                    0.69                       0.6691895
                    0.78                      0.85495801
                    0.87                      0.59294969
                    0.96                      0.28509712
                     1.7                     0.024403415
                     1.8                    0.0084960192
                     1.9                     0.020231149
                       2                     0.044483151
                     2.1                      0.11281659
                     2.2                     0.082087421
                     2.3                     0.032040073
                     2.4                     0.010070598
                     2.5                    0.0045930709
                     2.6                    0.0088094049
                     2.7                     0.013260894

