# Version 1.00
#
freq[Hz]	re:Trc2_S12	im:Trc2_S12	re:Trc3_S21	im:Trc3_S21	re:Trc4_S22	im:Trc4_S22	re:Trc5_S11	im:Trc5_S11	
4.000000000000000E+008	-9.027529740706086E-004	-1.444715075194836E-003	-8.850907906889916E-004	-1.518877455964685E-003	-9.181943535804749E-001	2.974288463592529E-001	-6.983520984649658E-001	6.664424538612366E-001	
4.004333333333333E+008	-9.333600173704326E-004	-1.439025858417153E-003	-9.539201855659485E-004	-1.510756206698716E-003	-9.174249172210693E-001	3.006511032581329E-001	-6.951330900192261E-001	6.696324944496155E-001	
4.008666666666667E+008	-9.344987920485437E-004	-1.569200539961457E-003	-9.254042524844408E-004	-1.513954135589302E-003	-9.167017340660095E-001	3.041707575321198E-001	-6.918991804122925E-001	6.728139519691467E-001	
4.013000000000000E+008	-9.526094654574990E-004	-1.544383587315679E-003	-9.643567609600723E-004	-1.529757864773274E-003	-9.159126877784729E-001	3.074899017810822E-001	-6.884796023368835E-001	6.757743358612061E-001	
4.017333333333333E+008	-9.226215188391507E-004	-1.517123077064753E-003	-8.568956400267780E-004	-1.519225770607591E-003	-9.150444865226746E-001	3.110685646533966E-001	-6.851205229759216E-001	6.792322993278503E-001	
4.021666666666667E+008	-9.135537547990680E-004	-1.540042692795396E-003	-9.427123586647213E-004	-1.543558784760535E-003	-9.141185879707336E-001	3.142746686935425E-001	-6.817645430564880E-001	6.825451254844666E-001	
4.026000000000000E+008	-9.451923542656004E-004	-1.511062611825764E-003	-9.247146081179380E-004	-1.585802645422518E-003	-9.131425619125366E-001	3.175671994686127E-001	-6.787767410278320E-001	6.855412125587463E-001	
4.030333333333333E+008	-9.598647593520582E-004	-1.536571187898517E-003	-9.129599202424288E-004	-1.533641130663455E-003	-9.117618799209595E-001	3.208952546119690E-001	-6.753394007682800E-001	6.890393495559692E-001	
4.034666666666667E+008	-9.776969673112035E-004	-1.504514482803643E-003	-1.019674935378134E-003	-1.533660455606878E-003	-9.106760621070862E-001	3.240351974964142E-001	-6.720881462097168E-001	6.924389600753784E-001	
4.039000000000000E+008	-9.896496776491404E-004	-1.521080383099616E-003	-1.048490637913346E-003	-1.545890234410763E-003	-9.094604849815369E-001	3.271948993206024E-001	-6.686320900917053E-001	6.956677436828613E-001	
4.043333333333333E+008	-1.029550796374679E-003	-1.543111633509398E-003	-9.887751657515764E-004	-1.571071334183216E-003	-9.082982540130615E-001	3.304973244667053E-001	-6.654914021492004E-001	6.987812519073486E-001	
