        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     600                     -0.58318252
                   602.1                     -0.61602111
                   604.2                     -0.65071447
                   606.3                      -0.6873654
                   608.4                     -0.72608061
                   610.5                     -0.76697254
                   612.6                      -0.8101544
                   614.7                      -0.8557474
                   616.8                     -0.90387779
                   618.9                     -0.95467295
                     621                      -1.0082654
                   623.1                      -1.0647921
                   625.2                      -1.1243928
                   627.3                      -1.1872096
                   629.4                      -1.2533845
                   631.5                      -1.3230654
                   633.6                      -1.3963971
                   635.7                       -1.473524
                   637.8                      -1.5545876
                   639.9                      -1.6397321
                     642                       -1.729092
                   644.1                       -1.822797
                   646.2                      -1.9209712
                   648.3                      -2.0237274
                   650.4                      -2.1311699
                   652.5                      -2.2433924
                   654.6                      -2.3604593
                   656.7                      -2.4824348
                   658.8                       -2.609358
                   660.9                      -2.7412465
                     663                      -2.8780836
                   665.1                      -3.0198462
                   667.2                      -3.1664722
                   669.3                      -3.3178593
                   671.4                      -3.4738899
                   673.5                      -3.6344083
                   675.6                      -3.7992125
                   677.7                      -3.9680742
                   679.8                      -4.1407194
                   681.9                      -4.3168517
                     684                      -4.4961165
                   686.1                      -4.6781334
                   688.2                      -4.8624693
                   690.3                      -5.0486733
                   692.4                      -5.2362553
                   694.5                      -5.4246872
                   696.6                      -5.6134105
                   698.7                      -5.8018513
                   700.8                      -5.9894073
                   702.9                       -6.175473
                     705                      -6.3594353
                   707.1                      -6.5406553
                   709.2                      -6.7185233
                   711.3                      -6.8924536
                   713.4                      -7.0618492
                   715.5                      -7.2261621
                   717.6                      -7.3848928
                   719.7                      -7.5375715
                   721.8                      -7.6837663
                   723.9                      -7.8231186
                     726                      -7.9553556
                   728.1                       -8.080223
                   730.2                      -8.1975601
                   732.3                       -8.307268
                   734.4                      -8.4093172
                   736.5                      -8.5037374
                   738.6                      -8.5906269
                   740.7                      -8.6701255
                   742.8                      -8.7424175
                   744.9                      -8.8077511
                     747                      -8.8664166
                   749.1                      -8.9186793
                   751.2                      -8.9648882
                   753.3                      -9.0053656
                   755.4                      -9.0404896
                   757.5                      -9.0705689
                   759.6                      -9.0959842
                   761.7                      -9.1170461
                   763.8                       -9.134111
                   765.9                      -9.1474763
                     768                      -9.1574475
                   770.1                      -9.1642988
                   772.2                      -9.1682928
                   774.3                      -9.1696697
                   776.4                      -9.1686413
                   778.5                      -9.1654102
                   780.6                      -9.1601517
                   782.7                      -9.1530211
                   784.8                      -9.1441508
                   786.9                      -9.1336673
                     789                      -9.1216761
                   791.1                       -9.108254
                   793.2                      -9.0934881
                   795.3                      -9.0774257
                   797.4                      -9.0601396
                   799.5                      -9.0416622
                   801.6                      -9.0220358
                   803.7                      -9.0012957
                   805.8                      -8.9794793
                   807.9                       -8.956616
                     810                      -8.9327421
                   812.1                      -8.9078947
                   814.2                      -8.8821182
                   816.3                      -8.8554664
                   818.4                      -8.8279934
                   820.5                      -8.7997671
                   822.6                      -8.7708753
                   824.7                      -8.7413939
