# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S21	ang:Trc2_S21	db:Trc3_S22	ang:Trc3_S22	
5.000000000000000E+008	-4.797164602736651E-001	9.065786698194762E+001	-4.373356539939632E+001	-1.685801271760122E+002	-4.085733141385976E-001	1.091356681608837E+002	
5.125000000000000E+008	-5.073458144234444E-001	8.235613717968266E+001	-4.126367421844002E+001	-1.747800960671409E+002	-4.254818787484109E-001	1.021571630291633E+002	
5.250000000000000E+008	-5.748975539162977E-001	7.370134795370849E+001	-3.854066784818789E+001	1.752159188028674E+002	-4.454063241326519E-001	9.493198565390648E+001	
5.375000000000000E+008	-6.347673965473493E-001	6.487236699419056E+001	-3.600996418873481E+001	1.663816779277795E+002	-4.845084409247118E-001	8.763078824223665E+001	
5.500000000000000E+008	-7.365822171317171E-001	5.566109465341006E+001	-3.305130938185496E+001	1.554542904050564E+002	-5.112680120762240E-001	8.025249207222107E+001	
5.625000000000000E+008	-8.594550574634418E-001	4.601647996116891E+001	-3.004464473334198E+001	1.411470341708346E+002	-5.682847131303540E-001	7.243746199352233E+001	
5.750000000000000E+008	-9.775037188979432E-001	3.587102880131990E+001	-2.752524794318774E+001	1.237383572790290E+002	-6.250821749946737E-001	6.454241265001272E+001	
5.875000000000000E+008	-1.119649768309087E+000	2.502120735020340E+001	-2.534627715119676E+001	1.070659030151481E+002	-7.196790379680889E-001	5.626910692964629E+001	
6.000000000000000E+008	-1.398549087898485E+000	1.307851399978685E+001	-2.318131871452999E+001	8.892373057590284E+001	-8.259965531238228E-001	4.767138246155191E+001	
6.125000000000000E+008	-1.771195824279224E+000	6.316263943391161E-001	-2.118418719062982E+001	7.264339360364130E+001	-9.704296828819268E-001	3.816766851900831E+001	
6.250000000000000E+008	-2.318457434718695E+000	-1.261558910790450E+001	-1.895763338058727E+001	5.294867116224086E+001	-1.203325636714100E+000	2.816912811768815E+001	
6.375000000000000E+008	-3.022165852776920E+000	-2.582204227141383E+001	-1.728827304887548E+001	3.397458010150180E+001	-1.469898138947402E+000	1.769307011772907E+001	
6.500000000000000E+008	-3.765589493150892E+000	-3.927827218758308E+001	-1.566142943145021E+001	1.414522410674658E+001	-1.848611812676504E+000	6.138565592158334E+000	
6.625000000000000E+008	-4.796994893340602E+000	-5.402343427813315E+001	-1.380263717613422E+001	-6.070592829258493E+000	-2.380054406924872E+000	-6.534009033069195E+000	
6.750000000000000E+008	-5.951633821994915E+000	-6.708692281108074E+001	-1.233677502625111E+001	-3.010768877157672E+001	-3.117708566746292E+000	-1.952645394030775E+001	
6.875000000000000E+008	-6.814486565823493E+000	-7.972516095471559E+001	-1.168898259875156E+001	-5.267891061590861E+001	-3.784012393252139E+000	-3.426231516461325E+001	
7.000000000000000E+008	-7.512016035344137E+000	-9.617446242090423E+001	-1.106232089286696E+001	-7.122019900017229E+001	-4.832443134085205E+000	-5.367179850296103E+001	
7.125000000000000E+008	-8.446285341004368E+000	-1.135425262964144E+002	-9.977396944498887E+000	-9.204209682864619E+001	-6.850794054124423E+000	-7.574956918273803E+001	
7.250000000000000E+008	-9.422202501798545E+000	-1.310831082332365E+002	-9.645457426529648E+000	-1.141981476701953E+002	-9.365526804769671E+000	-1.006114248270816E+002	
7.375000000000000E+008	-9.976406099638288E+000	-1.497626914703739E+002	-9.412601218468359E+000	-1.339421635800320E+002	-1.245927789076406E+001	-1.331380041022681E+002	
7.500000000000000E+008	-1.051858689216857E+001	-1.663417980476852E+002	-9.129877225029022E+000	-1.539080376781471E+002	-1.573557228312521E+001	-1.750934612555303E+002	
7.625000000000000E+008	-1.010153948190814E+001	1.729630959982718E+002	-9.514637358095332E+000	-1.708815854458941E+002	-1.545231611895389E+001	1.438601122013250E+002	
7.750000000000000E+008	-1.000398616065917E+001	1.541323358201915E+002	-9.232434534818104E+000	1.739056425875131E+002	-1.348578548652350E+001	1.104982520852312E+002	
7.875000000000000E+008	-9.506066302462106E+000	1.377819347514015E+002	-9.068291969546230E+000	1.566502655249815E+002	-1.184335611062329E+001	8.837930439582976E+001	
8.000000000000000E+008	-9.104207154453366E+000	1.202199533006121E+002	-8.953470790478439E+000	1.407199206131994E+002	-1.076401633361426E+001	7.310748992655516E+001	
8.125000000000000E+008	-8.611861272485468E+000	1.046269561011736E+002	-8.824011570659993E+000	1.261585856826496E+002	-9.392021975782059E+000	6.175360246391780E+001	
8.250000000000000E+008	-8.436536521038985E+000	9.110640786404397E+001	-8.545267445515927E+000	1.090748170265212E+002	-8.466405233518215E+000	5.121384770430996E+001	
8.375000000000000E+008	-8.008330405845300E+000	7.880505260622971E+001	-8.591444566026668E+000	9.244452938108849E+001	-7.676797484906129E+000	4.126075618989331E+001	
8.500000000000000E+008	-7.758863227644533E+000	6.618858590247818E+001	-8.762023948273640E+000	7.659714118114547E+001	-6.869096999603377E+000	3.273493260020376E+001	
8.625000000000000E+008	-7.558476018679043E+000	5.482104718262218E+001	-8.931722407097761E+000	6.123356741722340E+001	-6.084126025563673E+000	2.277174224343379E+001	
8.750000000000000E+008	-7.279456057383436E+000	4.474044688589049E+001	-9.312092349575197E+000	4.646973012130278E+001	-5.461246850178426E+000	1.264874422897167E+001	
8.875000000000000E+008	-7.311124100138745E+000	3.408506119605964E+001	-9.405145356929934E+000	3.306397635626889E+001	-5.128205691972731E+000	1.848543476422463E+000	
9.000000000000000E+008	-7.149163459035651E+000	2.634993081436897E+001	-9.754778724773066E+000	1.856421461583031E+001	-4.734910482082244E+000	-7.661512641598671E+000	
9.125000000000000E+008	-6.781803794041445E+000	1.847136092219881E+001	-1.013665098037567E+001	5.230816417595589E+000	-4.460206819383705E+000	-1.791535667351510E+001	
9.250000000000000E+008	-6.242954320613578E+000	9.163561721308703E+000	-1.063237432061066E+001	-6.247250406732746E+000	-4.264127438232838E+000	-2.854583918530861E+001	
9.375000000000000E+008	-5.965535310593356E+000	-2.062478308115463E+000	-1.074705445942760E+001	-1.619501640636737E+001	-4.356480314718479E+000	-3.850592093884561E+001	
9.500000000000000E+008	-5.797216965849850E+000	-1.209503568572693E+001	-1.091646400782730E+001	-2.658353015578055E+001	-4.439085152140244E+000	-4.747585063844376E+001	
9.625000000000000E+008	-5.672088694911055E+000	-2.225489407158374E+001	-1.075428283547089E+001	-3.693250190650220E+001	-4.664750827028454E+000	-5.580892999494227E+001	
9.750000000000000E+008	-5.685623982086027E+000	-3.314811606970843E+001	-1.037757316156874E+001	-4.891811899035346E+001	-4.931254062746778E+000	-6.242552089838681E+001	
9.875000000000000E+008	-5.822485133647213E+000	-4.306112744923161E+001	-1.033253229661625E+001	-6.238474757729139E+001	-4.844534889139673E+000	-6.857960179527349E+001	
1.000000000000000E+009	-6.031574966400304E+000	-5.212106843487123E+001	-1.034204984120848E+001	-7.535074904219626E+001	-4.726464811213936E+000	-7.630967667369089E+001	
1.012500000000000E+009	-6.289186200895873E+000	-5.936122979379154E+001	-1.025468401521492E+001	-9.003978699633410E+001	-4.721666650863675E+000	-8.278780389804466E+001	
1.025000000000000E+009	-6.132783479948582E+000	-6.690498879323596E+001	-1.080265121704110E+001	-1.042474893243752E+002	-4.548988237034345E+000	-8.984649932229327E+001	
1.037500000000000E+009	-6.181200858798274E+000	-7.508121157789007E+001	-1.116960269696552E+001	-1.157909922267183E+002	-4.312411757172644E+000	-9.762330210267515E+001	
1.050000000000000E+009	-5.948900113193232E+000	-8.305643831073280E+001	-1.173301767129075E+001	-1.280967365765875E+002	-4.036187106533279E+000	-1.061534781649421E+002	
1.062500000000000E+009	-5.995932638147630E+000	-9.207569942284063E+001	-1.201790101865288E+001	-1.369038350611261E+002	-3.939316679443330E+000	-1.154516220532694E+002	
1.075000000000000E+009	-5.840027162642342E+000	-9.956956090518624E+001	-1.225207329778802E+001	-1.481015059311047E+002	-3.826174360937788E+000	-1.241582635551327E+002	
1.087500000000000E+009	-5.554709196962570E+000	-1.080907173347552E+002	-1.248539750367525E+001	-1.582635750301298E+002	-3.739446457429294E+000	-1.328846571495041E+002	
1.100000000000000E+009	-5.360360547663204E+000	-1.179548060427106E+002	-1.276630678503307E+001	-1.688353449179609E+002	-3.563746906381352E+000	-1.412565008456303E+002	
1.112500000000000E+009	-5.360790171059810E+000	-1.273748310479674E+002	-1.286656421192727E+001	-1.779515678919186E+002	-3.430498396134323E+000	-1.501767207939836E+002	
1.125000000000000E+009	-5.303467042637645E+000	-1.358019870169412E+002	-1.299971454970715E+001	1.707427303847693E+002	-3.290364634132758E+000	-1.587571684675944E+002	
1.137500000000000E+009	-5.184715576468973E+000	-1.453535222120808E+002	-1.332759295984768E+001	1.611507721085682E+002	-3.173298596291706E+000	-1.677404110937167E+002	
1.150000000000000E+009	-5.263830058030690E+000	-1.541299485787092E+002	-1.333314109789159E+001	1.514276043093453E+002	-3.055637527354427E+000	-1.766474613777664E+002	
1.162500000000000E+009	-5.255343249726954E+000	-1.620522216731622E+002	-1.345057178818095E+001	1.401368162956515E+002	-2.997680387733229E+000	1.743070345075706E+002	
1.175000000000000E+009	-5.213470870023422E+000	-1.697439100248496E+002	-1.370921126536180E+001	1.293414954858026E+002	-3.000765041979742E+000	1.657632963988673E+002	
1.187500000000000E+009	-5.084012591349086E+000	-1.775511251625297E+002	-1.410914675043041E+001	1.192283000323013E+002	-2.988258438231918E+000	1.569832584298621E+002	
1.200000000000000E+009	-4.892124304740023E+000	1.744711946954704E+002	-1.438141585248700E+001	1.103550137668761E+002	-3.068981727971313E+000	1.484597883277401E+002	
1.212500000000000E+009	-4.717922402742127E+000	1.663431000523420E+002	-1.454752670677322E+001	1.011353831837377E+002	-3.075032050912084E+000	1.405177979291378E+002	
1.225000000000000E+009	-4.515327020631038E+000	1.582454076642131E+002	-1.482937358977068E+001	9.214955455235111E+001	-3.022618882526781E+000	1.318024084424228E+002	
1.237500000000000E+009	-4.370007111030327E+000	1.503140240459935E+002	-1.484469922814843E+001	8.407327659968719E+001	-3.159749658360005E+000	1.233651653462767E+002	
