        Frequency / MHz                S2,1/abs,dB
----------------------------------------------------------------------
                     600                      -31.009692
                   602.1                      -30.662268
                   604.2                      -30.314558
                   606.3                      -29.966636
                   608.4                      -29.618585
                   610.5                      -29.270496
                   612.6                      -28.922477
                   614.7                      -28.574626
                   616.8                      -28.227043
                   618.9                      -27.879849
                     621                      -27.533168
                   623.1                      -27.187125
                   625.2                      -26.841849
                   627.3                      -26.497482
                   629.4                      -26.154177
                   631.5                      -25.812078
                   633.6                      -25.471347
                   635.7                      -25.132149
                   637.8                      -24.794658
                   639.9                      -24.459046
                     642                      -24.125488
                   644.1                      -23.794176
                   646.2                      -23.465298
                   648.3                      -23.139046
                   650.4                      -22.815603
                   652.5                       -22.49517
                   654.6                       -22.17794
                   656.7                      -21.864121
                   658.8                      -21.553861
                   660.9                      -21.247389
                     663                      -20.944852
                   665.1                      -20.646442
                   667.2                      -20.352303
                   669.3                      -20.062605
                   671.4                      -19.777465
                   673.5                      -19.497015
                   675.6                      -19.221384
                   677.7                      -18.950638
                   679.8                      -18.684862
                   681.9                      -18.424111
                     684                      -18.168426
                   686.1                      -17.917811
                   688.2                      -17.672279
                   690.3                      -17.431781
                   692.4                      -17.196295
                   694.5                      -16.965745
                   696.6                      -16.740046
                   698.7                      -16.519114
                   700.8                      -16.302802
                   702.9                      -16.091003
                     705                      -15.883576
                   707.1                      -15.680327
                   709.2                      -15.481107
                   711.3                      -15.285744
                   713.4                      -15.094057
                   715.5                      -14.905839
                   717.6                      -14.720902
                   719.7                      -14.539064
                   721.8                      -14.360112
                   723.9                      -14.183871
                     726                      -14.010131
                   728.1                      -13.838712
                   730.2                      -13.669443
                   732.3                      -13.502132
                   734.4                      -13.336613
                   736.5                       -13.17273
                   738.6                      -13.010325
                   740.7                      -12.849261
                   742.8                      -12.689397
                   744.9                      -12.530602
                     747                       -12.37277
                   749.1                      -12.215786
                   751.2                      -12.059566
                   753.3                      -11.904017
                   755.4                      -11.749072
                   757.5                      -11.594654
                   759.6                      -11.440725
                   761.7                      -11.287244
                   763.8                      -11.134167
                   765.9                      -10.981483
                     768                      -10.829177
                   770.1                      -10.677254
                   772.2                       -10.52572
                   774.3                        -10.3746
                   776.4                       -10.22392
                   778.5                      -10.073725
                   780.6                      -9.9240691
                   782.7                      -9.7750141
                   784.8                      -9.6266246
                   786.9                      -9.4789876
                     789                      -9.3321956
                   791.1                      -9.1863453
                   793.2                      -9.0415469
                   795.3                      -8.8979186
                   797.4                      -8.7555907
                   799.5                       -8.614694
                   801.6                      -8.4753763
                   803.7                      -8.3377852
                   805.8                      -8.2020842
                   807.9                      -8.0684315
                     810                      -7.9369983
                   812.1                      -7.8079589
                   814.2                       -7.681495
                   816.3                       -7.557786
                   818.4                      -7.4370141
                   820.5                      -7.3193636
                   822.6                      -7.2050239
                   824.7                      -7.0941744
                   826.8                      -6.9869964
                   828.9                      -6.8836628
                     831                      -6.7843491
                   833.1                      -6.6892132
                   835.2                      -6.5984149
                   837.3                      -6.5120938
                   839.4                      -6.4303915
                   841.5                      -6.3534243
                   843.6                       -6.281302
                   845.7                      -6.2141171
                   847.8                      -6.1519535
