        Frequency / MHz                S2,2/abs,dB
----------------------------------------------------------------------
                     600                    -0.060538925
                   602.1                    -0.063655199
                   604.2                    -0.066935796
                   606.3                    -0.070389057
                   608.4                    -0.074023361
                   610.5                    -0.077847371
                   612.6                     -0.08186966
                   614.7                    -0.086099502
                   616.8                    -0.090546154
                   618.9                    -0.095218755
                     621                     -0.10012691
                   623.1                     -0.10528015
                   625.2                     -0.11068817
                   627.3                     -0.11636044
                   629.4                     -0.12230665
                   631.5                     -0.12853641
                   633.6                     -0.13505922
                   635.7                     -0.14188442
                   637.8                     -0.14902073
                   639.9                     -0.15647744
                     642                     -0.16426325
                   644.1                     -0.17238618
                   646.2                     -0.18085429
                   648.3                     -0.18967518
                   650.4                     -0.19885622
                   652.5                     -0.20840367
                   654.6                     -0.21832409
                   656.7                     -0.22862258
                   658.8                     -0.23930527
                   660.9                     -0.25037658
                     663                     -0.26184075
                   665.1                     -0.27370138
                   667.2                     -0.28596199
                   669.3                     -0.29862633
                   671.4                     -0.31169605
                   673.5                     -0.32517488
                   675.6                     -0.33906349
                   677.7                     -0.35336562
                   679.8                     -0.36808215
                   681.9                      -0.3832168
                     684                     -0.39877158
                   686.1                     -0.41474822
                   688.2                     -0.43115197
                   690.3                     -0.44798591
                   692.4                     -0.46525406
                   694.5                     -0.48296309
                   696.6                     -0.50111816
                   698.7                     -0.51972711
                   700.8                     -0.53880042
                   702.9                     -0.55834562
                     705                      -0.5783741
                   707.1                     -0.59890157
                   709.2                     -0.61994157
                   711.3                     -0.64150898
                   713.4                     -0.66362192
                   715.5                     -0.68630415
                   717.6                     -0.70957544
                   719.7                     -0.73345861
                   721.8                     -0.75798235
                   723.9                      -0.7831743
                     726                     -0.80906774
                   728.1                     -0.83569404
                   730.2                     -0.86308992
                   732.3                     -0.89129306
                   734.4                     -0.92034915
                   736.5                     -0.95029639
                   738.6                      -0.9811859
                   740.7                       -1.013066
                   742.8                       -1.045989
                   744.9                      -1.0800139
                     747                      -1.1151992
                   749.1                      -1.1516073
                   751.2                      -1.1893043
                   753.3                      -1.2283638
                   755.4                      -1.2688562
                   757.5                      -1.3108648
                   759.6                      -1.3544698
                   761.7                      -1.3997557
                   763.8                      -1.4468193
                   765.9                      -1.4957544
                     768                      -1.5466645
                   770.1                      -1.5996562
                   772.2                      -1.6548422
                   774.3                      -1.7123421
                   776.4                      -1.7722823
                   778.5                      -1.8347935
                   780.6                      -1.9000126
                   782.7                       -1.968084
                   784.8                      -2.0391671
                   786.9                      -2.1134168
                     789                      -2.1910051
                   791.1                      -2.2721078
                   793.2                       -2.356916
                   795.3                       -2.445624
                   797.4                      -2.5384371
                   799.5                       -2.635577
                   801.6                      -2.7372692
                   803.7                      -2.8437567
                   805.8                      -2.9552872
                   807.9                      -3.0721351
                     810                      -3.1945771
                   812.1                      -3.3229065
                   814.2                      -3.4574352
                   816.3                      -3.5984904
                   818.4                       -3.746423
                   820.5                      -3.9015943
