        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     600                     -0.37921154
                   602.1                     -0.40163651
                   604.2                     -0.42542845
                   606.3                      -0.4506716
                   608.4                     -0.47745549
                   610.5                     -0.50587511
                   612.6                     -0.53602852
                   614.7                      -0.5680209
                   616.8                     -0.60196369
                   618.9                     -0.63797307
                     621                     -0.67616997
                   623.1                     -0.71668231
                   625.2                     -0.75964407
                   627.3                     -0.80519237
                   629.4                     -0.85347188
                   631.5                     -0.90463244
                   633.6                     -0.95882774
                   635.7                      -1.0162138
                   637.8                      -1.0769541
                   639.9                      -1.1412114
                     642                      -1.2091561
                   644.1                      -1.2809539
                   646.2                       -1.356772
                   648.3                      -1.4367769
                   650.4                      -1.5211366
                   652.5                      -1.6100097
                   654.6                      -1.7035446
                   656.7                      -1.8018887
                   658.8                      -1.9051896
                   660.9                       -2.013552
                     663                      -2.1270969
                   665.1                      -2.2459112
                   667.2                      -2.3700765
                   669.3                      -2.4996265
                   671.4                      -2.6346062
                   673.5                       -2.775006
                   675.6                      -2.9207911
                   677.7                      -3.0719129
                   679.8                      -3.2282753
                   681.9                      -3.3897428
                     684                      -3.5561539
                   686.1                      -3.7273298
                   688.2                      -3.9029949
                   690.3                      -4.0829144
                   692.4                      -4.2667527
                   694.5                      -4.4541752
                   696.6                      -4.6448068
                   698.7                      -4.8382082
                   700.8                      -5.0339658
                   702.9                      -5.2316069
                     705                      -5.4306161
                   707.1                      -5.6305351
                   709.2                      -5.8308246
                   711.3                      -6.0309616
                   713.4                      -6.2304091
                   715.5                      -6.4286584
                   717.6                      -6.6252247
                   719.7                      -6.8195993
                   721.8                      -7.0113429
                   723.9                      -7.2000039
                     726                      -7.3851985
                   728.1                      -7.5665915
                   730.2                       -7.743842
                   732.3                      -7.9167549
                   734.4                      -8.0850523
                   736.5                       -8.248675
                   738.6                      -8.4074575
                   740.7                      -8.5613585
                   742.8                      -8.7104256
                   744.9                      -8.8547041
                     747                      -8.9942307
                   749.1                      -9.1292142
                   751.2                      -9.2597793
                   753.3                      -9.3860864
                   755.4                      -9.5083663
                   757.5                      -9.6268532
                   759.6                      -9.7416857
                   761.7                      -9.8531654
                   763.8                      -9.9614624
                   765.9                      -10.066746
                     768                      -10.169179
                   770.1                      -10.268892
                   772.2                      -10.365974
                   774.3                      -10.460463
                   776.4                      -10.552353
                   778.5                      -10.641585
                   780.6                      -10.728031
                   782.7                      -10.811518
                   784.8                       -10.89177
                   786.9                      -10.968469
                     789                      -11.041228
                   791.1                      -11.109567
                   793.2                      -11.172955
                   795.3                      -11.230794
                   797.4                      -11.282422
                   799.5                      -11.327141
                   801.6                      -11.364217
                   803.7                      -11.392895
                   805.8                       -11.41243
                   807.9                      -11.422099
                     810                      -11.421236
                   812.1                      -11.409251
                   814.2                      -11.385647
                   816.3                      -11.350054
                   818.4                      -11.302258
                   820.5                      -11.242184
                   822.6                      -11.169955
                   824.7                      -11.085841
                   826.8                      -10.990295
                   828.9                      -10.883928
                     831                      -10.767498
                   833.1                      -10.641876
                   835.2                      -10.508044
                   837.3                       -10.36704
                   839.4                       -10.21997
                   841.5                      -10.067944
                   843.6                      -9.9120794
                   845.7                      -9.7534564
                   847.8                      -9.5931312
                   849.9                      -9.4320898
                     852                      -9.2712614
                   854.1                      -9.1114883
                   856.2                      -8.9535467
                   858.3                      -8.7981203
                   860.4                      -8.6458168
                   862.5                      -8.4971583
                   864.6                      -8.3525963
                   866.7                       -8.212499
                   868.8                      -8.0771644
                   870.9                      -7.9468283
                     873                      -7.8216645
                   875.1                      -7.7017984
                   877.2                      -7.5872913
                   879.3                      -7.4781722
                   881.4                      -7.3744292
                   883.5                       -7.276002
                   885.6                      -7.1828158
                   887.7                      -7.0947613
                   889.8                      -7.0117061
                   891.9                      -6.9335028
                     894                      -6.8599796
                   896.1                      -6.7909621
                   898.2                      -6.7262583
                   900.3                      -6.6656668
                   902.4                      -6.6089846
                   904.5                      -6.5560082
                   906.6                      -6.5065183
                   908.7                      -6.4603088
                   910.8                      -6.4171662
                   912.9                      -6.3768782
                     915                      -6.3392355
                   917.1                      -6.3040381
                   919.2                      -6.2710815
                   921.3                      -6.2401697
                   923.4                      -6.2111078
                   925.5                      -6.1837147
                   927.6                      -6.1578062
                   929.7                      -6.1332113
                   931.8                      -6.1097567
                   933.9                      -6.0872865
                     936                      -6.0656423
                   938.1                      -6.0446791
                   940.2                      -6.0242532
                   942.3                      -6.0042353
                   944.4                      -5.9844986
