# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S11[dB]	Trc3_S22[dB]	Trc4_S21[dB]	
5.000000000000000E+008	-3.578656441842226E-001	-3.578656441842226E-001	-4.473391125802987E-001	-5.280497471921680E+001	
5.031250000000000E+008	-3.551478485006540E-001	-3.551478485006540E-001	-4.374618424443006E-001	-5.250374878378933E+001	
5.062500000000000E+008	-3.635348776647527E-001	-3.635348776647527E-001	-4.503932661971062E-001	-5.208596821296131E+001	
5.093750000000000E+008	-3.639339821351458E-001	-3.639339821351458E-001	-4.386421784911140E-001	-5.156824812508800E+001	
5.125000000000000E+008	-3.586065775824486E-001	-3.586065775824486E-001	-4.494415991724293E-001	-5.124321596557049E+001	
5.156250000000000E+008	-3.579217137447719E-001	-3.579217137447719E-001	-4.506042773215976E-001	-5.070977665243461E+001	
5.187500000000000E+008	-3.521664793585240E-001	-3.521664793585240E-001	-4.500764853107955E-001	-5.027271273652971E+001	
5.218750000000000E+008	-3.459273564433956E-001	-3.459273564433956E-001	-4.593486738042985E-001	-4.956637412590517E+001	
5.250000000000000E+008	-3.608595820605250E-001	-3.608595820605250E-001	-4.576928729052204E-001	-4.900057821090667E+001	
5.281250000000000E+008	-3.424865633872580E-001	-3.424865633872580E-001	-4.642936661716358E-001	-4.847222364821738E+001	
5.312500000000000E+008	-3.567126098384519E-001	-3.567126098384519E-001	-4.698750983370742E-001	-4.791590123279367E+001	
5.343750000000000E+008	-3.468777764727836E-001	-3.468777764727836E-001	-4.802251049659098E-001	-4.735380518332527E+001	
5.375000000000000E+008	-3.559850096124533E-001	-3.559850096124533E-001	-4.794717646248906E-001	-4.692312644559089E+001	
5.406250000000000E+008	-3.574631350937682E-001	-3.574631350937682E-001	-4.886335990314518E-001	-4.648725218540312E+001	
5.437500000000000E+008	-3.491596007089364E-001	-3.491596007089364E-001	-4.981098676222744E-001	-4.598173983015408E+001	
5.468750000000000E+008	-3.747868966186193E-001	-3.747868966186193E-001	-5.051947635298850E-001	-4.542029362785585E+001	
5.500000000000000E+008	-3.696539845666109E-001	-3.696539845666109E-001	-5.055837223867687E-001	-4.489472190670608E+001	
5.531250000000000E+008	-3.785010027020780E-001	-3.785010027020780E-001	-5.117160138769153E-001	-4.444715807602113E+001	
5.562500000000000E+008	-3.824764457587074E-001	-3.824764457587074E-001	-5.183883643468291E-001	-4.390648648611882E+001	
5.593750000000000E+008	-3.733279448341909E-001	-3.733279448341909E-001	-5.270222325789515E-001	-4.332902626824317E+001	
5.625000000000000E+008	-3.934053968954860E-001	-3.934053968954860E-001	-5.389159233861517E-001	-4.294177568775109E+001	
5.656250000000000E+008	-3.899966971316194E-001	-3.899966971316194E-001	-5.437573747937319E-001	-4.247190838435485E+001	
5.687500000000000E+008	-3.796670514526475E-001	-3.796670514526475E-001	-5.539449537229289E-001	-4.196605435190094E+001	
5.718750000000000E+008	-4.009852398609345E-001	-4.009852398609345E-001	-5.530071546287211E-001	-4.155318167671032E+001	
5.750000000000000E+008	-4.101874217106395E-001	-4.101874217106395E-001	-5.679843829872573E-001	-4.112403407377381E+001	
5.781250000000000E+008	-4.181709355711864E-001	-4.181709355711864E-001	-5.836452142342116E-001	-4.052764456165086E+001	
5.812500000000000E+008	-4.075281103333879E-001	-4.075281103333879E-001	-5.943771309155773E-001	-4.003012344124020E+001	
5.843750000000000E+008	-4.179757178303543E-001	-4.179757178303543E-001	-6.050863348563044E-001	-3.962937082980287E+001	
5.875000000000000E+008	-4.108223675330738E-001	-4.108223675330738E-001	-6.122247128229919E-001	-3.939263157629651E+001	
5.906250000000000E+008	-4.147103963286558E-001	-4.147103963286558E-001	-6.308865069837761E-001	-3.899828928236637E+001	
5.937500000000000E+008	-4.151277910162570E-001	-4.151277910162570E-001	-6.381541279868757E-001	-3.861790134453742E+001	
5.968750000000000E+008	-4.100821031914981E-001	-4.100821031914981E-001	-6.427477078006738E-001	-3.813889064759066E+001	
6.000000000000000E+008	-4.192119818300063E-001	-4.192119818300063E-001	-6.625729861551852E-001	-3.767043760695167E+001	
6.031250000000000E+008	-4.276801292409804E-001	-4.276801292409804E-001	-6.564479822187593E-001	-3.705984832824674E+001	
6.062500000000000E+008	-4.054163432204843E-001	-4.054163432204843E-001	-6.791420236461520E-001	-3.625412502720661E+001	
6.093750000000000E+008	-4.352266669208628E-001	-4.352266669208628E-001	-7.142425036058290E-001	-3.556786196401074E+001	
6.125000000000000E+008	-4.204417177725235E-001	-4.204417177725235E-001	-7.355383366976279E-001	-3.500010257515268E+001	
