        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     400                   -0.0075549676
                   402.6                   -0.0068001057
                   405.2                   -0.0059938939
                   407.8                   -0.0058332913
                   410.4                    -0.006588448
                     413                   -0.0079164882
                   415.6                   -0.0090872493
                   418.2                   -0.0094769924
                   420.8                   -0.0089963387
                   423.4                   -0.0081538123
                     426                   -0.0077158685
                   428.6                   -0.0081926077
                   431.2                   -0.0094891079
                   433.8                    -0.010957518
                   436.4                    -0.011829779
                     439                    -0.011743524
                   441.6                    -0.010995554
                   444.2                    -0.010348733
                   446.8                    -0.010524636
                   449.4                     -0.01171463
                     452                    -0.013433075
                   454.6                    -0.014831526
                   457.2                    -0.015273716
                   459.8                    -0.014780454
                   462.4                    -0.014028704
                     465                     -0.01390896
                   467.6                    -0.014928685
                   470.2                    -0.016851902
                   472.8                    -0.018828942
                   475.4                    -0.019962262
                     478                      -0.0199302
                   480.6                    -0.019227683
                   483.2                    -0.018855693
                   485.8                       -0.019662
                   488.4                    -0.021757058
                     491                    -0.024393453
                   493.6                    -0.026439623
                   496.2                    -0.027157719
                   498.8                    -0.026738821
                   501.4                    -0.026214215
                     504                    -0.026796654
                   506.6                    -0.029063891
                   509.2                    -0.032512112
                   511.8                    -0.035823304
                   514.4                    -0.037746319
                     517                    -0.037995878
                   519.6                    -0.037517085
                   522.2                    -0.037919349
                   524.8                    -0.040433334
                   527.4                    -0.045020988
                     530                    -0.050263325
                   532.6                    -0.054242682
                   535.2                    -0.055901606
                   537.8                    -0.055893224
                   540.4                    -0.056292073
                     543                    -0.059330979
                   545.6                    -0.065885798
                   548.2                    -0.074640171
                   550.8                    -0.082717919
                   553.4                    -0.087655273
                     556                    -0.089356027
                   558.6                    -0.090548442
                   561.2                    -0.095405824
                   563.8                     -0.10702971
                   566.4                      -0.1250284
                     569                     -0.14499488
                   571.6                     -0.16128837
                   574.2                     -0.17188872
                   576.8                     -0.18178044
                   579.4                     -0.20282405
                     582                     -0.25017202
                   584.6                     -0.33408681
                   587.2                     -0.44636562
                   589.8                     -0.55255604
                   592.4                        -0.61064
                     595                     -0.60399462
                   597.6                     -0.54723229
                   600.2                     -0.46650151
                   602.8                     -0.38434666
                   605.4                     -0.31666728
                     608                     -0.27392117
                   610.6                     -0.26085854
