# Version 1.00
#
freq[Hz]	Trc2_S11[dB]	
6.000000000000000E+008	-3.204876098151663E-001	
6.030000000000000E+008	-3.254652030968435E-001	
6.060000000000000E+008	-3.319711264507854E-001	
6.090000000000000E+008	-3.361107225315535E-001	
6.120000000000000E+008	-3.248761373338941E-001	
6.150000000000000E+008	-3.359066077119883E-001	
6.180000000000000E+008	-3.224038416462901E-001	
6.210000000000000E+008	-3.344168885965225E-001	
6.240000000000000E+008	-3.310889430702720E-001	
6.270000000000000E+008	-3.250763633741642E-001	
6.300000000000000E+008	-3.339035768915840E-001	
6.330000000000000E+008	-3.196013887519872E-001	
6.360000000000000E+008	-3.335770791865910E-001	
6.390000000000000E+008	-3.227292889554358E-001	
6.420000000000000E+008	-3.192841819107491E-001	
6.450000000000000E+008	-3.265453483300723E-001	
6.480000000000000E+008	-3.318505206535294E-001	
6.510000000000000E+008	-3.385400207542642E-001	
6.540000000000000E+008	-3.447101933588999E-001	
6.570000000000000E+008	-3.424636555629322E-001	
6.600000000000000E+008	-3.435773651279788E-001	
6.630000000000000E+008	-3.573370156816366E-001	
6.660000000000000E+008	-3.642026382907009E-001	
6.690000000000000E+008	-3.675264250856524E-001	
6.720000000000000E+008	-3.695672047356894E-001	
6.750000000000000E+008	-3.772466010023380E-001	
6.780000000000000E+008	-3.842073717599293E-001	
6.810000000000000E+008	-3.903433889904626E-001	
6.840000000000000E+008	-3.811439793096045E-001	
6.870000000000000E+008	-4.095109415819425E-001	
6.900000000000000E+008	-4.056581634729529E-001	
6.930000000000000E+008	-4.093769519052177E-001	
6.960000000000000E+008	-4.066348782588202E-001	
6.990000000000000E+008	-4.236533299053787E-001	
7.020000000000000E+008	-4.228605954028243E-001	
7.050000000000000E+008	-4.318399119119013E-001	
7.080000000000000E+008	-4.242786298941456E-001	
7.110000000000000E+008	-4.392238111642276E-001	
7.140000000000000E+008	-4.470158371536934E-001	
7.170000000000000E+008	-4.510635487464603E-001	
7.200000000000000E+008	-4.540087797179688E-001	
7.230000000000000E+008	-4.666330378169623E-001	
7.260000000000000E+008	-4.593595439388985E-001	
7.290000000000000E+008	-4.652517936578550E-001	
7.320000000000000E+008	-4.663136960464798E-001	
7.350000000000000E+008	-4.857423666403125E-001	
7.380000000000000E+008	-4.904010092591143E-001	
7.410000000000000E+008	-5.062756952222884E-001	
7.440000000000000E+008	-5.096439963093350E-001	
7.470000000000000E+008	-5.292484985678556E-001	
7.500000000000000E+008	-5.292387284735935E-001	
7.530000000000000E+008	-5.385907012791167E-001	
7.560000000000000E+008	-5.498493954205100E-001	
7.590000000000000E+008	-5.681151317655737E-001	
7.620000000000000E+008	-5.699604093945774E-001	
7.650000000000000E+008	-5.826912546510548E-001	
7.680000000000000E+008	-5.988633064984616E-001	
7.710000000000000E+008	-6.093800221480915E-001	
7.740000000000000E+008	-6.423701301890680E-001	
7.770000000000000E+008	-6.677099313382841E-001	
7.800000000000000E+008	-6.884294533438049E-001	
7.830000000000000E+008	-7.013714623373404E-001	
7.860000000000000E+008	-6.889942700043201E-001	
7.890000000000000E+008	-7.048308721090018E-001	
7.920000000000000E+008	-7.324748943913203E-001	
7.950000000000000E+008	-7.618565880090438E-001	
7.980000000000000E+008	-7.911748473873086E-001	
8.010000000000000E+008	-8.177981746763572E-001	
8.040000000000000E+008	-8.380072412053614E-001	
8.070000000000000E+008	-8.727838197958989E-001	
8.100000000000000E+008	-8.976215938681448E-001	
8.130000000000000E+008	-9.089378282773307E-001	
8.160000000000000E+008	-9.415086967350596E-001	
8.190000000000000E+008	-9.612286371843357E-001	
8.220000000000000E+008	-9.980890293703686E-001	
8.250000000000000E+008	-1.020128038898212E+000	
8.280000000000000E+008	-1.076499317818501E+000	
8.310000000000000E+008	-1.112286152927437E+000	
8.340000000000000E+008	-1.142591040948203E+000	
8.370000000000000E+008	-1.203885987965019E+000	
8.400000000000000E+008	-1.249812150910178E+000	
8.430000000000000E+008	-1.295135930109470E+000	
8.460000000000000E+008	-1.368668121866057E+000	
8.490000000000000E+008	-1.433001809122105E+000	
8.520000000000000E+008	-1.503937805537279E+000	
8.550000000000000E+008	-1.570911103350767E+000	
8.580000000000000E+008	-1.654498984435719E+000	
8.610000000000000E+008	-1.743706557314370E+000	
8.640000000000000E+008	-1.826252677486226E+000	
8.670000000000000E+008	-1.924428350020649E+000	
8.700000000000000E+008	-2.010777666011692E+000	
8.730000000000000E+008	-2.111522974065015E+000	
8.760000000000000E+008	-2.231224410521612E+000	
8.790000000000000E+008	-2.357718863398930E+000	
8.820000000000000E+008	-2.509463836575887E+000	
8.850000000000000E+008	-2.658162299191585E+000	
8.880000000000000E+008	-2.843587070350375E+000	
8.910000000000000E+008	-3.050631721377224E+000	
8.940000000000000E+008	-3.301410649719128E+000	
8.970000000000000E+008	-3.538814891924205E+000	
9.000000000000000E+008	-3.854635202456935E+000	
9.030000000000000E+008	-4.194077114854688E+000	
9.060000000000000E+008	-4.566342024928507E+000	
9.090000000000000E+008	-4.977641141365019E+000	
9.120000000000000E+008	-5.462957737433474E+000	
9.150000000000000E+008	-6.025348779424807E+000	
9.180000000000000E+008	-6.619873203579421E+000	
9.210000000000000E+008	-7.311803949160677E+000	
9.240000000000000E+008	-8.100362091799664E+000	
9.270000000000000E+008	-8.964559714870827E+000	
9.300000000000000E+008	-9.972065664082010E+000	
9.330000000000000E+008	-1.121755762974607E+001	
9.360000000000000E+008	-1.263922108395903E+001	
9.390000000000000E+008	-1.430159499098518E+001	
9.420000000000000E+008	-1.606909561490014E+001	
9.450000000000000E+008	-1.744840835067649E+001	
9.480000000000000E+008	-1.804677759721780E+001	
9.510000000000000E+008	-1.761488968257214E+001	
9.540000000000000E+008	-1.644774068840271E+001	
9.570000000000000E+008	-1.500991800926323E+001	
9.600000000000000E+008	-1.363923049731807E+001	
9.630000000000000E+008	-1.237675250645482E+001	
9.660000000000000E+008	-1.116974576006442E+001	
9.690000000000000E+008	-1.010299261481868E+001	
9.720000000000000E+008	-9.210320483189303E+000	
9.750000000000000E+008	-8.498352438350276E+000	
9.780000000000000E+008	-7.916210819293796E+000	
9.810000000000000E+008	-7.413274162026036E+000	
9.840000000000000E+008	-6.953905363148487E+000	
9.870000000000000E+008	-6.491754569217886E+000	
