# Version 1.00
#
freq[Hz]	Trc2_S11[dB]	
6.000000000000000E+008	-1.856726614513779E+000	
6.030000000000000E+008	-1.871785819571974E+000	
6.060000000000000E+008	-1.912086054821944E+000	
6.090000000000000E+008	-1.967818789462437E+000	
6.120000000000000E+008	-2.037209848468130E+000	
6.150000000000000E+008	-2.083501685789776E+000	
6.180000000000000E+008	-2.158845648436838E+000	
6.210000000000000E+008	-2.206440617501359E+000	
6.240000000000000E+008	-2.291290426994279E+000	
6.270000000000000E+008	-2.360270063378481E+000	
6.300000000000000E+008	-2.445480681690212E+000	
6.330000000000000E+008	-2.510724183946872E+000	
6.360000000000000E+008	-2.582620563048094E+000	
6.390000000000000E+008	-2.655934279742131E+000	
6.420000000000000E+008	-2.737190388086855E+000	
6.450000000000000E+008	-2.809571087715847E+000	
6.480000000000000E+008	-2.902120780829313E+000	
6.510000000000000E+008	-2.992119000488408E+000	
6.540000000000000E+008	-3.092378317691569E+000	
6.570000000000000E+008	-3.200155162246574E+000	
6.600000000000000E+008	-3.287012649725539E+000	
6.630000000000000E+008	-3.373583627579500E+000	
6.660000000000000E+008	-3.478281802405811E+000	
6.690000000000000E+008	-3.600038782977125E+000	
6.720000000000000E+008	-3.708222966183557E+000	
6.750000000000000E+008	-3.822422780526304E+000	
6.780000000000000E+008	-3.937544288886774E+000	
6.810000000000000E+008	-4.083148038435883E+000	
6.840000000000000E+008	-4.243547622899093E+000	
6.870000000000000E+008	-4.395997618581904E+000	
6.900000000000000E+008	-4.553376782263502E+000	
6.930000000000000E+008	-4.711076804645155E+000	
6.960000000000000E+008	-4.880904197578219E+000	
6.990000000000000E+008	-5.007152958509082E+000	
7.020000000000000E+008	-5.125182823170017E+000	
7.050000000000000E+008	-5.240750503485236E+000	
7.080000000000000E+008	-5.406748950586624E+000	
7.110000000000000E+008	-5.633383539549580E+000	
7.140000000000000E+008	-5.889621643090735E+000	
7.170000000000000E+008	-6.110122954452222E+000	
7.200000000000000E+008	-6.282118063883038E+000	
7.230000000000000E+008	-6.449354135424111E+000	
7.260000000000000E+008	-6.600884230615026E+000	
7.290000000000000E+008	-6.780482503725570E+000	
7.320000000000000E+008	-6.928077116898931E+000	
7.350000000000000E+008	-7.136357574824735E+000	
7.380000000000000E+008	-7.411917713994070E+000	
7.410000000000000E+008	-7.585828437463742E+000	
7.440000000000000E+008	-7.740751088801074E+000	
7.470000000000000E+008	-7.932335938340108E+000	
7.500000000000000E+008	-8.152836006193192E+000	
7.530000000000000E+008	-8.340780417547451E+000	
7.560000000000000E+008	-8.510754495985772E+000	
7.590000000000000E+008	-8.646593643098766E+000	
7.620000000000000E+008	-8.722495531367676E+000	
7.650000000000000E+008	-8.811813100290523E+000	
7.680000000000000E+008	-9.006338262367512E+000	
7.710000000000000E+008	-9.233818736090607E+000	
7.740000000000000E+008	-9.433187444622103E+000	
7.770000000000000E+008	-9.590932518386325E+000	
7.800000000000000E+008	-9.674443338847828E+000	
7.830000000000000E+008	-9.872969461708186E+000	
7.860000000000000E+008	-1.015095571749051E+001	
7.890000000000000E+008	-1.037175737250977E+001	
7.920000000000000E+008	-1.044045458521128E+001	
7.950000000000000E+008	-1.034734408508777E+001	
7.980000000000000E+008	-1.035042417274386E+001	
8.010000000000000E+008	-1.043274595219668E+001	
8.040000000000000E+008	-1.060266543295922E+001	
8.070000000000000E+008	-1.089260267218766E+001	
8.100000000000000E+008	-1.129961402929773E+001	
8.130000000000000E+008	-1.158535812303196E+001	
8.160000000000000E+008	-1.171032048310471E+001	
8.190000000000000E+008	-1.177929657414701E+001	
8.220000000000000E+008	-1.196503199108352E+001	
8.250000000000000E+008	-1.226077808409527E+001	
8.280000000000000E+008	-1.257050612996331E+001	
8.310000000000000E+008	-1.281067502682054E+001	
8.340000000000000E+008	-1.284043789496039E+001	
8.370000000000000E+008	-1.283023412609915E+001	
