# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
6.000000000000000E+008	-3.234060626559466E-001	-6.148842507207175E-001	-5.029202569926332E+001	
6.120000000000000E+008	-3.348399046748168E-001	-6.561625747431703E-001	-4.824681044251021E+001	
6.240000000000000E+008	-3.271335034384636E-001	-6.969231590269036E-001	-4.695164664260280E+001	
6.360000000000000E+008	-3.298240200415307E-001	-7.446295382378479E-001	-4.538415833853505E+001	
6.480000000000000E+008	-3.452110158332249E-001	-8.113995274446192E-001	-4.426363824376060E+001	
6.600000000000000E+008	-3.612934029140354E-001	-8.855599371166530E-001	-4.306164600788253E+001	
6.720000000000000E+008	-3.842991827896070E-001	-9.822808459319186E-001	-4.189127665790190E+001	
6.840000000000000E+008	-4.023623807934110E-001	-1.083330921649351E+000	-4.041678608247651E+001	
6.960000000000000E+008	-4.133621433275387E-001	-1.226315524246926E+000	-3.895518876386912E+001	
7.080000000000000E+008	-4.288846143406201E-001	-1.396584015755829E+000	-3.723930995924225E+001	
7.200000000000000E+008	-4.520232958228385E-001	-1.608435686856115E+000	-3.557513669333093E+001	
7.320000000000000E+008	-4.773216136449128E-001	-1.854832151653463E+000	-3.422753915810965E+001	
7.440000000000000E+008	-5.120087154555871E-001	-2.127629355214754E+000	-3.297740478934503E+001	
7.560000000000000E+008	-5.422818225834575E-001	-2.461320415887759E+000	-3.147662959278565E+001	
7.680000000000000E+008	-5.752129490659791E-001	-2.841811629905138E+000	-3.002234795382499E+001	
7.800000000000000E+008	-6.375503951556888E-001	-3.337303037508891E+000	-2.851488451119988E+001	
7.920000000000000E+008	-6.530204674689338E-001	-3.815049643743349E+000	-2.760072406239273E+001	
8.040000000000000E+008	-7.180942901660220E-001	-4.499148884487305E+000	-2.631709530472294E+001	
8.160000000000000E+008	-7.817595033991780E-001	-5.279133724847127E+000	-2.487841634641504E+001	
8.280000000000000E+008	-8.580311555590349E-001	-5.979596796249918E+000	-2.398737431926321E+001	
8.400000000000000E+008	-9.419847686666899E-001	-6.686222058481300E+000	-2.338513738314449E+001	
8.520000000000000E+008	-1.049168849281791E+000	-7.307783310031666E+000	-2.274607010794065E+001	
