# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
6.000000000000000E+008	-5.676274762926720E-001	-2.221541578074686E-001	-5.663700221263444E+001	
6.120000000000000E+008	-5.938491435242994E-001	-2.337869826703641E-001	-5.459441549953638E+001	
6.240000000000000E+008	-6.436469286621249E-001	-2.413377275542251E-001	-5.221621966385958E+001	
6.360000000000000E+008	-6.854956444746047E-001	-2.454404174797447E-001	-5.015734538834095E+001	
6.480000000000000E+008	-7.419401600700164E-001	-2.487010008177607E-001	-4.825774788088569E+001	
6.600000000000000E+008	-8.356303556773854E-001	-2.391977413424573E-001	-4.658996120862339E+001	
6.720000000000000E+008	-9.424207751553418E-001	-2.565288150100087E-001	-4.483377074192958E+001	
6.840000000000000E+008	-1.078489936183795E+000	-2.696302494961887E-001	-4.324902871753457E+001	
6.960000000000000E+008	-1.244155873525221E+000	-2.894208803062366E-001	-4.137304162365785E+001	
7.080000000000000E+008	-1.476865458749156E+000	-3.094951056793218E-001	-3.973709112263938E+001	
7.200000000000000E+008	-1.687661352427678E+000	-3.206704117845254E-001	-3.863430173875037E+001	
7.320000000000000E+008	-1.935278507028091E+000	-3.327890921795711E-001	-3.709562351585861E+001	
7.440000000000000E+008	-2.229754795889730E+000	-3.448419570947831E-001	-3.593844820368476E+001	
7.560000000000000E+008	-2.605183071088191E+000	-3.664218326936159E-001	-3.432769380906019E+001	
7.680000000000000E+008	-3.047037160102104E+000	-3.650466055055199E-001	-3.243384074197144E+001	
7.800000000000000E+008	-3.680015602650903E+000	-4.514769276381722E-001	-3.079715723947184E+001	
7.920000000000000E+008	-4.407599811437913E+000	-4.412422296939537E-001	-2.974440761485771E+001	
8.040000000000000E+008	-5.391037471682797E+000	-5.049410013382366E-001	-2.821259815645390E+001	
8.160000000000000E+008	-6.475465584005222E+000	-5.526521570319574E-001	-2.687086077627966E+001	
8.280000000000000E+008	-7.185855530276855E+000	-5.937466648525090E-001	-2.579008488446230E+001	
8.400000000000000E+008	-8.521918935026694E+000	-6.670330396324736E-001	-2.498502476123563E+001	
8.520000000000000E+008	-9.702151102177107E+000	-7.571704503932977E-001	-2.411584453099073E+001	
8.640000000000000E+008	-1.099267105282523E+001	-8.759108368427889E-001	-2.316037103760826E+001	
8.760000000000000E+008	-1.122078818917047E+001	-1.075542226688343E+000	-2.194919952871863E+001	
8.880000000000000E+008	-1.110695742121787E+001	-1.319114628990392E+000	-2.076917727832739E+001	
9.000000000000000E+008	-1.078337848188041E+001	-1.665839966642696E+000	-1.972325844992603E+001	
9.120000000000000E+008	-1.003966747785918E+001	-2.148291235573153E+000	-1.857899313749833E+001	
9.240000000000000E+008	-9.188797277386927E+000	-2.858134245697388E+000	-1.753868386682752E+001	
9.360000000000000E+008	-8.287472619519040E+000	-4.066869741350540E+000	-1.651271947686116E+001	
9.480000000000000E+008	-7.650910533663009E+000	-6.179979280954266E+000	-1.554740775809037E+001	
9.600000000000000E+008	-6.980911925054929E+000	-9.997508285567708E+000	-1.535946440155881E+001	
9.720000000000000E+008	-6.366675185586434E+000	-1.933767953030331E+001	-1.538683434959419E+001	
9.840000000000000E+008	-5.710833179301260E+000	-1.765465048433137E+001	-1.639738995093792E+001	
9.960000000000000E+008	-5.303782526630015E+000	-9.639689659356158E+000	-1.749578330639655E+001	
1.008000000000000E+009	-5.015371029585952E+000	-6.524659864939753E+000	-1.920129335567470E+001	
1.020000000000000E+009	-4.538263146525163E+000	-4.655852089829547E+000	-2.072961579868806E+001	
1.032000000000000E+009	-4.128801930628807E+000	-3.464929863545887E+000	-2.187655393203061E+001	
1.044000000000000E+009	-3.704454561177192E+000	-2.751881765684567E+000	-2.299420544495431E+001	
1.056000000000000E+009	-3.339491327619084E+000	-2.259221494129263E+000	-2.442357346468975E+001	
1.068000000000000E+009	-3.067373550231282E+000	-1.909492591326145E+000	-2.568170873355853E+001	
1.080000000000000E+009	-2.838209476253347E+000	-1.657398753830775E+000	-2.631303524639703E+001	
1.092000000000000E+009	-2.728832041042022E+000	-1.469161770127964E+000	-2.739680307275172E+001	
1.104000000000000E+009	-2.581012671996208E+000	-1.349555061026532E+000	-2.811448926208501E+001	
1.116000000000000E+009	-2.417574300322240E+000	-1.242171167365843E+000	-2.899464444364999E+001	
1.128000000000000E+009	-2.269966751937337E+000	-1.160818514043760E+000	-2.951337083849987E+001	
1.140000000000000E+009	-2.206711311999408E+000	-1.106996051396840E+000	-2.990965458947629E+001	
1.152000000000000E+009	-2.114719939598799E+000	-1.056960193308558E+000	-3.026681753110441E+001	
1.164000000000000E+009	-1.980124266459624E+000	-1.056778355427694E+000	-3.041446226081056E+001	
1.176000000000000E+009	-1.876430763490311E+000	-9.857072549334359E-001	-3.029047949678458E+001	
1.188000000000000E+009	-1.819681232685134E+000	-9.714422693491026E-001	-3.059457960520309E+001	
1.200000000000000E+009	-1.777888134171642E+000	-9.561758497185817E-001	-3.041260687266391E+001	
1.212000000000000E+009	-1.707496188406067E+000	-9.477169205430485E-001	-3.037597527584093E+001	
1.224000000000000E+009	-1.637942225844906E+000	-9.372497035565542E-001	-3.089183748274066E+001	
1.236000000000000E+009	-1.595694386068702E+000	-9.062191574522158E-001	-3.114143514137113E+001	
1.248000000000000E+009	-1.587586781913984E+000	-8.867745893707936E-001	-3.122601335727830E+001	
1.260000000000000E+009	-1.600368739662146E+000	-8.716428283187706E-001	-3.124960962766393E+001	
1.272000000000000E+009	-1.585182350006283E+000	-8.629936009021424E-001	-3.177484085460653E+001	
1.284000000000000E+009	-1.571015726105290E+000	-8.594405801510496E-001	-3.178602105077500E+001	
1.296000000000000E+009	-1.572763166261121E+000	-8.596743968935426E-001	-3.141492420979517E+001	
1.308000000000000E+009	-1.553317931322664E+000	-8.832229084530633E-001	-3.115399529718898E+001	
1.320000000000000E+009	-1.507758287090550E+000	-9.195591615581343E-001	-3.101888453777521E+001	
1.332000000000000E+009	-1.493733215640931E+000	-9.582334429675538E-001	-3.078391447163335E+001	
1.344000000000000E+009	-1.529807277294204E+000	-9.916569033912537E-001	-3.030375242854605E+001	
1.356000000000000E+009	-1.530533413177321E+000	-1.028581184253290E+000	-3.015147832852046E+001	
1.368000000000000E+009	-1.540540877976513E+000	-1.011948060880470E+000	-3.007528656787084E+001	
1.380000000000000E+009	-1.558888259117895E+000	-1.020530184396842E+000	-2.957283530066685E+001	
1.392000000000000E+009	-1.596362694088582E+000	-1.045717106013014E+000	-2.930868596422761E+001	
1.404000000000000E+009	-1.617842072894343E+000	-1.075291920183500E+000	-2.925588754172273E+001	
1.416000000000000E+009	-1.616302643605168E+000	-1.103329262858788E+000	-2.907102056623540E+001	
