# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
6.000000000000000E+008	-5.637205934516452E-001	-2.225091058440905E-001	-5.716841007333721E+001	
6.120000000000000E+008	-5.891987504215792E-001	-2.319401580826534E-001	-5.450608884093070E+001	
6.240000000000000E+008	-6.358934001689065E-001	-2.401791475805601E-001	-5.261481517922483E+001	
6.360000000000000E+008	-6.718739038653318E-001	-2.416178373408731E-001	-5.075449158801595E+001	
6.480000000000000E+008	-7.289430433213070E-001	-2.471018902293821E-001	-4.898155150814659E+001	
6.600000000000000E+008	-8.268024853846187E-001	-2.387264789693665E-001	-4.749896541805047E+001	
6.720000000000000E+008	-9.315200110954114E-001	-2.550924136731791E-001	-4.569558748086705E+001	
6.840000000000000E+008	-1.054684353128408E+000	-2.683357019357793E-001	-4.411872411179789E+001	
6.960000000000000E+008	-1.197060319912824E+000	-2.860039053506316E-001	-4.233596735689712E+001	
7.080000000000000E+008	-1.393123709874043E+000	-3.062817608026377E-001	-4.079079015829538E+001	
7.200000000000000E+008	-1.586805161297024E+000	-3.163312964483612E-001	-3.943977625662208E+001	
7.320000000000000E+008	-1.811127606690507E+000	-3.301079759232210E-001	-3.788712151031474E+001	
7.440000000000000E+008	-2.129253045690920E+000	-3.437979598856025E-001	-3.643805963270577E+001	
7.560000000000000E+008	-2.563416865651046E+000	-3.660341322362137E-001	-3.443483916289947E+001	
7.680000000000000E+008	-3.067462497841931E+000	-3.672280525129016E-001	-3.279636720471823E+001	
7.800000000000000E+008	-3.772430482373796E+000	-4.439794555877467E-001	-3.132605171845346E+001	
7.920000000000000E+008	-4.578592578028673E+000	-4.398814476689931E-001	-2.993634368623929E+001	
8.040000000000000E+008	-5.548200961533252E+000	-5.015128436503917E-001	-2.865503936347378E+001	
8.160000000000000E+008	-6.738355147317748E+000	-5.527846850548251E-001	-2.721940867577857E+001	
8.280000000000000E+008	-7.558987901031283E+000	-6.028537046598873E-001	-2.589001231331335E+001	
8.400000000000000E+008	-8.877192758089210E+000	-6.852408602590462E-001	-2.497087150089979E+001	
8.520000000000000E+008	-9.785169535558662E+000	-7.928066090247009E-001	-2.377492228732264E+001	
8.640000000000000E+008	-1.069990237039335E+001	-9.469246196221667E-001	-2.265126725898389E+001	
8.760000000000000E+008	-1.103559212786701E+001	-1.154319501980069E+000	-2.140703486908995E+001	
8.880000000000000E+008	-1.039197947247574E+001	-1.422789598480437E+000	-2.020641395474681E+001	
9.000000000000000E+008	-1.031060090934863E+001	-1.822273022592567E+000	-1.927081499896899E+001	
9.120000000000000E+008	-1.003435788292068E+001	-2.313214596984255E+000	-1.809977773872128E+001	
9.240000000000000E+008	-9.863395709649844E+000	-3.102582355652116E+000	-1.686215028094479E+001	
9.360000000000000E+008	-9.247026695724744E+000	-4.343296829750309E+000	-1.590084407777286E+001	
9.480000000000000E+008	-8.157258680721244E+000	-6.495999457067645E+000	-1.545107435249732E+001	
9.600000000000000E+008	-6.881068881976320E+000	-9.929385856674863E+000	-1.564677876288084E+001	
9.720000000000000E+008	-5.914422804416256E+000	-1.744393909077251E+001	-1.588772456714819E+001	
9.840000000000000E+008	-5.120932932457662E+000	-1.717796904375122E+001	-1.649598252620817E+001	
9.960000000000000E+008	-4.652186541501940E+000	-1.019228575611822E+001	-1.726641049786339E+001	
1.008000000000000E+009	-4.321711821513376E+000	-6.811492526620266E+000	-1.839173325168512E+001	
1.020000000000000E+009	-4.135713222633247E+000	-4.866136500462008E+000	-1.917632605986167E+001	
1.032000000000000E+009	-3.892500061943664E+000	-3.723053954041245E+000	-2.038855816159886E+001	
1.044000000000000E+009	-3.653826353330536E+000	-2.908593407642632E+000	-2.155010582006793E+001	
1.056000000000000E+009	-3.467784757161468E+000	-2.334645365484438E+000	-2.288751697137940E+001	
1.068000000000000E+009	-3.260941076570420E+000	-1.997243042247807E+000	-2.405495249458652E+001	
1.080000000000000E+009	-3.067636395211344E+000	-1.738528265104166E+000	-2.512768288518850E+001	
1.092000000000000E+009	-2.917770844917964E+000	-1.544468400587086E+000	-2.629596487625986E+001	
1.104000000000000E+009	-2.737441820308076E+000	-1.396148769392043E+000	-2.727386446685312E+001	
1.116000000000000E+009	-2.508671741278671E+000	-1.287889748470143E+000	-2.836055740337492E+001	
1.128000000000000E+009	-2.310346407663933E+000	-1.206015713522457E+000	-2.924002040105606E+001	
1.140000000000000E+009	-2.228180198540067E+000	-1.148382849600160E+000	-2.952281788901437E+001	
1.152000000000000E+009	-2.110999269602942E+000	-1.096404639457391E+000	-3.023591116376297E+001	
1.164000000000000E+009	-2.017946847768999E+000	-1.072742123179997E+000	-3.042827309979640E+001	
1.176000000000000E+009	-1.958323028081097E+000	-9.899906620822042E-001	-3.063832750958537E+001	
1.188000000000000E+009	-1.914948385043237E+000	-9.622898392419204E-001	-3.069048346250016E+001	
1.200000000000000E+009	-1.846258754644947E+000	-9.646889687816026E-001	-3.016293702817222E+001	
1.212000000000000E+009	-1.768154160176541E+000	-9.437699128615579E-001	-3.019297157866834E+001	
1.224000000000000E+009	-1.697322233400643E+000	-9.248300378598755E-001	-3.041857433063208E+001	
1.236000000000000E+009	-1.648131004878910E+000	-8.922279370369503E-001	-3.040538883439958E+001	
1.248000000000000E+009	-1.639230768346412E+000	-8.823150786291791E-001	-3.058183621447431E+001	
