# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S22[dB]	Trc3_S21[dB]	
6.000000000000000E+008	-5.647467027510257E-001	-2.200808378858496E-001	-5.690343425940975E+001	
6.120000000000000E+008	-5.875242810722945E-001	-2.302256060784566E-001	-5.481837637351892E+001	
6.240000000000000E+008	-6.386279821613083E-001	-2.412264592565428E-001	-5.290691222023882E+001	
6.360000000000000E+008	-6.762328876785128E-001	-2.421832716984329E-001	-5.100368799917499E+001	
6.480000000000000E+008	-7.357080290840427E-001	-2.472350418311443E-001	-4.932130559065323E+001	
6.600000000000000E+008	-8.242565381962472E-001	-2.377612268521188E-001	-4.825479048051005E+001	
6.720000000000000E+008	-9.120203830628529E-001	-2.546584339474182E-001	-4.638380706894497E+001	
6.840000000000000E+008	-1.017587694609620E+000	-2.681632109787544E-001	-4.491147821826233E+001	
6.960000000000000E+008	-1.168311190162466E+000	-2.836142368431862E-001	-4.296166093620102E+001	
7.080000000000000E+008	-1.378940453549774E+000	-3.054846481063157E-001	-4.108562906293737E+001	
7.200000000000000E+008	-1.583887573509752E+000	-3.153490590007334E-001	-3.986795008506947E+001	
7.320000000000000E+008	-1.823042431954742E+000	-3.295145444618661E-001	-3.810109115869881E+001	
7.440000000000000E+008	-2.174691696510055E+000	-3.463776062813971E-001	-3.624738622791795E+001	
7.560000000000000E+008	-2.592449299414342E+000	-3.740638995664275E-001	-3.420495529447052E+001	
7.680000000000000E+008	-3.154639769566683E+000	-3.760169167707850E-001	-3.181830961311743E+001	
7.800000000000000E+008	-3.758185933250207E+000	-4.559356124705036E-001	-3.054734959148348E+001	
7.920000000000000E+008	-4.524824305969121E+000	-4.485373775719425E-001	-2.933181161630749E+001	
8.040000000000000E+008	-5.640760881546673E+000	-5.105772163494837E-001	-2.784811391949645E+001	
8.160000000000000E+008	-6.652890514327684E+000	-5.554918195126215E-001	-2.686827192914527E+001	
8.280000000000000E+008	-7.234750674171597E+000	-5.962272743574274E-001	-2.589830616358637E+001	
8.400000000000000E+008	-8.543061277293583E+000	-6.656845025896543E-001	-2.583501354753562E+001	
8.520000000000000E+008	-9.984913621917341E+000	-7.680280979106940E-001	-2.429519961316493E+001	
8.640000000000000E+008	-1.118967220835052E+001	-9.128035184519914E-001	-2.318311841846538E+001	
