# Version 1.00
#
freq[Hz]	Trc1_S21[dB]	Ch1_SG_S11_S11[dB]	Ch1_SG_S12_S12[dB]	Ch1_SG_S21_S21[dB]	Ch1_SG_S22_S22[dB]	RX_S22[dB]	TX_S11[dB]	ISO_S21[dB]	
6.000000000000000E+008	-5.077178669685123E+001	-7.176132368999064E-001	-5.104742298828334E+001	-5.077178669685123E+001	-2.419569608161510E-001	-2.419569608161510E-001	-7.176132368999064E-001	-5.077178669685123E+001	
6.120000000000000E+008	-4.943528780832576E+001	-8.276303524948695E-001	-4.943622364578287E+001	-4.943528780832576E+001	-2.675251000689540E-001	-2.675251000689540E-001	-8.276303524948695E-001	-4.943528780832576E+001	
6.240000000000000E+008	-4.649843441330555E+001	-9.904337869297252E-001	-4.633123792269252E+001	-4.649843441330555E+001	-2.842241679978463E-001	-2.842241679978463E-001	-9.904337869297252E-001	-4.649843441330555E+001	
6.360000000000000E+008	-4.018933962192010E+001	-1.168290970091680E+000	-4.024901369307745E+001	-4.018933962192010E+001	-3.062718764587887E-001	-3.062718764587887E-001	-1.168290970091680E+000	-4.018933962192010E+001	
6.480000000000000E+008	-3.683835906108514E+001	-1.324502351186147E+000	-3.687435038583858E+001	-3.683835906108514E+001	-3.310624038922507E-001	-3.310624038922507E-001	-1.324502351186147E+000	-3.683835906108514E+001	
6.600000000000000E+008	-3.473600753461674E+001	-1.726391294905820E+000	-3.481858738175873E+001	-3.473600753461674E+001	-3.557380075664379E-001	-3.557380075664379E-001	-1.726391294905820E+000	-3.473600753461674E+001	
6.720000000000000E+008	-3.251377190679344E+001	-2.496024401047390E+000	-3.258778253326965E+001	-3.251377190679344E+001	-3.946945263369680E-001	-3.946945263369680E-001	-2.496024401047390E+000	-3.251377190679344E+001	
6.840000000000000E+008	-3.071549702273125E+001	-4.020024313831117E+000	-3.075579509109869E+001	-3.071549702273125E+001	-4.496148334368585E-001	-4.496148334368585E-001	-4.020024313831117E+000	-3.071549702273125E+001	
6.960000000000000E+008	-2.914955579675602E+001	-6.663145532629876E+000	-2.917532130253813E+001	-2.914955579675602E+001	-5.008501928449615E-001	-5.008501928449615E-001	-6.663145532629876E+000	-2.914955579675602E+001	
7.080000000000000E+008	-2.865954985758443E+001	-1.042044696142525E+001	-2.867014892247885E+001	-2.865954985758443E+001	-5.905370941509988E-001	-5.905370941509988E-001	-1.042044696142525E+001	-2.865954985758443E+001	
7.200000000000000E+008	-2.759246301943956E+001	-1.022282113745500E+001	-2.761064770408403E+001	-2.759246301943956E+001	-7.333263272520605E-001	-7.333263272520605E-001	-1.022282113745500E+001	-2.759246301943956E+001	
7.320000000000000E+008	-2.252334710943551E+001	-9.174433706923550E+000	-2.253767327636127E+001	-2.252334710943551E+001	-1.009676914858295E+000	-1.009676914858295E+000	-9.174433706923550E+000	-2.252334710943551E+001	
7.440000000000000E+008	-2.028892800996497E+001	-7.084795536040713E+000	-2.031472908032253E+001	-2.028892800996497E+001	-1.112276100284217E+000	-1.112276100284217E+000	-7.084795536040713E+000	-2.028892800996497E+001	
7.560000000000000E+008	-1.984217797899462E+001	-4.737376087063532E+000	-1.987353225214016E+001	-1.984217797899462E+001	-1.265011113538539E+000	-1.265011113538539E+000	-4.737376087063532E+000	-1.984217797899462E+001	
7.680000000000000E+008	-1.955602451807949E+001	-3.601616658260171E+000	-1.957018791177105E+001	-1.955602451807949E+001	-1.562632236820730E+000	-1.562632236820730E+000	-3.601616658260171E+000	-1.955602451807949E+001	
