# Version 1.00
#
freq[Hz]	Trc1_S21[dB]	Ch1_SG_S11_S11[dB]	Ch1_SG_S12_S12[dB]	Ch1_SG_S21_S21[dB]	Ch1_SG_S22_S22[dB]	RX_S22[dB]	TX_S11[dB]	ISO_S21[dB]	
6.000000000000000E+008	-5.586297046142957E+001	-4.631724496583424E-001	-5.590087297552132E+001	-5.586297046142957E+001	-2.224821539694414E-001	-2.224821539694414E-001	-4.631724496583424E-001	-5.586297046142957E+001	
6.120000000000000E+008	-5.441524884038574E+001	-4.812383204410107E-001	-5.439650859271828E+001	-5.441524884038574E+001	-2.421547008516860E-001	-2.421547008516860E-001	-4.812383204410107E-001	-5.441524884038574E+001	
6.240000000000000E+008	-5.334337785605342E+001	-4.942373174714423E-001	-5.276908659195556E+001	-5.334337785605342E+001	-2.498186989276618E-001	-2.498186989276618E-001	-4.942373174714423E-001	-5.334337785605342E+001	
6.360000000000000E+008	-5.111104418639612E+001	-5.227012422420659E-001	-5.128495657683649E+001	-5.111104418639612E+001	-2.448182304879851E-001	-2.448182304879851E-001	-5.227012422420659E-001	-5.111104418639612E+001	
6.480000000000000E+008	-4.979593272197847E+001	-5.719970982093017E-001	-4.979285471478682E+001	-4.979593272197847E+001	-2.683106927015301E-001	-2.683106927015301E-001	-5.719970982093017E-001	-4.979593272197847E+001	
6.600000000000000E+008	-4.841540344267068E+001	-6.024023295881323E-001	-4.844127334000915E+001	-4.841540344267068E+001	-2.792459404927168E-001	-2.792459404927168E-001	-6.024023295881323E-001	-4.841540344267068E+001	
6.720000000000000E+008	-4.668100685686198E+001	-6.583985365702429E-001	-4.671974253109912E+001	-4.668100685686198E+001	-2.993108376273470E-001	-2.993108376273470E-001	-6.583985365702429E-001	-4.668100685686198E+001	
6.840000000000000E+008	-4.507010491409972E+001	-7.236963345122652E-001	-4.502503877994677E+001	-4.507010491409972E+001	-3.104630687365753E-001	-3.104630687365753E-001	-7.236963345122652E-001	-4.507010491409972E+001	
6.960000000000000E+008	-4.345431441209717E+001	-7.939192167772379E-001	-4.347565684544357E+001	-4.345431441209717E+001	-3.202365356999782E-001	-3.202365356999782E-001	-7.939192167772379E-001	-4.345431441209717E+001	
7.080000000000000E+008	-4.161270008206454E+001	-9.023291281321452E-001	-4.167674398858375E+001	-4.161270008206454E+001	-3.489313587322771E-001	-3.489313587322771E-001	-9.023291281321452E-001	-4.161270008206454E+001	
7.200000000000000E+008	-4.003560888811986E+001	-1.013759452500563E+000	-4.006205330664920E+001	-4.003560888811986E+001	-3.559893166176969E-001	-3.559893166176969E-001	-1.013759452500563E+000	-4.003560888811986E+001	
7.320000000000000E+008	-3.822909357501045E+001	-1.158967459833425E+000	-3.821641908389443E+001	-3.822909357501045E+001	-3.776102842913029E-001	-3.776102842913029E-001	-1.158967459833425E+000	-3.822909357501045E+001	
7.440000000000000E+008	-3.613131360897152E+001	-1.373421792378302E+000	-3.615816296258925E+001	-3.613131360897152E+001	-4.122626590613586E-001	-4.122626590613586E-001	-1.373421792378302E+000	-3.613131360897152E+001	
7.560000000000000E+008	-3.378499774587057E+001	-1.673962050231956E+000	-3.378874232373846E+001	-3.378499774587057E+001	-4.379285120341268E-001	-4.379285120341268E-001	-1.673962050231956E+000	-3.378499774587057E+001	
7.680000000000000E+008	-3.175368683421138E+001	-2.035413261878092E+000	-3.174741665749038E+001	-3.175368683421138E+001	-4.750163518761865E-001	-4.750163518761865E-001	-2.035413261878092E+000	-3.175368683421138E+001	
7.800000000000000E+008	-2.939745384991873E+001	-2.630067076146734E+000	-2.943860517082755E+001	-2.939745384991873E+001	-5.377776555822481E-001	-5.377776555822481E-001	-2.630067076146734E+000	-2.939745384991873E+001	
7.920000000000000E+008	-2.774842959442911E+001	-3.260040507796993E+000	-2.774318055699695E+001	-2.774842959442911E+001	-5.907300190227438E-001	-5.907300190227438E-001	-3.260040507796993E+000	-2.774842959442911E+001	
8.040000000000000E+008	-2.663576836459756E+001	-3.797104271935518E+000	-2.666098422022785E+001	-2.663576836459756E+001	-6.611199337612445E-001	-6.611199337612445E-001	-3.797104271935518E+000	-2.663576836459756E+001	
8.160000000000000E+008	-2.595910600959817E+001	-4.219873134798121E+000	-2.597031119729004E+001	-2.595910600959817E+001	-7.305067873626714E-001	-7.305067873626714E-001	-4.219873134798121E+000	-2.595910600959817E+001	
8.280000000000000E+008	-2.514105749575213E+001	-4.731907007580781E+000	-2.514856543727386E+001	-2.514105749575213E+001	-8.129490359900923E-001	-8.129490359900923E-001	-4.731907007580781E+000	-2.514105749575213E+001	
8.400000000000000E+008	-2.435227403500874E+001	-5.442352795040849E+000	-2.437311573822917E+001	-2.435227403500874E+001	-9.416873302899935E-001	-9.416873302899935E-001	-5.442352795040849E+000	-2.435227403500874E+001	
8.520000000000000E+008	-2.324715827005895E+001	-6.565056344259142E+000	-2.325719940172604E+001	-2.324715827005895E+001	-1.088246746317681E+000	-1.088246746317681E+000	-6.565056344259142E+000	-2.324715827005895E+001	
8.640000000000000E+008	-2.181406129759893E+001	-7.880501703354224E+000	-2.183101098096577E+001	-2.181406129759893E+001	-1.289349197962297E+000	-1.289349197962297E+000	-7.880501703354224E+000	-2.181406129759893E+001	
8.760000000000000E+008	-2.048452432016535E+001	-8.687887329561756E+000	-2.049932668313909E+001	-2.048452432016535E+001	-1.562464063775773E+000	-1.562464063775773E+000	-8.687887329561756E+000	-2.048452432016535E+001	
8.880000000000000E+008	-1.937370833770504E+001	-9.547614981412744E+000	-1.939506278957229E+001	-1.937370833770504E+001	-1.894423948507617E+000	-1.894423948507617E+000	-9.547614981412744E+000	-1.937370833770504E+001	
9.000000000000000E+008	-1.827307004076909E+001	-9.790304872724894E+000	-1.832502667441612E+001	-1.827307004076909E+001	-2.399280996059078E+000	-2.399280996059078E+000	-9.790304872724894E+000	-1.827307004076909E+001	
9.120000000000000E+008	-1.735891526954320E+001	-9.986492278268480E+000	-1.738199409183766E+001	-1.735891526954320E+001	-3.135405368605650E+000	-3.135405368605650E+000	-9.986492278268480E+000	-1.735891526954320E+001	
9.240000000000000E+008	-1.623096010790957E+001	-9.693606750488696E+000	-1.624019067913563E+001	-1.623096010790957E+001	-4.329793089520885E+000	-4.329793089520885E+000	-9.693606750488696E+000	-1.623096010790957E+001	
9.360000000000000E+008	-1.535020652045862E+001	-9.147866574134239E+000	-1.536309704598907E+001	-1.535020652045862E+001	-6.280249870967891E+000	-6.280249870967891E+000	-9.147866574134239E+000	-1.535020652045862E+001	
9.480000000000000E+008	-1.478061570990941E+001	-8.230877234415331E+000	-1.478903091634800E+001	-1.478061570990941E+001	-9.291360496263319E+000	-9.291360496263319E+000	-8.230877234415331E+000	-1.478061570990941E+001	
9.600000000000000E+008	-1.439707617225550E+001	-7.495913121013213E+000	-1.440795842466878E+001	-1.439707617225550E+001	-1.362224113558290E+001	-1.362224113558290E+001	-7.495913121013213E+000	-1.439707617225550E+001	
9.720000000000000E+008	-1.441842241726252E+001	-6.555122756566144E+000	-1.442665429872717E+001	-1.441842241726252E+001	-1.409843338353021E+001	-1.409843338353021E+001	-6.555122756566144E+000	-1.441842241726252E+001	
9.840000000000000E+008	-1.484884310963699E+001	-5.716717906735860E+000	-1.485327075846374E+001	-1.484884310963699E+001	-1.047395679104510E+001	-1.047395679104510E+001	-5.716717906735860E+000	-1.484884310963699E+001	
9.960000000000000E+008	-1.539983812864611E+001	-5.095230703223593E+000	-1.540757130710428E+001	-1.539983812864611E+001	-7.421630265862357E+000	-7.421630265862357E+000	-5.095230703223593E+000	-1.539983812864611E+001	
1.008000000000000E+009	-1.617142383892456E+001	-4.747434649771358E+000	-1.618303988236609E+001	-1.617142383892456E+001	-5.699167969042353E+000	-5.699167969042353E+000	-4.747434649771358E+000	-1.617142383892456E+001	
1.020000000000000E+009	-1.750228388318840E+001	-4.339397725565497E+000	-1.750508085889022E+001	-1.750228388318840E+001	-4.406539910426202E+000	-4.406539910426202E+000	-4.339397725565497E+000	-1.750228388318840E+001	
