# Version 1.00
#
freq[Hz]	Trc1_S21[dB]	Ch1_SG_S11_S11[dB]	Ch1_SG_S12_S12[dB]	Ch1_SG_S21_S21[dB]	Ch1_SG_S22_S22[dB]	RX_S22[dB]	TX_S11[dB]	ISO_S21[dB]	
6.000000000000000E+008	-5.348335480035478E+001	-1.263438297438117E+000	-5.351652626222681E+001	-5.348335480035478E+001	-2.795672583680720E-001	-2.795672583680720E-001	-1.263438297438117E+000	-5.348335480035478E+001	
6.120000000000000E+008	-5.172767602963504E+001	-1.360305587798733E+000	-5.163089723264579E+001	-5.172767602963504E+001	-2.908310402429606E-001	-2.908310402429606E-001	-1.360305587798733E+000	-5.172767602963504E+001	
6.240000000000000E+008	-4.997749380512349E+001	-1.465077560508832E+000	-4.998735591696948E+001	-4.997749380512349E+001	-2.877251257282406E-001	-2.877251257282406E-001	-1.465077560508832E+000	-4.997749380512349E+001	
6.360000000000000E+008	-4.825556805865067E+001	-1.613145364012480E+000	-4.824026661266897E+001	-4.825556805865067E+001	-2.935261459946670E-001	-2.935261459946670E-001	-1.613145364012480E+000	-4.825556805865067E+001	
6.480000000000000E+008	-4.666459826888013E+001	-1.744827697351590E+000	-4.695552998923791E+001	-4.666459826888013E+001	-3.031791987205795E-001	-3.031791987205795E-001	-1.744827697351590E+000	-4.666459826888013E+001	
6.600000000000000E+008	-4.556864573535280E+001	-1.926496903035178E+000	-4.552621178969027E+001	-4.556864573535280E+001	-3.228726886120001E-001	-3.228726886120001E-001	-1.926496903035178E+000	-4.556864573535280E+001	
6.720000000000000E+008	-4.423069017278946E+001	-2.096096259154526E+000	-4.419706034056309E+001	-4.423069017278946E+001	-3.353236473029596E-001	-3.353236473029596E-001	-2.096096259154526E+000	-4.423069017278946E+001	
6.840000000000000E+008	-4.307286626729129E+001	-2.299793744110688E+000	-4.309947005222884E+001	-4.307286626729129E+001	-3.502049581636857E-001	-3.502049581636857E-001	-2.299793744110688E+000	-4.307286626729129E+001	
6.960000000000000E+008	-4.135517765364386E+001	-2.542335819428443E+000	-4.139337057271970E+001	-4.135517765364386E+001	-3.678672829957692E-001	-3.678672829957692E-001	-2.542335819428443E+000	-4.135517765364386E+001	
7.080000000000000E+008	-4.032894617104398E+001	-2.826112063617105E+000	-4.036271397366216E+001	-4.032894617104398E+001	-3.865983362559572E-001	-3.865983362559572E-001	-2.826112063617105E+000	-4.032894617104398E+001	
7.200000000000000E+008	-3.894157279704608E+001	-3.088654266495237E+000	-3.892215916371929E+001	-3.894157279704608E+001	-4.090587276755615E-001	-4.090587276755615E-001	-3.088654266495237E+000	-3.894157279704608E+001	
7.320000000000000E+008	-3.774820899362881E+001	-3.341493828739770E+000	-3.769110480187037E+001	-3.774820899362881E+001	-4.266326188065552E-001	-4.266326188065552E-001	-3.341493828739770E+000	-3.774820899362881E+001	
7.440000000000000E+008	-3.590374814351748E+001	-3.640631326617994E+000	-3.587958504058853E+001	-3.590374814351748E+001	-4.539472567765603E-001	-4.539472567765603E-001	-3.640631326617994E+000	-3.590374814351748E+001	
7.560000000000000E+008	-3.400758454989244E+001	-3.987221314582889E+000	-3.403413264066970E+001	-3.400758454989244E+001	-4.962977393655434E-001	-4.962977393655434E-001	-3.987221314582889E+000	-3.400758454989244E+001	
7.680000000000000E+008	-3.236870191358914E+001	-4.380539661837208E+000	-3.233954062474874E+001	-3.236870191358914E+001	-5.170483209667651E-001	-5.170483209667651E-001	-4.380539661837208E+000	-3.236870191358914E+001	
7.800000000000000E+008	-3.135179339552565E+001	-4.758363253807736E+000	-3.138264639035232E+001	-3.135179339552565E+001	-5.765675449492527E-001	-5.765675449492527E-001	-4.758363253807736E+000	-3.135179339552565E+001	
7.920000000000000E+008	-3.093839983460337E+001	-5.103748171246237E+000	-3.092400246699996E+001	-3.093839983460337E+001	-5.926978219038941E-001	-5.926978219038941E-001	-5.103748171246237E+000	-3.093839983460337E+001	
8.040000000000000E+008	-3.041201467236481E+001	-5.566440375979018E+000	-3.042639466190177E+001	-3.041201467236481E+001	-6.316855503802306E-001	-6.316855503802306E-001	-5.566440375979018E+000	-3.041201467236481E+001	
8.160000000000000E+008	-2.984541172391752E+001	-6.018934804261615E+000	-2.988687433275811E+001	-2.984541172391752E+001	-6.853213957199996E-001	-6.853213957199996E-001	-6.018934804261615E+000	-2.984541172391752E+001	
8.280000000000000E+008	-2.910517006566402E+001	-6.319693022038371E+000	-2.909773026838615E+001	-2.910517006566402E+001	-7.429782229697978E-001	-7.429782229697978E-001	-6.319693022038371E+000	-2.910517006566402E+001	
8.400000000000000E+008	-2.892432710732581E+001	-6.641329124452428E+000	-2.892662568211842E+001	-2.892432710732581E+001	-8.318294244117298E-001	-8.318294244117298E-001	-6.641329124452428E+000	-2.892432710732581E+001	
8.520000000000000E+008	-2.767484605051250E+001	-7.103562331230219E+000	-2.768073138785334E+001	-2.767484605051250E+001	-9.401474792328501E-001	-9.401474792328501E-001	-7.103562331230219E+000	-2.767484605051250E+001	
8.640000000000000E+008	-2.636674457190257E+001	-7.593004400579551E+000	-2.637914366577019E+001	-2.636674457190257E+001	-1.069550980523243E+000	-1.069550980523243E+000	-7.593004400579551E+000	-2.636674457190257E+001	
8.760000000000000E+008	-2.498159665876550E+001	-8.044281134695813E+000	-2.497206998331253E+001	-2.498159665876550E+001	-1.202696715063960E+000	-1.202696715063960E+000	-8.044281134695813E+000	-2.498159665876550E+001	
8.880000000000000E+008	-2.389830176594048E+001	-8.568320140548392E+000	-2.388240614371702E+001	-2.389830176594048E+001	-1.347464005972155E+000	-1.347464005972155E+000	-8.568320140548392E+000	-2.389830176594048E+001	
9.000000000000000E+008	-2.330980095600210E+001	-9.093931474157811E+000	-2.333408401828625E+001	-2.330980095600210E+001	-1.505524988597042E+000	-1.505524988597042E+000	-9.093931474157811E+000	-2.330980095600210E+001	
9.120000000000000E+008	-2.243333070772145E+001	-9.527350195012843E+000	-2.244696851954441E+001	-2.243333070772145E+001	-1.747257170347087E+000	-1.747257170347087E+000	-9.527350195012843E+000	-2.243333070772145E+001	
9.240000000000000E+008	-2.162241605092470E+001	-9.716937325931109E+000	-2.164768047880887E+001	-2.162241605092470E+001	-2.029093361701130E+000	-2.029093361701130E+000	-9.716937325931109E+000	-2.162241605092470E+001	
9.360000000000000E+008	-2.071678981619254E+001	-9.705556537712656E+000	-2.074299420156895E+001	-2.071678981619254E+001	-2.407435101728633E+000	-2.407435101728633E+000	-9.705556537712656E+000	-2.071678981619254E+001	
9.480000000000000E+008	-2.008881873351874E+001	-9.726277800714463E+000	-2.010042217474544E+001	-2.008881873351874E+001	-2.943779080162210E+000	-2.943779080162210E+000	-9.726277800714463E+000	-2.008881873351874E+001	
9.600000000000000E+008	-1.975722047758758E+001	-9.682656885353159E+000	-1.976723668349185E+001	-1.975722047758758E+001	-3.582002895721148E+000	-3.582002895721148E+000	-9.682656885353159E+000	-1.975722047758758E+001	
9.720000000000000E+008	-1.919632347797961E+001	-9.747752551899364E+000	-1.920482184603837E+001	-1.919632347797961E+001	-4.539513470974151E+000	-4.539513470974151E+000	-9.747752551899364E+000	-1.919632347797961E+001	
9.840000000000000E+008	-1.888905755335097E+001	-9.713622474880252E+000	-1.888637331703540E+001	-1.888905755335097E+001	-5.877683512140259E+000	-5.877683512140259E+000	-9.713622474880252E+000	-1.888905755335097E+001	
9.960000000000000E+008	-1.798078028251455E+001	-9.635840028911677E+000	-1.798174774353191E+001	-1.798078028251455E+001	-7.708719963615043E+000	-7.708719963615043E+000	-9.635840028911677E+000	-1.798078028251455E+001	
1.008000000000000E+009	-1.711679168240817E+001	-9.303453813445422E+000	-1.712471275201647E+001	-1.711679168240817E+001	-1.020051714442208E+001	-1.020051714442208E+001	-9.303453813445422E+000	-1.711679168240817E+001	
1.020000000000000E+009	-1.652931884076832E+001	-8.677674207270917E+000	-1.653644834505769E+001	-1.652931884076832E+001	-1.315665942586286E+001	-1.315665942586286E+001	-8.677674207270917E+000	-1.652931884076832E+001	
1.032000000000000E+009	-1.630746352187739E+001	-8.167472568683712E+000	-1.631456279440070E+001	-1.630746352187739E+001	-1.528100662776743E+001	-1.528100662776743E+001	-8.167472568683712E+000	-1.630746352187739E+001	
1.044000000000000E+009	-1.630244523078409E+001	-7.860504532397492E+000	-1.632067167791069E+001	-1.630244523078409E+001	-1.493975741563530E+001	-1.493975741563530E+001	-7.860504532397492E+000	-1.630244523078409E+001	
1.056000000000000E+009	-1.661436285938856E+001	-7.490537660232748E+000	-1.662289621755393E+001	-1.661436285938856E+001	-1.252222444468508E+001	-1.252222444468508E+001	-7.490537660232748E+000	-1.661436285938856E+001	
1.068000000000000E+009	-1.704026580644122E+001	-6.989647148411722E+000	-1.703264901889465E+001	-1.704026580644122E+001	-1.020562394464567E+001	-1.020562394464567E+001	-6.989647148411722E+000	-1.704026580644122E+001	
1.080000000000000E+009	-1.778917266944311E+001	-6.597015174777446E+000	-1.779316694778107E+001	-1.778917266944311E+001	-8.212385571329167E+000	-8.212385571329167E+000	-6.597015174777446E+000	-1.778917266944311E+001	
1.092000000000000E+009	-1.837184728107149E+001	-6.234587842577822E+000	-1.839779997100127E+001	-1.837184728107149E+001	-6.780270389830625E+000	-6.780270389830625E+000	-6.234587842577822E+000	-1.837184728107149E+001	
1.104000000000000E+009	-1.934865876688105E+001	-5.898193699746498E+000	-1.937188059400473E+001	-1.934865876688105E+001	-5.813035825602217E+000	-5.813035825602217E+000	-5.898193699746498E+000	-1.934865876688105E+001	
1.116000000000000E+009	-2.052936398479628E+001	-5.458284770607108E+000	-2.052732810013360E+001	-2.052936398479628E+001	-4.999626039299090E+000	-4.999626039299090E+000	-5.458284770607108E+000	-2.052936398479628E+001	
1.128000000000000E+009	-2.172852411340394E+001	-4.975113784957960E+000	-2.167551150966672E+001	-2.172852411340394E+001	-4.283873683053078E+000	-4.283873683053078E+000	-4.975113784957960E+000	-2.172852411340394E+001	
1.140000000000000E+009	-2.247754308824619E+001	-4.617246587544842E+000	-2.244734754652544E+001	-2.247754308824619E+001	-3.744327858942510E+000	-3.744327858942510E+000	-4.617246587544842E+000	-2.247754308824619E+001	
1.152000000000000E+009	-2.269367986457823E+001	-4.279069994105004E+000	-2.272961432156128E+001	-2.269367986457823E+001	-3.342606777161266E+000	-3.342606777161266E+000	-4.279069994105004E+000	-2.269367986457823E+001	
1.164000000000000E+009	-2.284945175379284E+001	-3.988903658075288E+000	-2.288137913954887E+001	-2.284945175379284E+001	-3.057594339676641E+000	-3.057594339676641E+000	-3.988903658075288E+000	-2.284945175379284E+001	
1.176000000000000E+009	-2.303443468977535E+001	-3.770833858212349E+000	-2.302908324108369E+001	-2.303443468977535E+001	-2.789337169503085E+000	-2.789337169503085E+000	-3.770833858212349E+000	-2.303443468977535E+001	
1.188000000000000E+009	-2.359411991575738E+001	-3.582340907759857E+000	-2.359689451990728E+001	-2.359411991575738E+001	-2.583963758931576E+000	-2.583963758931576E+000	-3.582340907759857E+000	-2.359411991575738E+001	
1.200000000000000E+009	-2.408686108863107E+001	-3.425843759736578E+000	-2.409801931691074E+001	-2.408686108863107E+001	-2.428298639865885E+000	-2.428298639865885E+000	-3.425843759736578E+000	-2.408686108863107E+001	
1.212000000000000E+009	-2.453958941624460E+001	-3.293919379063722E+000	-2.454522125116998E+001	-2.453958941624460E+001	-2.295242613254535E+000	-2.295242613254535E+000	-3.293919379063722E+000	-2.453958941624460E+001	
1.224000000000000E+009	-2.489542838008227E+001	-3.148105367859591E+000	-2.490040605121390E+001	-2.489542838008227E+001	-2.220343785361199E+000	-2.220343785361199E+000	-3.148105367859591E+000	-2.489542838008227E+001	
1.236000000000000E+009	-2.557031524991718E+001	-3.053545036138590E+000	-2.555905536513614E+001	-2.557031524991718E+001	-2.123321221641204E+000	-2.123321221641204E+000	-3.053545036138590E+000	-2.557031524991718E+001	
1.248000000000000E+009	-2.570888655903330E+001	-2.958582534163463E+000	-2.570830132482556E+001	-2.570888655903330E+001	-2.045759929653706E+000	-2.045759929653706E+000	-2.958582534163463E+000	-2.570888655903330E+001	
1.260000000000000E+009	-2.592747504625788E+001	-2.839515630463230E+000	-2.592644963006073E+001	-2.592747504625788E+001	-1.952509208760613E+000	-1.952509208760613E+000	-2.839515630463230E+000	-2.592747504625788E+001	
1.272000000000000E+009	-2.618833148462707E+001	-2.748286335485869E+000	-2.620414907496465E+001	-2.618833148462707E+001	-1.859870572563094E+000	-1.859870572563094E+000	-2.748286335485869E+000	-2.618833148462707E+001	
1.284000000000000E+009	-2.609765808324201E+001	-2.605261776201223E+000	-2.610006755267384E+001	-2.609765808324201E+001	-1.820567370971110E+000	-1.820567370971110E+000	-2.605261776201223E+000	-2.609765808324201E+001	
1.296000000000000E+009	-2.611327389332375E+001	-2.421592177440398E+000	-2.611985010991304E+001	-2.611327389332375E+001	-1.792397482472893E+000	-1.792397482472893E+000	-2.421592177440398E+000	-2.611327389332375E+001	
1.308000000000000E+009	-2.575726190024782E+001	-2.282691015599421E+000	-2.574450162304649E+001	-2.575726190024782E+001	-1.763975150057685E+000	-1.763975150057685E+000	-2.282691015599421E+000	-2.575726190024782E+001	
1.320000000000000E+009	-2.559040794302507E+001	-2.150469714161257E+000	-2.559035655811108E+001	-2.559040794302507E+001	-1.764706832153439E+000	-1.764706832153439E+000	-2.150469714161257E+000	-2.559040794302507E+001	
1.332000000000000E+009	-2.568525181111235E+001	-2.089766657585151E+000	-2.571405758788997E+001	-2.568525181111235E+001	-1.762593160305115E+000	-1.762593160305115E+000	-2.089766657585151E+000	-2.568525181111235E+001	
1.344000000000000E+009	-2.594149719845856E+001	-2.023247141094737E+000	-2.597125691165690E+001	-2.594149719845856E+001	-1.736313094924864E+000	-1.736313094924864E+000	-2.023247141094737E+000	-2.594149719845856E+001	
1.356000000000000E+009	-2.608462268210969E+001	-1.939894164607442E+000	-2.608553626193637E+001	-2.608462268210969E+001	-1.758016562274593E+000	-1.758016562274593E+000	-1.939894164607442E+000	-2.608462268210969E+001	
1.368000000000000E+009	-2.576159666513114E+001	-1.890605856511652E+000	-2.576686728882232E+001	-2.576159666513114E+001	-1.756408171966946E+000	-1.756408171966946E+000	-1.890605856511652E+000	-2.576159666513114E+001	
1.380000000000000E+009	-2.530750690242964E+001	-1.853894324805474E+000	-2.531637203449932E+001	-2.530750690242964E+001	-1.741653377909360E+000	-1.741653377909360E+000	-1.853894324805474E+000	-2.530750690242964E+001	
1.392000000000000E+009	-2.467626548824699E+001	-1.843542747318153E+000	-2.469437720353463E+001	-2.467626548824699E+001	-1.779007772846269E+000	-1.779007772846269E+000	-1.843542747318153E+000	-2.467626548824699E+001	
1.404000000000000E+009	-2.435454865122417E+001	-1.871167608193392E+000	-2.436017222675225E+001	-2.435454865122417E+001	-1.843841535920452E+000	-1.843841535920452E+000	-1.871167608193392E+000	-2.435454865122417E+001	
1.416000000000000E+009	-2.413011900501131E+001	-1.903228332134918E+000	-2.411638676464871E+001	-2.413011900501131E+001	-1.846197803348854E+000	-1.846197803348854E+000	-1.903228332134918E+000	-2.413011900501131E+001	
1.428000000000000E+009	-2.386055771207435E+001	-1.937587306321478E+000	-2.385764103476384E+001	-2.386055771207435E+001	-1.848421502238957E+000	-1.848421502238957E+000	-1.937587306321478E+000	-2.386055771207435E+001	
1.440000000000000E+009	-2.372560117156136E+001	-1.977006270763923E+000	-2.372468256543929E+001	-2.372560117156136E+001	-1.844741356831111E+000	-1.844741356831111E+000	-1.977006270763923E+000	-2.372560117156136E+001	
1.452000000000000E+009	-2.368119707042890E+001	-1.984219384594749E+000	-2.368288660526089E+001	-2.368119707042890E+001	-1.844509213023880E+000	-1.844509213023880E+000	-1.984219384594749E+000	-2.368119707042890E+001	
1.464000000000000E+009	-2.359626400527623E+001	-2.001682847932610E+000	-2.358943330789418E+001	-2.359626400527623E+001	-1.860346518768043E+000	-1.860346518768043E+000	-2.001682847932610E+000	-2.359626400527623E+001	
1.476000000000000E+009	-2.340396646306399E+001	-2.032544590717950E+000	-2.341275953753355E+001	-2.340396646306399E+001	-1.888954667791119E+000	-1.888954667791119E+000	-2.032544590717950E+000	-2.340396646306399E+001	
1.488000000000000E+009	-2.326927754586821E+001	-2.058269550341290E+000	-2.327382279365185E+001	-2.326927754586821E+001	-1.934971942588829E+000	-1.934971942588829E+000	-2.058269550341290E+000	-2.326927754586821E+001	
1.500000000000000E+009	-2.329011080209612E+001	-2.084549750492119E+000	-2.329992129180461E+001	-2.329011080209612E+001	-1.947370382693854E+000	-1.947370382693854E+000	-2.084549750492119E+000	-2.329011080209612E+001	
1.512000000000000E+009	-2.333852950197219E+001	-2.103629970112098E+000	-2.335724142730892E+001	-2.333852950197219E+001	-1.968337981835935E+000	-1.968337981835935E+000	-2.103629970112098E+000	-2.333852950197219E+001	
1.524000000000000E+009	-2.332307773463392E+001	-2.120880418869381E+000	-2.334347225901514E+001	-2.332307773463392E+001	-2.002228902300084E+000	-2.002228902300084E+000	-2.120880418869381E+000	-2.332307773463392E+001	
1.536000000000000E+009	-2.325112328141849E+001	-2.164403937585639E+000	-2.325631024835607E+001	-2.325112328141849E+001	-2.027687594970478E+000	-2.027687594970478E+000	-2.164403937585639E+000	-2.325112328141849E+001	
1.548000000000000E+009	-2.314230340518869E+001	-2.193674094662434E+000	-2.314036417451185E+001	-2.314230340518869E+001	-2.070276867945385E+000	-2.070276867945385E+000	-2.193674094662434E+000	-2.314230340518869E+001	
1.560000000000000E+009	-2.301819543078805E+001	-2.218622155200985E+000	-2.300540010040913E+001	-2.301819543078805E+001	-2.080926099787503E+000	-2.080926099787503E+000	-2.218622155200985E+000	-2.301819543078805E+001	
1.572000000000000E+009	-2.277978732470994E+001	-2.252371589425137E+000	-2.276303324903564E+001	-2.277978732470994E+001	-2.110921160194873E+000	-2.110921160194873E+000	-2.252371589425137E+000	-2.277978732470994E+001	
1.584000000000000E+009	-2.271503250057544E+001	-2.272723142322828E+000	-2.269310862211974E+001	-2.271503250057544E+001	-2.159872101881556E+000	-2.159872101881556E+000	-2.272723142322828E+000	-2.271503250057544E+001	
1.596000000000000E+009	-2.259861630755567E+001	-2.317105775851415E+000	-2.260644185971550E+001	-2.259861630755567E+001	-2.189100299024875E+000	-2.189100299024875E+000	-2.317105775851415E+000	-2.259861630755567E+001	
