        Frequency / GHz                run 403/real
----------------------------------------------------------------------
                    0.69                      0.79717479
                    0.78                      0.51875311
                    0.87                      0.28883469
                    0.96                      0.38908666
                     1.7                    0.0014660413
                     1.8                     0.006327742
                     1.9                     0.012508154
                       2                     0.015263096
                     2.1                     0.016263499
                     2.2                     0.014068231
                     2.3                    0.0064678527
                     2.4                   0.00016653745
                     2.5                   0.00011488023
                     2.6                    0.0001680964
                     2.7                   0.00036076728

        Frequency / GHz                run 417/real
----------------------------------------------------------------------
                    0.69                      0.79716508
                    0.78                      0.51584827
                    0.87                      0.23599752
                    0.96                      0.41262702
                     1.7                    0.0018138916
                     1.8                    0.0064940397
                     1.9                     0.011825845
                       2                     0.013677551
                     2.1                     0.013978564
                     2.2                     0.011881021
                     2.3                    0.0057179118
                     2.4                   0.00019660837
                     2.5                  5.0245104e-005
                     2.6                   0.00033832528
                     2.7                   0.00013667772

        Frequency / GHz                run 418/real
----------------------------------------------------------------------
                    0.69                      0.79714101
                    0.78                      0.51213409
                    0.87                      0.19630715
                    0.96                      0.43241986
                     1.7                    0.0021635813
                     1.8                    0.0066515839
                     1.9                     0.011073705
                       2                     0.011962089
                     2.1                      0.01160665
                     2.2                    0.0099127144
                     2.3                    0.0055485959
                     2.4                   0.00026959329
                     2.5                   0.00027226457
                     2.6                   0.00095109531
                     2.7                  1.3556063e-005

        Frequency / GHz                run 419/real
----------------------------------------------------------------------
                    0.69                      0.79709894
                    0.78                      0.50732203
                    0.87                      0.18211444
                    0.96                      0.44905625
                     1.7                    0.0025037599
                     1.8                    0.0067984052
                     1.9                     0.010255167
                       2                     0.010145867
                     2.1                     0.009268768
                     2.2                    0.0084551432
                     2.3                    0.0061932888
                     2.4                    0.0003760528
                     2.5                   0.00087212772
                     2.6                    0.0020731258
                     2.7                  4.5041935e-005

        Frequency / GHz                run 420/real
----------------------------------------------------------------------
                    0.69                      0.79703419
                    0.78                      0.50099723
                    0.87                      0.19572598
                    0.96                      0.46306908
                     1.7                    0.0028265063
                     1.8                    0.0069327402
                     1.9                    0.0093772989
                       2                    0.0082774103
                     2.1                     0.007140545
                     2.2                    0.0078434105
                     2.3                     0.007735538
                     2.4                   0.00049929685
                     2.5                    0.0019149173
                     2.6                    0.0035710074
