        Frequency / GHz                c4=0.3/real
----------------------------------------------------------------------
                     0.5                      0.91482536
              0.63157895                      0.31804733
              0.76315789                    0.0058600498
              0.89473684                      0.30788496
               1.0263158                      0.33490163
               1.1578947                      0.22400906
               1.2894737                     0.069541144
               1.4210526                     0.016196338
               1.5526316                    0.0074851229
               1.6842105                     0.025139676
               1.8157895                     0.048174677
               1.9473684                     0.050072198
               2.0789474                     0.022995783
               2.2105263                     0.031431033
               2.3421053                     0.013098608
               2.4736842                    0.0051028656
               2.6052632                     0.002528276
               2.7368421                    0.0031273534
               2.8684211                    0.0071934023
                       3                    0.0007502232

        Frequency / GHz                c4=0.5/real
----------------------------------------------------------------------
                     0.5                      0.91491931
              0.63157895                      0.31407093
              0.76315789                    0.0020858169
              0.89473684                      0.31401951
               1.0263158                      0.33228739
               1.1578947                      0.21956544
               1.2894737                     0.067033459
               1.4210526                     0.017302882
               1.5526316                    0.0077314491
               1.6842105                     0.025484584
               1.8157895                     0.047059547
               1.9473684                     0.047083402
               2.0789474                     0.020514291
               2.2105263                     0.028603768
               2.3421053                     0.011490096
               2.4736842                    0.0041556265
               2.6052632                    0.0020275223
               2.7368421                    0.0031007924
               2.8684211                    0.0080539547
                       3                   0.00032551449

        Frequency / GHz                c4=0.7/real
----------------------------------------------------------------------
                     0.5                      0.91501552
              0.63157895                      0.30981972
              0.76315789                    0.0007365009
              0.89473684                      0.31980882
               1.0263158                      0.32941202
               1.1578947                      0.21477248
               1.2894737                     0.064452726
               1.4210526                     0.018678826
               1.5526316                    0.0079082359
               1.6842105                     0.025791028
               1.8157895                     0.045721276
               1.9473684                     0.043630735
               2.0789474                     0.017899273
               2.2105263                     0.025304175
               2.3421053                     0.010125849
               2.4736842                    0.0035164063
               2.6052632                    0.0016937319
               2.7368421                    0.0033743109
               2.8684211                     0.009469195
                       3                   0.00013053263

        Frequency / GHz                c4=0.9/real
----------------------------------------------------------------------
                     0.5                      0.91511401
              0.63157895                      0.30526688
              0.76315789                     0.001996615
              0.89473684                      0.32523592
               1.0263158                      0.32626329
               1.1578947                       0.2096088
               1.2894737                     0.061853293
               1.4210526                     0.020278941
               1.5526316                    0.0080238053
               1.6842105                     0.026055328
               1.8157895                     0.044133392
               1.9473684                     0.039708155
               2.0789474                      0.01532994
               2.2105263                     0.021630123
               2.3421053                    0.0093822817
               2.4736842                    0.0034465506
               2.6052632                    0.0016260276
               2.7368421                    0.0038477656
               2.8684211                     0.011048585
                       3                   0.00014698455

        Frequency / GHz                c4=1.1/real
----------------------------------------------------------------------
                     0.5                       0.9152149
              0.63157895                      0.30038245
              0.76315789                    0.0059384299
              0.89473684                      0.33028679
               1.0263158                      0.32282944
               1.1578947                      0.20405508
               1.2894737                     0.059316095
               1.4210526                     0.022007484
               1.5526316                    0.0080873397
               1.6842105                     0.026274163
               1.8157895                     0.042271677
               1.9473684                     0.035359868
               2.0789474                     0.013066205
               2.2105263                     0.017818276
               2.3421053                    0.0096314407
               2.4736842                    0.0040278725
               2.6052632                    0.0018030348
               2.7368421                    0.0043727402
               2.8684211                     0.012491961
                       3                    0.0003031283

        Frequency / GHz                c4=1.3/real
----------------------------------------------------------------------
                     0.5                      0.91531825
              0.63157895                      0.29513298
              0.76315789                     0.012508908
              0.89473684                       0.3349505
               1.0263158                       0.3190994
               1.1578947                       0.1980956
               1.2894737                     0.056954907
               1.4210526                     0.023730505
               1.5526316                    0.0081079622
               1.6842105                      0.02644465
               1.8157895                     0.040117034
               1.9473684                     0.030706162
               2.0789474                     0.011408146
               2.2105263                     0.014255034
               2.3421053                     0.011001615
               2.4736842                    0.0050757199
               2.6052632                     0.002118984
               2.7368421                    0.0048481056
               2.8684211                     0.013672968
                       3                   0.00052613929

        Frequency / GHz                c4=1.5/real
----------------------------------------------------------------------
                     0.5                      0.91542413
              0.63157895                      0.28948121
              0.76315789                     0.021530718
              0.89473684                      0.33921916
               1.0263158                        0.315063
               1.1578947                      0.19172011
               1.2894737                     0.054920738
               1.4210526                     0.025306949
               1.5526316                    0.0080941318
               1.6842105                     0.026564444
               1.8157895                     0.037659184
               1.9473684                       0.0259652
               2.0789474                     0.010611123
               2.2105263                     0.011408694
               2.3421053                     0.013233555
               2.4736842                    0.0062849295
               2.6052632                    0.0024712827
               2.7368421                    0.0052367361
               2.8684211                     0.014585004
                       3                    0.0007662699

        Frequency / GHz                c4=1.7/real
----------------------------------------------------------------------
                     0.5                      0.91553263
              0.63157895                      0.28338569
              0.76315789                     0.032717645
              0.89473684                        0.343088
               1.0263158                      0.31071123
               1.1578947                      0.18492629
               1.2894737                     0.053401318
               1.4210526                     0.026625137
               1.5526316                    0.0080533342
               1.6842105                     0.026631799
               1.8157895                     0.034901012
               1.9473684                     0.021455816
               2.0789474                     0.010790637
               2.2105263                    0.0096776323
               2.3421053                     0.015825315
               2.4736842                    0.0074212644
               2.6052632                    0.0028006881
               2.7368421                    0.0055394565
               2.8684211                     0.015270794
                       3                   0.00099681143

        Frequency / GHz                c4=1.9/real
----------------------------------------------------------------------
                     0.5                      0.91564387
              0.63157895                       0.2768006
              0.76315789                     0.045701721
              0.89473684                      0.34655521
               1.0263158                       0.3060365
               1.1578947                      0.17772277
               1.2894737                     0.052611599
               1.4210526                     0.027626293
               1.5526316                     0.007991966
               1.6842105                     0.026645638
               1.8157895                     0.031863077
               1.9473684                     0.017564222
               2.0789474                     0.011876636
               2.2105263                    0.0092324822
               2.3421053                      0.01832042
               2.4736842                    0.0083794527
               2.6052632                    0.0030849266
               2.7368421                    0.0057708549
               2.8684211                     0.015781846
                       3                     0.001206319

        Frequency / GHz                c4=2.1/real
----------------------------------------------------------------------
                     0.5                      0.91575792
              0.63157895                      0.26967558
              0.76315789                     0.060067062
              0.89473684                      0.34962186
               1.0263158                       0.3010329
               1.1578947                      0.17013261
               1.2894737                     0.052771321
               1.4210526                     0.028306099
               1.5526316                     0.007915345
               1.6842105                     0.026605583
               1.8157895                     0.028587438
               1.9473684                      0.01466862
               2.0789474                     0.013649461
               2.2105263                    0.0099644723
               2.3421053                     0.020465282
               2.4736842                    0.0091440257
               2.6052632                    0.0033215147
               2.7368421                    0.0059471978
               2.8684211                     0.016162894
                       3                    0.0013916461

        Frequency / GHz                c4=2.3/real
----------------------------------------------------------------------
                     0.5                      0.91587486
              0.63157895                      0.26195592
              0.76315789                     0.075384674
              0.89473684                      0.35229169
               1.0263158                      0.29569653
               1.1578947                       0.1621973
               1.2894737                      0.05406847
               1.4210526                     0.028699639
               1.5526316                     0.007827805
               1.6842105                      0.02651197
               1.8157895                     0.025139679
               1.9473684                     0.013041701
               2.0789474                     0.015828871
               2.2105263                      0.01156942
               2.3421053                     0.022190524
               2.4736842                    0.0097391368
               2.6052632                     0.003515785
               2.7368421                    0.0060822685
               2.8684211                     0.016448543
                       3                    0.0015535618

        Frequency / GHz                c4=2.5/real
----------------------------------------------------------------------
                     0.5                      0.91599478
              0.63157895                      0.25358324
              0.76315789                     0.091243203
              0.89473684                      0.35457099
               1.0263158                      0.29002574
               1.1578947                      0.15398092
               1.2894737                     0.056613771
               1.4210526                     0.028861371
               1.5526316                    0.0077328133
               1.6842105                     0.026365845
               1.8157895                      0.02160788
               1.9473684                     0.012774781
               2.0789474                     0.018158354
               2.2105263                     0.013688823
               2.3421053                     0.023528697
               2.4736842                     0.010198756
               2.6052632                    0.0036749952
               2.7368421                    0.0061866631
               2.8684211                     0.016664293
                       3                    0.0016943983

        Frequency / GHz                c4=2.7/real
----------------------------------------------------------------------
                     0.5                      0.91611782
              0.63157895                      0.24449696
              0.76315789                      0.10727221
              0.89473684                      0.35646828
               1.0263158                      0.28402147
               1.1578947                      0.14557413
               1.2894737                      0.06039931
               1.4210526                     0.028848957
               1.5526316                    0.0076331044
               1.6842105                     0.026168928
               1.8157895                     0.018097723
               1.9473684                     0.013763009
               2.0789474                     0.020449667
               2.2105263                     0.016016314
               2.3421053                     0.024548461
               2.4736842                      0.01055427
               2.6052632                    0.0038059984
               2.7368421                    0.0062682125
               2.8684211                     0.016828586
                       3                    0.0018169053

        Frequency / GHz                c4=2.9/real
----------------------------------------------------------------------
                     0.5                      0.91624405
              0.63157895                      0.23463709
              0.76315789                      0.12315676
              0.89473684                      0.35799412
               1.0263158                      0.27768747
               1.1578947                      0.13709742
               1.2894737                     0.065278912
               1.4210526                     0.028713848
               1.5526316                    0.0075308079
               1.6842105                     0.025923555
               1.8157895                     0.014723725
               1.9473684                     0.015755521
               2.0789474                     0.022588696
               2.2105263                     0.018338889
               2.3421053                     0.025320498
               2.4736842                     0.010831012
               2.6052632                    0.0039145448
               2.7368421                    0.0063326244
               2.8684211                     0.016954692
                       3                     0.001923735

