        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                      0.57569578
                    0.78                      0.56574112
                    0.87                      0.51115661
                    0.96                      0.23340189
                     1.7                    0.0071701329
                     1.8                     0.018019653
                     1.9                     0.015590551
                       2                      0.01300232
                     2.1                    0.0094364754
                     2.2                    0.0063100613
                     2.3                    0.0058003357
                     2.4                    0.0080908688
                     2.5                     0.012397478
                     2.6                     0.017491293
                     2.7                     0.021992785

        Frequency / GHz                run 2/real
----------------------------------------------------------------------
                    0.69                      0.58298894
                    0.78                      0.56694621
                    0.87                      0.51004058
                    0.96                      0.23126092
                     1.7                    0.0077709997
                     1.8                     0.018829199
                     1.9                     0.015922494
                       2                     0.013032184
                     2.1                    0.0092270369
                     2.2                    0.0060770717
                     2.3                    0.0055844438
                     2.4                    0.0077052564
                     2.5                     0.011581899
                     2.6                     0.016197418
                     2.7                      0.02049807

        Frequency / GHz                run 3/real
----------------------------------------------------------------------
                    0.69                      0.58988609
                    0.78                      0.56804365
                    0.87                      0.50881552
                    0.96                      0.22897927
                     1.7                    0.0083701825
                     1.8                     0.019579282
                     1.9                     0.016203637
                       2                     0.012944557
                     2.1                    0.0088565297
                     2.2                    0.0056933093
                     2.3                    0.0052137036
                     2.4                    0.0071451781
                     2.5                     0.010639643
                     2.6                     0.014935182
                     2.7                     0.019246369

        Frequency / GHz                run 4/real
----------------------------------------------------------------------
                    0.69                      0.59640489
                    0.78                        0.569035
                    0.87                      0.50747605
                    0.96                      0.22656611
                     1.7                    0.0089381904
                     1.8                     0.020256201
                     1.9                     0.016415395
                       2                     0.012705075
                     2.1                    0.0083053814
                     2.2                    0.0051665636
                     2.3                    0.0047168411
                     2.4                    0.0064804581
                     2.5                    0.0096918317
                     2.6                      0.01383698
                     2.7                     0.018322627

        Frequency / GHz                run 5/real
----------------------------------------------------------------------
                    0.69                      0.60256285
                    0.78                      0.56992208
                    0.87                      0.50601665
                    0.96                      0.22403644
                     1.7                    0.0094463588
                     1.8                     0.020848625
                     1.9                     0.016537504
                       2                     0.012283013
                     2.1                    0.0075801586
                     2.2                    0.0045385713
                     2.3                    0.0041537239
                     2.4                    0.0057984277
                     2.5                    0.0088385798
                     2.6                     0.012971664
                     2.7                     0.017729037

        Frequency / GHz                run 6/real
----------------------------------------------------------------------
                    0.69                      0.60837717
                    0.78                       0.5707067
                    0.87                      0.50443176
                    0.96                      0.22141166
                     1.7                    0.0098713964
                     1.8                     0.021348284
                     1.9                     0.016549489
                       2                     0.011659917
                     2.1                    0.0067225459
                     2.2                    0.0038765655
                     2.3                    0.0035931206
                     2.4                    0.0051714188
                     2.5                    0.0081340808
                     2.6                     0.012346232
                     2.7                     0.017414557

        Frequency / GHz                run 7/real
----------------------------------------------------------------------
                    0.69                      0.61386502
                    0.78                      0.57139077
                    0.87                       0.5027157
                    0.96                      0.21872015
                     1.7                     0.010198864
                     1.8                     0.021750226
                     1.9                     0.016432644
                       2                     0.010839227
                     2.1                    0.0058054216
                     2.2                    0.0032508971
                     2.3                    0.0030888597
                     2.4                    0.0046400072
                     2.5                    0.0075893544
                     2.6                     0.011929686
                     2.7                      0.01730955

        Frequency / GHz                run 8/real
----------------------------------------------------------------------
                    0.69                      0.61904271
                    0.78                      0.57197625
                    0.87                      0.50086286
                    0.96                      0.21599719
                     1.7                     0.010424395
                     1.8                     0.022052995
                     1.9                     0.016172465
                       2                    0.0098527155
                     2.1                    0.0049139047
                     2.2                    0.0027129238
                     2.3                    0.0026690143
                     2.4                    0.0042151297
