        Frequency / GHz                S2,1 (3)/abs,dB
----------------------------------------------------------------------
                       0                      -212.38574
                  0.0035                      -212.38574
                   0.007                      -212.38574
                  0.0105                      -212.38574
                   0.014                      -207.38016
                  0.0175                      -197.68244
                   0.021                      -189.75627
                  0.0245                      -183.05227
                   0.028                      -177.24256
                  0.0315                      -172.11565
                   0.035                      -167.52712
                  0.0385                      -163.37399
                   0.042                      -159.58018
                  0.0455                      -156.08791
                   0.049                      -152.85223
                  0.0525                      -149.83751
                   0.056                        -147.015
                  0.0595                      -144.36116
                   0.063                      -141.85652
                  0.0665                      -139.48472
                    0.07                      -137.23195
                  0.0735                      -135.08644
                   0.077                      -133.03803
                  0.0805                      -131.07797
                   0.084                       -129.1986
                  0.0875                      -127.39322
                   0.091                      -125.65591
                  0.0945                      -123.98142
                   0.098                      -122.36507
                  0.1015                      -120.80269
                   0.105                      -119.29048
                  0.1085                      -117.82505
                   0.112                      -116.40329
                  0.1155                       -115.0224
                   0.119                      -113.67982
                  0.1225                      -112.37319
                   0.126                      -111.10037
                  0.1295                      -109.85938
                   0.133                      -108.64843
                  0.1365                      -107.46584
                    0.14                      -106.31008
                  0.1435                      -105.17973
                   0.147                      -104.07346
                  0.1505                      -102.99006
                   0.154                      -101.92838
                  0.1575                      -100.88735
                   0.161                      -99.865963
                  0.1645                      -98.863283
                   0.168                      -97.878418
                  0.1715                       -96.91053
                   0.175                      -95.958825
                  0.1785                      -95.022558
                   0.182                      -94.101023
                  0.1855                      -93.193556
                   0.189                       -92.29953
                  0.1925                      -91.418351
                   0.196                       -90.54946
                  0.1995                      -89.692331
                   0.203                      -88.846459
                  0.2065                       -88.01137
                    0.21                      -87.186608
                  0.2135                      -86.371739
                   0.217                       -85.56635
                  0.2205                      -84.770042
                   0.224                      -83.982431
                  0.2275                      -83.203152
                   0.231                       -82.43185
                  0.2345                      -81.668188
                   0.238                       -80.91184
                  0.2415                      -80.162497
                   0.245                      -79.419859
                  0.2485                      -78.683642
                   0.252                      -77.953574
                  0.2555                      -77.229387
                   0.259                      -76.510832
                  0.2625                      -75.797658
                   0.266                      -75.089635
                  0.2695                      -74.386524
                   0.273                      -73.688106
                  0.2765                      -72.994155
                    0.28                      -72.304464
                  0.2835                      -71.618817
                   0.287                      -70.937013
                  0.2905                      -70.258853
                   0.294                      -69.584147
                  0.2975                      -68.912703
                   0.301                      -68.244346
                  0.3045                      -67.578894
                   0.308                      -66.916178
                  0.3115                      -66.256026
                   0.315                      -65.598273
                  0.3185                      -64.942752
                   0.322                      -64.289301
                  0.3255                      -63.637749
                   0.329                      -62.987937
                  0.3325                       -62.33969
                   0.336                      -61.692845
                  0.3395                      -61.047231
                   0.343                      -60.402681
                  0.3465                      -59.759022
                    0.35                      -59.116089
                  0.3535                       -58.47371
                   0.357                      -57.831725
                  0.3605                       -57.18996
                   0.364                      -56.548256
                  0.3675                      -55.906444
                   0.371                      -55.264362
