        Frequency / GHz                S2,2 (3)/abs,dB
----------------------------------------------------------------------
                       0                 -8.6858896e-007
                  0.0035                 -2.8929824e-015
                   0.007                 -7.9074852e-014
                  0.0105                 -6.7888654e-013
                   0.014                  -3.395397e-012
                  0.0175                 -1.2150526e-011
                   0.021                 -3.4667572e-011
                  0.0245                 -8.4262934e-011
                   0.028                 -1.8197438e-010
                  0.0315                 -3.5850416e-010
                   0.035                 -6.5713227e-010
                  0.0385                 -1.1363596e-009
                   0.042                 -1.8736603e-009
                  0.0455                  -2.970171e-009
                   0.049                 -4.5555427e-009
                  0.0525                 -6.7944546e-009
                   0.056                 -9.8953373e-009
                  0.0595                 -1.4116616e-008
                   0.063                 -1.9780308e-008
                  0.0665                 -2.7272961e-008
                    0.07                 -3.7063455e-008
                  0.0735                 -4.9706296e-008
                   0.077                 -6.5851947e-008
                  0.0805                 -8.6254661e-008
                   0.084                 -1.1177498e-007
                  0.0875                 -1.4339347e-007
                   0.091                 -1.8219309e-007
                  0.0945                  -2.294218e-007
                   0.098                 -2.8642909e-007
                  0.1015                 -3.5475348e-007
                   0.105                 -4.3607859e-007
                  0.1085                 -5.3232012e-007
                   0.112                 -6.4562478e-007
                  0.1155                 -7.7838004e-007
                   0.119                 -9.3328735e-007
                  0.1225                 -1.1133792e-006
                   0.126                 -1.3220898e-006
                  0.1295                 -1.5632733e-006
                   0.133                 -1.8411971e-006
                  0.1365                 -2.1605982e-006
                    0.14                 -2.5267283e-006
                  0.1435                 -2.9452766e-006
                   0.147                 -3.4225806e-006
                  0.1505                 -3.9652837e-006
                   0.154                 -4.5807771e-006
                  0.1575                 -5.2767944e-006
                   0.161                  -6.061862e-006
                  0.1645                 -6.9450019e-006
                   0.168                   -7.93607e-006
                  0.1715                 -9.0456779e-006
                   0.175                 -1.0285481e-005
                  0.1785                 -1.1668218e-005
                   0.182                 -1.3207839e-005
                  0.1855                 -1.4919969e-005
                   0.189                 -1.6821794e-005
                  0.1925                 -1.8932247e-005
                   0.196                  -2.127235e-005
                  0.1995                 -2.3865094e-005
                   0.203                 -2.6736389e-005
                  0.2065                 -2.9913361e-005
                    0.21                 -3.3426695e-005
                  0.2135                 -3.7308735e-005
                   0.217                 -4.1595204e-005
                  0.2205                 -4.6323417e-005
                   0.224                 -5.1535015e-005
                  0.2275                 -5.7273186e-005
                   0.231                 -6.3585489e-005
                  0.2345                 -7.0522411e-005
                   0.238                 -7.8139085e-005
                  0.2415                 -8.6495826e-005
                   0.245                 -9.5657248e-005
                  0.2485                  -0.00010569532
                   0.252                  -0.00011668736
                  0.2555                  -0.00012872096
                   0.259                  -0.00014188997
                  0.2625                  -0.00015629947
                   0.266                  -0.00017206297
                  0.2695                   -0.0001893079
                   0.273                  -0.00020816819
                  0.2765                  -0.00022879559
                    0.28                  -0.00025135159
                  0.2835                   -0.0002760119
                   0.287                   -0.0003029666
                  0.2905                  -0.00033242056
                   0.294                  -0.00036459654
                  0.2975                  -0.00039973401
                   0.301                  -0.00043809055
                  0.3045                   -0.0004799508
                   0.308                  -0.00052561829
                  0.3115                  -0.00057542924
                   0.315                  -0.00062974623
                  0.3185                  -0.00068897238
                   0.322                  -0.00075354446
                  0.3255                  -0.00082394955
                   0.329                  -0.00090071991
                  0.3325                    -0.000984445
                   0.336                   -0.0010757687
                  0.3395                   -0.0011754076
                   0.343                   -0.0012841396
                  0.3465                   -0.0014028302
                    0.35                   -0.0015324241
                  0.3535                   -0.0016739552
                   0.357                    -0.001828562
                  0.3605                   -0.0019974979
                   0.364                   -0.0021821298
                  0.3675                   -0.0023839687
                   0.371                   -0.0026046757
                  0.3745                   -0.0028460862
                   0.378                   -0.0031102255
                  0.3815                   -0.0033993457
                   0.385                   -0.0037159354
                  0.3885                   -0.0040627758
                   0.392                   -0.0044429613
                  0.3955                   -0.0048599478
                   0.399                   -0.0053175912
                  0.4025                   -0.0058202224
                   0.406                   -0.0063726713
                  0.4095                    -0.006980355
                   0.413                   -0.0076493491
                  0.4165                   -0.0083864433
                    0.42                   -0.0091992799
                  0.4235                    -0.010096407
                   0.427                    -0.011087429
                  0.4305                      -0.0121831
                   0.434                    -0.013395544
                  0.4375                     -0.01473835
                   0.441                    -0.016226813
                  0.4445                    -0.017878118
                   0.448                    -0.019711653
                  0.4515                    -0.021749119
                   0.455                    -0.024015041
                  0.4585                    -0.026536841
                   0.462                    -0.029345349
                  0.4655                     -0.03247495
                   0.469                    -0.035964006
                  0.4725                    -0.039854932
                   0.476                    -0.044194461
                  0.4795                    -0.049033415
                   0.483                    -0.054426713
                  0.4865                    -0.060432365
                    0.49                    -0.067110703
                  0.4935                    -0.074522384
                   0.497                    -0.082726132
                  0.5005                    -0.091774849
                   0.504                     -0.10171128
                  0.5075                     -0.11256239
                   0.511                     -0.12433198
                  0.5145                     -0.13699341
                   0.518                      -0.1504819
                  0.5215                     -0.16468848
                   0.525                     -0.17945503
                  0.5285                     -0.19457507
                   0.532                     -0.20979934
                  0.5355                     -0.22484891
                   0.539                     -0.23943284
                  0.5425                     -0.25327257
                   0.546                     -0.26612698
                  0.5495                     -0.27781478
                   0.553                     -0.28823113
                  0.5565                     -0.29735539
                    0.56                     -0.30525017
                  0.5635                     -0.31205229
                   0.567                     -0.31795743
                  0.5705                     -0.32320429
                   0.574                     -0.32805661
                  0.5775                      -0.3327903
                   0.581                     -0.33768347
                  0.5845                     -0.34300918
                   0.588                     -0.34903139
                  0.5915                     -0.35600651
                   0.595                     -0.36418232
                  0.5985                     -0.37380217
                   0.602                     -0.38510684
                  0.6055                     -0.39833612
                   0.609                     -0.41373301
                  0.6125                     -0.43154136
                   0.616                     -0.45200625
                  0.6195                     -0.47536955
                   0.623                     -0.50186434
                  0.6265                     -0.53170392
                    0.63                     -0.56506942
                  0.6335                     -0.60209113
                   0.637                     -0.64282752
                  0.6405                     -0.68724109
                   0.644                     -0.73517224
                  0.6475                     -0.78631423
                   0.651                     -0.84019679
                  0.6545                     -0.89617478
                   0.658                     -0.95343244
                  0.6615                      -1.0110105
                   0.665                      -1.0678477
                  0.6685                      -1.1228381
                   0.672                      -1.1749094
                  0.6755                      -1.2230917
                   0.679                      -1.2665919
                  0.6825                      -1.3048379
                   0.686                      -1.3375092
                  0.6895                      -1.3645348
                   0.693                      -1.3860729
                  0.6965                      -1.4024728
                     0.7                      -1.4142224
                  0.7035                      -1.4219005
                   0.707                      -1.4261296
                  0.7105                      -1.4275387
                   0.714                       -1.426732
                  0.7175                      -1.4242677
                   0.721                      -1.4206482
                  0.7245                       -1.416316
                   0.728                      -1.4116509
                  0.7315                      -1.4069711
                   0.735                      -1.4025422
                  0.7385                      -1.3985811
                   0.742                      -1.3952642
                  0.7455                      -1.3927293
                   0.749                      -1.3910832
                  0.7525                      -1.3904115
                   0.756                      -1.3907752
                  0.7595                      -1.3922207
                   0.763                      -1.3947803
                  0.7665                      -1.3984761
                    0.77                       -1.403323
                  0.7735                      -1.4093306
                   0.777                      -1.4165012
                  0.7805                      -1.4248377
                   0.784                      -1.4343396
                  0.7875                      -1.4450054
                   0.791                      -1.4568331
                  0.7945                       -1.469821
                   0.798                      -1.4839664
                  0.8015                      -1.4992668
                   0.805                      -1.5157194
                  0.8085                      -1.5333205
                   0.812                      -1.5520666
                  0.8155                      -1.5719513
                   0.819                      -1.5929679
                  0.8225                      -1.6151079
                   0.826                      -1.6383603
                  0.8295                      -1.6627122
