        Frequency / MHz                Csh2=0.3/real
----------------------------------------------------------------------
                     690                      0.86385048
                     780                      0.60293505
                     870                      0.23578027
                     960                      0.33591219
                    1700                      0.01363163
                    1800                    0.0026207936
                    1900                   0.00099476673
                    2000                    0.0064184159
                    2100                    0.0023931676
                    2200                   0.00080082508
                    2300                   0.00064372928
                    2400                    0.0012988233
                    2500                    0.0036714098
                    2600                    0.0090974376
                    2700                     0.018776168

        Frequency / MHz                Csh2=2.9/real
----------------------------------------------------------------------
                     690                       0.8308514
                     780                      0.51776264
                     870                      0.50405667
                     960                      0.45555125
                    1700                     0.027910782
                    1800                     0.017889957
                    1900                    0.0048633349
                    2000                     0.013461412
                    2100                     0.036777397
                    2200                     0.042482471
                    2300                     0.038564461
                    2400                     0.028033404
                    2500                     0.014989822
                    2600                    0.0075138385
                    2700                      0.01332803

        Frequency / MHz                Csh2=0.5/real
----------------------------------------------------------------------
                     690                      0.86330622
                     780                      0.58967714
                     870                      0.24950291
                     960                      0.35567189
                    1700                      0.01146257
                    1800                    0.0033635129
                    1900                   0.00060053482
                    2000                     0.004310974
                    2100                   0.00098527166
                    2200                   0.00016285228
                    2300                   0.00030741892
                    2400                   0.00095190774
                    2500                    0.0026916518
                    2600                    0.0066052506
                    2700                      0.01419503

        Frequency / MHz                Csh2=0.7/real
----------------------------------------------------------------------
                     690                      0.86265265
                     780                      0.57383707
                     870                      0.27254402
                     960                      0.37277582
                    1700                     0.010049029
                    1800                    0.0043708829
                    1900                   0.00037244046
                    2000                    0.0025783727
                    2100                   0.00016554101
                    2200                   0.00019595827
                    2300                   0.00067605672
                    2400                    0.0012366289
                    2500                    0.0020853436
                    2600                    0.0041702161
                    2700                    0.0097681136

        Frequency / MHz                Csh2=0.9/real
----------------------------------------------------------------------
                     690                       0.8618644
                     780                      0.55511876
                     870                      0.30140301
                     960                      0.38747916
                    1700                    0.0094778049
                    1800                    0.0055722257
                    1900                   0.00030098862
                    2000                    0.0012710565
