        Frequency / MHz                Csh=0.3/real
----------------------------------------------------------------------
                     690                      0.86385048
                     780                      0.60293505
                     870                      0.23578027
                     960                      0.33591219
                    1700                      0.01363163
                    1800                    0.0026207936
                    1900                   0.00099476673
                    2000                    0.0064184159
                    2100                    0.0023931676
                    2200                   0.00080082508
                    2300                   0.00064372928
                    2400                    0.0012988233
                    2500                    0.0036714098
                    2600                    0.0090974376
                    2700                     0.018776168

        Frequency / MHz                Csh=0.5/real
----------------------------------------------------------------------
                     690                      0.85618689
                     780                      0.60421325
                     870                      0.25359051
                     960                      0.35443909
                    1700                     0.011744753
                    1800                    0.0022095404
                    1900                    0.0013166349
                    2000                    0.0058184997
                    2100                    0.0010610041
                    2200                    0.0008506979
                    2300                    0.0018215351
                    2400                     0.002629772
                    2500                    0.0037934414
                    2600                    0.0069857385
                    2700                     0.014438585

        Frequency / MHz                Csh=0.7/real
----------------------------------------------------------------------
                     690                      0.84732125
                     780                      0.60984199
                     870                      0.27185481
                     960                      0.37168522
                    1700                     0.010111216
                    1800                    0.0020464792
                    1900                    0.0016737378
                    2000                    0.0053714433
                    2100                   0.00027859825
                    2200                    0.0016079279
                    2300                    0.0037831889
                    2400                    0.0046540174
                    2500                    0.0042474837
                    2600                    0.0048941443
                    2700                     0.010316885

        Frequency / MHz                Csh=0.9/real
----------------------------------------------------------------------
                     690                        0.837273
                     780                      0.61945372
                     870                      0.28980518
                     960                      0.38751708
                    1700                    0.0088439997
                    1800                    0.0021268589
                    1900                    0.0020443376
                    2000                    0.0050619092
                    2100                  5.3852248e-006
                    2200                    0.0030524037
                    2300                    0.0065478945
                    2400                    0.0073983221
                    2500                    0.0050658484
                    2600                    0.0030440624
                    2700                    0.0069390527

        Frequency / MHz                Csh=1.1/real
----------------------------------------------------------------------
                     690                      0.82621108
                     780                      0.63222899
                     870                      0.30689405
                     960                      0.40189837
                    1700                    0.0080356929
                    1800                     0.002420945
                    1900                    0.0024109618
                    2000                    0.0048715399
