        Frequency / GHz                Csh2=0.3/real
----------------------------------------------------------------------
                    0.69                      0.48113052
                    0.78                      0.24071937
                    0.87                      0.12025902
                    0.96                      0.28321727
                     1.7                    0.0081531417
                     1.8                     0.041327952
                     1.9                     0.023176457
                       2                     0.013825384
                     2.1                     0.013312036
                     2.2                     0.013341155
                     2.3                     0.014061925
                     2.4                     0.017352278
                     2.5                     0.022824793
                     2.6                     0.028973805
                     2.7                     0.036963053

        Frequency / GHz                Csh2=0.5/real
----------------------------------------------------------------------
                    0.69                      0.47713289
                    0.78                      0.20310779
                    0.87                      0.15043235
                    0.96                      0.29642602
                     1.7                    0.0079469492
                     1.8                     0.038128823
                     1.9                     0.020130276
                       2                     0.011545324
                     2.1                     0.011084451
                     2.2                      0.01101921
                     2.3                     0.011619992
                     2.4                     0.014581438
                     2.5                     0.019548897
                     2.6                     0.025265471
                     2.7                     0.033104988

        Frequency / GHz                Csh2=0.7/real
----------------------------------------------------------------------
                    0.69                        0.472495
                    0.78                      0.16366358
                    0.87                       0.1799351
                    0.96                      0.30850963
                     1.7                    0.0076990985
                     1.8                     0.034832137
                     1.9                     0.017076667
                       2                    0.0092547469
                     2.1                    0.0087999631
                     2.2                    0.0086140562
                     2.3                    0.0090657409
                     2.4                     0.011667561
                     2.5                     0.016207835
                     2.6                     0.021795592
                     2.7                     0.030014477

        Frequency / GHz                Csh2=0.9/real
----------------------------------------------------------------------
                    0.69                      0.46707766
                    0.78                      0.12618149
                    0.87                      0.20783421
                    0.96                      0.31953589
                     1.7                    0.0074157282
                     1.8                     0.031484857
                     1.9                     0.014089171
                       2                    0.0070328435
                     2.1                    0.0065578928
                     2.2                    0.0062646526
                     2.3                    0.0065917287
                     2.4                    0.0088910103
                     2.5                     0.013210924
                     2.6                     0.019070714
                     2.7                      0.02815465

        Frequency / GHz                Csh2=1.1/real
----------------------------------------------------------------------
                    0.69                      0.46070464
                    0.78                      0.09591814
                    0.87                      0.23361172
                    0.96                      0.32957836
                     1.7                    0.0071042385
                     1.8                     0.028139527
                     1.9                     0.011252288
                       2                    0.0049739014
                     2.1                    0.0044825977
                     2.2                    0.0041455668
                     2.3                    0.0044321247
                     2.4                     0.006566267
                     2.5                     0.010937137
                     2.6                     0.017411862
                     2.7                     0.027612492

        Frequency / GHz                Csh2=1.3/real
----------------------------------------------------------------------
                    0.69                      0.45315167
