        Frequency / GHz                Csh2=0.3/real
----------------------------------------------------------------------
                    0.69                      0.54038317
                    0.78                      0.30343457
                    0.87                      0.19482955
                    0.96                      0.21373813
                     1.7                     0.035866802
                     1.8                     0.066451869
                     1.9                     0.064077591
                       2                     0.056759065
                     2.1                      0.06225303
                     2.2                     0.076012907
                     2.3                     0.089244868
                     2.4                     0.093989663
                     2.5                     0.088512758
                     2.6                     0.076720775
                     2.7                     0.061910803

        Frequency / GHz                Csh2=0.5/real
----------------------------------------------------------------------
                    0.69                      0.53841544
                    0.78                      0.28379626
                    0.87                      0.21132053
                    0.96                      0.22012168
                     1.7                     0.038341326
                     1.8                     0.066851256
                     1.9                     0.059379211
                       2                     0.050945104
                     2.1                     0.057827592
                     2.2                     0.073813125
                     2.3                     0.089597521
                     2.4                     0.096850761
                     2.5                     0.093374533
                     2.6                     0.082666734
                     2.7                     0.067914142

        Frequency / GHz                Csh2=0.7/real
----------------------------------------------------------------------
                    0.69                      0.53613725
                    0.78                       0.2645528
                    0.87                      0.22697066
                    0.96                      0.22600458
                     1.7                     0.040625359
                     1.8                     0.066948018
                     1.9                     0.054597512
                       2                     0.045274287
                     2.1                     0.054001242
                     2.2                     0.072883662
                     2.3                     0.091925003
                     2.4                      0.10210448
                     2.5                      0.10052114
                     2.6                     0.090313909
                     2.7                     0.074846383

        Frequency / GHz                Csh2=0.9/real
----------------------------------------------------------------------
                    0.69                      0.53348297
                    0.78                      0.24776058
                    0.87                      0.24153286
                    0.96                       0.2314104
                     1.7                     0.042669362
                     1.8                     0.066765781
                     1.9                     0.049783824
                       2                     0.039886556
                     2.1                     0.051059728
                     2.2                     0.073645397
                     2.3                     0.096604209
                     2.4                      0.10977715
                     2.5                      0.10944077
                     2.6                     0.098716057
                     2.7                     0.081632749

        Frequency / GHz                Csh2=1.1/real
----------------------------------------------------------------------
                    0.69                       0.5303708
                    0.78                      0.23577672
                    0.87                      0.25488721
                    0.96                      0.23636499
                     1.7                     0.044444871
                     1.8                     0.066333133
                     1.9                     0.044992755
                       2                     0.034937585
                     2.1                     0.049307488
                     2.2                      0.07645827
                     2.3                      0.10372453
                     2.4                      0.11936666
                     2.5                      0.11909554
                     2.6                      0.10669282
                     2.7                     0.087334025

        Frequency / GHz                Csh2=1.3/real
----------------------------------------------------------------------
                    0.69                      0.52669782
                    0.78                      0.23055024
                    0.87                      0.26700559
