        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                       0.1830333
                    0.78                     0.028848079
                    0.87                      0.15084711
                    0.96                      0.13975973
                     1.7                     0.031860962
                     1.8                      0.06294231
                     1.9                     0.032408371
                       2                     0.013474578
                     2.1                      0.01071009
                     2.2                     0.010386154
                     2.3                    0.0090806108
                     2.4                    0.0088088773
                     2.5                     0.011444539
                     2.6                     0.017102974
                     2.7                     0.026586941

        Frequency / GHz                run 15/real
----------------------------------------------------------------------
                    0.69                      0.17582196
                    0.78                      0.04172932
                    0.87                      0.15601762
                    0.96                      0.13813638
                     1.7                     0.031867605
                     1.8                     0.061308144
                     1.9                     0.030814919
                       2                      0.01229547
                     2.1                    0.0094847764
                     2.2                    0.0091322001
                     2.3                    0.0079105623
                     2.4                     0.007636491
                     2.5                     0.010121629
                     2.6                     0.015604592
                     2.7                     0.025045864

        Frequency / GHz                run 16/real
----------------------------------------------------------------------
                    0.69                      0.16785935
                    0.78                     0.056627698
                    0.87                      0.16057278
                    0.96                      0.13643626
                     1.7                     0.031786455
                     1.8                     0.059624438
                     1.9                     0.029287509
                       2                     0.011224168
                     2.1                    0.0083633289
                     2.2                    0.0080033149
                     2.3                    0.0068960386
                     2.4                    0.0066283185
                     2.5                    0.0089987639
                     2.6                     0.014441823
                     2.7                     0.024089269

        Frequency / GHz                run 17/real
----------------------------------------------------------------------
                    0.69                      0.15909334
                    0.78                     0.072621327
                    0.87                      0.16455329
                    0.96                      0.13467218
                     1.7                     0.031624292
                     1.8                     0.057912639
                     1.9                      0.02786856
                       2                     0.010313672
                     2.1                       0.0074182
                     2.2                    0.0071036541
                     2.3                    0.0061695617
                     2.4                    0.0059391851
                     2.5                    0.0082610022
                     2.6                     0.013811679
                     2.7                     0.023851639

        Frequency / GHz                run 18/real
----------------------------------------------------------------------
                    0.69                       0.1495005
                    0.78                     0.088784039
                    0.87                      0.16800431
                    0.96                      0.13285629
                     1.7                     0.031390329
                     1.8                     0.056196013
                     1.9                     0.026602481
                       2                    0.0096181222
                     2.1                     0.006725877
                     2.2                    0.0065415595
