        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                       0.1830333
                    0.78                     0.028848079
                    0.87                      0.15084711
                    0.96                      0.13975973
                     1.7                     0.031860962
                     1.8                      0.06294231
                     1.9                     0.032408371
                       2                     0.013474578
                     2.1                      0.01071009
                     2.2                     0.010386154
                     2.3                    0.0090806108
                     2.4                    0.0088088773
                     2.5                     0.011444539
                     2.6                     0.017102974
                     2.7                     0.026586941

        Frequency / GHz                run 2/real
----------------------------------------------------------------------
                    0.69                      0.17602131
                    0.78                     0.026633526
                    0.87                      0.16970532
                    0.96                      0.15604395
                     1.7                      0.03247399
                     1.8                      0.06527495
                     1.9                     0.032450679
                       2                     0.011490294
                     2.1                    0.0098103083
                     2.2                     0.011683136
                     2.3                     0.011605661
                     2.4                      0.01046336
                     2.5                     0.010844209
                     2.6                     0.014355055
                     2.7                     0.022452781

        Frequency / GHz                run 3/real
----------------------------------------------------------------------
                    0.69                      0.17217227
                    0.78                     0.027762789
                    0.87                      0.19074197
                    0.96                      0.17207125
                     1.7                     0.033148498
                     1.8                     0.067427314
                     1.9                     0.032321998
                       2                    0.0096641983
                     2.1                    0.0092956984
                     2.2                     0.013565528
                     2.3                     0.014633824
                     2.4                     0.012128172
                     2.5                    0.0099089726
                     2.6                     0.011469821
                     2.7                     0.018781725

        Frequency / GHz                run 4/real
----------------------------------------------------------------------
                    0.69                      0.17200323
                    0.78                     0.032315925
                    0.87                      0.21338078
                    0.96                      0.18758003
                     1.7                     0.033857905
                     1.8                     0.069372547
                     1.9                     0.032044387
                       2                    0.0080132832
                     2.1                    0.0091917298
                     2.2                     0.016060679
                     2.3                     0.018100516
                     2.4                     0.013673784
                     2.5                    0.0086964062
                     2.6                    0.0087644071
                     2.7                     0.015988004

        Frequency / GHz                run 5/real
----------------------------------------------------------------------
                    0.69                      0.17593632
                    0.78                     0.040201387
                    0.87                      0.23702018
                    0.96                      0.20235433
                     1.7                     0.034577782
                     1.8                     0.071098482
                     1.9                     0.031641264
                       2                    0.0065486129
                     2.1                    0.0095116873
                     2.2                     0.019163193
                     2.3                     0.021878139
