        Frequency / GHz                S2,1 (Csh1=0.3)/abs,dB
----------------------------------------------------------------------
                       0                      -206.61339
                  0.0035                      -206.61339
                   0.007                      -206.61339
                  0.0105                      -206.61339
                   0.014                      -206.61339
                  0.0175                      -197.51916
                   0.021                      -189.59702
                  0.0245                      -182.89733
                   0.028                       -177.0921
                  0.0315                      -171.96974
                   0.035                      -167.38575
                  0.0385                      -163.23702
                   0.042                      -159.44741
                  0.0455                      -155.95906
                   0.049                        -152.727
                  0.0525                      -149.71554
                   0.056                       -146.8959
                  0.0595                      -144.24454
                   0.063                      -141.74194
                  0.0665                      -139.37176
                    0.07                      -137.12016
                  0.0735                      -134.97533
                   0.077                      -132.92712
                  0.0805                      -130.96673
                   0.084                      -129.08649
                  0.0875                      -127.27968
                   0.091                      -125.54039
                  0.0945                      -123.86338
                   0.098                      -122.24399
                  0.1015                      -120.67805
                   0.105                      -119.16185
                  0.1085                      -117.69205
                   0.112                       -116.2656
                  0.1155                      -114.87979
                   0.119                      -113.53213
                  0.1225                      -112.22035
                   0.126                      -110.94239
                  0.1295                      -109.69636
                   0.133                       -108.4805
                  0.1365                      -107.29322
                    0.14                      -106.13303
                  0.1435                      -104.99854
                   0.147                      -103.88848
                  0.1505                      -102.80164
                   0.154                       -101.7369
                  0.1575                      -100.69321
                   0.161                      -99.669582
                  0.1645                      -98.665075
                   0.168                      -97.678808
                  0.1715                      -96.709942
                   0.175                      -95.757686
                  0.1785                      -94.821284
                   0.182                      -93.900019
                  0.1855                      -92.993208
                   0.189                      -92.100204
                  0.1925                      -91.220385
                   0.196                      -90.353164
                  0.1995                      -89.497979
                   0.203                      -88.654294
                  0.2065                      -87.821606
                    0.21                      -86.999429
                  0.2135                      -86.187308
                   0.217                      -85.384809
                  0.2205                      -84.591521
                   0.224                      -83.807056
                  0.2275                      -83.031045
                   0.231                      -82.263145
                  0.2345                      -81.503027
                   0.238                      -80.750383
                  0.2415                      -80.004923
                   0.245                      -79.266373
                  0.2485                      -78.534473
                   0.252                      -77.808978
                  0.2555                      -77.089655
                   0.259                      -76.376286
                  0.2625                      -75.668655
                   0.266                      -74.966567
                  0.2695                      -74.269823
                   0.273                       -73.57824
                  0.2765                      -72.891634
                    0.28                      -72.209829
                  0.2835                      -71.532651
                   0.287                      -70.859933
                  0.2905                      -70.191501
                   0.294                      -69.527192
                  0.2975                      -68.866837
                   0.301                      -68.210272
                  0.3045                      -67.557327
                   0.308                      -66.907839
                  0.3115                      -66.261637
                   0.315                      -65.618556
                  0.3185                      -64.978425
                   0.322                      -64.341076
                  0.3255                      -63.706338
                   0.329                      -63.074045
                  0.3325                      -62.444023
                   0.336                      -61.816106
                  0.3395                      -61.190121
                   0.343                      -60.565905
                  0.3465                      -59.943288
                    0.35                      -59.322108
                  0.3535                      -58.702199
                   0.357                      -58.083403
                  0.3605                      -57.465558
                   0.364                      -56.848512
                  0.3675                      -56.232106
                   0.371                      -55.616193
                  0.3745                      -55.000619
                   0.378                      -54.385244
                  0.3815                      -53.769918
                   0.385                      -53.154503
                  0.3885                      -52.538855
                   0.392                      -51.922841
                  0.3955                      -51.306317
                   0.399                      -50.689155
                  0.4025                      -50.071213
                   0.406                       -49.45236
                  0.4095                      -48.832462
                   0.413                      -48.211383
                  0.4165                      -47.588994
                    0.42                      -46.965155
                  0.4235                      -46.339738
                   0.427                      -45.712608
                  0.4305                      -45.083637
                   0.434                      -44.452686
                  0.4375                      -43.819637
                   0.441                       -43.18436
                  0.4445                      -42.546738
                   0.448                      -41.906657
                  0.4515                      -41.264014
                   0.455                      -40.618713
                  0.4585                      -39.970681
                   0.462                      -39.319856
                  0.4655                      -38.666202
                   0.469                      -38.009712
                  0.4725                      -37.350414
                   0.476                      -36.688374
                  0.4795                      -36.023717
                   0.483                       -35.35662
                  0.4865                      -34.687341
                    0.49                      -34.016213
                  0.4935                      -33.343678
                   0.497                       -32.67029
                  0.5005                      -31.996732
                   0.504                      -31.323851
                  0.5075                      -30.652642
                   0.511                      -29.984307
                  0.5145                      -29.320241
                   0.518                      -28.662058
                  0.5215                      -28.011576
                   0.525                      -27.370837
                  0.5285                      -26.742069
                   0.532                      -26.127665
                  0.5355                        -25.5301
                   0.539                      -24.951893
                  0.5425                      -24.395489
                   0.546                       -23.86316
                  0.5495                      -23.356857
                   0.553                      -22.878166
                  0.5565                      -22.428124
                    0.56                      -22.007207
                  0.5635                      -21.615262
                   0.567                      -21.251536
                  0.5705                      -20.914711
                   0.574                      -20.602974
                  0.5775                       -20.31415
                   0.581                      -20.045785
                  0.5845                      -19.795291
                   0.588                       -19.56003
                  0.5915                      -19.337425
                   0.595                       -19.12499
                  0.5985                      -18.920428
                   0.602                      -18.721635
                  0.6055                      -18.526704
                   0.609                      -18.333959
                  0.6125                      -18.141914
                   0.616                        -17.9493
                  0.6195                      -17.755009
                   0.623                      -17.558111
                  0.6265                      -17.357807
                    0.63                      -17.153435
                  0.6335                      -16.944449
                   0.637                      -16.730388
                  0.6405                      -16.510891
                   0.644                      -16.285656
                  0.6475                      -16.054461
                   0.651                      -15.817125
                  0.6545                      -15.573537
                   0.658                      -15.323622
                  0.6615                      -15.067346
                   0.665                      -14.804723
                  0.6685                      -14.535803
                   0.672                      -14.260681
                  0.6755                        -13.9795
                   0.679                      -13.692436
                  0.6825                      -13.399729
                   0.686                      -13.101661
                  0.6895                      -12.798592
                   0.693                      -12.490924
                  0.6965                       -12.17917
                     0.7                      -11.863909
                  0.7035                      -11.545827
                   0.707                      -11.225708
