        Frequency / MHz                S1,1 (31765)/abs,dB
----------------------------------------------------------------------
                     400                   -0.0087708925
                   402.6                   -0.0079191399
                   405.2                   -0.0070079452
                   407.8                   -0.0068385834
                   410.4                   -0.0077225732
                     413                   -0.0092660156
                   415.6                    -0.010627048
                   418.2                    -0.011086849
                   420.8                    -0.010543379
                   423.4                   -0.0095849767
                     426                   -0.0090979207
                   428.6                   -0.0096707468
                   431.2                    -0.011190622
                   433.8                    -0.012904559
                   436.4                    -0.013922931
                     439                    -0.013829534
                   441.6                     -0.01297338
                   444.2                    -0.012242887
                   446.8                     -0.01247429
                   449.4                    -0.013884538
                     452                    -0.015902908
                   454.6                    -0.017539665
                   457.2                    -0.018058948
                   459.8                     -0.01749301
                   462.4                    -0.016636526
                     465                    -0.016527674
                   467.6                    -0.017752682
                   470.2                    -0.020028004
                   472.8                    -0.022356122
                   475.4                    -0.023691474
                     478                    -0.023666921
                   480.6                    -0.022869395
                   483.2                    -0.022471277
                   485.8                    -0.023460102
                   488.4                    -0.025957759
                     491                    -0.029084366
                   493.6                    -0.031515807
                   496.2                      -0.0323948
                   498.8                     -0.03195447
                   501.4                    -0.031405506
                     504                    -0.032162544
                   506.6                    -0.034898448
                   509.2                    -0.039021524
                   511.8                    -0.042992794
                   514.4                    -0.045355565
                     517                    -0.045785837
                   519.6                    -0.045391993
                   522.2                    -0.046049824
                   524.8                    -0.049188509
                   527.4                    -0.054765047
                     530                    -0.061135453
                   532.6                    -0.066083608
                   535.2                    -0.068401992
                   537.8                    -0.068871369
                   540.4                    -0.069908759
                     543                    -0.074093664
                   545.6                    -0.082417791
                   548.2                    -0.093348122
                   550.8                     -0.10359461
                   553.4                     -0.11040246
                     556                     -0.11380198
                   558.6                     -0.11706586
                   561.2                     -0.12502764
                   563.8                     -0.14110087
                   566.4                     -0.16453501
                     569                     -0.19008505
                   571.6                     -0.21156953
                   574.2                     -0.22747443
                   576.8                      -0.2443471
                   579.4                     -0.27555043
                     582                     -0.33505899
                   584.6                     -0.42582184
                   587.2                     -0.52822734
                   589.8                      -0.6059925
                   592.4                     -0.63260134
                     595                     -0.60740638
                   597.6                     -0.54646207
                   600.2                     -0.46856433
                   602.8                      -0.3900306
                   605.4                     -0.32479145
                     608                      -0.2837398
                   610.6                     -0.27144122
                   613.2                     -0.28308157
                   615.8                     -0.30630233
                   618.4                     -0.32823152
                     621                     -0.34244927
                   623.6                     -0.35102302
                   626.2                     -0.36154301
                   628.8                     -0.38186216
                   631.4                     -0.41528396
                     634                     -0.45859655
                   636.6                      -0.5044671
                   639.2                     -0.54683341
                   641.8                     -0.58527142
                   644.4                     -0.62532767
                     647                     -0.67507098
                   649.6                       -0.740159
                   652.2                     -0.82030958
                   654.8                     -0.90965596
                   657.4                      -1.0013876
                     660                      -1.0934273
                   662.6                      -1.1908055
                   665.2                      -1.3032552
                   667.8                      -1.4397103
                   670.4                      -1.6029706
                     673                      -1.7882731
                   675.6                       -1.987618
                   678.2                        -2.19738
                   680.8                      -2.4233135
                   683.4                      -2.6790016
                     686                      -2.9789187
                   688.6                      -3.3302189
                   691.2                      -3.7289504
                   693.8                      -4.1646882
                   696.4                      -4.6317146
                     699                      -5.1382141
                   701.6                      -5.7056152
                   704.2                      -6.3583954
                   706.8                      -7.1106276
                   709.4                      -7.9584345
                     712                      -8.8860318
                   714.6                      -9.8844767
                   717.2                      -10.969539
                   719.8                      -12.181981
                   722.4                        -13.5637
                     725                      -15.113219
                   727.6                       -16.72431
                   730.2                      -18.134752
                   732.8                       -18.99165
                   735.4                      -19.101152
                     738                      -18.568026
                   740.6                      -17.633508
                   743.2                      -16.519752
                   745.8                      -15.394513
                   748.4                      -14.363842
                     751                      -13.472238
                   753.6                      -12.716973
                   756.2                      -12.069811
                   758.8                      -11.498196
                   761.4                      -10.980235
                     764                      -10.509345
                   766.6                      -10.089081
                   769.2                      -9.7233853
                   771.8                      -9.4096769
                   774.4                      -9.1382401
                     777                      -8.8964589
                   779.6                      -8.6746406
                   782.2                      -8.4695354
                   784.8                      -8.2835645
                   787.4                      -8.1206964
                     790                      -7.9821603
                   792.6                      -7.8647583
                   795.2                      -7.7623358
                   797.8                      -7.6691044
                   800.4                      -7.5825607
                     803                      -7.5040325
                   805.6                       -7.436732
                   808.2                      -7.3827745
                   810.8                      -7.3413102
                   813.4                      -7.3087869
                     816                      -7.2810581
                   818.6                      -7.2557479
                   821.2                      -7.2333625
                   823.8                      -7.2163689
                   826.4                      -7.2070067
                     829                       -7.205451
                   831.6                       -7.209435
                   834.2                       -7.215623
                   836.8                      -7.2216316
                   839.4                      -7.2273658
