        Frequency / MHz                S2,2 (31778)/abs,dB
----------------------------------------------------------------------
                     400                   -0.0061422761
                   402.6                    -0.006751944
                   405.2                   -0.0076631676
                   407.8                   -0.0085152992
                   410.4                   -0.0089852826
                     413                   -0.0089702511
                   415.6                    -0.008646013
                   418.2                   -0.0083724091
                   420.8                   -0.0084911729
                   423.4                   -0.0091361082
                     426                    -0.010157879
                   428.6                    -0.011206517
                   431.2                     -0.01192288
                   433.8                    -0.012141752
                   436.4                    -0.011988105
                     439                     -0.01181457
                   441.6                    -0.012004054
                   444.2                    -0.012759065
                   446.8                    -0.013985423
                   449.4                    -0.015343077
                     452                    -0.016426854
                   454.6                    -0.016998909
                   457.2                    -0.017132067
                   459.8                    -0.017173293
                   462.4                    -0.017559242
                     465                    -0.018574616
                   467.6                    -0.020188674
                   470.2                    -0.022066562
                   472.8                    -0.023749882
                   475.4                    -0.024916791
                     478                    -0.025581771
                   480.6                    -0.026097334
                   483.2                    -0.026967147
                   485.8                    -0.028573932
                   488.4                    -0.030961148
                     491                    -0.033801261
                   493.6                    -0.036573716
                   496.2                    -0.038871656
                   498.8                    -0.040655127
                   501.4                    -0.042292635
                     504                    -0.044371454
                   506.6                    -0.047387848
                   509.2                    -0.051473981
                   511.8                    -0.056320308
                   514.4                    -0.061372393
                     517                    -0.066175406
                   519.6                    -0.070680003
                   522.2                    -0.075299852
                   524.8                    -0.080714241
                   527.4                    -0.087518855
                     530                    -0.095932658
                   532.6                       -0.105745
                   535.2                     -0.11655609
                   537.8                     -0.12813951
                   540.4                     -0.14071291
                     543                     -0.15488751
                   545.6                     -0.17136894
                   548.2                     -0.19062899
                   550.8                     -0.21287826
                   553.4                     -0.23844057
                     556                     -0.26828929
                   558.6                     -0.30434295
                   561.2                      -0.3491434
                   563.8                     -0.40474912
                   566.4                     -0.47137537
                     569                     -0.54730707
                   571.6                     -0.63159003
                   574.2                     -0.72893195
                   576.8                      -0.8541416
                   579.4                      -1.0337912
                     582                      -1.3007669
                   584.6                      -1.6730139
                   587.2                      -2.1151653
                   589.8                      -2.5211991
                   592.4                      -2.7687521
                     595                      -2.8008655
                   597.6                      -2.6410565
                   600.2                      -2.3531652
                   602.8                      -2.0090146
                   605.4                      -1.6751573
                     608                      -1.4026536
                   610.6                      -1.2150426
                   613.2                      -1.1026992
                   615.8                       -1.032831
                   618.4                     -0.97081682
                     621                     -0.89748196
                   623.6                     -0.81221471
                   626.2                     -0.72554704
                   628.8                     -0.64948602
                   631.4                     -0.59094892
                     634                     -0.54947482
                   636.6                     -0.51918059
                   639.2                     -0.49288415
                   641.8                     -0.46579973
                   644.4                     -0.43682098
                     647                     -0.40773824
                   649.6                     -0.38140744
                   652.2                      -0.3599495
                   654.8                     -0.34368661
                   657.4                     -0.33123257
                     660                     -0.32048218
                   662.6                     -0.30969488
                   665.2                     -0.29809593
                   667.8                     -0.28596045
                   670.4                     -0.27421474
                     673                     -0.26383948
                   675.6                     -0.25530316
                   678.2                     -0.24832993
                   680.8                     -0.24209526
                   683.4                     -0.23562409
                     686                     -0.22823983
                   688.6                     -0.21985177
                   691.2                     -0.21095994
                   693.8                     -0.20230496
                   696.4                     -0.19437871
                     699                       -0.187125
                   701.6                     -0.18001584
                   704.2                     -0.17240502
                   706.8                     -0.16395389
                   709.4                     -0.15485954
                     712                     -0.14570742
                   714.6                     -0.13708382
                   717.2                     -0.12924217
                   719.8                     -0.12205224
                   722.4                     -0.11518545
                     725                     -0.10838477
                   727.6                     -0.10163458
                   730.2                    -0.095137247
                   732.8                    -0.089151811
                   735.4                    -0.083831632
                     738                    -0.079165927
                   740.6                    -0.075023545
                   743.2                    -0.071245922
                   745.8                    -0.067727358
                   748.4                    -0.064442591
                     751                    -0.061422368
                   753.6                    -0.058707306
                   756.2                     -0.05631366
                   758.8                    -0.054221465
                   761.4                    -0.052387215
                     764                     -0.05075623
                   766.6                    -0.049282151
                   769.2                    -0.047932725
                   771.8                    -0.046691633
                   774.4                    -0.045554647
                     777                    -0.044525584
                   779.6                    -0.043609705
                   782.2                    -0.042806336
                   784.8                     -0.04210504
                   787.4                    -0.041485421
                     790                    -0.040921901
                   792.6                    -0.040390751
                   795.2                    -0.039879614
                   797.8                    -0.039389085
                   800.4                    -0.038931158
                     803                     -0.03851822
                   805.6                     -0.03815546
                   808.2                    -0.037834407
                   810.8                    -0.037536533
                   813.4                    -0.037239753
                     816                    -0.036929833
                   818.6                    -0.036605437
                   821.2                    -0.036276855
                   823.8                    -0.035958586
                   826.4                    -0.035659386
                     829                    -0.035376892
                   831.6                    -0.035098093
                   834.2                    -0.034805673
                   836.8                    -0.034487094
                   839.4                    -0.034139933
                     842                    -0.033771919
                   844.6                    -0.033394958
                   847.2                    -0.033017503
                   849.8                    -0.032639979
                   852.4                    -0.032254427
                     855                    -0.031849167
                   857.6                    -0.031415627
                   860.2                    -0.030951825
                   862.8                    -0.030462772
                   865.4                    -0.029956787
                     868                    -0.029440686
                   870.6                    -0.028915852
                   873.2                    -0.028378578
                   875.8                    -0.027823263
                   878.4                    -0.027245053
                     881                    -0.026643241
                   883.6                    -0.026020501
                   886.2                    -0.025381792
                   888.8                    -0.024730848
                   891.4                    -0.024069567
                     894                    -0.023397365
                   896.6                    -0.022712671
                   899.2                    -0.022014348
                   901.8                    -0.021302168
                   904.4                    -0.020576911
                     907                    -0.019840159
                   909.6                    -0.019092969
                   912.2                    -0.018336577
                   914.8                    -0.017571959
                   917.4                      -0.0168001
                     920                    -0.016021823
                   922.6                    -0.015237266
                   925.2                    -0.014445572
                   927.8                    -0.013645731
                   930.4                    -0.012837167
                     933                    -0.012020707
                   935.6                    -0.011198356
                   938.2                    -0.010372777
                   940.8                   -0.0095464404
                   943.4                    -0.008720727
                     946                   -0.0078967559
                   948.6                     -0.00707634
                   951.2                   -0.0062636942
                   953.8                    -0.005466295
                   956.4                   -0.0046949209
                     959                   -0.0039642023
                   961.6                   -0.0032930435
                   964.2                   -0.0027068371
                   966.8                   -0.0022402802
                   969.4                   -0.0019400372
                     972                   -0.0018678854
                   974.6                   -0.0021041302
                   977.2                   -0.0027530738
                   979.8                   -0.0039530862
                   982.4                   -0.0058899122
                     985                   -0.0088110086
                   987.6                    -0.013039258
                   990.2                    -0.018985145
                   992.8                    -0.027163137
                   995.4                    -0.038219002
                     998                    -0.052970586
                  1000.6                    -0.072451988
                  1003.2                    -0.097938965
                  1005.8                     -0.13092921
                  1008.4                     -0.17306228
                    1011                     -0.22598037
                  1013.6                     -0.29112333
                  1016.2                     -0.36942402
                  1018.8                     -0.46084225
                  1021.4                     -0.56375374
                    1024                     -0.67441472
                  1026.6                     -0.78692645
                  1029.2                     -0.89403742
                  1031.8                     -0.98863593
                  1034.4                      -1.0652847
                    1037                      -1.1211349
                  1039.6                       -1.155995
                  1042.2                      -1.1717817
                  1044.8                      -1.1717064
                  1047.4                      -1.1594734
                    1050                      -1.1386807
                  1052.6                      -1.1124334
                  1055.2                      -1.0831787
                  1057.8                      -1.0526874
                  1060.4                      -1.0221354
                    1063                      -0.9922517
                  1065.6                     -0.96347726
                  1068.2                     -0.93610376
                  1070.8                     -0.91035171
                  1073.4                     -0.88638132
                    1076                     -0.86427083
                  1078.6                     -0.84398509
                  1081.2                     -0.82539234
                  1083.8                     -0.80831624
                  1086.4                     -0.79260208
                    1089                     -0.77816666
                  1091.6                       -0.764996
                  1094.2                     -0.75309944
                  1096.8                     -0.74245436
