        Frequency / GHz                S1,2 (1)/abs,dB
----------------------------------------------------------------------
                       0                      -212.14746
                  0.0035                      -149.30281
                   0.007                      -134.97973
                  0.0105                      -126.02484
                   0.014                      -119.72593
                  0.0175                      -115.12058
                   0.021                      -111.73754
                  0.0245                      -109.29716
                   0.028                       -107.5547
                  0.0315                      -106.12294
                   0.035                      -104.32867
                  0.0385                      -101.63479
                   0.042                      -98.331031
                  0.0455                      -95.022377
                   0.049                      -92.024914
                  0.0525                      -89.420605
                   0.056                      -87.203818
                  0.0595                      -85.345976
                   0.063                      -83.815012
                  0.0665                      -82.577901
                    0.07                      -81.595988
                  0.0735                       -80.81532
                   0.077                      -80.153408
                  0.0805                      -79.489844
                   0.084                      -78.681322
                  0.0875                      -77.619835
                   0.091                      -76.299898
                  0.0945                      -74.817765
                   0.098                      -73.303267
                  0.1015                      -71.861355
                   0.105                      -70.556443
                  0.1085                      -69.420318
                   0.112                      -68.463116
                  0.1155                      -67.680011
                   0.119                      -67.053069
                  0.1225                      -66.549411
                   0.126                      -66.117783
                  0.1295                      -65.687924
                   0.133                      -65.179962
                  0.1365                       -64.52864
                    0.14                       -63.71251
                  0.1435                      -62.764207
                   0.147                      -61.751601
                  0.1505                      -60.747783
                   0.154                      -59.811231
                  0.1575                      -58.980174
                   0.161                      -58.274505
                  0.1645                      -57.699034
                   0.168                      -57.245291
                  0.1715                       -56.89144
                   0.175                      -56.601351
                  0.1785                      -56.325316
                   0.182                      -56.006201
                  0.1855                      -55.593635
                   0.189                      -55.062243
                  0.1925                      -54.422398
                   0.196                      -53.714662
                  0.1995                      -52.992648
                   0.203                      -52.306537
                  0.2065                      -51.694218
                    0.21                      -51.179119
                  0.2135                      -50.771071
                   0.217                      -50.467411
                  0.2205                      -50.253338
                   0.224                      -50.101765
                  0.2275                      -49.974213
                   0.231                      -49.825068
                  0.2345                      -49.611132
                   0.238                      -49.304847
                  0.2415                      -48.904513
                   0.245                      -48.434414
                  0.2485                      -47.934771
                   0.252                      -47.448601
                  0.2555                      -47.012118
                   0.259                      -46.650445
                  0.2625                      -46.376748
                   0.266                      -46.192653
                  0.2695                      -46.088559
                   0.273                      -46.043773
                  0.2765                      -46.027264
                    0.28                      -46.000683
                  0.2835                        -45.9252
                   0.287                      -45.771715
                  0.2905                      -45.530444
                   0.294                      -45.214162
                  0.2975                      -44.852868
                   0.301                      -44.483596
                  0.3045                      -44.140961
                   0.308                      -43.851539
                  0.3115                      -43.631652
                   0.315                       -43.48702
                  0.3185                      -43.412845
                   0.322                      -43.393982
                  0.3255                      -43.405466
                   0.329                      -43.414629
                  0.3325                      -43.386064
                   0.336                      -43.289717
                  0.3395                      -43.109776
                   0.343                      -42.849881
                  0.3465                      -42.531402
                    0.35                      -42.186004
                  0.3535                      -41.846823
                   0.357                      -41.541941
                  0.3605                      -41.290957
                   0.364                      -41.103787
                  0.3675                      -40.980385
                   0.371                      -40.910751
                  0.3745                      -40.875237
                   0.378                      -40.845921
                  0.3815                      -40.790168
                   0.385                      -40.677014
                  0.3885                      -40.485323
                   0.392                      -40.210346
                  0.3955                      -39.865053
                   0.399                      -39.475517
                  0.4025                       -39.07312
                   0.406                      -38.687439
                  0.4095                      -38.341603
                   0.413                      -38.050078
                  0.4165                      -37.817838
                    0.42                      -37.640017
                  0.4235                      -37.501931
                   0.427                      -37.379792
                  0.4305                      -37.243082
                   0.434                      -37.059457
                  0.4375                      -36.802105
                   0.441                      -36.457309
                  0.4445                      -36.028712
                   0.448                       -35.53582
                  0.4515                      -35.007858
                   0.455                      -34.476252
                  0.4585                      -33.968725
                   0.462                      -33.505679
                  0.4655                        -33.0984
                   0.469                      -32.748096
                  0.4725                      -32.445373
                   0.476                        -32.1702
                  0.4795                      -31.893142
                   0.483                      -31.578793
                  0.4865                      -31.192201
                    0.49                      -30.707404
                  0.4935                      -30.115095
                   0.497                      -29.425468
                  0.5005                      -28.664908
                   0.504                      -27.868656
                  0.5075                      -27.073066
                   0.511                      -26.309814
                  0.5145                      -25.601963
                   0.518                      -24.961291
                  0.5215                      -24.386185
                   0.525                      -23.860225
                  0.5285                       -23.35186
                   0.532                       -22.81616
                  0.5355                       -22.19998
                   0.539                      -21.451902
                  0.5425                      -20.536335
                   0.546                      -19.447418
                  0.5495                      -18.216566
                   0.553                      -16.910935
                  0.5565                      -15.624176
                    0.56                      -14.460316
                  0.5635                      -13.509463
                   0.567                      -12.821198
                  0.5705                      -12.392993
                   0.574                      -12.184815
                  0.5775                       -12.14746
                   0.581                      -12.244439
                  0.5845                      -12.459727
                   0.588                      -12.794962
                  0.5915                      -13.260643
                   0.595                      -13.864203
                  0.5985                       -14.59656
                   0.602                      -15.419695
                  0.6055                      -16.258258
                   0.609                      -17.001117
                  0.6125                      -17.523805
                   0.616                      -17.737728
                  0.6195                      -17.639439
                   0.623                       -17.31393
                  0.6265                      -16.889688
                    0.63                      -16.489843
                  0.6335                      -16.205332
                   0.637                      -16.085647
                  0.6405                      -16.139745
                   0.644                      -16.345016
                  0.6475                      -16.661476
                   0.651                       -17.04514
                  0.6545                      -17.456696
                   0.658                      -17.865501
                  0.6615                      -18.250671
                   0.665                      -18.601071
                  0.6685                      -18.914779
                   0.672                      -19.197781
                  0.6755                      -19.461315
                   0.679                      -19.718173
                  0.6825                      -19.978907
                   0.686                      -20.249416
                  0.6895                      -20.530454
                   0.693                      -20.818765
                  0.6965                       -21.10893
                     0.7                      -21.395025
                  0.7035                      -21.671756
                   0.707                      -21.935071
                  0.7105                      -22.182379
                   0.714                      -22.412607
                  0.7175                      -22.626094
                   0.721                      -22.824309
                  0.7245                      -23.009457
                   0.728                      -23.183932
                  0.7315                      -23.349808
                   0.735                      -23.508523
                  0.7385                      -23.660885
                   0.742                      -23.807304
                  0.7455                      -23.948185
                   0.749                      -24.084242
                  0.7525                      -24.216732
                   0.756                      -24.347436
                  0.7595                      -24.478536
                   0.763                      -24.612224
                  0.7665                       -24.75033
                    0.77                      -24.893801
                  0.7735                      -25.042387
                   0.777                      -25.194504
                  0.7805                      -25.347581
                   0.784                      -25.498745
                  0.7875                      -25.645592
                   0.791                      -25.786908
                  0.7945                      -25.923086
                   0.798                      -26.056052
                  0.8015                      -26.188903
                   0.805                      -26.325245
                  0.8085                       -26.46848
                   0.812                        -26.6211
                  0.8155                      -26.784073
                   0.819                      -26.956622
                  0.8225                      -27.136145
                   0.826                      -27.318726
                  0.8295                      -27.499817
                   0.833                      -27.675259
                  0.8365                      -27.842026
                    0.84                      -27.998913
                  0.8435                      -28.146631
                   0.847                      -28.287515
                  0.8505                      -28.424892
                   0.854                      -28.562373
                  0.8575                      -28.703033
                   0.861                      -28.848984
                  0.8645                      -29.000987
                   0.868                      -29.158575
                  0.8715                      -29.320186
                   0.875                      -29.483793
                  0.8785                      -29.647366
                   0.882                      -29.809528
                  0.8855                      -29.970023
                   0.889                      -30.129911
                  0.8925                      -30.291647
                   0.896                      -30.458728
                  0.8995                      -30.635373
                   0.903                      -30.825916
                  0.9065                      -31.034594
                    0.91                      -31.265375
                  0.9135                      -31.522026
                   0.917                       -31.80864
                  0.9205                      -32.130138
                   0.924                      -32.492978
                  0.9275                      -32.905966
                   0.931                      -33.381005
                  0.9345                      -33.934122
                   0.938                      -34.586636
                  0.9415                      -35.367346
                   0.945                      -36.316169
                  0.9485                      -37.490703
                   0.952                      -38.979687
                  0.9555                      -40.931355
                   0.959                      -43.617423
                  0.9625                      -47.546553
                   0.966                      -52.345056
                  0.9695                      -49.655466
                   0.973                      -44.562522
                  0.9765                      -40.954063
                    0.98                      -38.292478
                  0.9835                      -36.212508
                   0.987                      -34.527572
                  0.9905                      -33.136635
                   0.994                      -31.981231
                  0.9975                      -31.024734
                   1.001                       -30.24167
                  1.0045                      -29.612268
                   1.008                      -29.120154
                  1.0115                      -28.751762
                   1.015                      -28.496234
                  1.0185                      -28.345064
                   1.022                      -28.291073
                  1.0255                      -28.326927
                   1.029                      -28.443688
                  1.0325                      -28.629829
                   1.036                      -28.871358
                  1.0395                       -29.15289
                   1.043                      -29.459306
                  1.0465                      -29.777552
                    1.05                      -30.098028
                  1.0535                      -30.415216
                   1.057                      -30.727674
                  1.0605                      -31.037258
                   1.064                      -31.348047
                  1.0675                      -31.665063
                   1.071                      -31.992971
                  1.0745                      -32.335057
                   1.078                      -32.692521
                  1.0815                      -33.064233
                   1.085                      -33.446882
                  1.0885                      -33.835535
                   1.092                      -34.224478
                  1.0955                       -34.60816
                   1.099                      -34.982076
                  1.1025                      -35.343462
                   1.106                      -35.691695
                  1.1095                      -36.028308
                   1.113                      -36.356652
                  1.1165                       -36.68137
                    1.12                      -37.007711
                  1.1235                      -37.340909
                   1.127                      -37.685531
                  1.1305                      -38.045017
                   1.134                       -38.42126
                  1.1375                      -38.814363
                   1.141                      -39.222545
                  1.1445                      -39.642227
                   1.148                      -40.068418
                  1.1515                      -40.495141
                   1.155                      -40.916024
                  1.1585                      -41.324738
                   1.162                      -41.715374
                  1.1655                      -42.082641
                   1.169                      -42.422234
                  1.1725                      -42.731256
                   1.176                      -43.009038
                  1.1795                      -43.258055
                   1.183                      -43.484821
                  1.1865                        -43.7004
                    1.19                      -43.920472
                  1.1935                      -44.164255
                   1.197                      -44.452544
                  1.2005                      -44.805151
                   1.204                      -45.237086
                  1.2075                      -45.755259
                   1.211                       -46.35564
                  1.2145                      -47.021498
                   1.218                      -47.722296
                  1.2215                      -48.413352
                   1.225                      -49.036102
                  1.2285                       -49.52271
                   1.232                      -49.806695
                  1.2355                      -49.839522
                   1.239                      -49.605166
                  1.2425                      -49.122078
                   1.246                      -48.432549
                  1.2495                      -47.587461
                   1.253                       -46.63569
                  1.2565                      -45.620039
                    1.26                      -44.576735
                  1.2635                      -43.536527
                   1.267                      -42.525849
                  1.2705                      -41.566991
                   1.274                       -40.67819
                  1.2775                      -39.872746
                   1.281                      -39.158404
                  1.2845                      -38.537081
                   1.288                      -38.005007
                  1.2915                      -37.553796
                   1.295                      -37.171848
                  1.2985                      -36.845953
                   1.302                      -36.562575
                  1.3055                      -36.308889
                   1.309                      -36.073365
                  1.3125                      -35.845996
                   1.316                      -35.618395
                  1.3195                      -35.383762
                   1.323                      -35.136908
                  1.3265                      -34.874427
                    1.33                        -34.5948
                  1.3335                       -34.29858
                   1.337                      -33.988362
                  1.3405                      -33.668334
                   1.344                      -33.343754
                  1.3475                      -33.020107
                   1.351                      -32.702446
                  1.3545                      -32.394687
                   1.358                      -32.099328
                  1.3615                      -31.817194
                   1.365                      -31.547512
                  1.3685                      -31.288133
                   1.372                      -31.035989
                  1.3755                      -30.787696
                   1.379                      -30.540386
                  1.3825                      -30.292597
                   1.386                      -30.045054
                  1.3895                      -29.801208
                   1.393                      -29.567375
                  1.3965                      -29.352444
                     1.4                      -29.167219
                  1.4035                      -29.023539
                   1.407                      -28.933325
                  1.4105                      -28.907615
                   1.414                      -28.955648
                  1.4175                      -29.083999
                   1.421                      -29.295784
                  1.4245                      -29.589504
                   1.428                      -29.957789
                  1.4315                      -30.385413
                   1.435                       -30.84648
