        Frequency / GHz                s_C_h1=2.9/real
----------------------------------------------------------------------
                    0.69                      0.33017163
                    0.78                      0.10608919
                    0.87                      0.14538856
                    0.96                     0.034623743
                     1.7                     0.089196903
                     1.8                     0.046708945
                     1.9                     0.026353154
                       2                      0.06973371
                     2.1                     0.091554703
                     2.2                     0.087431729
                     2.3                     0.066414823
                     2.4                     0.037471649
                     2.5                     0.062738539
                     2.6                     0.037062877
                     2.7                     0.050311021

        Frequency / GHz                s_C_h1=0.3/real
----------------------------------------------------------------------
                    0.69                      0.48598695
                    0.78                      0.31467294
                    0.87                      0.17677446
                    0.96                      0.05237116
                     1.7                     0.088643658
                     1.8                     0.027136956
                     1.9                     0.039104676
                       2                     0.080391555
                     2.1                     0.089511759
                     2.2                     0.076387698
                     2.3                     0.049029979
                     2.4                     0.021804659
                     2.5                     0.015920384
                     2.6                    0.0030933225
                     2.7                     0.022969019

        Frequency / GHz                s_C_h1=0.5/real
----------------------------------------------------------------------
                    0.69                       0.4754857
                    0.78                      0.30462596
                    0.87                     0.027216239
                    0.96                     0.082546593
                     1.7                     0.035816672
                     1.8                    0.0082084501
                     1.9                     0.020814336
                       2                     0.058045317
                     2.1                     0.073392328
                     2.2                     0.066396708
                     2.3                     0.044538507
                     2.4                     0.019344352
                     2.5                     0.023971153
                     2.6                      0.02099551
                     2.7                     0.063890903

        Frequency / GHz                s_C_h1=0.7/real
----------------------------------------------------------------------
                    0.69                      0.46432327
                    0.78                      0.29186681
                    0.87                     0.046401629
                    0.96                      0.11011333
                     1.7                     0.010751081
                     1.8                     0.011946947
                     1.9                     0.015997481
                       2                     0.054460538
                     2.1                     0.074232036
                     2.2                     0.069643704
                     2.3                     0.049506623
                     2.4                     0.024086126
                     2.5                     0.039900269
                     2.6                     0.032405394
                     2.7                     0.066291805

        Frequency / GHz                s_C_h1=0.9/real
----------------------------------------------------------------------
                    0.69                      0.45215433
                    0.78                      0.25439922
                    0.87                      0.11851562
                    0.96                      0.13206635
                     1.7                     0.019074115
                     1.8                     0.021369871
                     1.9                     0.017113814
                       2                     0.057260057
                     2.1                     0.078436324
                     2.2                     0.074357414
                     2.3                     0.054457664
                     2.4                     0.028303625
                     2.5                     0.049323143
                     2.6                     0.036083076
                     2.7                     0.062782428

        Frequency / GHz                s_C_h1=1.1/real
----------------------------------------------------------------------
                    0.69                      0.43813996
                    0.78                     0.096912106
                    0.87                      0.15923902
                    0.96                      0.14736087
                     1.7                     0.036685057
                     1.8                     0.029060542
                     1.9                     0.019261524
                       2                     0.060425483
                     2.1                       0.0819731
                     2.2                     0.077957513
                     2.3                     0.057934338
                     2.4                     0.031106916
                     2.5                     0.054366131
                     2.6                     0.037245649
                     2.7                      0.05969197

        Frequency / GHz                s_C_h1=1.3/real
----------------------------------------------------------------------
                    0.69                      0.41986175
                    0.78                     0.084561236
                    0.87                       0.1779777
                    0.96                      0.15608664
                     1.7                     0.051584381
                     1.8                      0.03438158
                     1.9                      0.02110552
                       2                     0.062888338
                     2.1                     0.084541645
                     2.2                     0.080506751
                     2.3                     0.060301013
                     2.4                     0.032949781
                     2.5                     0.057235834
                     2.6                      0.03759625
                     2.7                     0.057380726

        Frequency / GHz                s_C_h1=1.5/real
----------------------------------------------------------------------
                    0.69                      0.38875465
                    0.78                      0.13110754
                    0.87                       0.1851634
                    0.96                      0.15876042
                     1.7                     0.062398656
                     1.8                     0.038009507
                     1.9                     0.022504287
                       2                      0.06470184
                     2.1                     0.086394424
                     2.2                      0.08233233
                     2.3                     0.061955944
                     2.4                     0.034207959
                     2.5                     0.058996781
                     2.6                     0.037658066
                     2.7                      0.05565282

        Frequency / GHz                s_C_h1=1.7/real
----------------------------------------------------------------------
                    0.69                      0.31706405
                    0.78                      0.14567445
                    0.87                       0.1860321
                    0.96                      0.15591204
                     1.7                     0.070110055
                     1.8                      0.04054081
                     1.9                     0.023547271
                       2                     0.066045685
                     2.1                     0.087761183
                     2.2                     0.083677494
                     2.3                      0.06315549
                     2.4                       0.0351043
                     2.5                     0.060149867
                     2.6                     0.037611143
                     2.7                      0.05433027

        Frequency / GHz                s_C_h1=1.9/real
----------------------------------------------------------------------
                    0.69                      0.28708407
                    0.78                      0.14673935
                    0.87                      0.18317547
                    0.96                      0.14789765
                     1.7                     0.075707998
                     1.8                     0.042362574
                     1.9                     0.024333838
                       2                     0.067062576
                     2.1                     0.088797239
                     2.2                     0.084698376
                     2.3                     0.064054846
                     2.4                     0.035767621
                     2.5                     0.060945752
                     2.6                     0.037524151
                     2.7                     0.053291913

        Frequency / GHz                s_C_h1=2.1/real
----------------------------------------------------------------------
                    0.69                      0.34044924
                    0.78                      0.14204964
                    0.87                      0.17796397
                    0.96                      0.13484744
                     1.7                     0.079879235
                     1.8                     0.043713977
                     1.9                     0.024938385
                       2                     0.067850089
                     2.1                       0.0896031
                     2.2                     0.085494101
                     2.3                     0.064749199
                     2.4                     0.036274563
                     2.5                     0.061518974
                     2.6                     0.037425145
                     2.7                     0.052457804

        Frequency / GHz                s_C_h1=2.3/real
----------------------------------------------------------------------
                    0.69                      0.35305714
                    0.78                      0.13459005
                    0.87                      0.17117815
                    0.96                      0.11670434
                     1.7                     0.083069795
                     1.8                     0.044744115
                     1.9                      0.02541242
                       2                     0.068473403
                     2.1                     0.090244372
                     2.2                     0.086128825
                     2.3                      0.06529883
                     2.4                     0.036672578
                     2.5                     0.061946366
                     2.6                     0.037325979
                     2.7                     0.051774355

        Frequency / GHz                s_C_h1=2.5/real
----------------------------------------------------------------------
                    0.69                      0.34973009
                    0.78                      0.12569864
                    0.87                      0.16329496
                    0.96                     0.093391903
                     1.7                     0.085569011
                     1.8                     0.045548254
                     1.9                       0.0257912
                       2                     0.068976467
                     2.1                     0.090764864
                     2.2                     0.086645275
                     2.3                     0.065743198
                     2.4                     0.036992238
                     2.5                     0.062274268
                     2.6                     0.037231554
                     2.7                     0.051204827

        Frequency / GHz                s_C_h1=2.7/real
----------------------------------------------------------------------
                    0.69                      0.34107346
                    0.78                      0.11606515
                    0.87                      0.15462602
                    0.96                     0.065298211
                     1.7                     0.087568209
                     1.8                     0.046189063
                     1.9                     0.026099064
                       2                     0.069389495
                     2.1                     0.091194602
