        Frequency / GHz                S2,1 (174)/abs,dB
----------------------------------------------------------------------
                       0                      -207.66277
                  0.0035                      -149.08351
                   0.007                      -134.67016
                  0.0105                      -125.65673
                   0.014                      -119.31089
                  0.0175                      -114.65496
                   0.021                      -111.20675
                  0.0245                      -108.67609
                   0.028                      -106.81158
                  0.0315                      -105.24842
                   0.035                      -103.40718
                  0.0385                      -100.82135
                   0.042                      -97.676712
                  0.0455                      -94.479299
                   0.049                       -91.53839
                  0.0525                      -88.953969
                   0.056                      -86.733848
                  0.0595                       -84.85664
                   0.063                      -83.293762
                  0.0665                      -82.014049
                    0.07                      -80.980855
                  0.0735                      -80.144551
                   0.077                      -79.432137
                  0.0805                       -78.73971
                   0.084                      -77.942581
                  0.0875                       -76.93811
                   0.091                      -75.702004
                  0.0945                      -74.300698
                   0.098                       -72.84436
                  0.1015                      -71.433121
                   0.105                      -70.134547
                  0.1085                      -68.985433
                   0.112                      -68.000387
                  0.1155                      -67.178456
                   0.119                      -66.505878
                  0.1225                      -65.955608
                   0.126                      -65.485209
                  0.1295                       -65.03625
                   0.133                      -64.540335
                  0.1365                      -63.936034
                    0.14                      -63.192313
                  0.1435                      -62.322451
                   0.147                      -61.375981
                  0.1505                      -60.415998
                   0.154                      -59.499052
                  0.1575                      -58.665896
                   0.161                      -57.940514
                  0.1645                      -57.332231
                   0.168                      -56.837626
                  0.1715                      -56.441217
                   0.175                      -56.115299
                  0.1785                      -55.820523
                   0.182                      -55.509719
                  0.1855                       -55.13724
                   0.189                      -54.672612
                  0.1925                       -54.11183
                   0.196                      -53.478374
                  0.1995                      -52.813156
                   0.203                      -52.160653
                  0.2065                      -51.558618
                    0.21                      -51.033441
                  0.2135                      -50.599362
                   0.217                      -50.259091
                  0.2205                      -50.004414
                   0.224                      -49.816533
                  0.2275                      -49.666812
                   0.231                      -49.519396
                  0.2345                      -49.337132
                   0.238                      -49.090715
                  0.2415                      -48.767865
                   0.245                      -48.377352
                  0.2485                      -47.945234
                   0.252                      -47.505814
                  0.2555                      -47.092477
                   0.259                      -46.731716
                  0.2625                      -46.440513
                   0.266                      -46.225816
                  0.2695                       -46.08468
                   0.273                      -46.004621
                  0.2765                      -45.964271
                    0.28                      -45.935187
                  0.2835                      -45.885885
                   0.287                      -45.788373
                  0.2905                      -45.625699
                   0.294                      -45.397123
                  0.2975                      -45.117932
                   0.301                      -44.814078
                  0.3045                      -44.514673
                   0.308                      -44.245703
                  0.3115                      -44.026251
                   0.315                      -43.866909
                  0.3185                      -43.769365
                   0.322                      -43.726492
                  0.3255                      -43.722788
                   0.329                      -43.735623
                  0.3325                      -43.738011
                   0.336                       -43.70344
                  0.3395                      -43.612131
                   0.343                      -43.456606
                  0.3465                      -43.243773
                    0.35                      -42.992469
                  0.3535                      -42.727776
                   0.357                      -42.474954
                  0.3605                        -42.2549
                   0.364                      -42.081607
                  0.3675                      -41.961068
                   0.371                      -41.890974
                  0.3745                      -41.860868
                   0.378                      -41.852909
                  0.3815                      -41.843762
                   0.385                      -41.808191
                  0.3885                      -41.724285
                   0.392                      -41.579061
                  0.3955                      -41.372156
                   0.399                      -41.115768
                  0.4025                      -40.830883
                   0.406                       -40.54179
                  0.4095                      -40.271025
                   0.413                      -40.035929
                  0.4165                      -39.846769
                    0.42                      -39.705893
                  0.4235                      -39.607497
                   0.427                      -39.537953
                  0.4305                       -39.47698
                   0.434                      -39.400243
                  0.4375                       -39.28369
                   0.441                      -39.109015
                  0.4445                      -38.868617
                   0.448                      -38.567747
                  0.4515                      -38.222892
                   0.455                      -37.857184
                  0.4585                      -37.495087
                   0.462                      -37.157949
                  0.4655                      -36.861132
