        Frequency / MHz                S1,2 (31765)/abs,dB
----------------------------------------------------------------------
                     400                      -43.800026
                   402.6                      -43.529501
                   405.2                       -43.32253
                   407.8                      -43.209042
                   410.4                      -43.170343
                     413                      -43.147963
                   415.6                      -43.071203
                   418.2                      -42.898222
                   420.8                      -42.643338
                   423.4                      -42.364858
                     426                      -42.126426
                   428.6                      -41.964058
                   431.2                      -41.872261
                   433.8                      -41.807653
                   436.4                      -41.709436
                     439                      -41.533121
                   441.6                      -41.278311
                   444.2                      -40.987163
                   446.8                      -40.715938
                   449.4                      -40.503766
                     452                      -40.355313
                   454.6                      -40.239997
                   457.2                      -40.106971
                   459.8                      -39.912549
                   462.4                      -39.646278
                     465                      -39.336247
                   467.6                      -39.029768
                   470.2                      -38.765688
                   472.8                       -38.55541
                   475.4                      -38.378917
                     478                      -38.195554
                   480.6                      -37.965859
                   483.2                      -37.674081
                   485.8                      -37.336629
                   488.4                      -36.990274
                     491                      -36.669616
                   493.6                      -36.388922
                   496.2                      -36.136642
                   498.8                      -35.883031
                   501.4                      -35.596567
                     504                      -35.261078
                   506.6                        -34.8838
                   509.2                      -34.488988
                   511.8                      -34.102127
                   514.4                      -33.735807
                     517                      -33.385069
                   519.6                      -33.032714
                   522.2                      -32.659702
                   524.8                      -32.254768
                   527.4                      -31.818377
                     530                      -31.359306
                   532.6                      -30.887193
                   535.2                      -30.406973
                   537.8                      -29.918732
                   540.4                      -29.421355
                     543                      -28.915251
                   545.6                      -28.401068
                   548.2                      -27.874797
                   550.8                      -27.323822
                   553.4                      -26.730154
                     556                      -26.081028
                   558.6                        -25.3808
                   561.2                      -24.654306
                   563.8                      -23.937688
                   566.4                      -23.258164
                     569                       -22.61013
                   571.6                      -21.943318
                   574.2                      -21.180517
                   576.8                       -20.26705
                   579.4                      -19.224171
                     582                      -18.166474
                   584.6                      -17.269994
                   587.2                      -16.704565
                   589.8                      -16.564683
                   592.4                      -16.849682
                     595                      -17.504471
                   597.6                      -18.465325
                   600.2                       -19.65574
                   602.8                       -20.91295
                   605.4                      -21.887143
                     608                      -22.176446
                   610.6                      -21.813036
                   613.2                      -21.252947
                   615.8                      -20.859204
                   618.4                      -20.743375
                     621                      -20.861384
                   623.6                      -21.099093
                   626.2                      -21.324292
                   628.8                      -21.438805
                   631.4                      -21.425623
                     634                      -21.346321
                   636.6                      -21.285136
                   639.2                      -21.295103
                   641.8                      -21.380828
                   644.4                       -21.50778
                     647                      -21.622062
                   649.6                      -21.675999
                   652.2                      -21.652866
                   654.8                      -21.574187
                   657.4                      -21.482003
                     660                      -21.412684
                   662.6                       -21.38179
                   665.2                      -21.382474
                   667.8                      -21.391429
                   670.4                      -21.379708
                     673                      -21.327005
                   675.6                      -21.232691
                   678.2                      -21.115587
                   680.8                        -21.0034
                   683.4                      -20.920286
                     686                      -20.877638
                   688.6                      -20.869311
                   691.2                      -20.873424
                   693.8                      -20.863428
