        Frequency / GHz                S2,1 (1)/abs,dB
----------------------------------------------------------------------
                       0                      -216.09301
                  0.0035                      -146.38874
                   0.007                      -133.13988
                  0.0105                      -124.89794
                   0.014                      -119.04361
                  0.0175                      -114.77039
                   0.021                      -111.72966
                  0.0245                      -109.78878
                   0.028                      -108.98513
                  0.0315                      -109.55731
                   0.035                      -111.65951
                  0.0385                       -110.6636
                   0.042                      -104.25343
                  0.0455                      -98.863406
                   0.049                      -94.762181
                  0.0525                       -91.54723
                   0.056                       -88.98338
                  0.0595                      -86.939972
                   0.063                      -85.342163
                  0.0665                      -84.146563
                    0.07                      -83.326997
                  0.0735                      -82.860909
                   0.077                      -82.705439
                  0.0805                      -82.744721
                   0.084                      -82.698814
                  0.0875                      -82.112496
                   0.091                      -80.707599
                  0.0945                      -78.735074
                   0.098                      -76.641171
                  0.1015                       -74.70084
                   0.105                      -73.019394
                  0.1085                      -71.622468
                   0.112                      -70.507307
                  0.1155                      -69.662291
                   0.119                      -69.071451
                  0.1225                       -68.71092
                   0.126                      -68.538294
                  0.1295                      -68.474045
                   0.133                      -68.381126
                  0.1365                      -68.072995
                    0.14                      -67.395793
                  0.1435                      -66.344407
                   0.147                      -65.064553
                  0.1505                      -63.737547
                   0.154                      -62.495557
                  0.1575                      -61.411453
                   0.161                      -60.518012
                  0.1645                       -59.82529
                   0.168                      -59.329647
                  0.1715                      -59.015734
                   0.175                      -58.853067
                  0.1785                      -58.788564
                   0.182                      -58.739015
                  0.1855                      -58.594673
                   0.189                      -58.249915
                  0.1925                      -57.656734
                   0.196                      -56.855135
                  0.1995                      -55.945207
                   0.203                      -55.033293
                  0.2065                      -54.199462
                    0.21                      -53.492568
                  0.2135                      -52.937082
                   0.217                       -52.54027
                  0.2205                      -52.295902
                   0.224                      -52.184272
                  0.2275                      -52.169387
                   0.231                      -52.195673
                  0.2345                       -52.18931
                   0.238                      -52.071789
                  0.2415                      -51.787744
                   0.245                      -51.331757
                  0.2485                      -50.750301
                   0.252                      -50.116849
                  0.2555                      -49.502862
                   0.259                      -48.962203
                  0.2625                      -48.528504
                   0.266                      -48.218159
                  0.2695                      -48.033519
                   0.273                        -47.9643
                  0.2765                      -47.987067
                    0.28                      -48.063872
                  0.2835                      -48.142694
                   0.287                      -48.163652
                  0.2905                      -48.073899
                   0.294                      -47.847014
                  0.2975                      -47.494306
                   0.301                      -47.058632
                  0.3045                      -46.596009
                   0.308                      -46.158434
                  0.3115                      -45.785008
                   0.315                      -45.500169
                  0.3185                      -45.314946
                   0.322                      -45.228432
                  0.3255                      -45.228278
                   0.329                      -45.290389
                  0.3325                      -45.378946
                   0.336                       -45.44894
                  0.3395                      -45.453644
                   0.343                      -45.357145
                  0.3465                      -45.146997
                    0.35                        -44.8389
                  0.3535                      -44.469848
                   0.357                      -44.084966
                  0.3605                      -43.725908
                   0.364                      -43.424662
                  0.3675                      -43.201795
                   0.371                      -43.066791
                  0.3745                      -43.018602
                   0.378                      -43.045699
                  0.3815                      -43.125717
