        Frequency / GHz                C_l3=2.9/real
----------------------------------------------------------------------
                    0.69                      0.33017163
                    0.78                      0.10608919
                    0.87                      0.14538856
                    0.96                     0.034623743
                     1.7                     0.089196903
                     1.8                     0.046708945
                     1.9                     0.026353154
                       2                      0.06973371
                     2.1                     0.091554703
                     2.2                     0.087431729
                     2.3                     0.066414823
                     2.4                     0.037471649
                     2.5                     0.062738539
                     2.6                     0.037062877
                     2.7                     0.050311021

        Frequency / GHz                C_l3=0.3/real
----------------------------------------------------------------------
                    0.69                      0.33753982
                    0.78                     0.089195961
                    0.87                        0.148532
                    0.96                     0.059345333
                     1.7                      0.12326283
                     1.8                     0.054726399
                     1.9                     0.026871147
                       2                      0.04953496
                     2.1                     0.050622019
                     2.2                     0.050788733
                     2.3                         0.05701
                     2.4                     0.030094368
                     2.5                     0.073527929
                     2.6                     0.040099825
                     2.7                     0.052935906

        Frequency / GHz                C_l3=0.5/real
----------------------------------------------------------------------
                    0.69                      0.33710861
                    0.78                     0.090052393
                    0.87                      0.14850566
                    0.96                     0.058760376
                     1.7                      0.12348977
                     1.8                     0.053450794
                     1.9                     0.026036546
                       2                     0.046231662
                     2.1                     0.044340327
                     2.2                     0.048249897
                     2.3                      0.06082422
                     2.4                     0.030344876
                     2.5                     0.076629667
                     2.6                     0.038560461
                     2.7                     0.050029425

        Frequency / GHz                C_l3=0.7/real
----------------------------------------------------------------------
                    0.69                      0.33665974
                    0.78                     0.090959644
                    0.87                       0.1484698
                    0.96                     0.058081285
                     1.7                      0.12328235
                     1.8                     0.051424357
                     1.9                     0.024652256
                       2                     0.041128042
                     2.1                     0.035340551
                     2.2                     0.049076957
                     2.3                     0.069146573
                     2.4                     0.029584601
                     2.5                     0.073356883
                     2.6                     0.024292926
                     2.7                     0.019421358

        Frequency / GHz                C_l3=0.9/real
----------------------------------------------------------------------
                    0.69                      0.33619217
                    0.78                     0.091922216
                    0.87                      0.14842178
                    0.96                     0.057285691
                     1.7                      0.12212621
                     1.8                     0.048004442
                     1.9                     0.022139155
                       2                     0.032662847
                     2.1                     0.024412434
                     2.2                     0.060220112
                     2.3                     0.066767964
                     2.4                    0.0024096561
                     2.5                     0.076046969
                     2.6                     0.062903059
                     2.7                     0.050346101

        Frequency / GHz                C_l3=1.1/real
----------------------------------------------------------------------
                    0.69                       0.3357047
                    0.78                     0.092945122
                    0.87                      0.14835834
                    0.96                     0.056344656
                     1.7                       0.1187888
                     1.8                     0.041695181
                     1.9                     0.016960053
                       2                     0.018175459
                     2.1                       0.0187399
                     2.2                     0.016861987
                     2.3                      0.11153084
                     2.4                     0.067526995
                     2.5                     0.090899504
                     2.6                     0.044471649
                     2.7                      0.04385833

        Frequency / GHz                C_l3=1.3/real
----------------------------------------------------------------------
                    0.69                      0.33519607
                    0.78                     0.094033995
                    0.87                      0.14827502
                    0.96                     0.055220677
                     1.7                      0.10976868
                     1.8                     0.027982951
                     1.9                    0.0058326989
                       2                      0.01433509
                     2.1                      0.11773211
                     2.2                      0.14879431
                     2.3                      0.10004647
                     2.4                      0.05544506
                     2.5                     0.075327263
                     2.6                     0.038486205
                     2.7                     0.045211329

        Frequency / GHz                C_l3=1.5/real
----------------------------------------------------------------------
                    0.69                      0.33466494
                    0.78                     0.095195191
                    0.87                      0.14816599
                    0.96                     0.053865445
                     1.7                     0.081646956
                     1.8                    0.0014243464
                     1.9                      0.02098075
                       2                     0.043453341
                     2.1                      0.12252341
                     2.2                      0.12624609
                     2.3                     0.087545801
                     2.4                     0.048712704
                     2.5                     0.068537321
                     2.6                      0.03695547
                     2.7                     0.046873224

        Frequency / GHz                C_l3=1.7/real
----------------------------------------------------------------------
                    0.69                      0.33410973
                    0.78                     0.096435888
                    0.87                      0.14802325
                    0.96                      0.05221822
                     1.7                      0.06341262
                     1.8                      0.04580389
                     1.9                    0.0099805669
                       2                     0.065068429
                     2.1                      0.11462954
                     2.2                      0.11258628
                     2.3                     0.079976057
                     2.4                     0.044718747
                     2.5                     0.065581543
                     2.6                     0.036624404
                     2.7                     0.047995166

        Frequency / GHz                C_l3=1.9/real
----------------------------------------------------------------------
                    0.69                      0.33352893
                    0.78                     0.097764079
                    0.87                      0.14783589
                    0.96                     0.050206745
                     1.7                      0.19995375
                     1.8                     0.032668367
                     1.9                     0.011934171
                       2                     0.071411911
                     2.1                      0.10744372
                     2.2                      0.10402163
                     2.3                     0.075277762
                     2.4                     0.042230914
                     2.5                     0.064192382
                     2.6                     0.036618074
                     2.7                     0.048741441

        Frequency / GHz                C_l3=2.1/real
----------------------------------------------------------------------
                    0.69                      0.33292067
                    0.78                     0.099189047
                    0.87                      0.14758871
                    0.96                      0.04775603
                     1.7                      0.16556492
                     1.8                     0.030783852
                     1.9                     0.017767676
                       2                      0.07229571
                     2.1                      0.10217883
                     2.2                     0.098335098
                     2.3                     0.072191022
                     2.4                     0.040586245
                     2.5                     0.063490303
                     2.6                      0.03669986
                     2.7                     0.049259105

        Frequency / GHz                C_l3=2.3/real
----------------------------------------------------------------------
                    0.69                      0.33228303
                    0.78                      0.10072118
                    0.87                      0.14726008
                    0.96                     0.044816339
                     1.7                      0.13661085
                     1.8                     0.035044961
                     1.9                     0.021737259
                       2                     0.071834628
                     2.1                     0.098348465
                     2.2                     0.094345949
                     2.3                     0.070050036
                     2.4                     0.039438572
                     2.5                     0.063116501
                     2.6                     0.036800014
                     2.7                     0.049634344

        Frequency / GHz                C_l3=2.5/real
----------------------------------------------------------------------
                    0.69                       0.3316139
                    0.78                      0.10237246
                    0.87                      0.14681874
                    0.96                       0.0414295
                     1.7                      0.11241942
                     1.8                     0.039968988
                     1.9                     0.024066507
                       2                     0.071102753
                     2.1                     0.095488522
                     2.2                     0.091416482
                     2.3                     0.068495785
                     2.4                     0.038600854
                     2.5                     0.062911557
                     2.6                     0.036897113
                     2.7                     0.049916818

        Frequency / GHz                C_l3=2.7/real
----------------------------------------------------------------------
                    0.69                      0.33091095
                    0.78                      0.10415655
                    0.87                      0.14621832
                    0.96                     0.037844383
                     1.7                     0.096756632
                     1.8                     0.043871734
                     1.9                     0.025466377
                       2                     0.070379774
                     2.1                     0.093289962
                     2.2                      0.08918423
                     2.3                     0.067324625
