        Frequency / GHz                S2,1 (1)/abs,dB
----------------------------------------------------------------------
                       0                      -210.50734
                  0.0035                      -100.11096
                   0.007                      -93.135596
                  0.0105                       -88.63357
                   0.014                      -85.437504
                  0.0175                      -83.224976
                   0.021                      -81.877796
                  0.0245                       -81.40134
                   0.028                      -81.958116
                  0.0315                      -84.060534
                   0.035                      -89.477307
                  0.0385                      -92.606286
                   0.042                      -82.349629
                  0.0455                      -76.815268
                   0.049                      -73.148689
                  0.0525                      -70.494628
                   0.056                      -68.523593
                  0.0595                      -67.080263
                   0.063                      -66.085527
                  0.0665                      -65.501027
                    0.07                      -65.313291
                  0.0735                      -65.522224
                   0.077                      -66.119356
                  0.0805                      -67.020868
                   0.084                      -67.884241
                  0.0875                      -67.931462
                   0.091                      -66.644348
                  0.0945                      -64.609339
                   0.098                      -62.566859
                  0.1015                      -60.817213
                   0.105                       -59.42121
                  0.1085                      -58.369711
                   0.112                      -57.641405
                  0.1155                      -57.217387
                   0.119                      -57.081801
                  0.1225                      -57.215572
                   0.126                      -57.581234
                  0.1295                      -58.091994
                   0.133                      -58.564676
                  0.1365                      -58.708629
                    0.14                      -58.277646
                  0.1435                       -57.31099
                   0.147                      -56.086453
                  0.1505                      -54.868559
                   0.154                      -53.806023
                  0.1575                      -52.961387
                   0.161                      -52.354413
                  0.1645                      -51.986381
                   0.168                      -51.849392
                  0.1715                        -51.9265
                   0.175                      -52.184558
                  0.1785                      -52.559509
                   0.182                      -52.937468
                  0.1855                      -53.152204
                   0.189                      -53.040571
                  0.1925                      -52.550947
                   0.196                      -51.785755
                  0.1995                      -50.917021
                   0.203                      -50.089381
                  0.2065                      -49.390877
                    0.21                      -48.865337
                  0.2135                      -48.530031
                   0.217                      -48.386537
                  0.2205                      -48.424337
                   0.224                      -48.618451
                  0.2275                      -48.921986
                   0.231                      -49.256344
                  0.2345                      -49.508912
                   0.238                       -49.55765
                  0.2415                      -49.329272
                   0.245                      -48.847304
                  0.2485                      -48.214172
                   0.252                      -47.549462
                  0.2555                      -46.946336
                   0.259                      -46.462556
                  0.2625                      -46.128017
                   0.266                      -45.953661
                  0.2695                      -45.936395
                   0.273                      -46.059429
                  0.2765                      -46.288683
                    0.28                      -46.567038
                  0.2835                      -46.811843
                   0.287                      -46.926413
                  0.2905                       -46.83375
                   0.294                      -46.516964
                  0.2975                      -46.028921
                   0.301                      -45.460517
                  0.3045                      -44.900245
                   0.308                       -44.41341
                  0.3115                      -44.040042
                   0.315                      -43.800061
                  0.3185                      -43.698008
                   0.322                      -43.724874
                  0.3255                      -43.856739
                   0.329                      -44.051269
                  0.3325                      -44.245201
                   0.336                      -44.359379
                  0.3395                      -44.318731
                   0.343                      -44.083795
                  0.3465                      -43.671444
                    0.35                      -43.144799
                  0.3535                      -42.582533
                   0.357                      -42.053165
                  0.3605                      -41.604957
                   0.364                      -41.266451
                  0.3675                      -41.049952
                   0.371                       -40.95394
                  0.3745                      -40.963094
                   0.378                      -41.046215
                  0.3815                      -41.153824
                   0.385                      -41.219627
                  0.3885                      -41.172027
                   0.392                      -40.957767
                  0.3955                      -40.566268
                   0.399                      -40.034735
                  0.4025                      -39.429221
                   0.406                      -38.818698
                  0.4095                      -38.258675
                   0.413                      -37.786553
                  0.4165                      -37.423009
                    0.42                      -37.174295
                  0.4235                      -37.033079
                   0.427                      -36.977387
                  0.4305                      -36.968367
                   0.434                      -36.949601
                  0.4375                      -36.852849
                   0.441                      -36.614999
                  0.4445                      -36.202732
                   0.448                      -35.628776
                  0.4515                      -34.945542
                   0.455                      -34.222141
                  0.4585                      -33.522895
                   0.462                      -32.896743
                  0.4655                      -32.375503
                   0.469                      -31.975433
                  0.4725                      -31.698622
                   0.476                      -31.532755
                  0.4795                      -31.449274
                   0.483                      -31.401241
                  0.4865                      -31.324495
                    0.49                      -31.148271
                  0.4935                      -30.818343
                   0.497                      -30.323102
                  0.5005                      -29.701862
                   0.504                      -29.027205
                  0.5075                      -28.377086
                   0.511                       -27.81551
                  0.5145                      -27.385884
                   0.518                      -27.112064
                  0.5215                      -27.001409
                   0.525                      -27.046737
                  0.5285                      -27.225529
                   0.532                      -27.495729
                  0.5355                      -27.789807
                   0.539                      -28.013435
                  0.5425                      -28.061728
                   0.546                      -27.859518
                  0.5495                      -27.402017
                   0.553                      -26.755169
                  0.5565                      -26.015528
                    0.56                      -25.270962
                  0.5635                      -24.585575
                   0.567                      -24.002475
                  0.5705                      -23.551323
