        Frequency / GHz                S1,1 (41)/abs,dB
----------------------------------------------------------------------
                       0                 -1.0423068e-006
                  0.0035                  2.1139504e-007
                   0.007                  3.4161464e-007
                  0.0105                 -8.8433242e-007
                   0.014                 -4.8817364e-006
                  0.0175                 -1.2409771e-005
                   0.021                 -2.2901385e-005
                  0.0245                 -3.4223806e-005
                   0.028                 -4.3015818e-005
                  0.0315                 -4.5606119e-005
                   0.035                 -3.9314354e-005
                  0.0385                 -2.3708648e-005
                   0.042                 -1.4805999e-006
                  0.0455                  2.1489581e-005
                   0.049                  3.6948149e-005
                  0.0525                  3.6087057e-005
                   0.056                  1.1774219e-005
                  0.0595                 -3.9112634e-005
                   0.063                  -0.00011381329
                  0.0665                  -0.00020328787
                    0.07                  -0.00029307756
                  0.0735                  -0.00036598074
                   0.077                   -0.0004057636
                  0.0805                  -0.00040149694
                   0.084                  -0.00035111074
                  0.0875                  -0.00026325651
                   0.091                  -0.00015738305
                  0.0945                 -6.0601543e-005
                   0.098                  -3.134559e-006
                  0.1015                 -1.1511736e-005
                   0.105                  -0.00010261194
                  0.1085                  -0.00027828433
                   0.112                  -0.00052308162
                  0.1155                  -0.00080507241
                   0.119                   -0.0010809072
                  0.1225                    -0.001303818
                   0.126                   -0.0014337153
                  0.1295                   -0.0014467117
                   0.133                   -0.0013420115
                  0.1365                   -0.0011445101
                    0.14                  -0.00090234986
                  0.1435                  -0.00067891082
                   0.147                   -0.0005408428
                  0.1505                  -0.00054491548
                   0.154                  -0.00072491684
                  0.1575                    -0.001083152
                   0.161                   -0.0015862859
                  0.1645                   -0.0021694613
                   0.168                   -0.0027468715
                  0.1715                   -0.0032277572
                   0.175                   -0.0035355312
                  0.1785                   -0.0036246554
                   0.182                   -0.0034915944
                  0.1855                   -0.0031798713
                   0.189                   -0.0027727577
                  0.1925                   -0.0023798763
                   0.196                     -0.00211564
                  0.1995                   -0.0020776378
                   0.203                    -0.002325872
                  0.2065                    -0.002867939
                    0.21                   -0.0036550219
                  0.2135                   -0.0045877924
                   0.217                   -0.0055330907
                  0.2205                    -0.006349846
                   0.224                   -0.0069156396
                  0.2275                   -0.0071550211
                   0.231                   -0.0070543932
                  0.2345                   -0.0066691186
                   0.238                   -0.0061139565
                  0.2415                   -0.0055429334
                   0.245                   -0.0051203219
                  0.2485                   -0.0049899793
                   0.252                   -0.0052455318
                  0.2555                   -0.0059110782
                   0.259                   -0.0069331664
                  0.2625                   -0.0081887244
                   0.266                   -0.0095050364
                  0.2695                    -0.010692504
                   0.273                    -0.011582403
                  0.2765                    -0.012059731
                    0.28                    -0.012088932
                  0.2835                    -0.011721682
                   0.287                    -0.011090256
                  0.2905                    -0.010382773
                   0.294                   -0.0098089904
                  0.2975                   -0.0095598948
                   0.301                   -0.0097729198
                  0.3045                    -0.010503809
                   0.308                    -0.011713701
                  0.3115                     -0.01327234
                   0.315                    -0.014981368
                  0.3185                     -0.01660884
                   0.322                    -0.017934626
                  0.3255                    -0.018793549
                   0.329                    -0.019109225
                  0.3325                    -0.018911449
                   0.336                    -0.018332145
                  0.3395                    -0.017582619
                   0.343                    -0.016915061
                  0.3465                    -0.016577274
                    0.35                     -0.01676547
                  0.3535                    -0.017589663
                   0.357                    -0.019047486
                  0.3605                    -0.021021567
                   0.364                    -0.023297659
                  0.3675                    -0.025599756
                   0.371                    -0.027642825
                  0.3745                    -0.029187625
                   0.378                    -0.030090455
                  0.3815                    -0.030333366
                   0.385                    -0.030032291
                  0.3885                    -0.029418109
                   0.392                    -0.028797301
                  0.3955                    -0.028498384
                   0.399                    -0.028814437
                  0.4025                    -0.029948451
                   0.406                    -0.031974081
                  0.4095                    -0.034813175
                   0.413                    -0.038242996
                  0.4165                    -0.041927922
                    0.42                    -0.045479597
                  0.4235                    -0.048531015
                   0.427                    -0.050813808
                  0.4305                    -0.052215718
                   0.434                    -0.052812276
                  0.4375                    -0.052861671
                   0.441                    -0.052766645
                  0.4445                    -0.053009808
                   0.448                    -0.054077562
                  0.4515                    -0.056377048
                   0.455                    -0.060159101
                  0.4585                     -0.06546132
                   0.462                    -0.072078289
                  0.4655                    -0.079577652
                   0.469                    -0.087364136
                  0.4725                     -0.09479144
                   0.476                     -0.10129928
                  0.4795                      -0.1065444
                   0.483                     -0.11049855
                  0.4865                     -0.11348524
                    0.49                     -0.11615665
                  0.4935                     -0.11942055
                   0.497                       -0.124327
                  0.5005                      -0.1319283
                   0.504                     -0.14311421
                  0.5075                     -0.15843528
                   0.511                     -0.17792966
                  0.5145                     -0.20101718
                   0.518                     -0.22650742
                  0.5215                     -0.25280256
                   0.525                     -0.27826528
                  0.5285                     -0.30169045
                   0.532                     -0.32273254
                  0.5355                      -0.3421816
                   0.539                      -0.3620593
                  0.5425                       -0.385561
                   0.546                     -0.41687053
                  0.5495                     -0.46075095
                   0.553                      -0.5216031
                  0.5565                     -0.60165281
                    0.56                     -0.69830928
                  0.5635                     -0.80222696
                   0.567                     -0.89893235
                  0.5705                      -0.9751791
                   0.574                      -1.0256739
                  0.5775                      -1.0542902
