        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                 -1.0423068e-006
                  0.0035                  2.1141599e-007
                   0.007                  3.4175002e-007
                  0.0105                 -8.8512049e-007
                   0.014                 -4.8894641e-006
                  0.0175                 -1.2440433e-005
                   0.021                 -2.2982763e-005
                  0.0245                 -3.4389078e-005
                   0.028                 -4.3286651e-005
                  0.0315                 -4.5968782e-005
                   0.035                 -3.9699412e-005
                  0.0385                 -2.3988882e-005
                   0.042                 -1.5013655e-006
                  0.0455                  2.1842158e-005
                   0.049                  3.7648679e-005
                  0.0525                  3.6869401e-005
                   0.056                  1.2063396e-005
                  0.0595                 -4.0191943e-005
                   0.063                  -0.00011731624
                  0.0665                  -0.00021022029
                    0.07                  -0.00030408461
                  0.0735                  -0.00038103535
                   0.077                  -0.00042395243
                  0.0805                  -0.00042101764
                   0.084                  -0.00036954553
                  0.0875                   -0.0002781218
                   0.091                  -0.00016690381
                  0.0945                 -6.4514535e-005
                   0.098                 -3.3494322e-006
                  0.1015                  -1.234946e-005
                   0.105                  -0.00011050771
                  0.1085                  -0.00030084442
                   0.112                  -0.00056762201
                  0.1155                  -0.00087686425
                   0.119                    -0.001181563
                  0.1225                     -0.00143025
                   0.126                   -0.0015780904
                  0.1295                    -0.001597586
                   0.133                   -0.0014865617
                  0.1365                   -0.0012714921
                    0.14                   -0.0010051965
                  0.1435                  -0.00075818805
                   0.147                   -0.0006053718
                  0.1505                  -0.00061116823
                   0.154                  -0.00081449518
                  0.1575                   -0.0012188163
                   0.161                   -0.0017871106
                  0.1645                   -0.0024463028
                   0.168                   -0.0030991875
                  0.1715                   -0.0036426767
                   0.175                   -0.0039897018
                  0.1785                   -0.0040885702
                   0.182                   -0.0039354848
                  0.1855                   -0.0035801632
                   0.189                   -0.0031172542
                  0.1925                   -0.0026707302
                   0.196                   -0.0023690984
                  0.1995                   -0.0023207691
                   0.203                    -0.002590774
                  0.2065                   -0.0031846382
                    0.21                    -0.004044779
                  0.2135                   -0.0050582003
                   0.217                   -0.0060761199
                  0.2205                   -0.0069434187
                   0.224                   -0.0075281118
                  0.2275                   -0.0077518708
                   0.231                   -0.0076050465
                  0.2345                   -0.0071526728
                   0.238                   -0.0065222555
                  0.2415                   -0.0058805257
                   0.245                   -0.0054014412
                  0.2485                   -0.0052335163
                   0.252                   -0.0054692266
                  0.2555                   -0.0061265234
                   0.259                   -0.0071427732
                  0.2625                    -0.008385377
                   0.266                   -0.0096743337
                  0.2695                    -0.010816928
                   0.273                    -0.011646155
                  0.2765                    -0.012052798
                    0.28                    -0.012009245
                  0.2835                    -0.011574707
                   0.287                    -0.010886103
                  0.2905                    -0.010131601
                   0.294                   -0.0095159543
                  0.2975                   -0.0092210981
                   0.301                   -0.0093735333
                  0.3045                    -0.010019153
                   0.308                    -0.011113303
                  0.3115                    -0.012526277
                   0.315                    -0.014067352
                  0.3185                    -0.015518427
                   0.322                    -0.016676666
                  0.3255                    -0.017393809
                   0.329                    -0.017605861
                  0.3325                    -0.017347037
                   0.336                    -0.016743917
                  0.3395                    -0.015992926
                   0.343                    -0.015324218
                  0.3465                    -0.014960401
                    0.35                    -0.015074512
                  0.3535                    -0.015760144
                   0.357                    -0.017009638
                  0.3605                    -0.018713493
                   0.364                    -0.020677975
                  0.3675                    -0.022657235
                   0.371                    -0.024400258
                  0.3745                    -0.025698834
                   0.378                    -0.026430422
                  0.3815                    -0.026583433
                   0.385                    -0.026263074
                  0.3885                    -0.025673708
                   0.392                    -0.025083808
                  0.3955                    -0.024779059
                   0.399                    -0.025012601
                  0.4025                    -0.025958184
                   0.406                    -0.027676988
                  0.4095                    -0.030099049
                   0.413                    -0.033030244
                  0.4165                    -0.036180137
                    0.42                    -0.039213974
                  0.4235                    -0.041816356
                   0.427                    -0.043757404
                  0.4305                    -0.044941787
                   0.434                    -0.045435603
                  0.4375                    -0.045461734
                   0.441                     -0.04536703
                  0.4445                     -0.04556681
                   0.448                    -0.046479655
                  0.4515                    -0.048456258
                   0.455                    -0.051713384
                  0.4585                    -0.056284946
                   0.462                    -0.061996214
                  0.4655                    -0.068477187
                   0.469                    -0.075217071
                  0.4725                    -0.081659988
                   0.476                    -0.087322681
                  0.4795                    -0.091907609
                   0.483                    -0.095388119
                  0.4865                    -0.098041409
                    0.49                     -0.10042999
                  0.4935                     -0.10333995
                   0.497                     -0.10768404
                  0.5005                     -0.11438112
                   0.504                     -0.12421345
                  0.5075                     -0.13767256
                   0.511                     -0.15480703
                  0.5145                     -0.17512725
                   0.518                     -0.19760882
                  0.5215                     -0.22086562
                   0.525                     -0.24346896
                  0.5285                     -0.26436051
                   0.532                     -0.28323056
                  0.5355                     -0.30076681
                   0.539                      -0.3187474
                  0.5425                     -0.33999943
                   0.546                      -0.3682451
                  0.5495                      -0.4077482
                   0.553                     -0.46248406
                  0.5565                     -0.53452273
                    0.56                     -0.62165159
                  0.5635                     -0.71559944
                   0.567                     -0.80344255
                  0.5705                     -0.87327661
                   0.574                     -0.92027346
                  0.5775                     -0.94782223
