        Frequency / GHz                C_l3=0.3/real
----------------------------------------------------------------------
                    0.69                      0.75092653
                    0.78                      0.38686768
                    0.87                      0.51132973
                    0.96                     0.028867957
                     1.7                     0.020005211
                     1.8                   0.00052578329
                     1.9                     0.010466439
                       2                     0.027306767
                     2.1                     0.034601557
                     2.2                     0.029386497
                     2.3                     0.036761293
                     2.4                     0.019225005
                     2.5                     0.031844888
                     2.6                     0.011078413
                     2.7                     0.015180788

        Frequency / GHz                C_l3=0.5/real
----------------------------------------------------------------------
                    0.69                      0.75020338
                    0.78                      0.38999614
                    0.87                      0.50956387
                    0.96                     0.028133201
                     1.7                     0.018925469
                     1.8                   0.00042257944
                     1.9                     0.010467655
                       2                     0.026742728
                     2.1                     0.031779359
                     2.2                     0.028007721
                     2.3                     0.043441577
                     2.4                     0.024187874
                     2.5                     0.035557564
                     2.6                     0.011447017
                     2.7                     0.016484729

        Frequency / GHz                C_l3=0.7/real
----------------------------------------------------------------------
                    0.69                      0.74945216
                    0.78                       0.3933074
                    0.87                      0.50758918
                    0.96                     0.027391853
                     1.7                      0.01746533
                     1.8                   0.00043817943
                     1.9                     0.010419849
                       2                     0.025773757
                     2.1                     0.027695194
                     2.2                     0.028306801
                     2.3                     0.059416397
                     2.4                     0.032101207
                     2.5                     0.039778112
                     2.6                     0.014238387
                     2.7                     0.031652007

        Frequency / GHz                C_l3=0.9/real
----------------------------------------------------------------------
                    0.69                      0.74867137
                    0.78                      0.39681737
                    0.87                      0.50536966
                    0.96                     0.026666018
                     1.7                     0.015446407
                     1.8                   0.00080425893
                     1.9                     0.010195664
                       2                     0.024043103
                     2.1                     0.022079494
                     2.2                     0.037385753
                     2.3                     0.087816788
                     2.4                     0.037935573
                     2.5                    0.0037350862
                     2.6                   0.00030451205
                     2.7                    0.0010185189

        Frequency / GHz                C_l3=1.1/real
----------------------------------------------------------------------
                    0.69                      0.74785908
                    0.78                      0.40054361
                    0.87                      0.50286055
                    0.96                     0.025992306
                     1.7                     0.012618992
                     1.8                     0.002304178
                     1.9                    0.0093069306
                       2                     0.021207461
                     2.1                     0.017787727
                     2.2                      0.07883634
                     2.3                      0.06861553
                     2.4                     0.024521559
                     2.5                    0.0080650262
                     2.6                    0.0007692321
                     2.7                    0.0019331092

        Frequency / GHz                C_l3=1.3/real
----------------------------------------------------------------------
                    0.69                      0.74701334
                    0.78                      0.40450561
                    0.87                      0.50000632
                    0.96                     0.025430029
                     1.7                    0.0088453829
                     1.8                    0.0088217987
                     1.9                    0.0066222849
                       2                      0.01687619
                     2.1                      0.04221461
                     2.2                     0.087909897
                     2.3                     0.060469602
                     2.4                     0.018058952
                     2.5                    0.0058159159
                     2.6                    0.0023860094
                     2.7                     0.004657531

        Frequency / GHz                C_l3=1.5/real
----------------------------------------------------------------------
                    0.69                       0.7461323
                    0.78                      0.40872495
                    0.87                      0.49673762
                    0.96                     0.025074939
                     1.7                    0.0071501764
                     1.8                     0.056824474
                     1.9                     0.028962501
                       2                    0.0092747549
                     2.1                     0.058625231
                     2.2                     0.074898106
                     2.3                     0.050560393
                     2.4                      0.01397213
                     2.5                    0.0062318977
                     2.6                    0.0038629679
                     2.7                    0.0065363695

        Frequency / GHz                C_l3=1.7/real
----------------------------------------------------------------------
                    0.69                      0.74521356
                    0.78                      0.41322629
                    0.87                      0.49296598
                    0.96                     0.025080758
                     1.7                      0.11752493
                     1.8                     0.031522825
                     1.9                     0.022195932
                       2                     0.013721444
                     2.1                     0.061779026
                     2.2                      0.06562675
                     2.3                     0.044821559
                     2.4                     0.011901383
                     2.5                    0.0073416064
                     2.6                    0.0048768873
                     2.7                    0.0076913352

        Frequency / GHz                C_l3=1.9/real
----------------------------------------------------------------------
                    0.69                      0.74425461
                    0.78                      0.41803676
                    0.87                      0.48857859
                    0.96                     0.025692843
                     1.7                     0.080021527
                     1.8                     0.010857355
                     1.9                     0.017635126
                       2                     0.018914755
                     2.1                     0.060367719
                     2.2                     0.059908832
                     2.3                     0.041450112
                     2.4                     0.010825927
                     2.5                    0.0084407497
                     2.6                    0.0055630917
                     2.7                    0.0084377531

        Frequency / GHz                C_l3=2.1/real
----------------------------------------------------------------------
                    0.69                      0.74325294
                    0.78                      0.42318709
                    0.87                      0.48342858
                    0.96                      0.02729693
                     1.7                     0.031308157
                     1.8                    0.0083180226
                     1.9                     0.014832287
                       2                     0.022174617
                     2.1                     0.058509526
                     2.2                     0.056221595
                     2.3                     0.039332587
                     2.4                       0.0102346
                     2.5                    0.0093802439
                     2.6                    0.0060443544
                     2.7                    0.0089505547

        Frequency / GHz                C_l3=2.3/real
----------------------------------------------------------------------
                    0.69                      0.74220557
                    0.78                       0.4287119
                    0.87                      0.47732314
                    0.96                     0.030480018
                     1.7                     0.019287415
                     1.8                    0.0077146306
                     1.9                     0.013238289
                       2                     0.024057522
                     2.1                     0.056928466
                     2.2                     0.053697161
                     2.3                     0.037916323
                     2.4                    0.0098921488
                     2.5                     0.010156454
                     2.6                    0.0063957379
                     2.7                    0.0093214283

        Frequency / GHz                C_l3=2.5/real
----------------------------------------------------------------------
                    0.69                      0.74110942
                    0.78                      0.43465001
                    0.87                      0.47000577
                    0.96                     0.036072575
                     1.7                     0.016325702
                     1.8                    0.0072828486
                     1.9                     0.012333331
                       2                     0.025188993
                     2.1                     0.055668224
                     2.2                     0.051877921
                     2.3                     0.036918657
                     2.4                    0.0096856338
                     2.5                     0.010795988
                     2.6                    0.0066616211
                     2.7                     0.009600886

        Frequency / GHz                C_l3=2.7/real
----------------------------------------------------------------------
                    0.69                      0.73996098
                    0.78                      0.44104572
                    0.87                      0.46113007
                    0.96                     0.045070168
                     1.7                     0.016687093
                     1.8                    0.0068571756
                     1.9                     0.011795021
                       2                     0.025910107
                     2.1                     0.054666882
                     2.2                     0.050511757
                     2.3                     0.036185753
                     2.4                      0.00955747
                     2.5                     0.011326756
                     2.6                    0.0068689193
                     2.7                    0.0098184571

        Frequency / GHz                C_l3=2.9/real
----------------------------------------------------------------------
                    0.69                      0.73875644
                    0.78                      0.44794843
                    0.87                      0.45022211
                    0.96                     0.058213683
                     1.7                     0.018014331
                     1.8                    0.0064592471
                     1.9                     0.011456044
                       2                     0.026395398
                     2.1                     0.053861594
                     2.2                     0.049451444
                     2.3                     0.035628744
                     2.4                    0.0094765321
                     2.5                     0.011771819
                     2.6                    0.0070346441
                     2.7                    0.0099923687

