        Frequency / GHz                S2,1 (1)/abs,dB
----------------------------------------------------------------------
                       0                      -212.14749
                  0.0035                      -149.30261
                   0.007                      -134.97958
                  0.0105                      -126.02472
                   0.014                      -119.72582
                  0.0175                      -115.12049
                   0.021                      -111.73747
                  0.0245                      -109.29711
                   0.028                      -107.55469
                  0.0315                      -106.12298
                   0.035                      -104.32876
                  0.0385                      -101.63488
                   0.042                       -98.33109
                  0.0455                      -95.022398
                   0.049                      -92.024909
                  0.0525                      -89.420583
                   0.056                      -87.203787
                  0.0595                      -85.345941
                   0.063                      -83.814976
                  0.0665                       -82.57787
                    0.07                      -81.595963
                  0.0735                      -80.815306
                   0.077                      -80.153408
                  0.0805                      -79.489861
                   0.084                      -78.681351
                  0.0875                      -77.619868
                   0.091                      -76.299927
                  0.0945                      -74.817783
                   0.098                      -73.303272
                  0.1015                      -71.861349
                   0.105                      -70.556428
                  0.1085                      -69.420299
                   0.112                      -68.463096
                  0.1155                      -67.679992
                   0.119                      -67.053054
                  0.1225                      -66.549403
                   0.126                      -66.117783
                  0.1295                      -65.687932
                   0.133                      -65.179978
                  0.1365                      -64.528661
                    0.14                      -63.712528
                  0.1435                      -62.764221
                   0.147                      -61.751607
                  0.1505                      -60.747782
                   0.154                      -59.811223
                  0.1575                      -58.980162
                   0.161                      -58.274492
                  0.1645                       -57.69902
                   0.168                      -57.245281
                  0.1715                      -56.891433
                   0.175                      -56.601349
                  0.1785                      -56.325319
                   0.182                      -56.006209
                  0.1855                      -55.593648
                   0.189                      -55.062257
                  0.1925                      -54.422408
                   0.196                      -53.714668
                  0.1995                      -52.992648
                   0.203                      -52.306533
                  0.2065                      -51.694209
                    0.21                      -51.179109
                  0.2135                       -50.77106
                   0.217                      -50.467401
                  0.2205                      -50.253331
                   0.224                      -50.101763
                  0.2275                      -49.974215
                   0.231                      -49.825072
                  0.2345                       -49.61114
                   0.238                      -49.304856
                  0.2415                      -48.904521
                   0.245                      -48.434417
                  0.2485                      -47.934772
                   0.252                      -47.448597
                  0.2555                      -47.012111
                   0.259                      -46.650436
                  0.2625                      -46.376738
                   0.266                      -46.192645
                  0.2695                      -46.088552
                   0.273                       -46.04377
                  0.2765                      -46.027262
                    0.28                      -46.000686
                  0.2835                      -45.925205
                   0.287                      -45.771722
                  0.2905                       -45.53045
                   0.294                      -45.214166
                  0.2975                      -44.852869
                   0.301                      -44.483592
                  0.3045                      -44.140953
                   0.308                      -43.851531
                  0.3115                      -43.631645
                   0.315                      -43.487012
                  0.3185                       -43.41284
                   0.322                      -43.393979
                  0.3255                      -43.405465
                   0.329                       -43.41463
                  0.3325                      -43.386068
                   0.336                      -43.289721
                  0.3395                      -43.109779
                   0.343                      -42.849885
                  0.3465                        -42.5314
                    0.35                         -42.186
                  0.3535                      -41.846818
                   0.357                      -41.541935
                  0.3605                       -41.29095
                   0.364                       -41.10378
                  0.3675                       -40.98038
                   0.371                      -40.910749
                  0.3745                      -40.875234
                   0.378                      -40.845924
                  0.3815                      -40.790171
                   0.385                      -40.677017
                  0.3885                      -40.485326
                   0.392                      -40.210348
                  0.3955                      -39.865053
                   0.399                      -39.475513
                  0.4025                      -39.073115
                   0.406                      -38.687434
                  0.4095                      -38.341596
                   0.413                      -38.050074
                  0.4165                      -37.817835
                    0.42                      -37.640015
                  0.4235                      -37.501931
                   0.427                      -37.379794
                  0.4305                      -37.243084
                   0.434                       -37.05946
                  0.4375                      -36.802108
                   0.441                      -36.457308
                  0.4445                      -36.028708
                   0.448                      -35.535815
                  0.4515                      -35.007851
                   0.455                      -34.476245
                  0.4585                      -33.968717
                   0.462                      -33.505673
                  0.4655                      -33.098394
                   0.469                      -32.748092
                  0.4725                      -32.445373
                   0.476                      -32.170201
                  0.4795                      -31.893146
                   0.483                      -31.578794
                  0.4865                      -31.192203
                    0.49                      -30.707407
                  0.4935                      -30.115094
                   0.497                      -29.425461
                  0.5005                      -28.664897
                   0.504                      -27.868646
                  0.5075                      -27.073052
                   0.511                      -26.309799
                  0.5145                      -25.601954
                   0.518                      -24.961288
                  0.5215                       -24.38618
                   0.525                      -23.860223
                  0.5285                      -23.351859
                   0.532                      -22.816165
                  0.5355                       -22.19998
                   0.539                        -21.4519
                  0.5425                      -20.536327
                   0.546                      -19.447406
                  0.5495                      -18.216546
                   0.553                      -16.910914
                  0.5565                      -15.624148
                    0.56                       -14.46029
                  0.5635                      -13.509446
                   0.567                      -12.821184
                  0.5705                       -12.39299
                   0.574                      -12.184828
                  0.5775                      -12.147494
                   0.581                      -12.244487
                  0.5845                      -12.459795
                   0.588                      -12.795045
                  0.5915                      -13.260745
                   0.595                      -13.864317
                  0.5985                      -14.596681
                   0.602                      -15.419819
                  0.6055                      -16.258383
                   0.609                      -17.001241
                  0.6125                      -17.523926
                   0.616                      -17.737838
                  0.6195                      -17.639541
                   0.623                      -17.314019
                  0.6265                      -16.889775
                    0.63                      -16.489924
                  0.6335                      -16.205413
                   0.637                      -16.085733
                  0.6405                      -16.139834
                   0.644                      -16.345114
                  0.6475                      -16.661585
                   0.651                      -17.045259
                  0.6545                      -17.456831
                   0.658                       -17.86565
                  0.6615                      -18.250829
                   0.665                      -18.601242
                  0.6685                      -18.914962
                   0.672                      -19.197971
                  0.6755                      -19.461517
                   0.679                      -19.718386
                  0.6825                       -19.97913
                   0.686                      -20.249648
                  0.6895                      -20.530697
                   0.693                      -20.819017
                  0.6965                      -21.109193
                     0.7                      -21.395307
                  0.7035                      -21.672052
                   0.707                      -21.935383
                  0.7105                      -22.182703
                   0.714                      -22.412949
                  0.7175                      -22.626448
                   0.721                      -22.824675
                  0.7245                      -23.009835
                   0.728                      -23.184319
                  0.7315                      -23.350205
                   0.735                      -23.508925
                  0.7385                      -23.661298
                   0.742                      -23.807718
                  0.7455                      -23.948609
                   0.749                      -24.084673
                  0.7525                       -24.21717
                   0.756                      -24.347898
                  0.7595                      -24.478998
                   0.763                      -24.612698
                  0.7665                      -24.750814
                    0.77                      -24.894298
                  0.7735                      -25.042899
                   0.777                      -25.195022
                  0.7805                      -25.348103
                   0.784                       -25.49927
                  0.7875                      -25.646113
                   0.791                      -25.787449
                  0.7945                      -25.923616
                   0.798                      -26.056593
                  0.8015                       -26.18946
                   0.805                      -26.325799
                  0.8085                      -26.469044
                   0.812                      -26.621664
                  0.8155                      -26.784645
                   0.819                      -26.957199
                  0.8225                      -27.136726
                   0.826                      -27.319304
                  0.8295                      -27.500401
                   0.833                      -27.675847
                  0.8365                      -27.842613
                    0.84                      -27.999498
                  0.8435                       -28.14722
                   0.847                      -28.288097
                  0.8505                      -28.425483
                   0.854                      -28.562946
                  0.8575                       -28.70362
                   0.861                      -28.849568
                  0.8645                      -29.001578
                   0.868                      -29.159175
                  0.8715                      -29.320774
                   0.875                      -29.484381
                  0.8785                      -29.647946
                   0.882                      -29.810112
                  0.8855                      -29.970593
                   0.889                      -30.130476
                  0.8925                      -30.292204
                   0.896                      -30.459298
                  0.8995                      -30.635904
                   0.903                       -30.82644
                  0.9065                      -31.035119
                    0.91                      -31.265887
                  0.9135                      -31.522538
                   0.917                      -31.809154
                  0.9205                      -32.130653
                   0.924                      -32.493483
                  0.9275                       -32.90644
                   0.931                      -33.381457
                  0.9345                      -33.934529
                   0.938                      -34.587008
                  0.9415                      -35.367672
                   0.945                      -36.316391
                  0.9485                      -37.490811
                   0.952                       -38.97965
                  0.9555                      -40.931035
                   0.959                      -43.616518
                  0.9625                      -47.543978
                   0.966                      -52.337445
                  0.9695                      -49.652545
                   0.973                      -44.562221
                  0.9765                      -40.954373
                    0.98                      -38.292962
                  0.9835                      -36.213039
                   0.987                       -34.52811
                  0.9905                      -33.137178
                   0.994                      -31.981765
                  0.9975                      -31.025247
                   1.001                      -30.242166
                  1.0045                      -29.612747
                   1.008                      -29.120617
                  1.0115                      -28.752211
                   1.015                      -28.496673
                  1.0185                      -28.345489
                   1.022                      -28.291485
                  1.0255                      -28.327329
                   1.029                      -28.444076
                  1.0325                      -28.630196
                   1.036                      -28.871708
                  1.0395                      -29.153219
                   1.043                      -29.459607
                  1.0465                      -29.777831
                    1.05                      -30.098278
                  1.0535                      -30.415445
                   1.057                      -30.727884
                  1.0605                      -31.037443
                   1.064                      -31.348219
                  1.0675                      -31.665218
                   1.071                      -31.993111
                  1.0745                       -32.33518
                   1.078                      -32.692626
                  1.0815                      -33.064312
                   1.085                      -33.446937
                  1.0885                       -33.83556
                   1.092                       -34.22447
                  1.0955                      -34.608116
                   1.099                      -34.981988
                  1.1025                      -35.343344
                   1.106                      -35.691553
                  1.1095                      -36.028142
                   1.113                      -36.356466
                  1.1165                      -36.681158
                    1.12                      -37.007488
                  1.1235                      -37.340665
                   1.127                      -37.685263
                  1.1305                      -38.044725
                   1.134                      -38.420933
                  1.1375                      -38.813998
