        Frequency / GHz                s_C_h1=2.9/real
----------------------------------------------------------------------
                    0.69                       0.4101714
                    0.78                      0.32112521
                    0.87                       0.2717877
                    0.96                     0.050560067
                     1.7                     0.006470505
                     1.8                    0.0044564711
                     1.9                    0.0013257222
                       2                     0.019495444
                     2.1                      0.02713934
                     2.2                     0.021646117
                     2.3                     0.013133783
                     2.4                    0.0013308909
                     2.5                    0.0069653917
                     2.6                    0.0085539787
                     2.7                     0.004209089

        Frequency / GHz                s_C_h1=0.3/real
----------------------------------------------------------------------
                    0.69                       0.4290135
                    0.78                       0.3974742
                    0.87                    0.0016183724
                    0.96                      0.16048519
                     1.7                   0.00083658376
                     1.8                    0.0032054905
                     1.9                     0.015190422
                       2                      0.03851244
                     2.1                     0.038453098
                     2.2                     0.028871262
                     2.3                     0.020497381
                     2.4                     0.012566724
                     2.5                     0.013012934
                     2.6                    0.0084347033
                     2.7                     0.021094329

        Frequency / GHz                s_C_h1=0.5/real
----------------------------------------------------------------------
                    0.69                      0.41900255
                    0.78                        0.365644
                    0.87                     0.071362175
                    0.96                      0.19704452
                     1.7                   0.00059594985
                     1.8                    0.0021210617
                     1.9                     0.010694962
                       2                     0.024619659
                     2.1                     0.025433052
                     2.2                     0.018760807
                     2.3                     0.011413265
                     2.4                    0.0067822756
                     2.5                    0.0031235076
                     2.6                    0.0012869767
                     2.7                     0.010873934

        Frequency / GHz                s_C_h1=0.7/real
----------------------------------------------------------------------
                    0.69                      0.40629244
                    0.78                      0.29417581
                    0.87                      0.18718611
                    0.96                      0.22900176
                     1.7                     0.001987556
                     1.8                    0.0019856126
                     1.9                    0.0065006572
                       2                     0.017816482
                     2.1                     0.021406684
                     2.2                     0.016089982
                     2.3                    0.0086483966
                     2.4                    0.0032700291
                     2.5                   0.00029536869
                     2.6                    0.0013200403
                     2.7                    0.0055389362

        Frequency / GHz                s_C_h1=0.9/real
----------------------------------------------------------------------
                    0.69                      0.38899477
                    0.78                      0.12949282
                    0.87                      0.26741266
                    0.96                      0.25294447
                     1.7                    0.0034179515
                     1.8                    0.0023379315
                     1.9                     0.003957209
                       2                       0.0159864
                     2.1                     0.021320362
                     2.2                     0.016315019
                     2.3                    0.0085816511
                     2.4                    0.0017774576
                     2.5                   0.00077285611
                     2.6                    0.0030041649
                     2.7                    0.0041307902

        Frequency / GHz                s_C_h1=1.1/real
----------------------------------------------------------------------
                    0.69                      0.36303599
                    0.78                     0.029614748
                    0.87                      0.30619301
                    0.96                      0.26703905
                     1.7                    0.0044316766
                     1.8                    0.0027795655
                     1.9                    0.0026535621
                       2                     0.015959549
                     2.1                     0.022199954
                     2.2                     0.017186964
                     2.3                    0.0092200229
                     2.4                    0.0012051935
                     2.5                     0.001904993
                     2.6                    0.0044415942
                     2.7                    0.0037840838

        Frequency / GHz                s_C_h1=1.3/real
----------------------------------------------------------------------
                    0.69                      0.31865887
                    0.78                      0.17359311
                    0.87                      0.32120396
                    0.96                      0.27113187
                     1.7                     0.005092654
                     1.8                    0.0031661534
                     1.9                    0.0019980801
                       2                     0.016433003
                     2.1                     0.023167573
                     2.2                     0.018075902
                     2.3                    0.0099469225
                     2.4                    0.0010088722
                     2.5                    0.0029810293
                     2.6                    0.0054981468
                     2.7                    0.0037360346

        Frequency / GHz                s_C_h1=1.5/real
----------------------------------------------------------------------
                    0.69                      0.23387594
                    0.78                      0.26785126
                    0.87                      0.32440717
                    0.96                      0.26620558
                     1.7                    0.0055251552
                     1.8                    0.0034756626
                     1.9                    0.0016610993
                       2                     0.016992552
                     2.1                     0.024020734
                     2.2                     0.018845397
                     2.3                     0.010604905
                     2.4                   0.00096780997
                     2.5                    0.0038776428
                     2.6                    0.0062731084
                     2.7                    0.0037787858

        Frequency / GHz                s_C_h1=1.7/real
----------------------------------------------------------------------
                    0.69                      0.14070745
                    0.78                      0.30760215
                    0.87                      0.32174588
                    0.96                       0.2536441
                     1.7                    0.0058164704
                     1.8                    0.0037191193
                     1.9                     0.001484234
                       2                     0.017517626
                     2.1                     0.024734621
                     2.2                     0.019485867
                     2.3                     0.011166875
                     2.4                   0.00099182792
                     2.5                    0.0046053149
                     2.6                    0.0068554744
                     2.7                    0.0038476796

        Frequency / GHz                s_C_h1=1.9/real
----------------------------------------------------------------------
                    0.69                      0.29280213
                    0.78                      0.32422836
                    0.87                      0.31604079
                    0.96                      0.23465417
                     1.7                    0.0060194623
                     1.8                    0.0039117281
                     1.9                    0.0013912859
                       2                     0.017979636
                     2.1                     0.025326129
                     2.2                     0.020016027
                     2.3                      0.01164016
                     2.4                    0.0010423571
                     2.5                     0.005196874
                     2.6                    0.0073051854
                     2.7                    0.0039207288

        Frequency / GHz                s_C_h1=2.1/real
----------------------------------------------------------------------
                    0.69                      0.40037599
                    0.78                      0.33053536
                    0.87                      0.30865462
                    0.96                      0.20993519
                     1.7                    0.0061655509
                     1.8                    0.0040661576
                     1.9                    0.0013441227
                       2                      0.01837821
                     2.1                     0.025818188
                     2.2                     0.020457352
                     2.3                     0.012039107
                     2.4                    0.0011022299
                     2.5                    0.0056826946
                     2.6                    0.0076612149
                     2.7                    0.0039903022

        Frequency / GHz                s_C_h1=2.3/real
----------------------------------------------------------------------
                    0.69                      0.42287703
                    0.78                      0.33162658
                    0.87                      0.30026562
                    0.96                      0.17954664
                     1.7                    0.0062737789
                     1.8                     0.004191865
                     1.9                    0.0013227597
                       2                     0.018720829
                     2.1                     0.026231089
                     2.2                      0.02082814
                     2.3                     0.012377526
                     2.4                    0.0011636314
                     2.5                    0.0060866361
                     2.6                    0.0079492335
                     2.7                    0.0040540067

        Frequency / GHz                s_C_h1=2.5/real
----------------------------------------------------------------------
                    0.69                      0.42320357
                    0.78                      0.32976553
                    0.87                      0.29121994
                    0.96                      0.14294731
                     1.7                    0.0063560271
                     1.8                    0.0042957236
                     1.9                    0.0013162765
                       2                     0.019016164
                     2.1                      0.02658102
                     2.2                     0.021142867
                     2.3                     0.012666966
                     2.4                    0.0012230392
                     2.5                    0.0064266696
                     2.6                    0.0081865864
                     2.7                    0.0041114392

        Frequency / GHz                s_C_h1=2.7/real
----------------------------------------------------------------------
                    0.69                      0.41760973
                    0.78                      0.32606595
                    0.87                      0.28169657
                    0.96                     0.099463848
                     1.7                    0.0064199161
                     1.8                    0.0043827088
                     1.9                     0.001318471
                       2                     0.019272146
                     2.1                     0.026880546
                     2.2                     0.021412662
                     2.3                     0.012916635
                     2.4                    0.0012789618
                     2.5                     0.006716223
                     2.6                    0.0083853092
                     2.7                    0.0041629386

