        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     400                    -0.007509233
                   402.6                   -0.0067587457
                   405.2                   -0.0059572622
                   407.8                   -0.0057974945
                   410.4                   -0.0065479063
                     413                   -0.0078676848
                   415.6                   -0.0090311371
                   418.2                   -0.0094183737
                   420.8                   -0.0089405877
                   423.4                   -0.0081031801
                     426                   -0.0076678744
                   428.6                    -0.008141613
                   431.2                   -0.0094300583
                   433.8                    -0.010889372
                   436.4                    -0.011756249
                     439                    -0.011670558
                   441.6                     -0.01092725
                   444.2                    -0.010284466
                   446.8                    -0.010459342
                   449.4                    -0.011642091
                     452                    -0.013350095
                   454.6                    -0.014740133
                   457.2                    -0.015179813
                   459.8                    -0.014689772
                   462.4                    -0.013942809
                     465                    -0.013824002
                   467.6                    -0.014837791
                   470.2                    -0.016749692
                   472.8                    -0.018715202
                   475.4                     -0.01984215
                     478                    -0.019810727
                   480.6                    -0.019112833
                   483.2                    -0.018743484
                   485.8                    -0.019545493
                   488.4                    -0.021628775
                     491                    -0.024250391
                   493.6                    -0.026285391
                   496.2                    -0.027000122
                   498.8                    -0.026584438
                   501.4                    -0.026063622
                     504                    -0.026643537
                   506.6                      -0.0288988
                   509.2                    -0.032328612
                   511.8                    -0.035622444
                   514.4                    -0.037536065
                     517                    -0.037785603
                   519.6                    -0.037310798
                   522.2                    -0.037712227
                   524.8                    -0.040214021
                   527.4                    -0.044778599
                     530                    -0.049994795
                   532.6                    -0.053955164
                   535.2                    -0.055607643
                   537.8                    -0.055601668
                   540.4                    -0.056000856
                     543                    -0.059026655
                   545.6                    -0.065550833
                   548.2                    -0.074264139
                   550.8                    -0.082305066
                   553.4                    -0.087221969
                     556                    -0.088918732
                   558.6                    -0.090109985
                   561.2                    -0.094948962
                   563.8                     -0.10652301
                   566.4                     -0.12444326
                     569                     -0.14432412
                   571.6                     -0.16055113
                   574.2                     -0.17111312
                   576.8                     -0.18097194
                   579.4                     -0.20193626
                     582                     -0.24909512
                   584.6                     -0.33267093
                   587.2                     -0.44449731
                   589.8                     -0.55026241
                   592.4                     -0.60811955
                     595                     -0.60151678
                   597.6                      -0.5450076
                   600.2                     -0.46462971
                   602.8                     -0.38283102
                   605.4                      -0.3154451
                     608                     -0.27289061
                   610.6                     -0.25990507
                   613.2                     -0.27326125
                   615.8                     -0.30134943
                   618.4                     -0.32969397
                     621                     -0.34966837
                   623.6                     -0.36260841
                   626.2                      -0.3768466
                   628.8                     -0.40153672
                   631.4                     -0.44117011
                     634                     -0.49296306
                   636.6                     -0.54885105
                   639.2                     -0.60148527
                   641.8                     -0.64979743
                   644.4                     -0.69981245
                     647                      -0.7607995
                   649.6                     -0.83969198
                   652.2                     -0.93696985
                   654.8                      -1.0466571
                   657.4                      -1.1611657
                     660                      -1.2778861
                   662.6                       -1.402311
                   665.2                      -1.5454996
                   667.8                      -1.7178638
                   670.4                      -1.9231615
                     673                      -2.1567833
                   675.6                      -2.4104233
                   678.2                      -2.6805084
                   680.8                        -2.97378
                   683.4                      -3.3053868
                     686                      -3.6907666
                   688.6                      -4.1365773
                   691.2                      -4.6372933
                   693.8                      -5.1813057
                   696.4                      -5.7632222
                     699                      -6.3924692
                   701.6                      -7.0900247
                   704.2                       -7.874754
                   706.8                      -8.7483255
                   709.4                       -9.689375
                     712                      -10.663895
                   714.6                      -11.645008
                   717.2                      -12.621264
                   719.8                       -13.57637
                   722.4                      -14.449834
                     725                        -15.1202
                   727.6                      -15.463465
                   730.2                      -15.457547
                   732.8                      -15.197053
                   735.4                      -14.800152
                     738                      -14.338658
                   740.6                      -13.842669
                   743.2                      -13.332412
                   745.8                      -12.835515
                   748.4                      -12.381486
                     751                      -11.988439
                   753.6                      -11.657262
                   756.2                      -11.376097
                   758.8                      -11.130516
                   761.4                      -10.912745
                     764                      -10.724664
                   766.6                      -10.573514
