        Frequency / MHz                S1,1 (31765)/abs,linear
----------------------------------------------------------------------
                     400                      0.99899072
                   402.6                      0.99908869
                   405.2                      0.99919351
                   407.8                      0.99921299
                   410.4                       0.9991113
                     413                      0.99893378
                   415.6                      0.99877726
                   418.2                      0.99872439
                   420.8                      0.99878689
                   423.4                       0.9988971
                     426                      0.99895311
                   428.6                      0.99888723
                   431.2                      0.99871246
                   433.8                      0.99851541
                   436.4                      0.99839835
                     439                      0.99840908
                   441.6                       0.9985075
                   444.2                      0.99859148
                   446.8                      0.99856488
                   449.4                      0.99840276
                     452                      0.99817079
                   454.6                      0.99798271
                   457.2                      0.99792305
                   459.8                      0.99798807
                   462.4                      0.99808648
                     465                      0.99809899
                   467.6                      0.99795823
                   470.2                      0.99769685
                   472.8                      0.99742947
                   475.4                      0.99727613
                     478                      0.99727895
                   480.6                      0.99737053
                   483.2                      0.99741624
                   485.8                       0.9973027
                   488.4                      0.99701596
                     491                      0.99665714
                   493.6                      0.99637818
                   496.2                      0.99627736
                   498.8                      0.99632786
                   501.4                      0.99639084
                     504                        0.996304
                   506.6                      0.99599023
                   509.2                      0.99551756
                   511.8                       0.9950625
                   514.4                      0.99479186
                     517                      0.99474258
                   519.6                      0.99478769
                   522.2                      0.99471235
                   524.8                      0.99435297
                   527.4                      0.99371478
                     530                      0.99298623
                   532.6                      0.99242071
                   535.2                      0.99215586
                   537.8                      0.99210224
                   540.4                      0.99198376
                     543                      0.99150593
                   545.6                      0.99055618
                   548.2                      0.98931044
                   550.8                      0.98814407
                   553.4                      0.98736988
                     556                      0.98698352
                   558.6                      0.98661271
                   561.2                      0.98570876
                   563.8                       0.9838864
                   566.4                      0.98123549
                     569                      0.97835337
                   571.6                      0.97593642
                   574.2                        0.974151
                   576.8                      0.97226051
                   579.4                      0.96877401
                     582                      0.96215945
                   584.6                      0.95215775
                   587.2                      0.94099785
                   589.8                      0.93261066
                   592.4                      0.92975802
                     595                      0.93245886
                   597.6                      0.93902444
                   600.2                      0.94748378
                   602.8                      0.95608933
                   605.4                      0.96329749
                     608                      0.96786104
                   610.6                      0.96923243
                   613.2                      0.96793439
                   615.8                      0.96535018
                   618.4                      0.96291605
                     621                      0.96134116
                   623.6                       0.9603927
                   626.2                      0.95923021
                   628.8                      0.95698888
                   631.4                      0.95331363
                     634                      0.94857172
                   636.6                      0.94357548
                   639.2                       0.9389843
                   641.8                      0.93483815
                   644.4                      0.93053694
                     647                      0.92522307
                   649.6                      0.91831579
                   652.2                      0.90988084
                   654.8                      0.90056943
                   657.4                      0.89110857
                     660                      0.88171583
                   662.6                      0.87188604
                   665.2                      0.86067114
                   667.8                      0.84725567
                   670.4                      0.83147936
                     673                      0.81392867
                   675.6                      0.79546138
                   678.2                       0.7764813
                   680.8                      0.75654423
                   683.4                       0.7345983
                     686                      0.70966611
                   688.6                       0.6815364
                   691.2                      0.65095727
                   693.8                      0.61910682
                   696.4                      0.58669755
                     699                      0.55346389
                   701.6                      0.51846476
                   704.2                      0.48092819
                   706.8                      0.44103049
                   709.4                      0.40001684
                     712                       0.3594996
                   714.6                      0.32046172
                   717.2                      0.28282841
                   719.8                      0.24598066
                   722.4                      0.20980459
                     725                      0.17552502
                   727.6                      0.14580905
                   730.2                      0.12395453
                   732.8                      0.11230976
                   735.4                      0.11090277
                     738                      0.11792305
                   740.6                      0.13131811
                   743.2                       0.1492837
                   745.8                      0.16993168
                   748.4                      0.19134093
                     751                      0.21202549
                   753.6                      0.23128706
                   756.2                      0.24917785
                   758.8                      0.26612776
                   761.4                      0.28248036
                     764                      0.29821725
                   766.6                      0.31300116
                   769.2                      0.32646057
                   771.8                      0.33846686
                   774.4                      0.34921107
                     777                      0.35906829
                   779.6                      0.36835619
                   782.2                      0.37715792
                   784.8                       0.3853202
                   787.4                      0.39261346
                     790                      0.39892567
                   792.6                      0.40435432
                   795.2                      0.40915062
                   797.8                      0.41356596
                   800.4                       0.4177072
                     803                      0.42150077
                   805.6                      0.42477936
                   808.2                      0.42742633
                   810.8                      0.42947164
                   813.4                      0.43108276
                     816                      0.43246115
                   818.6                      0.43372315
                   821.2                      0.43484239
                   823.8                      0.43569397
                   826.4                      0.43616385
                     829                      0.43624197
                   831.6                      0.43604193
                   834.2                      0.43573139
                   836.8                      0.43543007
                   839.4                      0.43514271
                     842                      0.43477503
                   844.6                      0.43421817
                   847.2                      0.43343902
                   849.8                      0.43251459
                   852.4                       0.4315882
                     855                      0.43077919
                   857.6                      0.43011309
                   860.2                      0.42951664
                   862.8                      0.42888521
                   865.4                       0.4281679
                     868                      0.42741439
                   870.6                      0.42674697
                   873.2                      0.42628197
                   875.8                       0.4260564
                   878.4                      0.42601121
                     881                      0.42604239
                   883.6                      0.42608398
                   886.2                      0.42616058
                   888.8                      0.42637358
                   891.4                      0.42683356
                     894                      0.42758408
                   896.6                      0.42857583
                   899.2                      0.42970551
                   901.8                      0.43089308
                   904.4                      0.43214035
                     907                        0.433529
                   909.6                      0.43516211
                   912.2                      0.43708934
                   914.8                      0.43927298
                   917.4                      0.44161323
                     920                      0.44402118
                   922.6                      0.44647941
                   925.2                      0.44905227
                   927.8                      0.45183743
                   930.4                      0.45489347
                     933                      0.45819844
                   935.6                      0.46166354
                   938.2                      0.46519735
                   940.8                      0.46876952
                   943.4                      0.47243034
                     946                      0.47627468
                   948.6                      0.48037472
                   951.2                      0.48472929
                   953.8                      0.48926881
                   956.4                      0.49390742
                     959                      0.49860878
                   961.6                        0.503415
                   964.2                       0.5084232
                   966.8                      0.51372324
                   969.4                       0.5193433
                     972                      0.52524165
                   974.6                      0.53135053
                   977.2                      0.53763935
                   979.8                      0.54415441
                   982.4                      0.55100625
                     985                       0.5583145
                   987.6                      0.56614997
                   990.2                       0.5745146
                   992.8                      0.58337579
                   995.4                      0.59272598
                     998                      0.60262975
                  1000.6                      0.61321617
                  1003.2                      0.62462439
                  1005.8                      0.63693253
                  1008.4                       0.6501122
                    1011                       0.6640346
                  1013.6                      0.67849907
                  1016.2                      0.69324741
                  1018.8                      0.70791427
                  1021.4                       0.7219284
                    1024                      0.73442275
                  1026.6                      0.74425195
                  1029.2                       0.7501815
                  1031.8                      0.75122076
                  1034.4                      0.74695844
                    1037                       0.7377306
                  1039.6                      0.72454627
                  1042.2                      0.70882427
                  1044.8                      0.69206469
                  1047.4                      0.67556782
                    1050                      0.66026777
                  1052.6                      0.64670198
                  1055.2                      0.63508698
                  1057.8                      0.62543658
                  1060.4                      0.61765904
                    1063                      0.61160541
                  1065.6                      0.60708149
                  1068.2                      0.60385781
                  1070.8                      0.60169693
                  1073.4                      0.60039496
                    1076                      0.59981059
                  1078.6                      0.59986393
                  1081.2                      0.60050241
                  1083.8                      0.60165999
                  1086.4                      0.60323792
                    1089                      0.60511971
                  1091.6                      0.60720966
                  1094.2                      0.60946621
                  1096.8                      0.61190066
                  1099.4                       0.6145441
                    1102                      0.61740142
                  1104.6                      0.62042808
                  1107.2                       0.6235432
                  1109.8                      0.62667222
                  1112.4                       0.6297894
                    1115                      0.63292707
                  1117.6                      0.63614465
                  1120.2                      0.63947723
                  1122.8                      0.64290131
                  1125.4                      0.64634056
                    1128                      0.64971046
                  1130.6                      0.65297148
                  1133.2                      0.65615211
                  1135.8                      0.65932367
                  1138.4                      0.66254299
                    1141                      0.66580119
                  1143.6                      0.66901591
                  1146.2                      0.67207509
                  1148.8                      0.67490283
                  1151.4                      0.67750193
                    1154                      0.67993885
                  1156.6                       0.6822803
                  1159.2                      0.68451854
                  1161.8                      0.68653883
                  1164.4                      0.68815655
                    1167                      0.68919859
                  1169.6                      0.68957351
                  1172.2                      0.68927523
                  1174.8                      0.68830726
                  1177.4                      0.68657103
                    1180                      0.68379663
                  1182.6                      0.67958281
