        Frequency / MHz                S2,1 (31778)/abs,dB
----------------------------------------------------------------------
                     400                      -44.466246
                   402.6                       -44.41596
                   405.2                      -44.249411
                   407.8                       -43.99072
                   410.4                      -43.724374
                     413                      -43.530902
                   415.6                      -43.438253
                   418.2                      -43.408975
                   420.8                      -43.361188
                   423.4                      -43.220603
                     426                      -42.976249
                   428.6                      -42.688167
                   431.2                      -42.439103
                   433.8                      -42.278891
                   436.4                      -42.197669
                     439                      -42.132213
                   441.6                      -42.003673
                   444.2                      -41.772955
                   446.8                      -41.471019
                   449.4                      -41.173059
                     452                      -40.943861
                   454.6                      -40.798956
                   457.2                      -40.697132
                   459.8                      -40.564129
                   462.4                      -40.341341
                     465                      -40.029808
                   467.6                      -39.688686
                   470.2                      -39.389978
                   472.8                      -39.171365
                   475.4                      -39.015323
                     478                      -38.859163
                   480.6                      -38.633602
                   483.2                      -38.312107
                   485.8                      -37.931316
                   488.4                      -37.562183
                     491                       -37.26017
                   493.6                      -37.031869
                   496.2                      -36.831369
                   498.8                      -36.586934
                   501.4                      -36.249044
                     504                      -35.827794
                   506.6                      -35.384868
                   509.2                      -34.988075
                   511.8                      -34.667541
                   514.4                      -34.397984
                     517                      -34.112289
                   519.6                      -33.743516
                   522.2                      -33.273408
                   524.8                      -32.746932
                   527.4                      -32.238298
                     530                      -31.800038
                   532.6                      -31.430567
                   535.2                      -31.073147
                   537.8                      -30.648343
                   540.4                      -30.108452
                     543                      -29.475033
                   545.6                        -28.8234
                   548.2                      -28.228692
                   550.8                      -27.716978
                   553.4                      -27.246728
                     556                      -26.728012
                   558.6                      -26.079196
                   561.2                      -25.290146
                   563.8                      -24.435157
                   566.4                      -23.620354
                     569                      -22.912045
                   571.6                      -22.291151
                   574.2                      -21.651439
                   576.8                      -20.856158
                   579.4                      -19.846525
                     582                      -18.722049
                   584.6                       -17.70604
                   587.2                      -17.028656
                   589.8                      -16.825583
                   592.4                       -17.11429
                     595                      -17.840406
                   597.6                       -18.92444
                   600.2                      -20.244392
                   602.8                      -21.537528
                   605.4                      -22.345891
                     608                      -22.371671
                   610.6                      -21.907276
                   613.2                      -21.445208
                   615.8                      -21.226554
                   618.4                      -21.250911
                     621                      -21.401383
                   623.6                      -21.541358
                   626.2                      -21.588747
                   628.8                      -21.550753
                   631.4                      -21.495665
                     634                      -21.490332
                   636.6                      -21.556094
                   639.2                      -21.663452
                   641.8                      -21.756634
                   644.4                      -21.790245
                     647                      -21.756782
                   649.6                      -21.687304
                   652.2                      -21.625849
                   654.8                      -21.598741
                   657.4                      -21.599929
                     660                      -21.598831
                   662.6                      -21.562878
                   665.2                      -21.479655
                   667.8                      -21.364515
                   670.4                      -21.248886
                     673                      -21.158344
                   675.6                      -21.096686
                   678.2                      -21.046347
                   680.8                      -20.983072
                   683.4                      -20.894125
                     686                      -20.787638
                   688.6                       -20.68718
                   691.2                      -20.615619
                   693.8                      -20.580546
                   696.4                      -20.571728
                     699                      -20.571206
                   701.6                      -20.567604
                   704.2                      -20.564461
                   706.8                      -20.577301
                   709.4                      -20.622111
                     712                      -20.704192
                   714.6                       -20.81576
                   717.2                      -20.942705
                   719.8                      -21.074389
                   722.4                       -21.20959
                     725                      -21.355153
                   727.6                      -21.519195
                   730.2                      -21.704274
                   732.8                      -21.905388
                   735.4                      -22.113301
                     738                      -22.320049
                   740.6                      -22.522761
                   743.2                      -22.723788
                   745.8                      -22.927552
                   748.4                      -23.136654
                     751                      -23.349813
                   753.6                      -23.562719
                   756.2                      -23.770635
                   758.8                      -23.970929
                   761.4                      -24.164048
                     764                      -24.352583
                   766.6                      -24.539169
                   769.2                      -24.724699
                   771.8                      -24.907894
                   774.4                      -25.086251
                     777                      -25.257627
                   779.6                      -25.421474
                   782.2                      -25.579027
                   784.8                      -25.732426
                   787.4                      -25.883386
                     790                      -26.032259
                   792.6                      -26.178008
                   795.2                      -26.319006
                   797.8                      -26.454183
                   800.4                       -26.58374
                     803                      -26.709111
