        Frequency / MHz                s_C_h1=2.9/real
----------------------------------------------------------------------
                     690                      0.70565883
                     780                      0.24801166
                     870                      0.32881037
                     960                    0.0098257494
                    1700                     0.055108556
                    1800                      0.05092122
                    1900                    0.0026104292
                    2000                   0.00079542977
                    2100                    0.0050647515
                    2200                    0.0053350766
                    2300                    0.0050583069
                    2400                  2.6608727e-007
                    2500                    0.0090641088
                    2600                     0.019218779
                    2700                     0.029327804

        Frequency / MHz                s_C_h1=2.7/real
----------------------------------------------------------------------
                     690                      0.70597293
                     780                      0.25581721
                     870                      0.34335142
                     960                     0.043766095
                    1700                     0.053998275
                    1800                     0.050202389
                    1900                    0.0025112936
                    2000                   0.00077903454
                    2100                    0.0049862125
                    2200                    0.0052432358
                    2300                    0.0049461928
                    2400                  1.4322582e-006
                    2500                    0.0087263947
                    2600                     0.018720955
                    2700                     0.029328723

        Frequency / MHz                s_C_h1=2.5/real
----------------------------------------------------------------------
                     690                      0.69940555
                     780                      0.26268649
                     870                      0.35691651
                     960                     0.081301974
                    1700                     0.052636126
                    1800                     0.049342863
                    1900                    0.0023964118
                    2000                   0.00076008189
                    2100                     0.004895514
                    2200                    0.0051375877
                    2300                    0.0048184686
                    2400                  6.6738095e-006
                    2500                    0.0083374638
                    2600                     0.018135699
                    2700                     0.029320764

        Frequency / MHz                s_C_h1=2.3/real
----------------------------------------------------------------------
                     690                       0.6749368
                     780                      0.26803827
                     870                      0.36936278
                     960                      0.11430016
                    1700                     0.050934484
                    1800                     0.048299173
                    1900                    0.0022619469
                    2000                   0.00073801031
                    2100                    0.0047898694
                    2200                    0.0050150585
                    2300                    0.0046720789
                    2400                  1.8311101e-005
                    2500                    0.0078858684
                    2600                     0.017438888
                    2700                     0.029298286

        Frequency / MHz                s_C_h1=2.1/real
----------------------------------------------------------------------
                     690                      0.60360066
                     780                      0.27063289
                     870                      0.38043364
                     960                      0.14128112
                    1700                     0.048764576
                    1800                     0.047008992
                    1900                    0.0021028547
                    2000                   0.00071215022
                    2100                     0.004665728
                    2200                    0.0048717451
                    2300                    0.0045033649
                    2400                  4.0120453e-005
                    2500                    0.0073572027
                    2600                     0.016597202
                    2700                     0.029251691

        Frequency / MHz                s_C_h1=1.9/real
----------------------------------------------------------------------
                     690                      0.62180565
                     780                      0.26735232
                     870                      0.38962959
                     960                      0.16256194
                    1700                     0.045933134
                    1800                     0.045380759
                    1900                    0.0019124787
                    2000                   0.00068174372
                    2100                    0.0045186413
                    2200                     0.004702778
                    2300                    0.0043082098
                    2400                  7.8442909e-005
                    2500                    0.0067337018
                    2600                     0.015563846
                    2700                     0.029164035

        Frequency / MHz                s_C_h1=1.7/real
----------------------------------------------------------------------
                     690                      0.73432533
                     780                       0.2483314
                     870                      0.39588499
                     960                      0.17866936
                    1700                     0.042146403
                    1800                     0.043276458
                    1900                    0.0016821597
                    2000                   0.00064610476
                    2100                     0.004343352
                    2200                    0.0045023776
                    2300                    0.0040826149
                    2400                   0.00014432254
                    2500                    0.0059949282
                    2600                     0.014272225
                    2700                     0.029003987

        Frequency / MHz                s_C_h1=1.5/real
----------------------------------------------------------------------
                     690                      0.76687497
                     780                      0.17333076
                     870                       0.3966289
                     960                      0.18979239
                    1700                     0.036963871
                    1800                     0.040484215
                    1900                    0.0014012262
                    2000                   0.00060517192
                    2100                    0.0041346739
                    2200                    0.0042646592
                    2300                    0.0038247214
                    2400                   0.00025784394
                    2500                    0.0051220594
                    2600                     0.012627554
                    2700                     0.028709957

        Frequency / MHz                s_C_h1=1.3/real
----------------------------------------------------------------------
                     690                      0.77881872
                     780                     0.072841357
                     870                      0.38448042
                     960                      0.19544078
                    1700                     0.029786647
                    1800                     0.036680296
                    1900                    0.0010589697
                    2000                   0.00056129952
                    2100                    0.0038911734
                    2200                    0.0039870585
                    2300                    0.0035408545
                    2400                   0.00045735212
                    2500                    0.0041141825
                    2600                     0.010500809
                    2700                      0.02815186

        Frequency / MHz                s_C_h1=1.1/real
----------------------------------------------------------------------
                     690                      0.78565672
                     780                      0.28974044
                     870                      0.33263113
                     960                      0.19391236
                    1700                     0.020133411
                    1800                     0.031415481
                    1900                   0.00065440848
                    2000                   0.00052507944
                    2100                    0.0036286755
                    2200                    0.0036825694
                    2300                    0.0032637727
                    2400                   0.00081990319
                    2500                    0.0030438096
                    2600                     0.007751344
                    2700                     0.027030019

        Frequency / MHz                s_C_h1=0.9/real
----------------------------------------------------------------------
                     690                      0.79081415
                     780                       0.3458181
                     870                      0.13979372
                     960                      0.18120336
                    1700                     0.009177891
                    1800                     0.024374263
                    1900                   0.00023565565
                    2000                   0.00053509566
                    2100                    0.0034289251
                    2200                    0.0034227892
                    2300                    0.0031086887
                    2400                    0.0015068236
                    2500                    0.0022402566
                    2600                    0.0044127953
                    2700                     0.024589114

        Frequency / MHz                s_C_h1=0.7/real
----------------------------------------------------------------------
                     690                      0.79525594
                     780                      0.36299773
                     870                      0.11740004
                     960                      0.14940292
                    1700                    0.0038424277
                    1800                     0.017179982
                    1900                  4.2201738e-005
                    2000                    0.0007255757
                    2100                    0.0036157182
                    2200                    0.0034891843
                    2300                    0.0034451618
                    2400                    0.0028507257
                    2500                    0.0028488032
                    2600                    0.0016523921
