        Frequency / MHz                C_l3=0.3/real
----------------------------------------------------------------------
                     690                      0.70335853
                     780                      0.21857545
                     870                      0.31795037
                     960                     0.027014122
                    1700                     0.073688292
                    1800                     0.054952162
                    1900                    0.0010001874
                    2000                   0.00036422953
                    2100                    0.0047830485
                    2200                    0.0022441767
                    2300                  1.3829092e-005
                    2400                    0.0070868534
                    2500                     0.028208354
                    2600                     0.046491928
                    2700                      0.04655101

        Frequency / MHz                C_l3=0.5/real
----------------------------------------------------------------------
                     690                       0.7035057
                     780                      0.21973126
                     870                        0.318767
                     960                     0.026486038
                    1700                      0.07419911
                    1800                     0.052448938
                    1900                   0.00085622385
                    2000                   0.00026199356
                    2100                    0.0048460128
                    2200                    0.0023199887
                    2300                   0.00033704934
                    2400                     0.010261826
                    2500                     0.038903526
                    2600                     0.054377379
                    2700                     0.047578432

        Frequency / MHz                C_l3=0.7/real
----------------------------------------------------------------------
                     690                       0.7036571
                     780                      0.22099894
                     870                      0.31961918
                     960                     0.025890186
                    1700                       0.0743438
                    1800                     0.048858559
                    1900                   0.00071068247
                    2000                   0.00012541256
                    2100                    0.0050249084
                    2200                    0.0028007141
                    2300                    0.0016839304
                    2400                     0.015258303
                    2500                     0.053460408
                    2600                     0.053007683
                    2700                     0.028059962

        Frequency / MHz                C_l3=0.9/real
----------------------------------------------------------------------
                     690                      0.70381295
                     780                      0.22239165
                     870                      0.32050649
                     960                     0.025213953
                    1700                     0.073687955
                    1800                     0.043503442
                    1900                   0.00066748436
                    2000                  5.2561225e-006
                    2100                    0.0057795238
                    2200                    0.0054534651
                    2300                    0.0036189184
                    2400                      0.01117398
                    2500                     0.023298148
                    2600                     0.053901349
                    2700                     0.026585831

        Frequency / MHz                C_l3=1.1/real
----------------------------------------------------------------------
                     690                      0.70397337
                     780                      0.22392464
                     870                      0.32142726
                     960                      0.02444188
                    1700                       0.0712616
                    1800                     0.035139664
                    1900                     0.001332009
                    2000                   0.00064546967
                    2100                     0.012795178
                    2200                     0.056927573
                    2300                     0.050801093
                    2400                     0.022081288
                    2500                     0.045545688
                    2600                     0.032813864
                    2700                     0.016707748

        Frequency / MHz                C_l3=1.3/real
----------------------------------------------------------------------
                     690                      0.70413861
                     780                      0.22561521
                     870                      0.32237803
                     960                      0.02355504
                    1700                     0.064583067
                    1800                     0.021395485
                    1900                    0.0092571802
                    2000                     0.014769224
                    2100                     0.018700805
                    2200                      0.03054474
                    2300                     0.027806663
                    2400                    0.0081837171
                    2500                     0.024547876
                    2600                     0.020725651
                    2700                     0.018378916

        Frequency / MHz                C_l3=1.5/real
----------------------------------------------------------------------
                     690                       0.7043088
                     780                      0.22748337
                     870                      0.32335283
                     960                     0.022530373
                    1700                      0.04540269
                    1800                     0.011463231
                    1900                     0.035810659
                    2000                    0.0018185002
                    2100                    0.0091912443
                    2200                     0.016680752
                    2300                     0.017077726
                    2400                    0.0032459513
                    2500                     0.016137512
                    2600                     0.017519174
                    2700                     0.021354914

        Frequency / MHz                C_l3=1.7/real
----------------------------------------------------------------------
                     690                      0.70448422
                     780                      0.22955206
                     870                      0.32434186
                     960                      0.02134047
                    1700                     0.009016423
                    1800                     0.096191906
                    1900                    0.0016976099
                    2000                   0.00023379157
                    2100                     0.006782879
                    2200                     0.011346698
                    2300                     0.011997045
                    2400                    0.0014068123
                    2500                     0.012575874
                    2600                     0.016980428
                    2700                     0.023665688

        Frequency / MHz                C_l3=1.9/real
----------------------------------------------------------------------
                     690                      0.70466505
