        Frequency / GHz                S1,2 (1)/abs,dB
----------------------------------------------------------------------
                       0                      -216.09302
                  0.0035                      -146.38878
                   0.007                      -133.13991
                  0.0105                      -124.89797
                   0.014                      -119.04363
                  0.0175                      -114.77042
                   0.021                      -111.72969
                  0.0245                       -109.7888
                   0.028                      -108.98514
                  0.0315                      -109.55731
                   0.035                      -111.65946
                  0.0385                      -110.66352
                   0.042                      -104.25341
                  0.0455                      -98.863407
                   0.049                      -94.762189
                  0.0525                      -91.547242
                   0.056                      -88.983393
                  0.0595                      -86.939985
                   0.063                      -85.342174
                  0.0665                      -84.146574
                    0.07                      -83.327006
                  0.0735                      -82.860915
                   0.077                      -82.705439
                  0.0805                      -82.744715
                   0.084                      -82.698801
                  0.0875                      -82.112478
                   0.091                      -80.707584
                  0.0945                      -78.735066
                   0.098                       -76.64117
                  0.1015                      -74.700844
                   0.105                        -73.0194
                  0.1085                      -71.622475
                   0.112                      -70.507313
                  0.1155                      -69.662298
                   0.119                      -69.071456
                  0.1225                      -68.710923
                   0.126                      -68.538294
                  0.1295                      -68.474042
                   0.133                       -68.38112
                  0.1365                      -68.072985
                    0.14                      -67.395783
                  0.1435                        -66.3444
                   0.147                      -65.064549
                  0.1505                      -63.737547
                   0.154                      -62.495558
                  0.1575                      -61.411457
                   0.161                      -60.518016
                  0.1645                      -59.825294
                   0.168                       -59.32965
                  0.1715                      -59.015736
                   0.175                      -58.853067
                  0.1785                       -58.78856
                   0.182                      -58.739011
                  0.1855                      -58.594666
                   0.189                      -58.249907
                  0.1925                      -57.656727
                   0.196                      -56.855129
                  0.1995                      -55.945204
                   0.203                       -55.03329
                  0.2065                      -54.199462
                    0.21                      -53.492569
                  0.2135                      -52.937083
                   0.217                       -52.54027
                  0.2205                      -52.295902
                   0.224                      -52.184269
                  0.2275                      -52.169383
                   0.231                      -52.195668
                  0.2345                      -52.189302
                   0.238                      -52.071779
                  0.2415                      -51.787735
                   0.245                      -51.331749
                  0.2485                      -50.750296
                   0.252                      -50.116844
                  0.2555                      -49.502859
                   0.259                        -48.9622
                  0.2625                      -48.528502
                   0.266                      -48.218157
                  0.2695                      -48.033517
                   0.273                      -47.964298
                  0.2765                      -47.987062
                    0.28                      -48.063866
                  0.2835                      -48.142689
                   0.287                      -48.163644
                  0.2905                      -48.073889
                   0.294                      -47.847005
                  0.2975                      -47.494299
                   0.301                      -47.058626
                  0.3045                      -46.596005
                   0.308                       -46.15843
                  0.3115                      -45.785005
                   0.315                      -45.500166
                  0.3185                      -45.314943
                   0.322                      -45.228428
                  0.3255                      -45.228271
                   0.329                      -45.290381
                  0.3325                      -45.378937
                   0.336                      -45.448932
                  0.3395                      -45.453633
                   0.343                      -45.357134
                  0.3465                      -45.146987
                    0.35                      -44.838893
                  0.3535                      -44.469841
                   0.357                      -44.084961
                  0.3605                      -43.725901
                   0.364                      -43.424657
                  0.3675                      -43.201789
                   0.371                      -43.066784
                  0.3745                      -43.018596
                   0.378                      -43.045692
                  0.3815                      -43.125709
                   0.385                      -43.225692
                  0.3885                      -43.304727
                   0.392                      -43.320835
                  0.3955                      -43.242013
                   0.399                      -43.057256
                  0.4025                      -42.780784
                   0.406                      -42.446571
                  0.4095                      -42.097009
                   0.413                      -41.772362
                  0.4165                       -41.50452
                    0.42                        -41.3146
                  0.4235                      -41.212535
                   0.427                      -41.196836
                  0.4305                      -41.253841
                   0.434                      -41.356483
                  0.4375                      -41.463949
                   0.441                      -41.524865
                  0.4445                      -41.487099
                   0.448                      -41.313884
                  0.4515                      -40.998742
                   0.455                       -40.56853
                  0.4585                      -40.072209
                   0.462                      -39.564002
                  0.4655                      -39.090736
                   0.469                      -38.686117
                  0.4725                      -38.369588
                   0.476                      -38.146532
                  0.4795                      -38.007986
                   0.483                      -37.929267
                  0.4865                      -37.868481
                    0.49                      -37.767646
                  0.4935                      -37.561115
                   0.497                      -37.194056
                  0.5005                      -36.644603
                   0.504                      -35.934283
                  0.5075                      -35.117742
                   0.511                      -34.261097
                  0.5145                      -33.423996
                   0.518                      -32.651358
                  0.5215                      -31.971813
                   0.525                      -31.398284
                  0.5285                      -30.927839
                   0.532                      -30.539951
                  0.5355                      -30.193104
                   0.539                      -29.821514
                  0.5425                      -29.337229
                   0.546                      -28.646179
                  0.5495                      -27.681354
                   0.553                       -26.43587
                  0.5565                      -24.967476
                    0.56                      -23.372659
                  0.5635                      -21.757223
                   0.567                      -20.221398
                  0.5705                      -18.854572
                   0.574                      -17.728792
                  0.5775                      -16.888977
                   0.581                       -16.34779
                  0.5845                       -16.09302
                   0.588                       -16.10341
                  0.5915                      -16.361976
                   0.595                      -16.859587
                  0.5985                      -17.589958
                   0.602                       -18.54162
                  0.6055                      -19.691209
                   0.609                       -20.99854
                  0.6125                      -22.399522
                   0.616                      -23.793854
                  0.6195                      -25.032946
                   0.623                      -25.937842
                  0.6265                      -26.381197
                    0.63                      -26.382693
                  0.6335                      -26.095308
                   0.637                      -25.700012
                  0.6405                      -25.331722
                   0.644                      -25.066793
                  0.6475                      -24.935866
                   0.651                      -24.938092
                  0.6545                      -25.052176
                   0.658                      -25.244817
                  0.6615                       -25.47743
                   0.665                      -25.711419
                  0.6685                      -25.912731
                   0.672                      -26.056449
                  0.6755                      -26.131021
                   0.679                      -26.140817
                  0.6825                      -26.105183
                   0.686                       -26.05325
                  0.6895                      -26.015809
                   0.693                      -26.017418
                  0.6965                      -26.071341
                     0.7                      -26.178808
                  0.7035                      -26.331634
                   0.707                      -26.516472
                  0.7105                      -26.718812
                   0.714                      -26.925966
                  0.7175                      -27.129016
                   0.721                      -27.323742
                  0.7245                      -27.510735
                   0.728                      -27.694516
                  0.7315                      -27.881741
                   0.735                      -28.078904
                  0.7385                      -28.290264
                   0.742                      -28.516803
                  0.7455                      -28.756405
                   0.749                       -29.00495
                  0.7525                      -29.257679
                   0.756                      -29.510354
                  0.7595                      -29.759865
                   0.763                      -30.004497
