        Frequency / GHz                S2,2 (1)/abs,dB
----------------------------------------------------------------------
                       0                 -1.0423068e-006
                  0.0035                  6.6182507e-008
                   0.007                  1.1385483e-007
                  0.0105                 -2.4103558e-007
                   0.014                  -1.434762e-006
                  0.0175                 -3.7203017e-006
                   0.021                 -6.9742944e-006
                  0.0245                  -1.060772e-005
                   0.028                 -1.3651194e-005
                  0.0315                 -1.5019873e-005
                   0.035                 -1.3882296e-005
                  0.0385                 -1.0047967e-005
                   0.042                 -4.2592057e-006
                  0.0455                  1.7517795e-006
                   0.049                  5.4405773e-006
                  0.0525                  3.9584151e-006
                   0.056                   -5.18498e-006
                  0.0595                 -2.3397118e-005
                   0.063                 -5.0361327e-005
                  0.0665                  -8.371827e-005
                    0.07                   -0.0001192977
                  0.0735                  -0.00015170696
                   0.077                  -0.00017549016
                  0.0805                  -0.00018647228
                   0.084                  -0.00018306401
                  0.0875                  -0.00016717531
                   0.091                  -0.00014442746
                  0.0945                  -0.00012360929
                   0.098                  -0.00011541513
                  0.1015                   -0.0001302374
                   0.105                  -0.00017610572
                  0.1085                  -0.00025645714
                   0.112                  -0.00036858035
                  0.1155                  -0.00050343007
                   0.119                  -0.00064656651
                  0.1225                  -0.00078039782
                   0.126                  -0.00088789823
                  0.1295                  -0.00095644499
                   0.133                  -0.00098108228
                  0.1365                  -0.00096704302
                    0.14                  -0.00092981594
                  0.1435                  -0.00089340859
                   0.147                  -0.00088684012
                  0.1505                  -0.00093840413
                   0.154                   -0.0010701841
                  0.1575                   -0.0012922931
                   0.161                   -0.0015994796
                  0.1645                   -0.0019702866
                   0.168                   -0.0023693255
                  0.1715                   -0.0027535067
                   0.175                   -0.0030802817
                  0.1785                   -0.0033162322
                   0.182                   -0.0034465986
                  0.1855                   -0.0034787177
                   0.189                   -0.0034439672
                  0.1925                   -0.0033932555
                   0.196                   -0.0033886994
                  0.1995                   -0.0034917936
                   0.203                   -0.0037508386
                  0.2065                   -0.0041896956
                    0.21                   -0.0048006395
                  0.2135                   -0.0055418395
                   0.217                   -0.0063440468
                  0.2205                   -0.0071218686
                   0.224                   -0.0077909559
                  0.2275                    -0.008284371
                   0.231                   -0.0085691455
                  0.2345                   -0.0086546504
                   0.238                   -0.0085916033
                  0.2415                   -0.0084664572
                   0.245                   -0.0083834766
                  0.2485                   -0.0084460989
                   0.252                   -0.0087359594
                  0.2555                   -0.0092942259
                   0.259                    -0.010112001
                  0.2625                    -0.011128689
                   0.266                     -0.01224132
                  0.2695                    -0.013324024
                   0.273                    -0.014252482
                  0.2765                    -0.014927955
                    0.28                     -0.01530095
                  0.2835                    -0.015378432
                   0.287                    -0.015226458
                  0.2905                    -0.014957558
                   0.294                    -0.014709588
                  0.2975                      -0.0146204
                   0.301                     -0.01480162
                  0.3045                    -0.015316546
                   0.308                    -0.016167746
                  0.3115                    -0.017291997
                   0.315                    -0.018572916
                  0.3185                    -0.019862376
                   0.322                    -0.021009017
                  0.3255                    -0.021886517
                   0.329                    -0.022422595
                  0.3325                    -0.022610199
                   0.336                    -0.022512305
                  0.3395                    -0.022249726
                   0.343                    -0.021979571
                  0.3465                    -0.021868715
                    0.35                    -0.022061305
                  0.3535                     -0.02265523
                   0.357                    -0.023678753
                  0.3605                    -0.025085402
                   0.364                    -0.026759191
                  0.3675                    -0.028533455
                   0.371                    -0.030224588
                  0.3745                    -0.031666908
                   0.378                    -0.032748834
                  0.3815                    -0.033431476
                   0.385                    -0.033764255
                  0.3885                    -0.033874183
                   0.392                    -0.033947581
                  0.3955                    -0.034198754
                   0.399                    -0.034836296
                  0.4025                    -0.036024283
                   0.406                     -0.03784947
                  0.4095                    -0.040301361
                   0.413                    -0.043266847
                  0.4165                    -0.046546327
                    0.42                     -0.04988864
                  0.4235                    -0.053043449
                   0.427                    -0.055813971
                  0.4305                    -0.058101997
                   0.434                    -0.059935956
                  0.4375                    -0.061476609
                   0.441                    -0.062999614
                  0.4445                    -0.064862676
                   0.448                    -0.067455218
                  0.4515                    -0.071143783
                   0.455                      -0.0762015
                  0.4585                    -0.082753475
                   0.462                    -0.090729163
                  0.4655                    -0.099863763
                   0.469                     -0.10973187
                  0.4725                     -0.11984406
                   0.476                     -0.12976097
                  0.4795                     -0.13922434
                   0.483                     -0.14825199
                  0.4865                     -0.15720117
                    0.49                     -0.16678131
                  0.4935                     -0.17805123
                   0.497                      -0.1923542
                  0.5005                     -0.21123597
                   0.504                     -0.23627505
                  0.5075                     -0.26885132
                   0.511                     -0.30986447
                  0.5145                     -0.35947244
                   0.518                     -0.41700962
                  0.5215                     -0.48122535
                   0.525                     -0.55084802
                  0.5285                     -0.62543173
                   0.532                     -0.70624869
                  0.5355                     -0.79717377
                   0.539                     -0.90566678
                  0.5425                      -1.0440885
                   0.546                      -1.2316299
                  0.5495                      -1.4966802
                   0.553                      -1.8783321
                  0.5565                      -2.4235602
                    0.56                       -3.173807
                  0.5635                      -4.1377352
                   0.567                       -5.261027
                  0.5705                       -6.422334
                   0.574                      -7.4712843
                  0.5775                      -8.2760829
