        Frequency / GHz                run 2/real
----------------------------------------------------------------------
                    0.69                      0.42650381
                    0.78                      0.29140665
                    0.87                      0.32087347
                    0.96                     0.036663236
                     1.7                     0.004554171
                     1.8                    0.0067510255
                     1.9                     0.001269803
                       2                     0.010449163
                     2.1                     0.011019854
                     2.2                     0.014980477
                     2.3                     0.022310237
                     2.4                    0.0071162563
                     2.5                     0.020841451
                     2.6                     0.016801287
                     2.7                    0.0053475203

        Frequency / GHz                run 3/real
----------------------------------------------------------------------
                    0.69                      0.42550912
                    0.78                      0.29296247
                    0.87                      0.31917002
                    0.96                     0.036616029
                     1.7                    0.0040614569
                     1.8                    0.0074266602
                     1.9                    0.0012827342
                       2                    0.0093352292
                     2.1                    0.0095345939
                     2.2                     0.016539043
                     2.3                     0.027914621
                     2.4                    0.0087048736
                     2.5                     0.023918017
                     2.6                     0.018285615
                     2.7                    0.0057398093

        Frequency / GHz                run 4/real
----------------------------------------------------------------------
                    0.69                      0.42447918
                    0.78                      0.29460459
                    0.87                      0.31729742
                    0.96                     0.036596996
                     1.7                    0.0034294677
                     1.8                    0.0084484973
                     1.9                    0.0013309256
                       2                    0.0077734479
                     2.1                    0.0079528544
                     2.2                     0.021229989
                     2.3                     0.038306597
                     2.4                     0.010551092
                     2.5                     0.028151723
                     2.6                     0.021926285
                     2.7                     0.015119344

        Frequency / GHz                run 5/real
----------------------------------------------------------------------
                    0.69                      0.42341207
                    0.78                      0.29634011
                    0.87                       0.3152301
                    0.96                     0.036619299
                     1.7                    0.0026104708
                     1.8                     0.010116638
                     1.9                    0.0014969179
                       2                    0.0055813679
                     2.1                    0.0074606133
                     2.2                     0.033127416
                     2.3                     0.050748346
                     2.4                     0.012644157
                     2.5                    0.0012947048
                     2.6                    0.0037079739
                     2.7                   0.00029203744

        Frequency / GHz                run 6/real
----------------------------------------------------------------------
                    0.69                       0.4223059
                    0.78                      0.29817704
                    0.87                      0.31293744
                    0.96                     0.036701932
                     1.7                    0.0015642348
                     1.8                     0.013185897
                     1.9                    0.0021731668
                       2                    0.0029738317
                     2.1                    0.0093467751
                     2.2                     0.039382582
                     2.3                     0.033769231
                     2.4                    0.0048645408
                     2.5                    0.0057839427
                     2.6                    0.0029827626
                     2.7                    0.0012225671

        Frequency / GHz                run 7/real
----------------------------------------------------------------------
                    0.69                      0.42115847
                    0.78                       0.3001241
                    0.87                      0.31038211
                    0.96                     0.036872268
                     1.7                   0.00041705041
                     1.8                     0.020292432
                     1.9                    0.0068572405
                       2                     0.024607904
                     2.1                     0.047739227
                     2.2                     0.054285684
                     2.3                     0.026266211
                     2.4                     0.002347272
                     2.5                    0.0038643009
                     2.6                    0.0034115853
                     2.7                    0.0024547135

        Frequency / GHz                run 8/real
----------------------------------------------------------------------
                    0.69                      0.41996732
                    0.78                      0.30219115
                    0.87                      0.30751863
                    0.96                         0.03717
                     1.7                     0.001178873
                     1.8                     0.043752597
                     1.9                    0.0079769436
                       2                     0.016340635
                     2.1                      0.04713745
                     2.2                     0.040646161
                     2.3                      0.02003218
                     2.4                    0.0013271849
                     2.5                    0.0037935684
                     2.6                    0.0046677351
                     2.7                    0.0031433496

        Frequency / GHz                run 9/real
----------------------------------------------------------------------
                    0.69                       0.4187301
                    0.78                      0.30438906
                    0.87                      0.30429093
                    0.96                     0.037652568
                     1.7                     0.055891723
                     1.8                    0.0039687087
                     1.9                   0.00052333204
                       2                     0.020688219
                     2.1                     0.041254777
                     2.2                     0.032978159
                     2.3                     0.016904689
                     2.4                    0.0010252074
                     2.5                    0.0043327507
                     2.6                    0.0057544388
                     2.7                    0.0035263678

        Frequency / GHz                run 10/real
----------------------------------------------------------------------
                    0.69                      0.41744403
                    0.78                      0.30673009
                    0.87                      0.30062938
                    0.96                     0.038402281
                     1.7                     0.036021505
                     1.8                    0.0037919322
                     1.9                   0.00059797845
                       2                     0.021834867
                     2.1                     0.036448317
                     2.2                     0.028678373
                     2.3                      0.01528504
                     2.4                   0.00098302191
                     2.5                     0.004947229
                     2.6                    0.0065742726
                     2.7                    0.0037593959

        Frequency / GHz                run 11/real
----------------------------------------------------------------------
                    0.69                      0.41610627
                    0.78                      0.30922794
                    0.87                       0.2964467
                    0.96                     0.039533698
                     1.7                     0.010696276
                     1.8                    0.0051403828
                     1.9                   0.00094027809
                       2                     0.021532841
                     2.1                     0.033166683
                     2.2                      0.02606808
                     2.3                     0.014382377
                     2.4                     0.001030128
                     2.5                    0.0054992796
                     2.6                    0.0071880828
                     2.7                    0.0039130666

        Frequency / GHz                run 12/real
----------------------------------------------------------------------
                    0.69                      0.41471366
                    0.78                      0.31189797
                    0.87                      0.29163262
                    0.96                     0.041196012
