        Frequency / GHz                S1,1 (C_l3=2.9)/abs,dB
----------------------------------------------------------------------
                       0                 -1.0423068e-006
                  0.0035                  2.3886732e-007
                   0.007                  3.8055672e-007
                  0.0105                 -1.0313016e-006
                   0.014                 -5.6167787e-006
                  0.0175                 -1.4257149e-005
                   0.021                 -2.6325421e-005
                  0.0245                 -3.9390927e-005
                   0.028                 -4.9563538e-005
                  0.0315                 -5.2530755e-005
                   0.035                 -4.4966562e-005
                  0.0385                 -2.6044684e-005
                   0.042                  1.4858103e-006
                  0.0455                  3.1119623e-005
                   0.049                  5.3450341e-005
                  0.0525                  5.8107254e-005
                   0.056                  3.6396678e-005
                  0.0595                 -1.5902118e-005
                   0.063                 -9.6381836e-005
                  0.0665                  -0.00019512531
                    0.07                  -0.00029567779
                  0.0735                  -0.00037763914
                   0.077                   -0.0004210065
                  0.0805                  -0.00041114472
                   0.084                  -0.00034327998
                  0.0875                  -0.00022536465
                   0.091                 -7.8485112e-005
                  0.0945                  6.5790463e-005
                   0.098                   0.00017086819
                  0.1015                   0.00020260589
                   0.105                   0.00013733803
                  0.1085                 -3.1370149e-005
                   0.112                  -0.00028878817
                  0.1155                  -0.00059931691
                   0.119                  -0.00091151762
                  0.1225                   -0.0011672392
                   0.126                   -0.0013134761
                  0.1295                   -0.0013142708
                   0.133                   -0.0011609295
                  0.1365                  -0.00087677686
                    0.14                  -0.00051592175
                  0.1435                  -0.00015449306
                   0.147                    0.0001222694
                  0.1505                   0.00023767634
                   0.154                    0.0001400277
                  0.1575                  -0.00018405523
                   0.161                  -0.00070359935
                  0.1645                   -0.0013451618
                   0.168                   -0.0020052716
                  0.1715                   -0.0025684893
                   0.175                   -0.0029311492
                  0.1785                   -0.0030240528
                   0.182                     -0.00282783
                  0.1855                   -0.0023820264
                   0.189                   -0.0017796804
                  0.1925                   -0.0011517377
                   0.196                  -0.00064281333
                  0.1995                   -0.0003827722
                   0.203                  -0.00046011315
                  0.2065                  -0.00090170104
                    0.21                   -0.0016645394
                  0.2135                   -0.0026410559
                   0.217                    -0.003677102
                  0.2205                   -0.0046006629
                   0.224                   -0.0052560422
                  0.2275                   -0.0055355113
                   0.231                   -0.0054019719
                  0.2345                   -0.0048996321
                   0.238                   -0.0041465074
                  0.2415                   -0.0033129631
                   0.245                    -0.002590719
                  0.2485                    -0.002155588
                   0.252                   -0.0021333717
                  0.2555                   -0.0025743859
                   0.259                   -0.0034426845
                  0.2625                   -0.0046198905
                   0.266                   -0.0059265919
                  0.2695                   -0.0071549524
                   0.273                   -0.0081093032
                  0.2765                    -0.008643898
                    0.28                   -0.0086918631
                  0.2835                   -0.0082796436
                   0.287                   -0.0075230892
                  0.2905                    -0.006605518
                   0.294                    -0.005743513
                  0.2975                   -0.0051477719
                   0.301                   -0.0049829306
                  0.3045                     -0.00533659
                   0.308                   -0.0062023614
                  0.3115                   -0.0074785289
                   0.315                   -0.0089850216
                  0.3185                    -0.010496256
                   0.322                     -0.01178343
                  0.3255                    -0.012657544
                   0.329                    -0.013007167
                  0.3325                    -0.012821053
                   0.336                    -0.012189903
                  0.3395                    -0.011291009
                   0.343                    -0.010356408
                  0.3465                   -0.0096297957
                    0.35                   -0.0093238145
                  0.3535                   -0.0095799727
                   0.357                    -0.010442064
                  0.3605                    -0.011843847
                   0.364                    -0.013619043
                  0.3675                    -0.015527894
                   0.371                    -0.017301427
                  0.3745                    -0.018692063
                   0.378                    -0.019521763
                  0.3815                    -0.019718998
                   0.385                    -0.019333212
                  0.3885                    -0.018528293
                   0.392                    -0.017554723
                  0.3955                    -0.016705321
                   0.399                    -0.016265973
                  0.4025                     -0.01646339
                   0.406                    -0.017422707
                  0.4095                    -0.019138191
                   0.413                    -0.021467639
                  0.4165                    -0.024149128
                    0.42                    -0.026846696
                  0.4235                    -0.029211851
                   0.427                     -0.03095211
                  0.4305                    -0.031891723
                   0.434                    -0.032010591
                  0.4375                    -0.031452133
                   0.441                    -0.030504167
                  0.4445                    -0.029553793
                   0.448                    -0.029026957
                  0.4515                     -0.02931605
                   0.455                    -0.030708068
                  0.4585                    -0.033321464
                   0.462                     -0.03706436
                  0.4655                    -0.041629627
                   0.469                    -0.046537463
                  0.4725                    -0.051220495
                   0.476                    -0.055138731
                  0.4795                    -0.057893386
                   0.483                    -0.059312622
                  0.4865                    -0.059496844
                    0.49                    -0.058815786
                  0.4935                    -0.057865463
                   0.497                    -0.057390133
                  0.5005                    -0.058169197
                   0.504                    -0.060879951
                  0.5075                    -0.065950481
                   0.511                    -0.073436039
                  0.5145                     -0.08296537
                   0.518                    -0.093775306
                  0.5215                     -0.10483596
                   0.525                     -0.11502463
                  0.5285                     -0.12332071
                   0.532                     -0.12899466
                  0.5355                     -0.13177989
                   0.539                     -0.13200892
                  0.5425                     -0.13069765
                   0.546                     -0.12955622
                  0.5495                     -0.13091869
                   0.553                     -0.13760437
                  0.5565                     -0.15272465
                    0.56                     -0.17942228
                  0.5635                     -0.22049899
                   0.567                      -0.2778553
                  0.5705                     -0.35169994
                   0.574                     -0.43963341
