        Frequency / GHz                S2,2 (1)/abs,dB
----------------------------------------------------------------------
                       0                    0.0050237992
                  0.0035                    0.0040227722
                   0.007                    0.0011893946
                  0.0105                   -0.0029522258
                   0.014                   -0.0076439234
                  0.0175                    -0.012032586
                   0.021                     -0.01531257
                  0.0245                    -0.016897833
                   0.028                     -0.01651757
                  0.0315                    -0.014271211
                   0.035                    -0.010604344
                  0.0385                   -0.0062275967
                   0.042                   -0.0019686624
                  0.0455                    0.0013734813
                   0.049                    0.0031812927
                  0.0525                    0.0031225566
                   0.056                     0.001217117
                  0.0595                   -0.0021849398
                   0.063                   -0.0064532521
                  0.0665                    -0.010808762
                    0.07                    -0.014461422
                  0.0735                    -0.016760363
                   0.077                     -0.01731272
                  0.0805                    -0.016057641
                   0.084                    -0.013272003
                  0.0875                   -0.0095098621
                   0.091                   -0.0054993663
                  0.0945                   -0.0020001127
                   0.098                    0.0003341474
                  0.1015                    0.0010706011
                   0.105                  7.6883029e-005
                  0.1085                   -0.0024647529
                   0.112                   -0.0060944256
                  0.1155                    -0.010155223
                   0.119                    -0.013921756
                  0.1225                    -0.016733983
                   0.126                     -0.01811404
                  0.1295                    -0.017858812
                   0.133                    -0.016070707
                  0.1365                    -0.013132462
                    0.14                   -0.0096320314
                  0.1435                   -0.0062523189
                   0.147                   -0.0036412482
                  0.1505                   -0.0022980221
                   0.154                   -0.0024857439
                  0.1575                   -0.0041877509
                   0.161                   -0.0071112231
                  0.1645                    -0.010747478
                   0.168                    -0.014461217
                  0.1715                    -0.017610386
                   0.175                    -0.019664962
                  0.1785                    -0.020301721
                   0.182                    -0.019465399
                  0.1855                    -0.017374065
                   0.189                    -0.014472842
                  0.1925                    -0.011349358
                   0.196                   -0.0086282495
                  0.1995                   -0.0068563702
                   0.203                   -0.0064025529
                  0.2065                   -0.0073968168
                    0.21                   -0.0097096634
                  0.2135                     -0.01297147
                   0.217                    -0.016640731
                  0.2205                    -0.020105826
                   0.224                    -0.022794411
                  0.2275                    -0.024282235
                   0.231                    -0.024370343
                  0.2345                     -0.02312053
                   0.238                    -0.020841846
                  0.2415                    -0.018036897
                   0.245                    -0.015302133
                  0.2485                    -0.013225048
                   0.252                    -0.012278443
                  0.2555                    -0.012735653
                   0.259                    -0.014619348
                  0.2625                    -0.017696918
                   0.266                    -0.021516011
                  0.2695                    -0.025490096
                   0.273                    -0.028999824
                  0.2765                    -0.031510423
                    0.28                    -0.032672776
                  0.2835                      -0.0323916
                   0.287                    -0.030841275
                  0.2905                    -0.028439727
                   0.294                    -0.025771572
                  0.2975                     -0.02348186
                   0.301                    -0.022170245
                  0.3045                    -0.022274246
                   0.308                    -0.023994766
                  0.3115                    -0.027247387
                   0.315                    -0.031675033
                  0.3185                     -0.03669838
