        Frequency / GHz                S1,2 (41)/abs,dB
----------------------------------------------------------------------
                       0                      -212.69081
                  0.0035                      -149.08501
                   0.007                      -134.67276
                  0.0105                      -125.66054
                   0.014                       -119.3161
                  0.0175                      -114.66174
                   0.021                      -111.21522
                  0.0245                      -108.68637
                   0.028                       -106.8241
                  0.0315                      -105.26497
                   0.035                      -103.43189
                  0.0385                      -100.85801
                   0.042                      -97.724945
                  0.0455                      -94.536941
                   0.049                       -91.60401
                  0.0525                      -89.026971
                   0.056                      -86.814053
                  0.0595                      -84.944036
                   0.063                      -83.388379
                  0.0665                      -82.115942
                    0.07                      -81.090137
                  0.0735                      -80.261514
                   0.077                      -79.557458
                  0.0805                      -78.874676
                   0.084                       -78.08904
                  0.0875                      -77.097822
                   0.091                      -75.875679
                  0.0945                      -74.487672
                   0.098                       -73.04313
                  0.1015                      -71.642008
                   0.105                      -70.352019
                  0.1085                      -69.210156
                   0.112                       -68.23118
                  0.1155                      -67.414251
                   0.119                      -66.745734
                  0.1225                      -66.198781
                   0.126                      -65.731288
                  0.1295                      -65.285289
                   0.133                       -64.79284
                  0.1365                      -64.192633
                    0.14                      -63.453141
                  0.1435                      -62.586647
                   0.147                       -61.64167
                  0.1505                      -60.680657
                   0.154                      -59.759929
                  0.1575                      -58.920271
                   0.161                      -58.185808
                  0.1645                      -57.566045
                   0.168                      -57.057776
                  0.1715                      -56.645806
                   0.175                      -56.302831
                  0.1785                      -55.990026
                   0.182                      -55.660796
                  0.1855                      -55.269891
                   0.189                      -54.786806
                  0.1925                      -54.206967
                   0.196                      -53.552999
                  0.1995                      -52.865041
                   0.203                      -52.187117
                  0.2065                      -51.556855
                    0.21                      -51.000751
                  0.2135                      -50.533272
                   0.217                      -50.157436
                  0.2205                      -49.865411
                   0.224                      -49.638887
                  0.2275                      -49.449845
                   0.231                      -49.263137
                  0.2345                      -49.042251
                   0.238                      -48.758235
                  0.2415                      -48.398644
                   0.245                      -47.971631
                  0.2485                      -47.502434
                   0.252                      -47.024653
                  0.2555                      -46.571249
                   0.259                      -46.168563
                  0.2625                      -45.833623
                   0.266                      -45.573547
                  0.2695                       -45.38567
                   0.273                      -45.257904
                  0.2765                      -45.169416
                    0.28                      -45.092461
                  0.2835                      -44.996298
                   0.287                      -44.853534
                  0.2905                      -44.647396
                   0.294                      -44.376783
                  0.2975                       -44.05619
                   0.301                       -43.71064
                  0.3045                      -43.368449
                   0.308                      -43.055067
                  0.3115                      -42.789296
                   0.315                      -42.581645
                  0.3185                      -42.433881
                   0.322                      -42.339114
                  0.3255                      -42.282274
                   0.329                      -42.241387
                  0.3325                        -42.1903
                   0.336                      -42.103351
                  0.3395                      -41.961359
                   0.343                       -41.75689
                  0.3465                      -41.496308
                    0.35                      -41.197474
                  0.3535                      -40.884379
                   0.357                      -40.581356
                  0.3605                      -40.308614
                   0.364                      -40.079728
                  0.3675                      -39.900492
                   0.371                      -39.768622
                  0.3745                       -39.67392
                   0.378                      -39.599105
                  0.3815                      -39.521712
                   0.385                      -39.417589
                  0.3885                      -39.265845
                   0.392                      -39.054111
                  0.3955                      -38.781929
                   0.399                      -38.460686
                  0.4025                      -38.110113
                   0.406                      -37.753158
                  0.4095                      -37.411176
                   0.413                      -37.100593
                  0.4165                      -36.831063
                    0.42                      -36.604567
                  0.4235                      -36.415259
                   0.427                      -36.249809
                  0.4305                       -36.08868
                   0.434                      -35.908721
                  0.4375                      -35.687286
                   0.441                      -35.407315
                  0.4445                      -35.061795
                   0.448                      -34.655624
                  0.4515                       -34.20405
                   0.455                      -33.728483
                  0.4585                       -33.25159
                   0.462                      -32.793105
                  0.4655                      -32.367082
                   0.469                       -31.98024
                  0.4725                      -31.631177
                   0.476                      -31.310198
                  0.4795                      -30.999909
                   0.483                      -30.676992
                  0.4865                      -30.315627
                    0.49                      -29.892428
                  0.4935                      -29.392025
                   0.497                      -28.811156
                  0.5005                       -28.15963
                   0.504                      -27.457669
                  0.5075                      -26.730967
                   0.511                      -26.005555
                  0.5145                      -25.303443
                   0.518                      -24.639492
                  0.5215                      -24.019273
                   0.525                      -23.437731
                  0.5285                      -22.878736
                   0.532                      -22.315968
                  0.5355                      -21.715645
                   0.539                      -21.041914
                  0.5425                      -20.264905
                   0.546                      -19.370331
                  0.5495                      -18.367322
                   0.553                      -17.291761
                  0.5565                      -16.203049
                    0.56                      -15.174684
                  0.5635                      -14.279416
                   0.567                      -13.572179
                  0.5705                      -13.077897
                   0.574                      -12.791656
                  0.5775                      -12.690809
                   0.581                      -12.749826
                  0.5845                      -12.949536
                   0.588                      -13.278397
                  0.5915                      -13.727715
                   0.595                      -14.283974
                  0.5985                      -14.921293
                   0.602                      -15.596316
                  0.6055                       -16.24758
                   0.609                      -16.801905
                  0.6125                      -17.189986
                   0.616                      -17.368618
                  0.6195                      -17.337864
                   0.623                      -17.140947
                  0.6265                       -16.84753
                    0.63                      -16.532767
                  0.6335                      -16.261884
                   0.637                       -16.08136
                  0.6405                      -16.015034
                   0.644                      -16.064367
                  0.6475                      -16.213155
                   0.651                      -16.434941
                  0.6545                      -16.700622
                   0.658                      -16.984295
                  0.6615                      -17.266717
                   0.665                      -17.536792
                  0.6685                      -17.791556
                   0.672                      -18.034813
                  0.6755                       -18.27465
                   0.679                      -18.520208
                  0.6825                      -18.778624
                   0.686                      -19.053145
                  0.6895                      -19.342696
                   0.693                      -19.642824
                  0.6965                      -19.947256
                     0.7                      -20.249399
                  0.7035                      -20.543456
                   0.707                      -20.825004
                  0.7105                      -21.091239
                   0.714                      -21.340924
                  0.7175                      -21.574185
                   0.721                       -21.79218
                  0.7245                      -21.996685
                   0.728                      -22.189617
                  0.7315                       -22.37265
                   0.735                      -22.546925
                  0.7385                      -22.712981
                   0.742                      -22.870818
                  0.7455                      -23.020161
                   0.749                      -23.160654
                  0.7525                      -23.292132
                   0.756                       -23.41471
                  0.7595                      -23.528851
                   0.763                      -23.635294
                  0.7665                      -23.735011
                    0.77                      -23.828951
                  0.7735                      -23.918004
                   0.777                      -24.002773
                  0.7805                      -24.083551
                   0.784                      -24.160321
                  0.7875                      -24.232916
                   0.791                      -24.301126
                  0.7945                      -24.364982
                   0.798                      -24.424814
                  0.8015                      -24.481413
                   0.805                      -24.535933
                  0.8085                      -24.589803
                   0.812                      -24.644553
                  0.8155                      -24.701502
                   0.819                      -24.761588
                  0.8225                      -24.825226
                   0.826                      -24.892231
                  0.8295                      -24.961874
                   0.833                      -25.033147
                  0.8365                      -25.104954
                    0.84                      -25.176505
                  0.8435                      -25.247491
                   0.847                      -25.318275
                  0.8505                      -25.389814
                   0.854                      -25.463587
                  0.8575                      -25.541228
                   0.861                      -25.624317
                  0.8645                      -25.714014
                   0.868                      -25.810907
                  0.8715                      -25.914939
                   0.875                      -26.025482
                  0.8785                      -26.141596
                   0.882                      -26.262319
                  0.8855                      -26.386997
                   0.889                      -26.515614
