        Frequency / GHz                S2,2 (174)/abs,dB
----------------------------------------------------------------------
                       0                 -1.0423068e-006
                  0.0035                  2.1323342e-008
                   0.007                  1.8223533e-008
                  0.0105                 -1.8143724e-007
                   0.014                 -7.7800122e-007
                  0.0175                 -1.9012648e-006
                   0.021                 -3.5265569e-006
                  0.0245                 -5.4418939e-006
                   0.028                 -7.2810819e-006
                  0.0315                 -8.6416269e-006
                   0.035                 -9.2330779e-006
                  0.0385                 -9.0561345e-006
                   0.042                 -8.4904924e-006
                  0.0455                 -8.3363036e-006
                   0.049                 -9.7126574e-006
                  0.0525                 -1.3857577e-005
                   0.056                 -2.1822289e-005
                  0.0595                  -3.418915e-005
                   0.063                 -5.0827493e-005
                  0.0665                 -7.0774284e-005
                    0.07                 -9.2320381e-005
                  0.0735                  -0.00011334325
                   0.077                  -0.00013183519
                  0.0805                  -0.00014637639
                   0.084                  -0.00015674276
                  0.0875                  -0.00016421133
                   0.091                  -0.00017160312
                  0.0945                  -0.00018290492
                   0.098                  -0.00020279484
                  0.1015                  -0.00023549154
                   0.105                  -0.00028414976
                  0.1085                  -0.00034969897
                   0.112                  -0.00043055961
                  0.1155                  -0.00052247296
                   0.119                   -0.0006191975
                  0.1225                  -0.00071361779
                   0.126                  -0.00079929791
                  0.1295                  -0.00087217026
                   0.133                  -0.00093184806
                  0.1365                  -0.00098236068
                    0.14                   -0.0010320349
                  0.1435                   -0.0010920754
                   0.147                   -0.0011751968
                  0.1505                   -0.0012928639
                   0.154                    -0.001453004
                  0.1575                   -0.0016577498
                   0.161                   -0.0019022132
                  0.1645                   -0.0021751968
                   0.168                   -0.0024599948
                  0.1715                   -0.0027381244
                   0.175                   -0.0029925231
                  0.1785                   -0.0032121545
                   0.182                    -0.003394874
                  0.1855                   -0.0035486777
                   0.189                   -0.0036913715
                  0.1925                   -0.0038479172
                   0.196                   -0.0040456517
                  0.1995                   -0.0043094354
                   0.203                   -0.0046557219
                  0.2065                   -0.0050883589
                    0.21                   -0.0055966967
                  0.2135                   -0.0061559053
                   0.217                    -0.006730521
                  0.2205                   -0.0072815863
                   0.224                   -0.0077734543
                  0.2275                   -0.0081824591
                   0.231                   -0.0085022102
                  0.2345                   -0.0087456398
                   0.238                   -0.0089445989
                  0.2415                   -0.0091422376
                   0.245                   -0.0093871919
                  0.2485                   -0.0097217843
                   0.252                    -0.010174459
                  0.2555                    -0.010752386
                   0.259                     -0.01143851
                  0.2625                    -0.012194368
                   0.266                    -0.012964078
                  0.2695                    -0.013687113
                   0.273                     -0.01430876
                  0.2765                    -0.014792441
                    0.28                    -0.015127126
                  0.2835                    -0.015330436
                   0.287                    -0.015446287
                  0.2905                    -0.015535956
                   0.294                    -0.015667663
                  0.2975                    -0.015902422
                   0.301                    -0.016283177
                  0.3045                     -0.01682619
                   0.308                    -0.017516086
                  0.3115                     -0.01830862
                   0.315                    -0.019137815
                  0.3185                    -0.019927637
                   0.322                    -0.020607832
                  0.3255                    -0.021126785
                   0.329                    -0.021463867
                  0.3325                    -0.021632896
                   0.336                    -0.021680244
                  0.3395                    -0.021677039
                   0.343                    -0.021705277
                  0.3465                    -0.021844215
                    0.35                    -0.022154386
                  0.3535                    -0.022668386
                   0.357                    -0.023381974
                  0.3605                    -0.024255416
                   0.364                    -0.025218772
                  0.3675                    -0.026183729
                   0.371                    -0.027060561
                  0.3745                    -0.027776866
                   0.378                    -0.028290367
                  0.3815                     -0.02860096
                   0.385                    -0.028748694
                  0.3885                     -0.02880938
                   0.392                    -0.028879909
                  0.3955                    -0.029062214
                   0.399                    -0.029445225
                  0.4025                    -0.030089027
                   0.406                     -0.03101314
                  0.4095                    -0.032190605
                   0.413                    -0.033550575
                  0.4165                    -0.034988697
                    0.42                     -0.03638641
                  0.4235                    -0.037633008
                   0.427                    -0.038650064
                  0.4305                    -0.039407616
                   0.434                    -0.039933048
                  0.4375                    -0.040306982
                   0.441                    -0.040652343
                  0.4445                    -0.041112999
                   0.448                    -0.041831187
                  0.4515                    -0.042923142
                   0.455                    -0.044458432
                  0.4585                    -0.046442148
                   0.462                    -0.048808346
                  0.4655                    -0.051426201
                   0.469                    -0.054119354
                  0.4725                    -0.056698687
                   0.476                    -0.059004455
                  0.4795                    -0.060940771
                   0.483                    -0.062503392
                  0.4865                    -0.063785997
                    0.49                    -0.064971956
                  0.4935                    -0.066308348
                   0.497                    -0.068074267
                  0.5005                    -0.070539517
                   0.504                    -0.073922642
                  0.5075                    -0.078343667
                   0.511                    -0.083785937
                  0.5145                    -0.090071058
                   0.518                    -0.096870356
                  0.5215                     -0.10375838
                   0.525                     -0.11030604
                  0.5285                     -0.11619366
                   0.532                     -0.12130926
                  0.5355                     -0.12580545
                   0.539                      -0.1301129
                  0.5425                     -0.13492066
                   0.546                     -0.14114171
                  0.5495                     -0.14986548
                   0.553                     -0.16227508
                  0.5565                     -0.17947916
                    0.56                     -0.20218639
                  0.5635                     -0.23020573
                   0.567                      -0.2619098
                  0.5705                     -0.29407041
                   0.574                     -0.32251917
                  0.5775                      -0.3435927
