        Frequency / GHz                s_C_h1=0.9/real
----------------------------------------------------------------------
                    0.69                      0.69924478
                    0.78                      0.20423908
                    0.87                      0.51280151
                    0.96                      0.32155385
                     1.7                     0.022221541
                     1.8                     0.012149853
                     1.9                    0.0089669497
                       2                     0.022646012
                     2.1                      0.04731623
                     2.2                     0.042653595
                     2.3                     0.029070191
                     2.4                    0.0058791858
                     2.5                    0.0048080187
                     2.6                    0.0024555714
                     2.7                    0.0098007912

        Frequency / GHz                s_C_h1=2.9/real
----------------------------------------------------------------------
                    0.69                      0.73875644
                    0.78                      0.44794843
                    0.87                      0.45022211
                    0.96                     0.058213683
                     1.7                     0.018014331
                     1.8                    0.0064592471
                     1.9                     0.011456044
                       2                     0.026395398
                     2.1                     0.053861594
                     2.2                     0.049451444
                     2.3                     0.035628744
                     2.4                    0.0094765321
                     2.5                     0.011771819
                     2.6                    0.0070346441
                     2.7                    0.0099923687

        Frequency / GHz                s_C_h1=0.3/real
----------------------------------------------------------------------
                    0.69                      0.72994022
                    0.78                      0.42174116
                    0.87                      0.35212599
                    0.96                      0.27802497
                     1.7                    0.0088332422
                     1.8                     0.013889666
                     1.9                     0.016040402
                       2                     0.034962026
                     2.1                     0.057534528
                     2.2                     0.048466605
                     2.3                     0.035116537
                     2.4                     0.011635425
                     2.5                      0.01199772
                     2.6                    0.0071362734
                     2.7                    0.0006989123

        Frequency / GHz                s_C_h1=0.5/real
----------------------------------------------------------------------
                    0.69                      0.72297859
                    0.78                      0.34502147
                    0.87                      0.43238556
                    0.96                      0.29540056
                     1.7                     0.012502801
                     1.8                     0.014876366
                     1.9                     0.010326942
                       2                     0.025761099
                     2.1                     0.047986379
                     2.2                     0.041693765
                     2.3                      0.02867412
                     2.4                    0.0067905204
                     2.5                    0.0048215465
                     2.6                    0.0014816782
                     2.7                    0.0058528468

        Frequency / GHz                s_C_h1=0.7/real
----------------------------------------------------------------------
                    0.69                      0.71339321
                    0.78                      0.22444419
                    0.87                      0.48466486
                    0.96                      0.31048974
                     1.7                      0.01931126
                     1.8                     0.013889373
                     1.9                    0.0087976048
                       2                      0.02280566
                     2.1                     0.046384535
                     2.2                     0.041309175
                     2.3                     0.027975118
                     2.4                    0.0055851638
                     2.5                    0.0036189389
                     2.6                     0.001193424
                     2.7                    0.0089090152

        Frequency / GHz                s_C_h1=1.1/real
----------------------------------------------------------------------
                    0.69                      0.67640809
                    0.78                      0.33044447
                    0.87                      0.52461616
                    0.96                      0.32665792
                     1.7                     0.022528979
                     1.8                     0.010668748
