# Version 1.00
#
freq[Hz]	db:Trc1_S11	ang:Trc1_S11	db:Trc2_S21	ang:Trc2_S21	db:Trc3_S22	ang:Trc3_S22	
5.000000000000000E+008	-4.810219303683824E-001	9.097888362982894E+001	-4.469641948882959E+001	-1.711284782971246E+002	-4.232127627755358E-001	1.095604651377575E+002	
5.125000000000000E+008	-5.295964761487320E-001	8.266559974056193E+001	-4.219034365170396E+001	-1.761945302208740E+002	-4.354683197531184E-001	1.027127645550682E+002	
5.250000000000000E+008	-6.025590538421426E-001	7.413624706097613E+001	-3.975620593618136E+001	1.748103865537403E+002	-4.530227378539303E-001	9.565005104593617E+001	
5.375000000000000E+008	-6.705486138244315E-001	6.532868597719239E+001	-3.702051773353804E+001	1.672688954552383E+002	-4.824356184321929E-001	8.863324317525856E+001	
5.500000000000000E+008	-7.632405970130191E-001	5.625894154567135E+001	-3.416442647797215E+001	1.551517494741869E+002	-5.017937070047394E-001	8.150166261542462E+001	
5.625000000000000E+008	-8.746075552644613E-001	4.663965467171496E+001	-3.150920614872711E+001	1.412116520619610E+002	-5.365695405536067E-001	7.410344316227499E+001	
5.750000000000000E+008	-1.024125285937770E+000	3.657704121529472E+001	-2.906869647906999E+001	1.247969136328643E+002	-5.776968014832951E-001	6.648161000145718E+001	
5.875000000000000E+008	-1.154166564552202E+000	2.588974313771103E+001	-2.702462876455975E+001	1.106627703506844E+002	-6.327573257108138E-001	5.871828669158265E+001	
6.000000000000000E+008	-1.384003355756755E+000	1.391060234930014E+001	-2.472987968683429E+001	9.202729696490484E+001	-7.127971463528477E-001	5.069562117238878E+001	
6.125000000000000E+008	-1.707473238505440E+000	1.712864679179340E+000	-2.319216428306760E+001	7.670311880589269E+001	-7.796818507601062E-001	4.208290449309876E+001	
6.250000000000000E+008	-2.152725561922010E+000	-1.196721713634441E+001	-2.104767978848943E+001	6.041821251949606E+001	-9.305256243657978E-001	3.303609666104321E+001	
6.375000000000000E+008	-2.766965317103448E+000	-2.609732148416855E+001	-1.930940351747321E+001	4.272190137079762E+001	-1.087754118393941E+000	2.364794152843663E+001	
6.500000000000000E+008	-3.365733198566369E+000	-4.152738460087084E+001	-1.762481712428110E+001	2.706340794884581E+001	-1.277827758999190E+000	1.355978076609413E+001	
6.625000000000000E+008	-4.542496781095415E+000	-5.949116943766102E+001	-1.523706692029681E+001	8.980214086357201E+000	-1.595779113395356E+000	2.394384229924864E+000	
6.750000000000000E+008	-6.170529330372738E+000	-7.591053643383629E+001	-1.352768322166802E+001	-1.364983526005243E+001	-2.032619794761567E+000	-8.668229242442578E+000	
6.875000000000000E+008	-8.059359521835440E+000	-8.886771282841033E+001	-1.228415956828441E+001	-3.677939907346215E+001	-2.512240688842501E+000	-2.032040636236796E+001	
7.000000000000000E+008	-9.706960906239441E+000	-1.010009245168360E+002	-1.147689153113291E+001	-5.838054164408938E+001	-3.036899326625396E+000	-3.364428841793315E+001	
7.125000000000000E+008	-1.092700855695141E+001	-1.120824900357738E+002	-1.067741666079654E+001	-7.939055825394134E+001	-3.924229025781501E+000	-4.895860793031373E+001	
7.250000000000000E+008	-1.207472935380655E+001	-1.247087705704168E+002	-1.008923980944876E+001	-9.923736710474628E+001	-5.208914940115743E+000	-6.589698620092277E+001	
7.375000000000000E+008	-1.231721078329680E+001	-1.354825553954241E+002	-9.625832390400321E+000	-1.211353509931102E+002	-7.106963674935299E+000	-8.260908220962551E+001	
7.500000000000000E+008	-1.180557306129707E+001	-1.489386487088247E+002	-9.626114448798312E+000	-1.400990071114256E+002	-9.432869681707873E+000	-1.020853466722770E+002	
7.625000000000000E+008	-1.068957582957478E+001	-1.708394497414587E+002	-9.752024887915475E+000	-1.565465263774196E+002	-1.280713340295384E+001	-1.213312512300406E+002	
7.750000000000000E+008	-9.961428484055650E+000	1.692614572486625E+002	-9.416770092010607E+000	-1.725650116967995E+002	-1.679725081809046E+001	-1.388516209146298E+002	
7.875000000000000E+008	-9.208330768743707E+000	1.494168944830912E+002	-9.245100783264006E+000	1.719447441268602E+002	-1.931509540938633E+001	-1.635691677820838E+002	
8.000000000000000E+008	-8.852708943577408E+000	1.297793445580297E+002	-8.760196088863516E+000	1.571506500606066E+002	-2.027816768350880E+001	1.566686912751453E+002	
8.125000000000000E+008	-8.521343347698895E+000	1.158072140431946E+002	-8.386079969536372E+000	1.402954239618984E+002	-1.893162222093588E+001	1.195940864126356E+002	
8.250000000000000E+008	-8.062831521429757E+000	1.023155104807845E+002	-7.948568237202363E+000	1.222871460728054E+002	-1.732827588497241E+001	9.921933271721096E+001	
8.375000000000000E+008	-7.175689683652623E+000	8.970341084493175E+001	-8.179332442834733E+000	1.047753826141766E+002	-1.451432485209963E+001	8.454436791910077E+001	
8.500000000000000E+008	-6.691395177616422E+000	7.491484149821348E+001	-8.132281378229694E+000	8.879712643693314E+001	-1.267204905488215E+001	7.062075488154812E+001	
8.625000000000000E+008	-6.411223860879527E+000	6.199902192113373E+001	-8.270401718823342E+000	7.217799592099253E+001	-1.075792337834698E+001	5.818026496739910E+001	
8.750000000000000E+008	-5.962437504777604E+000	5.004378620219728E+001	-8.713892170502454E+000	5.706548471383604E+001	-9.133965812315472E+000	4.322914838505935E+001	
8.875000000000000E+008	-5.840567294598083E+000	3.757433364584059E+001	-8.856149078331606E+000	4.301607786121613E+001	-8.360096575142414E+000	2.964088734220863E+001	
9.000000000000000E+008	-5.579794701189104E+000	2.698755254794877E+001	-9.230137678946658E+000	2.838068537060413E+001	-7.384960327418241E+000	1.712297775897456E+001	
9.125000000000000E+008	-5.265949725874457E+000	1.538196681449439E+001	-9.720654975662631E+000	1.586793854496737E+001	-6.659705838281088E+000	4.095029629581092E+000	
9.250000000000000E+008	-5.142174198116838E+000	3.371987553491623E+000	-1.006732044708301E+001	4.531372498570746E+000	-6.226809268139895E+000	-8.918328910343174E+000	
9.375000000000000E+008	-5.251943079190673E+000	-8.739240859526657E+000	-9.978467183623330E+000	-5.904844993609312E+000	-6.239379203866895E+000	-2.176195672923508E+001	
9.500000000000000E+008	-5.532054882118840E+000	-1.876447701014665E+001	-1.005509972367555E+001	-1.751204213836856E+001	-6.330002336753819E+000	-3.227456116274189E+001	
9.625000000000000E+008	-5.627635590651776E+000	-2.840573149607203E+001	-1.010505691024270E+001	-2.861969359138606E+001	-6.398028095278209E+000	-4.173434572370003E+001	
9.750000000000000E+008	-5.950359561219094E+000	-3.771663060064486E+001	-9.694112008873001E+000	-4.097693835384705E+001	-6.713266218026478E+000	-4.976595496664872E+001	
9.875000000000000E+008	-6.023368325549607E+000	-4.543012448780856E+001	-9.874510174407019E+000	-5.517628369754591E+001	-6.542406166975454E+000	-5.677338536037574E+001	
1.000000000000000E+009	-6.173698473445833E+000	-5.386779249933510E+001	-9.896840831935197E+000	-6.762815005065588E+001	-6.582812982903078E+000	-6.569907959966562E+001	
1.012500000000000E+009	-6.243654880901937E+000	-6.113015402636511E+001	-9.987774925944292E+000	-8.140993458789797E+001	-6.614722678834050E+000	-7.258745567643115E+001	
1.025000000000000E+009	-6.091821372251334E+000	-6.952982471927797E+001	-1.046068091186188E+001	-9.455156177670074E+001	-6.452031044506924E+000	-7.986440369329630E+001	
1.037500000000000E+009	-6.203224197460209E+000	-7.819621250221834E+001	-1.069118652626610E+001	-1.060374482404396E+002	-6.243427016077517E+000	-8.759583933240113E+001	
1.050000000000000E+009	-6.198035599112785E+000	-8.609132167990106E+001	-1.100538532355857E+001	-1.177577627200893E+002	-6.034704770676619E+000	-9.611865767340454E+001	
1.062500000000000E+009	-6.255797676407669E+000	-9.381420945008161E+001	-1.125020496307493E+001	-1.276637416723599E+002	-5.878406227736621E+000	-1.052888303284800E+002	
1.075000000000000E+009	-6.015316970377674E+000	-9.963468661001426E+001	-1.130256500910712E+001	-1.401052486412307E+002	-5.738427249224069E+000	-1.135300750214742E+002	
1.087500000000000E+009	-5.572553517386137E+000	-1.086349130843854E+002	-1.168287050476477E+001	-1.514560321912974E+002	-5.470806708790588E+000	-1.221850410449214E+002	
1.100000000000000E+009	-5.375944466566704E+000	-1.186362052855830E+002	-1.206416458256220E+001	-1.621385060283698E+002	-5.117710665059043E+000	-1.310494030523504E+002	
1.112500000000000E+009	-5.336261067374340E+000	-1.279102640542650E+002	-1.228832567451665E+001	-1.716550883872637E+002	-4.836855320899418E+000	-1.408182990385772E+002	
1.125000000000000E+009	-5.288249039002047E+000	-1.365963464385614E+002	-1.253347143342752E+001	1.781820448755910E+002	-4.677119113893065E+000	-1.504573984263424E+002	
1.137500000000000E+009	-5.201303522196360E+000	-1.453736757124540E+002	-1.273240536660093E+001	1.687615205628290E+002	-4.479779180654363E+000	-1.601373892941415E+002	
1.150000000000000E+009	-5.104951106923044E+000	-1.539405473354290E+002	-1.276215387806760E+001	1.581283799771935E+002	-4.323841057038511E+000	-1.692910631696538E+002	
1.162500000000000E+009	-5.031238949210355E+000	-1.625512387623500E+002	-1.310635987446096E+001	1.474718100616427E+002	-4.152213005391242E+000	-1.791859398945105E+002	
1.175000000000000E+009	-5.009769072613222E+000	-1.707109488829038E+002	-1.327869159632996E+001	1.380218808430862E+002	-4.151413814846832E+000	1.714251133647612E+002	
1.187500000000000E+009	-4.879515897249110E+000	-1.786594410714853E+002	-1.350045497355158E+001	1.276899777011314E+002	-4.096847397067569E+000	1.625073264920717E+002	
1.200000000000000E+009	-4.760235288630885E+000	1.731003916249839E+002	-1.369477818420738E+001	1.188609180678273E+002	-4.056382519457240E+000	1.535178865404598E+002	
1.212500000000000E+009	-4.671544304586478E+000	1.649102372136531E+002	-1.375152044920094E+001	1.099864775008936E+002	-3.971037076665384E+000	1.449502626742397E+002	
1.225000000000000E+009	-4.560100501158539E+000	1.572312279918564E+002	-1.369624922969778E+001	9.961257796813443E+001	-3.884433997421772E+000	1.358053266023582E+002	
1.237500000000000E+009	-4.423787331071647E+000	1.495433075979372E+002	-1.379124839616506E+001	8.910324318642680E+001	-3.878855445928815E+000	1.269113696846852E+002	
1.250000000000000E+009	-4.221704427998604E+000	1.412318933023699E+002	-1.392336286166421E+001	7.836598466213852E+001	-3.761422598776294E+000	1.182887674175315E+002	
1.262500000000000E+009	-4.107033944677310E+000	1.327607802466225E+002	-1.413003588442325E+001	6.786779231371169E+001	-3.674699908376314E+000	1.092538064933121E+002	
1.275000000000000E+009	-3.997492557930452E+000	1.246878051788791E+002	-1.445894602374736E+001	5.642272730536313E+001	-3.571411058381238E+000	1.001210594890623E+002	
1.287500000000000E+009	-3.876499917143867E+000	1.162104422217841E+002	-1.497386323791707E+001	4.744435505258153E+001	-3.570986658675575E+000	9.056685622363193E+001	
1.300000000000000E+009	-3.886414408234278E+000	1.076684585885902E+002	-1.524492162110470E+001	3.835099279340540E+001	-3.663230638185281E+000	8.121652271933164E+001	
1.312500000000000E+009	-3.879865980813503E+000	1.000754557069102E+002	-1.556729683368868E+001	2.895677420907077E+001	-3.903632455022049E+000	7.216283953428032E+001	
1.325000000000000E+009	-3.778172875320454E+000	9.229210821421341E+001	-1.622550667562157E+001	2.111850870559719E+001	-4.335829359955728E+000	6.373635343750979E+001	
1.337500000000000E+009	-3.811273812781281E+000	8.417535709890878E+001	-1.631620637783241E+001	1.656543524015913E+001	-5.043855887428244E+000	5.729341521587161E+001	
1.350000000000000E+009	-3.833773230412243E+000	7.652215092668962E+001	-1.598204551594420E+001	9.064796330758322E+000	-5.434551690260403E+000	5.506672901952169E+001	
1.362500000000000E+009	-3.872072242530803E+000	6.900622268367542E+001	-1.585943383308292E+001	8.033283045792815E-001	-5.217069468145909E+000	5.253125653388806E+001	
1.375000000000000E+009	-3.889526758011219E+000	6.181031502682848E+001	-1.559986322527353E+001	-8.938618630475915E+000	-4.686122027262715E+000	4.759743706625496E+001	
1.387500000000000E+009	-3.870964408069819E+000	5.442096770365041E+001	-1.552955827549170E+001	-1.997230930408731E+001	-4.122739778599004E+000	3.982605974380453E+001	
1.400000000000000E+009	-3.872519582217000E+000	4.702831773569658E+001	-1.552442402815098E+001	-2.978038165202433E+001	-3.758481478957262E+000	3.045159261143712E+001	
1.412500000000000E+009	-3.902521167720487E+000	3.976866260676564E+001	-1.557365507389411E+001	-4.114996438755074E+001	-3.646276527237728E+000	2.046187750571599E+001	
1.425000000000000E+009	-3.870181364121013E+000	3.256681863658181E+001	-1.581926055912525E+001	-5.101598895447490E+001	-3.701907414996197E+000	1.059666846382501E+001	
1.437500000000000E+009	-3.820988149031893E+000	2.503933456601564E+001	-1.590798553249198E+001	-6.095726214233498E+001	-3.781326168049360E+000	1.606310160767468E+000	
1.450000000000000E+009	-3.770809935574919E+000	1.740866737379050E+001	-1.613859961059782E+001	-7.158687223875104E+001	-3.911224383942205E+000	-7.761839163243354E+000	
1.462500000000000E+009	-3.761922427254208E+000	9.080451919542851E+000	-1.636036127382690E+001	-8.091779180457942E+001	-4.142245159542241E+000	-1.703550982821758E+001	
1.475000000000000E+009	-3.783096617630895E+000	8.644976325804477E-001	-1.649232402192188E+001	-9.054940294524189E+001	-4.435526157774803E+000	-2.577160300346398E+001	
1.487500000000000E+009	-3.825825952705286E+000	-7.576747976982662E+000	-1.663262400905775E+001	-9.999489779898261E+001	-4.766207832306341E+000	-3.403262661065081E+001	
1.500000000000000E+009	-3.941997025387292E+000	-1.606659332971093E+001	-1.649676128988088E+001	-1.109414456322619E+002	-5.122432809649164E+000	-4.160108019388353E+001	
1.512500000000000E+009	-4.056871370330798E+000	-2.422385716262505E+001	-1.688733396351888E+001	-1.240280729066221E+002	-5.348494287954398E+000	-4.942366904954123E+001	
1.525000000000000E+009	-4.189062061004602E+000	-3.240982804925704E+001	-1.755596716743448E+001	-1.343188934363664E+002	-5.751417084561078E+000	-5.746841582958567E+001	
1.537500000000000E+009	-4.285236025582702E+000	-4.114912437218569E+001	-1.796977620231728E+001	-1.435378818762715E+002	-6.065823254834161E+000	-6.490897221498042E+001	
1.550000000000000E+009	-4.558045505488726E+000	-4.994812228235816E+001	-1.822141898391381E+001	-1.525290960610307E+002	-6.380075129879221E+000	-7.270771308750362E+001	
1.562500000000000E+009	-4.807917584124406E+000	-5.755954932728317E+001	-1.865258326060738E+001	-1.638853368156360E+002	-6.665874996091202E+000	-7.985177074941606E+001	
1.575000000000000E+009	-4.902583292822107E+000	-6.570288521178328E+001	-1.914198479762593E+001	-1.745532012326249E+002	-6.667588252128658E+000	-8.808490837676723E+001	
1.587500000000000E+009	-5.080684902888380E+000	-7.416617087045776E+001	-1.999318521240583E+001	1.745964499047935E+002	-6.681560903742478E+000	-9.839977599980637E+001	
1.600000000000000E+009	-5.261402693328759E+000	-8.287824711565540E+001	-2.100556237947740E+001	1.683507705822182E+002	-6.967625135786584E+000	-1.091368527897727E+002	
1.612500000000000E+009	-5.504735190860467E+000	-9.231060749645805E+001	-2.095429826723390E+001	1.614151751119136E+002	-7.252590967183545E+000	-1.199562601671113E+002	
1.625000000000000E+009	-5.934745527754615E+000	-1.008660773763803E+002	-2.133683854473973E+001	1.489463307588693E+002	-7.634953511942492E+000	-1.306454791364834E+002	
1.637500000000000E+009	-6.318283227472993E+000	-1.086033112321667E+002	-2.234882991670981E+001	1.354380844142316E+002	-8.064133962782751E+000	-1.413739688169094E+002	
1.650000000000000E+009	-6.495998946504623E+000	-1.156228833156697E+002	-2.355435886978401E+001	1.262673480019363E+002	-8.467393756590493E+000	-1.527637977014264E+002	
1.662500000000000E+009	-6.596025601851308E+000	-1.233036018362958E+002	-2.495550423269491E+001	1.136357540211143E+002	-9.349639951780706E+000	-1.648379061477940E+002	
1.675000000000000E+009	-6.650405738065395E+000	-1.322737132120903E+002	-2.728361108144526E+001	1.077570775104002E+002	-1.052726874758980E+001	-1.752294605465222E+002	
1.687500000000000E+009	-6.808189130273035E+000	-1.420300243007546E+002	-2.931073403451688E+001	1.007680595113925E+002	-1.204104054478411E+001	1.767620772661140E+002	
1.700000000000000E+009	-7.169846454820941E+000	-1.510603183158936E+002	-3.341502270116391E+001	9.934186785731090E+001	-1.379627435381438E+001	1.702929682823068E+002	
1.712500000000000E+009	-7.511473620609778E+000	-1.603476888357740E+002	-3.736114391472340E+001	1.274715212684662E+002	-1.586570138456204E+001	1.729139737917672E+002	
1.725000000000000E+009	-7.945288882928852E+000	-1.696008744652326E+002	-3.499866967812426E+001	1.764285547299569E+002	-1.694252811360265E+001	1.788262806621471E+002	
1.737500000000000E+009	-8.572364719002756E+000	-1.777310530728874E+002	-2.967423716494467E+001	1.747785891298676E+002	-1.704503049496384E+001	-1.700788364194781E+002	
1.750000000000000E+009	-9.079418097352143E+000	1.743473958169180E+002	-2.711144148103040E+001	1.686926700575483E+002	-1.575366017878974E+001	-1.640813849648951E+002	
1.762500000000000E+009	-9.929479904829684E+000	1.668466432314908E+002	-2.459936292597596E+001	1.578415337739293E+002	-1.366589555755371E+001	-1.643857558465761E+002	
1.775000000000000E+009	-1.075847964910514E+001	1.616002649529129E+002	-2.279668035623609E+001	1.452411175214437E+002	-1.200856142690923E+001	-1.703398353865933E+002	
1.787500000000000E+009	-1.187318434829222E+001	1.574002686275757E+002	-2.228891420367239E+001	1.275844754493265E+002	-1.079192285301669E+001	-1.790401877664744E+002	
1.800000000000000E+009	-1.279204931910521E+001	1.591893812131101E+002	-2.253200031009191E+001	1.174663899928071E+002	-9.586444373230620E+000	1.733122518554785E+002	
1.812500000000000E+009	-1.280463281082706E+001	1.604643018222942E+002	-2.221500782098025E+001	1.115402834892648E+002	-8.422667582956409E+000	1.633198213247238E+002	
1.825000000000000E+009	-1.273842912912843E+001	1.627902560705484E+002	-2.172837279329146E+001	1.036084705283741E+002	-7.660908255672954E+000	1.528439269698875E+002	
1.837500000000000E+009	-1.202769600181207E+001	1.644186318933624E+002	-2.106453443151277E+001	9.516234632441510E+001	-7.042197386966543E+000	1.429660277950632E+002	
1.850000000000000E+009	-1.097894060072394E+001	1.640015573262737E+002	-2.088556104131611E+001	8.643232317652090E+001	-6.607285164580504E+000	1.331825261112613E+002	
