        Frequency / MHz                C_l3=0.3/real
----------------------------------------------------------------------
                     690                      0.70335858
                     780                      0.21857566
                     870                      0.31795027
                     960                     0.027014136
                    1700                     0.073688279
                    1800                     0.054952239
                    1900                    0.0010001904
                    2000                    0.0003642266
                    2100                     0.004783046
                    2200                    0.0022441785
                    2300                   1.382904e-005
                    2400                    0.0070868332
                    2500                     0.028208334
                    2600                     0.046491841
                    2700                     0.046551126

        Frequency / MHz                C_l3=0.5/real
----------------------------------------------------------------------
                     690                      0.70350573
                     780                      0.21973147
                     870                      0.31876689
                     960                     0.026486052
                    1700                     0.074199099
                    1800                     0.052449011
                    1900                   0.00085622642
                    2000                    0.0002619908
                    2100                    0.0048460125
                    2200                    0.0023199903
                    2300                   0.00033704897
                    2400                     0.010261802
                    2500                     0.038903507
                    2600                     0.054377284
                    2700                     0.047578551

        Frequency / MHz                C_l3=0.7/real
----------------------------------------------------------------------
                     690                      0.70365714
                     780                      0.22099913
                     870                      0.31961912
                     960                     0.025890194
                    1700                     0.074343784
                    1800                     0.048858623
                    1900                    0.0007106836
                    2000                    0.0001254101
                    2100                    0.0050249039
                    2200                    0.0028007172
                    2300                     0.001683927
                    2400                     0.015258266
                    2500                      0.05346041
                    2600                     0.053007607
                    2700                     0.028060047

        Frequency / MHz                C_l3=0.9/real
----------------------------------------------------------------------
                     690                      0.70381298
                     780                      0.22239187
                     870                      0.32050643
                     960                     0.025213964
                    1700                     0.073687946
                    1800                     0.043503498
                    1900                   0.00066748349
                    2000                  5.2558743e-006
                    2100                    0.0057795183
                    2200                    0.0054534719
                    2300                    0.0036189111
                    2400                     0.011173956
                    2500                     0.023298167
                    2600                     0.053901301
                    2700                     0.026585912

        Frequency / MHz                C_l3=1.1/real
----------------------------------------------------------------------
                     690                      0.70397342
                     780                      0.22392483
                     870                      0.32142717
                     960                     0.024441901
                    1700                     0.071261594
                    1800                     0.035139711
                    1900                     0.001332006
                    2000                   0.00064547428
                    2100                     0.012795146
                    2200                     0.056927583
                    2300                     0.050801099
                    2400                     0.022081262
                    2500                     0.045545691
                    2600                     0.032813821
                    2700                     0.016707806

        Frequency / MHz                C_l3=1.3/real
----------------------------------------------------------------------
                     690                      0.70413866
                     780                      0.22561542
                     870                      0.32237794
                     960                     0.023555048
                    1700                     0.064583057
                    1800                     0.021395521
                    1900                    0.0092571768
                    2000                     0.014769247
                    2100                     0.018700768
                    2200                     0.030544734
                    2300                     0.027806664
                    2400                    0.0081837039
                    2500                     0.024547887
                    2600                     0.020725612
                    2700                     0.018378972

        Frequency / MHz                C_l3=1.5/real
----------------------------------------------------------------------
                     690                      0.70430887
                     780                      0.22748359
                     870                      0.32335276
                     960                     0.022530385
                    1700                     0.045402672
                    1800                      0.01146318
                    1900                     0.035810703
                    2000                    0.0018184958
                    2100                    0.0091912291
                    2200                      0.01668074
                    2300                     0.017077731
                    2400                    0.0032459485
                    2500                     0.016137515
                    2600                     0.017519137
                    2700                      0.02135498

        Frequency / MHz                C_l3=1.7/real
----------------------------------------------------------------------
                     690                      0.70448427
                     780                      0.22955229
                     870                      0.32434179
                     960                     0.021340476
                    1700                    0.0090164385
                    1800                     0.096191937
                    1900                    0.0016976115
                    2000                   0.00023379245
                    2100                    0.0067828644
                    2200                     0.011346694
                    2300                     0.011997041
                    2400                    0.0014068117
                    2500                     0.012575871
                    2600                     0.016980386
                    2700                     0.023665753

        Frequency / MHz                C_l3=1.9/real
----------------------------------------------------------------------
                     690                      0.70466511
                     780                      0.23184819
                     870                      0.32532957
                     960                     0.019954023
                    1700                      0.19052063
                    1800                      0.03686871
                    1900                    0.0010250086
                    2000                   0.00036635831
                    2100                    0.0059148384
                    2200                    0.0088105126
                    2300                    0.0093130789
                    2400                   0.00063752074
                    2500                     0.010896707
                    2600                     0.017203927
                    2700                     0.025345395

        Frequency / MHz                C_l3=2.1/real
----------------------------------------------------------------------
                     690                      0.70485159
                     780                      0.23440213
                     870                      0.32629228
                     960                     0.018338748
                    1700                      0.12855577
                    1800                     0.028791074
                    1900                    0.0018077299
                    2000                   0.00055631947
                    2100                    0.0055252633
                    2200                    0.0074241604
                    2300                    0.0077217039
                    2400                    0.0002871047
                    2500                     0.010034719
                    2600                     0.017628498
                    2700                     0.026585343

        Frequency / MHz                C_l3=2.3/real
----------------------------------------------------------------------
                     690                      0.70504395
                     780                      0.23724995
                     870                      0.32719341
                     960                     0.016469867
                    1700                      0.10096069
                    1800                     0.033382548
                    1900                    0.0022944082
                    2000                   0.00067210828
                    2100                    0.0053198062
                    2200                    0.0065786444
                    2300                     0.006689958
                    2400                   0.00012072315
                    2500                    0.0095654848
                    2600                     0.018079364
                    2700                       0.0275268

        Frequency / MHz                C_l3=2.5/real
----------------------------------------------------------------------
                     690                      0.70524244
                     780                      0.24043349
                     870                      0.32797747
                     960                     0.014350692
                    1700                     0.080686126
                    1800                     0.040453393
                    1900                    0.0025105783
                    2000                    0.0007372132
                    2100                    0.0051979104
                    2200                    0.0060190575
                    2300                    0.0059748644
                    2400                  4.2573642e-005
                    2500                    0.0093008243
                    2600                     0.018502012
                    2700                     0.028261473

        Frequency / MHz                C_l3=2.7/real
----------------------------------------------------------------------
                     690                      0.70544733
                     780                      0.24400168
                     870                      0.32855974
                     960                     0.012057746
                    1700                     0.065443108
                    1800                     0.046472665
                    1900                    0.0025912883
                    2000                   0.00077410907
                    2100                    0.0051190894
                    2200                    0.0056253387
                    2300                    0.0054535391
                    2400                  9.4474901e-006
                    2500                    0.0091495297
                    2600                     0.018882019
                    2700                     0.028848722

        Frequency / MHz                C_l3=2.9/real
----------------------------------------------------------------------
                     690                      0.70565886
                     780                      0.24801189
                     870                      0.32881034
                     960                    0.0098257435
                    1700                     0.055108583
                    1800                      0.05092126
                    1900                    0.0026104356
                    2000                   0.00079542933
                    2100                    0.0050647452
                    2200                    0.0053350724
                    2300                    0.0050583067
                    2400                  2.6608562e-007
                    2500                    0.0090641002
                    2600                     0.019218736
                    2700                     0.029327882

