        Frequency / MHz                S1,1 (22927)/abs,dB
----------------------------------------------------------------------
                     400                   -0.0039382947
                   402.6                   -0.0031979203
                   405.2                   -0.0025979881
                   407.8                   -0.0021894939
                   410.4                   -0.0020116712
                     413                   -0.0020909402
                   415.6                   -0.0024376567
                   418.2                   -0.0030464984
                   420.8                   -0.0038963336
                   423.4                   -0.0049507423
                     426                   -0.0061614792
                   428.6                    -0.007469851
                   431.2                   -0.0088118279
                   433.8                    -0.010120849
                   436.4                     -0.01133284
                     439                    -0.012389937
                   441.6                    -0.013244593
                   444.2                    -0.013861683
                   446.8                    -0.014222043
                   449.4                    -0.014322348
                     452                    -0.014176021
                   454.6                    -0.013812712
                   457.2                    -0.013276338
                   459.8                    -0.012623007
                   462.4                    -0.011917672
                     465                    -0.011231167
                   467.6                    -0.010636338
                   470.2                     -0.01020469
                   472.8                    -0.010001757
                   475.4                    -0.010084663
                     478                    -0.010497597
                   480.6                    -0.011269965
                   483.2                    -0.012414082
                   485.8                    -0.013923381
                   488.4                    -0.015772266
                     491                    -0.017916962
                   493.6                     -0.02029594
                   496.2                    -0.022834168
                   498.8                    -0.025445312
                   501.4                    -0.028037698
                     504                    -0.030517696
                   506.6                    -0.032796672
                   509.2                     -0.03479632
                   511.8                    -0.036452352
                   514.4                     -0.03772036
                     517                    -0.038579999
                   519.6                    -0.039035265
                   522.2                    -0.039119152
                   524.8                    -0.038892124
                   527.4                    -0.038442744
                     530                     -0.03788695
                   532.6                    -0.037366545
                   535.2                    -0.037046185
                   537.8                    -0.037111508
                   540.4                     -0.03776688
                     543                    -0.039231286
                   545.6                    -0.041733112
                   548.2                    -0.045505775
                   550.8                    -0.050780271
                   553.4                    -0.057776776
                     556                      -0.0666925
                   558.6                    -0.077690787
                   561.2                    -0.090881921
                   563.8                     -0.10631079
                   566.4                     -0.12393891
                     569                     -0.14363112
                   571.6                     -0.16514602
                   574.2                     -0.18813253
                   576.8                     -0.21214064
                   579.4                     -0.23663432
                     582                     -0.26102436
                   584.6                     -0.28470244
                   587.2                      -0.3070779
                   589.8                     -0.32762355
                   592.4                     -0.34590204
                     595                      -0.3615997
                   597.6                     -0.37452804
                   600.2                     -0.38463966
                   602.8                     -0.39201843
                   605.4                     -0.39686451
                     608                     -0.39948629
                   610.6                      -0.4002844
                   613.2                     -0.39974635
                   615.8                     -0.39843595
                   618.4                     -0.39699477
                     621                     -0.39614849
                   623.6                     -0.39671603
                   626.2                     -0.39962125
                   628.8                     -0.40590844
                   631.4                     -0.41675874
                     634                     -0.43349985
                   636.6                     -0.45760402
                   639.2                     -0.49068492
                   641.8                     -0.53446281
                   644.4                     -0.59071217
                     647                     -0.66118606
                   649.6                     -0.74751297
                   652.2                     -0.85108169
                   654.8                     -0.97292791
                   657.4                      -1.1136577
                     660                      -1.2734288
                   662.6                      -1.4519967
                   665.2                      -1.6488897
                   667.8                      -1.8636471
                   670.4                      -2.0961293
                     673                      -2.3468936
                   675.6                      -2.6175056
                   678.2                      -2.9108852
                   680.8                      -3.2316198
                   683.4                      -3.5862095
                     686                       -3.983394
                   688.6                      -4.4344266
                   691.2                      -4.9534786
                   693.8                      -5.5581842
                   696.4                      -6.2702846
                     699                      -7.1168076
                   701.6                      -8.1319097
                   704.2                       -9.360477
                   706.8                      -10.865293
                   709.4                      -12.742657
                     712                      -15.160243
                   714.6                      -18.465924
                   717.2                      -23.621437
                   719.8                      -36.307076
                   722.4                      -29.837512
                     725                      -22.404603
                   727.6                      -18.739384
                   730.2                      -16.379975
                   732.8                      -14.688346
                   735.4                      -13.398905
                     738                      -12.374115
                   740.6                      -11.533107
                   743.2                      -10.824327
                   745.8                      -10.213369
                   748.4                      -9.6766391
                     751                      -9.1979209
                   753.6                      -8.7661813
                   756.2                      -8.3741702
                   758.8                      -8.0173259
                   761.4                      -7.6929653
                     764                      -7.3996083
                   766.6                      -7.1364642
                   769.2                      -6.9030383
                   771.8                      -6.6988526
                   774.4                      -6.5232763
                     777                      -6.3754052
                   779.6                      -6.2540612
                   782.2                        -6.15778
                   784.8                      -6.0848493
                   787.4                      -6.0333485
                     790                       -6.001198
                   792.6                      -5.9862178
                   795.2                      -5.9861588
                   797.8                      -5.9987761
                   800.4                       -6.021874
                     803                      -6.0533721
                   805.6                      -6.0913903
                   808.2                       -6.134323
                   810.8                      -6.1809175
                   813.4                      -6.2303522
                     816                      -6.2822896
                   818.6                      -6.3369148
                   821.2                       -6.394923
                   823.8                      -6.4574738
                   826.4                      -6.5261478
                     829                      -6.6028102
                   831.6                      -6.6895107
                   834.2                      -6.7883722
                   836.8                      -6.9014647
                   839.4                      -7.0307037
                     842                      -7.1777865
                   844.6                      -7.3441115
                   847.2                      -7.5307436
                   849.8                      -7.7383987
                   852.4                       -7.967437
                     855                      -8.2178803
                   857.6                      -8.4894604
                   860.2                      -8.7816945
                   862.8                      -9.0939912
                   865.4                      -9.4258068
                     868                      -9.7768621
                   870.6                      -10.147392
                   873.2                      -10.538429
                   875.8                      -10.952153
                   878.4                      -11.392236
                     881                      -11.864229
                   883.6                      -12.375901
                   886.2                      -12.937719
                   888.8                      -13.563367
                   891.4                      -14.270532
                     894                      -15.082137
                   896.6                      -16.028294
                   899.2                      -17.149664
                   901.8                      -18.502768
                   904.4                      -20.168028
                     907                      -22.255593
                   909.6                      -24.861625
                   912.2                      -27.639257
                   914.8                      -28.364528
                   917.4                      -25.885186
                     920                      -22.868568
                   922.6                      -20.331912
                   925.2                      -18.269893
                   927.8                      -16.564883
                   930.4                      -15.123199
                     933                      -13.879112
                   935.6                       -12.78638
                   938.2                      -11.811712
                   940.8                      -10.930604
                   943.4                      -10.124796
                     946                      -9.3807245
                   948.6                      -8.6884564
                   951.2                      -8.0409658
                   953.8                      -7.4335196
                   956.4                      -6.8631408
                     959                      -6.3281109
                   961.6                      -5.8274908
                   964.2                      -5.3607244
                   966.8                      -4.9273019
                   969.4                      -4.5265318
                     972                      -4.1574119
                   974.6                      -3.8185737
                   977.2                      -3.5083148
                   979.8                      -3.2246615
                   982.4                      -2.9654605
                     985                       -2.728482
                   987.6                      -2.5115068
                   990.2                      -2.3124091
                   992.8                      -2.1292203
                   995.4                      -1.9601694
                     998                      -1.8037175
                  1000.6                      -1.6585696
                  1003.2                      -1.5236713
                  1005.8                       -1.398192
                  1008.4                      -1.2814961
                    1011                      -1.1731027
                  1013.6                      -1.0726437
                  1016.2                     -0.97981463
                  1018.8                     -0.89433362
                  1021.4                     -0.81591103
                    1024                     -0.74422214
