"";"";"Parameters";"";"";"";"";"";"";"";"";"";"";"Tasks\SPara1\S-Parameters"
"Schematic Run ID";"Status";"ant_l";"ant_w";"arm_l";"C_h1";"C_h3";"C_h4";"C_l3";"L_h2";"L_l1";"L_l2";"L_l4";"S1,1"
"22927";"Calculated";"60";"5";"3";"1.2";"5";"2.4";"3.27";"7.8";"14.34";"27.47";"5.51";"1DC"
"22928";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"3.27";"7.8";"13.548";"29.874";"5.52";"1DC"
"22929";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.1";"7.8";"13.548";"29.874";"5.52";"1DC"
"22930";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.20931";"7.8";"13.548";"29.874";"5.52";"1DC"
"22931";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.318621";"7.8";"13.548";"29.874";"5.52";"1DC"
"22932";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.427931";"7.8";"13.548";"29.874";"5.52";"1DC"
"22933";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.537241";"7.8";"13.548";"29.874";"5.52";"1DC"
"22934";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.646552";"7.8";"13.548";"29.874";"5.52";"1DC"
"22935";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.755862";"7.8";"13.548";"29.874";"5.52";"1DC"
"22936";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.865172";"7.8";"13.548";"29.874";"5.52";"1DC"
"22937";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"0.974483";"7.8";"13.548";"29.874";"5.52";"1DC"
"22938";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"1.08379";"7.8";"13.548";"29.874";"5.52";"1DC"
"22939";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"1.1931";"7.8";"13.548";"29.874";"5.52";"1DC"
"22940";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"1.30241";"7.8";"13.548";"29.874";"5.52";"1DC"
"22941";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"1.41172";"7.8";"13.548";"29.874";"5.52";"1DC"
"22942";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"1.52103";"7.8";"13.548";"29.874";"5.52";"1DC"
"22943";"Calculated";"60";"5";"3";"1.2";"5";"2.006";"1.63034";"7.8";"13.548";"29.874";"5.52";"1DC"
