        Frequency / MHz                S2,1 (31736)/abs,dB
----------------------------------------------------------------------
                     400                      -46.580722
                   402.6                      -46.565018
                   405.2                       -46.42091
                   407.8                      -46.182568
                   410.4                      -45.945916
                     413                      -45.796315
                   415.6                      -45.758776
                   418.2                       -45.78716
                   420.8                      -45.789038
                   423.4                      -45.684921
                     426                      -45.469413
                   428.6                      -45.214457
                   431.2                      -45.011482
                   433.8                      -44.911311
                   436.4                      -44.898002
                     439                      -44.897938
                   441.6                      -44.823368
                   444.2                      -44.635292
                   446.8                      -44.374497
                   449.4                      -44.127442
                     452                      -43.964059
                   454.6                      -43.897236
                   457.2                      -43.876974
                   459.8                       -43.81827
                   462.4                      -43.657392
                     465                       -43.40102
                   467.6                       -43.12016
                   470.2                      -42.895729
                   472.8                      -42.766755
                   475.4                      -42.709628
                     478                      -42.650875
                   480.6                      -42.512085
                   483.2                      -42.267007
                   485.8                      -41.962451
                   488.4                      -41.681054
                     491                      -41.483855
                   493.6                      -41.374862
                   496.2                        -41.2988
                   498.8                      -41.172428
                   501.4                       -40.94098
                     504                      -40.620938
                   506.6                      -40.286941
                   509.2                      -40.016639
                   511.8                      -39.841791
                   514.4                      -39.730324
                     517                      -39.602815
                   519.6                      -39.382008
                   522.2                      -39.050439
                   524.8                      -38.665316
                   527.4                      -38.314792
                     530                      -38.058233
                   532.6                      -37.891073
                   535.2                      -37.744921
                   537.8                      -37.525608
                   540.4                      -37.178721
                     543                      -36.734395
                   545.6                      -36.285188
                   548.2                      -35.919641
                   550.8                      -35.666609
                   553.4                      -35.475286
                     556                      -35.237042
                   558.6                      -34.852631
                   561.2                      -34.310513
                   563.8                      -33.701451
                   566.4                      -33.151496
                     569                      -32.737438
                   571.6                      -32.435029
                   574.2                      -32.112819
                   576.8                      -31.591773
                   579.4                      -30.774703
                     582                      -29.748703
                   584.6                      -28.749929
                   587.2                      -28.044354
                   589.8                      -27.823825
                   592.4                      -28.151916
                     595                      -28.983128
                   597.6                      -30.228563
                   600.2                      -31.785768
                   602.8                       -33.46169
                   605.4                      -34.766396
                     608                      -34.977216
                   610.6                      -34.079551
                   613.2                      -32.852608
                   615.8                        -31.8408
                   618.4                       -31.15449
                     621                      -30.675902
                   623.6                      -30.214703
                   626.2                      -29.628426
                   628.8                      -28.901367
                   631.4                      -28.126499
                     634                      -27.414942
                   636.6                      -26.821212
                   639.2                        -26.3237
                   641.8                      -25.850157
                   644.4                       -25.32681
                     647                      -24.724263
                   649.6                      -24.070938
                   652.2                      -23.425646
                   654.8                      -22.834373
                   657.4                      -22.303435
                     660                       -21.80162
                   662.6                      -21.284941
                   665.2                      -20.726843
                   667.8                      -20.134755
                   670.4                      -19.542155
                     673                      -18.983549
                   675.6                      -18.472409
                   678.2                      -17.996537
                   680.8                      -17.530866
                   683.4                      -17.056906
                     686                      -16.575391
                   688.6                       -16.10428
                   691.2                      -15.664515
                   693.8                      -15.265613
                   696.4                      -14.901659
                     699                      -14.558117
                   701.6                      -14.222641
                   704.2                      -13.892114
                   706.8                      -13.571909
                   709.4                      -13.269239
                     712                      -12.986416
                   714.6                      -12.718957
                   717.2                      -12.458575
                   719.8                      -12.197766
                   722.4                      -11.932823
                     725                       -11.66376
                   727.6                      -11.391965
                   730.2                      -11.117574
                   732.8                      -10.838505
                   735.4                       -10.55127
                     738                      -10.252651
                   740.6                       -9.940985
                   743.2                       -9.616465
                   745.8                      -9.2803756
                   748.4                      -8.9340974
                     751                      -8.5784388
                   753.6                      -8.2139518
                   756.2                       -7.841817
                   758.8                      -7.4648837
                   761.4                      -7.0884419
                     764                      -6.7200418
                   766.6                      -6.3688895
                   769.2                      -6.0449472
                   771.8                      -5.7583927
                   774.4                      -5.5195989
                     777                      -5.3391405
                   779.6                      -5.2271403
                   782.2                      -5.1916592
                   784.8                       -5.236626
                   787.4                      -5.3604132
                     790                      -5.5559894
                   792.6                      -5.8125533
                   795.2                      -6.1178597
                   797.8                      -6.4600029
                   800.4                      -6.8284943
                     803                       -7.214584
                   805.6                      -7.6110541
                   808.2                      -8.0119048
                   810.8                      -8.4120462
                   813.4                      -8.8071459
                     816                      -9.1937525
                   818.6                      -9.5694984
                   821.2                      -9.9333016
                   823.8                      -10.285265
                   826.4                      -10.626132
                     829                      -10.956624
                   831.6                      -11.276845
                   834.2                      -11.586175
                   836.8                      -11.883779
                   839.4                      -12.169263
                     842                       -12.44323
                   844.6                      -12.707241
                   847.2                      -12.963171
                   849.8                      -13.212347
                   852.4                      -13.455002
                     855                      -13.690424
                   857.6                      -13.917678
                   860.2                      -14.136507
                   862.8                       -14.34782
                   865.4                      -14.553368
                     868                      -14.754957
                   870.6                      -14.953511
                   873.2                      -15.148764
                   875.8                      -15.339665
                   878.4                      -15.525274
                     881                      -15.705584
                   883.6                      -15.881695
                   886.2                      -16.055281
                   888.8                      -16.227698
                   891.4                      -16.399313
                     894                       -16.56949
                   896.6                      -16.737192
                   899.2                      -16.901826
                   901.8                       -17.06375
                   904.4                      -17.224137
                     907                      -17.384355
                   909.6                      -17.545242
                   912.2                       -17.70681
                   914.8                      -17.868461
                   917.4                      -18.029589
                     920                      -18.190135
                   922.6                      -18.350764
                   925.2                      -18.512569
                   927.8                        -18.6766
                   930.4                      -18.843449
                     933                      -19.013229
                   935.6                      -19.185803
                   938.2                      -19.361194
                   940.8                      -19.539839
                   943.4                      -19.722601
                     946                      -19.910583
                   948.6                      -20.104846
                   951.2                      -20.306246
                   953.8                      -20.515393
                   956.4                      -20.732779
                     959                      -20.958995
                   961.6                      -21.194933
                   964.2                      -21.441887
                   966.8                      -21.701478
                   969.4                      -21.975414
                     972                      -22.265287
                   974.6                      -22.572445
                   977.2                       -22.89817
                   979.8                      -23.244101
                   982.4                      -23.612611
                     985                      -24.006977
                   987.6                       -24.43118
                   990.2                      -24.889576
                   992.8                      -25.386792
                   995.4                      -25.928231
                     998                      -26.521178
                  1000.6                      -27.176179
                  1003.2                      -27.908452
                  1005.8                       -28.73928
                  1008.4                      -29.698414
                    1011                      -30.829364
                  1013.6                      -32.201361
                  1016.2                      -33.936262
                  1018.8                      -36.276928
                  1021.4                      -39.812087
                    1024                      -46.736689
                  1026.6                      -55.615114
                  1029.2                      -41.321573
                  1031.8                      -35.695092
                  1034.4                      -31.958724
                    1037                      -29.099691
                  1039.6                      -26.805902
                  1042.2                      -24.990588
                  1044.8                      -23.661839
                  1047.4                      -22.841815
                    1050                      -22.502937
                  1052.6                      -22.552229
                  1055.2                      -22.867354
                  1057.8                      -23.339961
                  1060.4                      -23.894399
                    1063                       -24.48527
                  1065.6                      -25.087626
                  1068.2                      -25.687965
                  1070.8                      -26.278467
                  1073.4                      -26.854466
                    1076                      -27.413765
                  1078.6                      -27.956541
                  1081.2                      -28.484797
                  1083.8                      -29.001198
                  1086.4                      -29.507861
                    1089                      -30.005636
                  1091.6                      -30.494375
                  1094.2                      -30.973881
                  1096.8                      -31.444769
                  1099.4                      -31.908697
                    1102                      -32.367821
                  1104.6                      -32.823891
                  1107.2                        -33.2776
                  1109.8                       -33.72865
                  1112.4                      -34.176551
                    1115                      -34.621454
                  1117.6                      -35.064521
                  1120.2                      -35.507509
                  1122.8                      -35.951974
                  1125.4                      -36.398569
                    1128                      -36.847019
                  1130.6                      -37.296783
                  1133.2                      -37.747926
                  1135.8                      -38.201571
                  1138.4                      -38.659617
                    1141                      -39.123838
                  1143.6                      -39.595072
                  1146.2                      -40.073117
                  1148.8                      -40.557344
                  1151.4                      -41.047744
                    1154                      -41.545633
                  1156.6                      -42.053429
                  1159.2                      -42.573608
                  1161.8                      -43.107514
                  1164.4                      -43.654843
                    1167                      -44.214288
                  1169.6                       -44.78482
                  1172.2                      -45.366841
                  1174.8                      -45.962124
                  1177.4                      -46.572282
                    1180                      -47.196457
                  1182.6                      -47.829524
                  1185.2                      -48.462204
                  1187.8                      -49.083229
                  1190.4                      -49.682821
                    1193                      -50.255845
                  1195.6                      -50.802799
                  1198.2                      -51.327179
                  1200.8                      -51.829239
                  1203.4                      -52.297558
                    1206                      -52.702743
                  1208.6                      -52.999652
                  1211.2                      -53.141182
                  1213.8                      -53.098021
                  1216.4                       -52.87076
                    1219                      -52.487278
                  1221.6                      -51.989293
                  1224.2                      -51.418496
                  1226.8                      -50.808539
                  1229.4                      -50.182504
                    1232                      -49.554774
                  1234.6                       -48.93367
                  1237.2                      -48.323999
                  1239.8                      -47.728466
                  1242.4                      -47.148114
                    1245                       -46.58223
                  1247.6                      -46.028435
                  1250.2                       -45.48328
                  1252.8                      -44.943221
                  1255.4                      -44.405346
                    1258                      -43.867691
                  1260.6                      -43.328603
                  1263.2                       -42.78629
                  1265.8                       -42.23846
                  1268.4                      -41.682858
                    1271                      -41.118611
                  1273.6                      -40.548046
                  1276.2                      -39.978046
                  1278.8                      -39.420488
                  1281.4                      -38.891384
                    1284                      -38.408869
                  1286.6                      -37.990128
                  1289.2                      -37.648109
                  1291.8                      -37.388551
                  1294.4                      -37.208529
                    1297                      -37.096991
                  1299.6                      -37.037131
                  1302.2                      -37.010023
                  1304.8                      -36.997978
                  1307.4                      -36.987056
                    1310                      -36.968013
                  1312.6                      -36.936077
                  1315.2                      -36.889627
                  1317.8                      -36.828698
                  1320.4                      -36.753886
                    1323                      -36.665771
                  1325.6                      -36.564899
                  1328.2                      -36.452076
                  1330.8                      -36.328536
                  1333.4                      -36.195909
                    1336                      -36.055857
                  1338.6                      -35.909735
                  1341.2                      -35.758395
                  1343.8                      -35.602292
                  1346.4                      -35.441728
                    1349                      -35.277124
                  1351.6                      -35.109104
                  1354.2                      -34.938402
                  1356.8                      -34.765617
                  1359.4                      -34.591085
                    1362                      -34.414897
                  1364.6                      -34.237081
                  1367.2                      -34.057806
                  1369.8                      -33.877449
                  1372.4                      -33.696474
                    1375                      -33.515248
                  1377.6                       -33.33389
                  1380.2                       -33.15234
                  1382.8                      -32.970556
                  1385.4                      -32.788776
                    1388                      -32.607613
                  1390.6                      -32.427914
                  1393.2                      -32.250484
                  1395.8                      -32.075873
                  1398.4                      -31.904411
                    1401                      -31.736557
                  1403.6                      -31.573354
                  1406.2                      -31.416788
                  1408.8                      -31.269806
                  1411.4                      -31.136053
                    1414                      -31.019599
                  1416.6                       -30.92501
                  1419.2                      -30.857941
                  1421.8                      -30.826119
                  1424.4                      -30.840284
                    1427                      -30.914291
                  1429.6                      -31.063604
                  1432.2                      -31.301669
                  1434.8                      -31.633701
                  1437.4                      -32.048062
                    1440                      -32.506504
                  1442.6                      -32.939029
                  1445.2                      -33.253466
                  1447.8                      -33.367823
                  1450.4                      -33.251097
                    1453                      -32.936225
                  1455.6                      -32.493109
                  1458.2                      -31.990922
                  1460.8                      -31.478292
                  1463.4                      -30.981965
                    1466                      -30.513343
                  1468.6                      -30.075265
                  1471.2                      -29.666831
                  1473.8                       -29.28591
                  1476.4                      -28.929922
                    1479                      -28.596017
                  1481.6                      -28.281186
                  1484.2                      -27.982433
                  1486.8                       -27.69716
                  1489.4                      -27.423406
                    1492                      -27.159896
                  1494.6                      -26.905745
                  1497.2                      -26.660106
                  1499.8                      -26.421951
                  1502.4                      -26.190073
                    1505                      -25.963361
                  1507.6                      -25.741076
                  1510.2                      -25.522923
                  1512.8                      -25.308926
                  1515.4                      -25.099137
                    1518                      -24.893359
                  1520.6                       -24.69105
                  1523.2                      -24.491515
                  1525.8                      -24.294215
                  1528.4                      -24.098962
                    1531                      -23.905926
                  1533.6                       -23.71545
                  1536.2                      -23.527731
                  1538.8                      -23.342644
                  1541.4                      -23.159748
                    1544                      -22.978541
                  1546.6                      -22.798711
                  1549.2                      -22.620299
                  1551.8                      -22.443629
                  1554.4                      -22.269065
                    1557                       -22.09677
                  1559.6                      -21.926597
                  1562.2                      -21.758157
                  1564.8                      -21.591069
                  1567.4                      -21.425177
                    1570                      -21.260643
                  1572.6                      -21.097801
                  1575.2                      -20.936956
                  1577.8                        -20.7782
                  1580.4                      -20.621353
                    1583                       -20.46609
                  1585.6                      -20.312158
                  1588.2                      -20.159526
                  1590.8                      -20.008396
                  1593.4                      -19.859062
                    1596                      -19.711745
                  1598.6                      -19.566452
                  1601.2                      -19.423006
                  1603.8                      -19.281176
                  1606.4                      -19.140826
                    1609                      -19.002016
                  1611.6                      -18.864963
                  1614.2                      -18.729887
                  1616.8                      -18.596904
                  1619.4                      -18.465971
                    1622                      -18.336947
                  1624.6                      -18.209697
                  1627.2                      -18.084202
                  1629.8                      -17.960588
                  1632.4                      -17.839041
                    1635                      -17.719697
                  1637.6                      -17.602587
                  1640.2                      -17.487641
                  1642.8                      -17.374767
                  1645.4                      -17.263933
                    1648                      -17.155222
                  1650.6                      -17.048781
                  1653.2                      -16.944746
                  1655.8                      -16.843169
                  1658.4                       -16.74401
                    1661                      -16.647191
                  1663.6                      -16.552686
                  1666.2                      -16.460554
                  1668.8                      -16.370933
                  1671.4                      -16.283964
                    1674                      -16.199726
                  1676.6                      -16.118186
                  1679.2                      -16.039252
                  1681.8                      -15.962862
                  1684.4                      -15.889045
                    1687                      -15.817926
                  1689.6                      -15.749667
                  1692.2                      -15.684388
                  1694.8                      -15.622096
                  1697.4                      -15.562701
                    1700                      -15.506092
                  1702.6                      -15.452229
                  1705.2                      -15.401193
                  1707.8                       -15.35316
                  1710.4                      -15.308307
                    1713                      -15.266731
                  1715.6                      -15.228412
                  1718.2                      -15.193245
                  1720.8                      -15.161148
                  1723.4                      -15.132147
                    1726                      -15.106406
                  1728.6                      -15.084179
                  1731.2                      -15.065717
                  1733.8                      -15.051182
                  1736.4                      -15.040634
                    1739                      -15.034096
                  1741.6                      -15.031659
                  1744.2                       -15.03357
                  1746.8                      -15.040261
                  1749.4                        -15.0523
                    1752                      -15.070296
                  1754.6                      -15.094845
                  1757.2                      -15.126536
                  1759.8                      -15.166029
                  1762.4                       -15.21421
                    1765                      -15.272297
                  1767.6                      -15.341893
                  1770.2                      -15.425001
                  1772.8                      -15.523963
                  1775.4                      -15.641414
                    1778                      -15.780293
                  1780.6                         -15.944
                  1783.2                      -16.136489
                  1785.8                      -16.362268
                  1788.4                      -16.626312
                    1791                      -16.933589
                  1793.6                      -17.288057
                  1796.2                      -17.691291
                  1798.8                      -18.140515
                  1801.4                      -18.626425
                    1804                      -19.130886
                  1806.6                      -19.625933
                  1809.2                      -20.075361
                  1811.8                      -20.440638
                  1814.4                      -20.690957
                    1817                      -20.813218
                  1819.6                      -20.816156
                  1822.2                      -20.725549
                  1824.8                      -20.574125
                  1827.4                      -20.392335
                    1830                      -20.203498
                  1832.6                      -20.022943
                  1835.2                      -19.859566
                  1837.8                      -19.717991
                  1840.4                      -19.600289
                    1843                      -19.507096
                  1845.6                      -19.438192
                  1848.2                      -19.392664
                  1850.8                      -19.369087
                  1853.4                      -19.365734
                    1856                      -19.380906
                  1858.6                      -19.413205
                  1861.2                      -19.461674
                  1863.8                      -19.525716
                  1866.4                      -19.604892
                    1869                      -19.698674
                  1871.6                      -19.806341
