        Frequency / GHz                C1=0.6/real
----------------------------------------------------------------------
                    0.69                      0.86652668
                    0.78                      0.86157414
                    0.87                      0.47929329
                    0.96                     0.070120678
                     1.7                  8.2842362e-005
                     1.8                   0.00032384177
                     1.9                     0.024394526
                       2                     0.003153621
                     2.1                     0.040942928
                     2.2                    0.0015718081
                     2.3                     0.017254614
                     2.4                     0.014391783
                     2.5                    0.0023234645
                     2.6                    0.0016066531
                     2.7                   0.00045361633

        Frequency / GHz                C1=6/real
----------------------------------------------------------------------
                    0.69                      0.77719591
                    0.78                      0.76079009
                    0.87                      0.77411066
                    0.96                      0.25507124
                     1.7                    0.0088500237
                     1.8                    0.0054805122
                     1.9                     0.036108957
                       2                     0.003249526
                     2.1                     0.042218942
                     2.2                     0.058536715
                     2.3                      0.01892884
                     2.4                     0.012790415
                     2.5                    0.0084430297
                     2.6                      0.01669607
                     2.7                     0.019287314

        Frequency / GHz                C1=0.9/real
----------------------------------------------------------------------
                    0.69                      0.86765228
                    0.78                       0.8577218
                    0.87                      0.41318315
                    0.96                      0.12431202
                     1.7                  9.3747559e-005
                     1.8                   0.00045955199
                     1.9                     0.018291676
                       2                    0.0031581597
                     2.1                     0.035866591
                     2.2                    0.0015811992
                     2.3                     0.017365423
                     2.4                      0.01342285
                     2.5                    0.0022564294
                     2.6                   0.00018304384
                     2.7                    0.0024927649

        Frequency / GHz                C1=1.2/real
----------------------------------------------------------------------
                    0.69                      0.86886419
                    0.78                      0.85231416
                    0.87                      0.33838143
                    0.96                      0.17099774
                     1.7                   0.00015587381
                     1.8                   0.00063742758
                     1.9                     0.013436718
                       2                    0.0031627886
                     2.1                     0.030529243
                     2.2                    0.0022187002
                     2.3                     0.017526374
                     2.4                     0.012140343
                     2.5                    0.0026515097
                     2.6                   0.00086566613
                     2.7                    0.0063537754

        Frequency / GHz                C1=1.5/real
----------------------------------------------------------------------
                    0.69                      0.87017026
                    0.78                      0.84457112
                    0.87                      0.27700081
                    0.96                      0.20471243
                     1.7                   0.00027344272
                     1.8                   0.00085858963
                     1.9                    0.0099726195
                       2                     0.003167503
                     2.1                     0.025031092
                     2.2                    0.0036698196
                     2.3                     0.017741304
                     2.4                     0.010470697
                     2.5                     0.003638421
                     2.6                    0.0034363562
                     2.7                     0.010208698

        Frequency / GHz                C1=1.8/real
----------------------------------------------------------------------
                    0.69                      0.87157851
                    0.78                      0.83322258
                    0.87                      0.26964932
                    0.96                      0.22688638
                     1.7                   0.00045018687
                     1.8                    0.0011221508
                     1.9                    0.0079042745
                       2                    0.0031723111
                     2.1                     0.019524301
                     2.2                    0.0061044252
                     2.3                     0.018003681
                     2.4                    0.0083836074
                     2.5                    0.0050401509
                     2.6                    0.0065953039
                     2.7                      0.01315651

        Frequency / GHz                C1=2.1/real
----------------------------------------------------------------------
                    0.69                      0.87309622
                    0.78                      0.81614593
                    0.87                      0.33745872
                    0.96                      0.24079158
                     1.7                   0.00068916119
                     1.8                    0.0014249185
                     1.9                    0.0071206722
                       2                    0.0031772059
                     2.1                      0.01421983
                     2.2                    0.0096294092
                     2.3                     0.018293184
                     2.4                    0.0059809573
                     2.5                    0.0064347729
                     2.6                    0.0093525248
                     2.7                      0.01517581

        Frequency / GHz                C1=2.4/real
----------------------------------------------------------------------
                    0.69                      0.87472894
                    0.78                      0.78973593
                    0.87                      0.44610677
                    0.96                      0.24926847
                     1.7                   0.00099255677
                     1.8                    0.0017613378
                     1.9                    0.0074344211
                       2                    0.0031821906
                     2.1                    0.0093862851
                     2.2                     0.014232948
                     2.3                      0.01857846
                     2.4                    0.0036083966
                     2.5                    0.0075044365
                     2.6                       0.0114314
                     2.7                     0.016512193

        Frequency / GHz                C1=2.7/real
----------------------------------------------------------------------
                    0.69                      0.87647821
                    0.78                      0.74795897
                    0.87                      0.54768445
                    0.96                      0.25429716
                     1.7                    0.0013615221
                     1.8                    0.0021237467
                     1.9                    0.0086237896
                       2                    0.0031872728
                     2.1                    0.0053355192
                     2.2                     0.019742913
                     2.3                     0.018827102
                     2.4                    0.0018496007
                     2.5                    0.0081889114
                     2.6                     0.012914587
                     2.7                     0.017395687

        Frequency / GHz                C1=3/real
----------------------------------------------------------------------
                    0.69                       0.8783375
                    0.78                      0.68178501
                    0.87                      0.62303789
                    0.96                      0.25715472
                     1.7                    0.0017960216
                     1.8                    0.0025029185
                     1.9                     0.010466932
                       2                     0.003192446
                     2.1                    0.0023913817
                     2.2                     0.025828171
                     2.3                     0.019017033
                     2.4                    0.0012330791
                     2.5                    0.0085724128
                     2.6                     0.013959935
                     2.7                     0.017986824

        Frequency / GHz                C1=3.3/real
----------------------------------------------------------------------
                    0.69                      0.88028464
                    0.78                      0.58332534
                    0.87                      0.67400473
                    0.96                      0.25864387
                     1.7                    0.0022947214
                     1.8                    0.0028888275
                     1.9                     0.012764004
                       2                    0.0031977129
                     2.1                   0.00084263922
                     2.2                     0.032057054
                     2.3                     0.019141762
                     2.4                    0.0018369263
                     2.5                    0.0087596808
                     2.6                     0.014701834
                     2.7                      0.01838862

        Frequency / GHz                C1=3.6/real
----------------------------------------------------------------------
                    0.69                      0.88226785
                    0.78                      0.46685009
                    0.87                      0.70758551
                    0.96                      0.25926775
                     1.7                    0.0028549421
                     1.8                    0.0032715145
                     1.9                     0.015347944
                       2                    0.0032030749
                     2.1                   0.00088907291
                     2.2                     0.037994771
                     2.3                     0.019207664
                     2.4                    0.0032715025
                     2.5                    0.0088298197
                     2.6                     0.015236148
                     2.7                     0.018665947

        Frequency / GHz                C1=3.9/real
----------------------------------------------------------------------
                    0.69                      0.88417839
                    0.78                      0.39643861
                    0.87                      0.72976484
                    0.96                       0.2593436
                     1.7                    0.0034726576
                     1.8                     0.003641884
                     1.9                      0.01808691
                       2                    0.0032085328
                     2.1                    0.0025964447
                     2.2                     0.043296595
                     2.3                     0.019227555
                     2.4                    0.0050283883
                     2.5                    0.0088333986
                     2.6                     0.015627594
                     2.7                     0.018859884

        Frequency / GHz                C1=4.2/real
----------------------------------------------------------------------
                    0.69                       0.8857966
                    0.78                      0.42496003
                    0.87                      0.74460795
                    0.96                      0.25907391
                     1.7                    0.0041425808
                     1.8                    0.0039923323
                     1.9                      0.02088169
                       2                    0.0032140885
                     2.1                     0.005876899
                     2.2                     0.047758787
                     2.3                     0.019215133
                     2.4                     0.006751949
                     2.5                    0.0088006346
                     2.6                     0.015919316
                     2.7                     0.018996867

        Frequency / GHz                C1=4.5/real
----------------------------------------------------------------------
                    0.69                       0.8866805
                    0.78                      0.51063837
                    0.87                      0.75469984
                    0.96                      0.25858883
                     1.7                    0.0048583093
                     1.8                    0.0043171002
                     1.9                     0.023660825
                       2                    0.0032197469
                     2.1                     0.010503411
                     2.2                     0.051318233
                     2.3                     0.019182034
                     2.4                    0.0082773372
                     2.5                    0.0087490766
                     2.6                     0.016140246
                     2.7                      0.01909424

        Frequency / GHz                C1=4.8/real
----------------------------------------------------------------------
                    0.69                       0.8859267
                    0.78                      0.59512079
                    0.87                      0.76166406
                    0.96                      0.25797331
                     1.7                    0.0056125176
                     1.8                    0.0046123794
                     1.9                     0.026375047
                       2                    0.0032255008
                     2.1                     0.016153582
                     2.2                     0.054017886
                     2.3                     0.019136959
                     2.4                    0.0095625489
                     2.5                    0.0086887931
                     2.6                     0.016310033
                     2.7                     0.019163599

        Frequency / GHz                C1=5.1/real
----------------------------------------------------------------------
                    0.69                      0.88163594
                    0.78                      0.65942851
                    0.87                      0.76652955
                    0.96                      0.25728289
                     1.7                    0.0063972079
                     1.8                    0.0048761919
                     1.9                     0.028992189
                       2                    0.0032313543
                     2.1                     0.022467137
                     2.2                     0.055962461
                     2.3                      0.01908589
                     2.4                     0.010622444
                     2.5                    0.0086255136
                     2.6                     0.016442258
                     2.7                     0.019212855

        Frequency / GHz                C1=5.4/real
----------------------------------------------------------------------
                    0.69                      0.86968748
                    0.78                      0.70511958
                    0.87                      0.76995924
                    0.96                       0.2565544
                     1.7                    0.0072039978
                     1.8                    0.0051081239
                     1.9                      0.03149272
                       2                    0.0032373102
                     2.1                     0.029099222
                     2.2                     0.057280744
                     2.3                     0.019032738
                     2.4                     0.011490758
                     2.5                    0.0085624394
                     2.6                     0.016546445
                     2.7                     0.019247494

        Frequency / GHz                C1=5.7/real
----------------------------------------------------------------------
                    0.69                      0.84102302
                    0.78                      0.73746605
                    0.87                      0.77238893
                    0.96                      0.25581185
                     1.7                    0.0080243823
                     1.8                    0.0053089978
                     1.9                     0.033866297
                       2                    0.0032433657
                     2.1                     0.035757402
                     2.2                     0.058100785
                     2.3                     0.018979917
                     2.4                     0.012203015
                     2.5                    0.0085013115
                     2.6                     0.016629403
                     2.7                     0.019271388

