        Frequency / GHz                c3=1.2/real
----------------------------------------------------------------------
                    0.69                       0.8231224
                    0.78                      0.45547172
                    0.87                      0.22193852
                    0.96                      0.10352005
                     1.7                     0.004255566
                     1.8                     0.039823313
                     1.9                     0.022952304
                       2                     0.018399206
                     2.1                     0.010301693
                     2.2                      0.01525107
                     2.3                     0.018465003
                     2.4                     0.016139621
                     2.5                     0.029312627
                     2.6                     0.027147469
                     2.7                     0.016004604

        Frequency / GHz                c3=12/real
----------------------------------------------------------------------
                    0.69                      0.80811183
                    0.78                      0.48588361
                    0.87                      0.20137677
                    0.96                      0.42652326
                     1.7                     0.071794212
                     1.8                     0.025545103
                     1.9                     0.079638847
                       2                      0.15080402
                     2.1                      0.10733005
                     2.2                      0.11205425
                     2.3                     0.081093308
                     2.4                    0.0054984445
                     2.5                     0.053502629
                     2.6                     0.035302489
                     2.7                     0.018143621

        Frequency / GHz                c3=1.5/real
----------------------------------------------------------------------
                    0.69                      0.82304261
                    0.78                      0.45401756
                    0.87                      0.21778089
                    0.96                      0.14320377
                     1.7                    0.0046409402
                     1.8                     0.039253427
                     1.9                     0.017848441
                       2                     0.013041602
                     2.1                    0.0080608295
                     2.2                     0.019132419
                     2.3                     0.030528156
                     2.4                     0.016346776
                     2.5                      0.03877485
                     2.6                     0.034078262
                     2.7                     0.018867458

        Frequency / GHz                c3=1.8/real
----------------------------------------------------------------------
                    0.69                      0.82295521
                    0.78                      0.45234404
                    0.87                      0.21041238
                    0.96                       0.1882558
                     1.7                    0.0058261413
                     1.8                     0.038604547
                     1.9                     0.013194314
                       2                    0.0091818584
                     2.1                    0.0084075391
                     2.2                     0.027889961
                     2.3                     0.043857438
                     2.4                     0.016325809
                     2.5                     0.047805193
                     2.6                     0.038345356
                     2.7                     0.020363479

        Frequency / GHz                c3=2.1/real
----------------------------------------------------------------------
                    0.69                       0.8228591
                    0.78                      0.45039986
                    0.87                      0.19733612
                    0.96                      0.22939142
                     1.7                    0.0078204911
                     1.8                     0.037869247
                     1.9                    0.0092844668
                       2                    0.0074237085
                     2.1                     0.012027099
                     2.2                     0.040726223
                     2.3                     0.056278208
                     2.4                     0.015911858
                     2.5                     0.054124557
                     2.6                     0.040480647
                     2.7                     0.021023746

        Frequency / GHz                c3=2.4/real
----------------------------------------------------------------------
                    0.69                        0.822753
                    0.78                        0.448117
                    0.87                      0.17427786
                    0.96                      0.26369384
                     1.7                     0.010574231
                     1.8                     0.037040725
                     1.9                    0.0064037244
                       2                    0.0082915862
                     2.1                     0.019086164
                     2.2                     0.055600155
                     2.3                     0.066484576
                     2.4                     0.014900321
                     2.5                     0.057716157
                     2.6                     0.041328803
                     2.7                     0.021233825

        Frequency / GHz                c3=2.7/real
----------------------------------------------------------------------
                    0.69                      0.82263545
                    0.78                      0.44540353
                    0.87                      0.13559682
                    0.96                      0.29128819
                     1.7                     0.013981725
                     1.8                     0.036113436
                     1.9                     0.004779219
                       2                     0.012091775
                     2.1                     0.029023907
                     2.2                     0.070198502
                     2.3                      0.07415585
                     2.4                     0.013124517
                     2.5                     0.059446189
                     2.6                     0.041491464
                     2.7                     0.021215455

        Frequency / GHz                c3=3/real
----------------------------------------------------------------------
                    0.69                      0.82250459
                    0.78                      0.44213294
                    0.87                      0.08092861
                    0.96                        0.313264
                     1.7                     0.017894559
                     1.8                      0.03508396
                     1.9                    0.0045357384
                       2                     0.018796448
                     2.1                     0.040675467
                     2.2                     0.082897206
                     2.3                     0.079572031
                     2.4                     0.010611393
                     2.5                     0.060097622
                     2.6                     0.041314268
                     2.7                     0.021086732

        Frequency / GHz                c3=3.3/real
----------------------------------------------------------------------
                    0.69                      0.82235828
                    0.78                      0.43812677
                    0.87                     0.031219071
                    0.96                      0.33080571
                     1.7                     0.022141395
                     1.8                     0.033951937
                     1.9                    0.0056699083
                       2                     0.028009072
                     2.1                     0.052686657
                     2.2                      0.09304426
                     2.3                      0.08322038
                     2.4                    0.0077074894
                     2.5                     0.060171237
                     2.6                     0.040980927
                     2.7                     0.020909061

        Frequency / GHz                c3=3.6/real
----------------------------------------------------------------------
                    0.69                      0.82219388
                    0.78                      0.43312695
                    0.87                     0.018794864
                    0.96                      0.34492097
                     1.7                     0.026549189
                     1.8                     0.032721327
                     1.9                    0.0080529434
                       2                     0.039039304
                     2.1                     0.063943407
                     2.2                      0.10069774
                     2.3                     0.085575241
                     2.4                    0.0049724754
                     2.5                     0.059951252
                     2.6                     0.040586175
                     2.7                     0.020714108

        Frequency / GHz                c3=3.9/real
----------------------------------------------------------------------
                    0.69                      0.82200803
                    0.78                      0.42674914
                    0.87                     0.040956219
                    0.96                      0.35639811
                     1.7                     0.030961362
                     1.8                     0.031401522
                     1.9                     0.011460419
                       2                     0.051059252
                     2.1                     0.073781672
                     2.2                      0.10624928
                     2.3                     0.087019228
                     2.4                    0.0028612437
                     2.5                     0.059591987
                     2.6                     0.040177942
                     2.7                     0.020517996

        Frequency / GHz                c3=4.2/real
----------------------------------------------------------------------
                    0.69                      0.82179675
                    0.78                       0.4184033
                    0.87                     0.072688121
                    0.96                      0.36583491
                     1.7                      0.03524948
                     1.8                     0.030008354
                     1.9                     0.015617443
                       2                     0.063274071
                     2.1                     0.081962817
                     2.2                      0.11016446
                     2.3                     0.087835484
                     2.4                    0.0015180498
                     2.5                     0.059175716
                     2.6                      0.03977983
                     2.7                     0.020328693

        Frequency / GHz                c3=4.5/real
----------------------------------------------------------------------
                    0.69                      0.82155495
                    0.78                      0.40715392
                    0.87                      0.10045665
                    0.96                      0.37368021
                     1.7                     0.039318268
                     1.8                     0.028564757
                     1.9                     0.020244064
                       2                     0.075044736
                     2.1                     0.088535536
                     2.2                      0.11286083
                     2.3                     0.088224786
                     2.4                   0.00083649127
                     2.5                     0.058745736
                     2.6                     0.039402729
                     2.7                     0.020149852

        Frequency / GHz                c3=4.8/real
----------------------------------------------------------------------
                    0.69                      0.82127625
                    0.78                       0.3914764
                    0.87                      0.12176952
                    0.96                       0.3802715
                     1.7                     0.043104996
                     1.8                      0.02710065
                     1.9                     0.025089571
                       2                     0.085938885
                     2.1                     0.093693839
                     2.2                      0.11467113
                     2.3                     0.088326489
                     2.4                   0.00062128587
                     2.5                     0.058324354
                     2.6                     0.039050955
                     2.7                     0.019982855

        Frequency / GHz                c3=5.1/real
----------------------------------------------------------------------
                    0.69                      0.82095228
                    0.78                      0.36886719
                    0.87                      0.13765656
                    0.96                      0.38586405
                     1.7                     0.046575182
                     1.8                     0.025651985
                     1.9                     0.029951389
                       2                      0.09572145
                     2.1                     0.097678171
                     2.2                      0.11584547
                     2.3                      0.08823643
